iter	Logloss
0	0.6899845959
1	0.6866949807
2	0.682143393
3	0.6792362441
4	0.6759983402
5	0.6732805918
6	0.6718936038
7	0.6689704595
8	0.6658985644
9	0.6642335911
10	0.6608676552
11	0.6599066358
12	0.6575896827
13	0.6552163862
14	0.6530697803
15	0.6504410503
16	0.6493081813
17	0.6471995949
18	0.6448625926
19	0.6426772145
20	0.6413175396
21	0.6385696057
22	0.6372626951
23	0.6349002018
24	0.6330339806
25	0.629436364
26	0.627763446
27	0.6261533004
28	0.6249612924
29	0.623170775
30	0.6222665144
31	0.6204882928
32	0.6198045277
33	0.618835246
34	0.6181403711
35	0.6169046306
36	0.6150627996
37	0.6136090831
38	0.6123242034
39	0.6117400731
40	0.6109717649
41	0.60968464
42	0.6076630556
43	0.6072965971
44	0.6060759847
45	0.6053765525
46	0.6050690939
47	0.6035148202
48	0.6026629562
49	0.6009570839
50	0.6000099784
51	0.599016969
52	0.5981942443
53	0.5964895008
54	0.5957877802
55	0.5951194759
56	0.5941194027
57	0.5933763177
58	0.5925043556
59	0.5920170027
60	0.591296034
61	0.5902154727
62	0.5896210746
63	0.5887126835
64	0.5878701182
65	0.5874274244
66	0.586544343
67	0.5857081302
68	0.5844663948
69	0.5834521697
70	0.5824529641
71	0.5816557134
72	0.5804690103
73	0.5799441619
74	0.5788526594
75	0.5777993285
76	0.576274557
77	0.5753956328
78	0.5742639303
79	0.5735030281
80	0.5726410321
81	0.5716459704
82	0.5711404351
83	0.5697582493
84	0.5689797691
85	0.5680406838
86	0.5668445069
87	0.5650653479
88	0.5641818102
89	0.5628833438
90	0.5625343267
91	0.5619989907
92	0.5615520743
93	0.5609156705
94	0.5602165488
95	0.5584716017
96	0.5571338461
97	0.5565969651
98	0.5561897505
99	0.5549579914
