<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKO,60,20240411,100000,56.586,57.2517,56.4338,56.4338,101123.51856403,0
PKO,60,20240411,110000,56.4148,56.4528,56.0534,56.0534,127050.28024097,0
PKO,60,20240411,120000,56.0344,56.1105,55.8632,56.0724,145793.21437292,0
PKO,60,20240411,130000,56.1105,56.3958,56.0344,56.1105,134124.75209734,0
PKO,60,20240411,140000,56.0724,56.1485,55.7301,55.8442,81077.779641642,0
PKO,60,20240411,150000,55.8252,56.1866,55.5589,55.9393,161323.82515154,0
PKO,60,20240411,160000,55.9203,55.9583,55.2546,55.635,351576.43593215,0
PKO,60,20240411,170000,55.5969,55.6159,55.2165,55.3497,639678.2036001,0
PKO,60,20240412,100000,56.0154,56.2056,55.5208,55.5969,256772.41437418,0
PKO,60,20240412,110000,55.5779,55.7681,55.4448,55.7681,141719.71497167,0
PKO,60,20240412,120000,55.7871,56.0344,55.654,55.9773,210162.70658922,0
PKO,60,20240412,130000,55.9773,56.1485,55.7301,55.7301,102342.20359398,0
PKO,60,20240412,140000,55.7491,56.1105,55.7491,55.9583,100117.23592928,0
PKO,60,20240412,150000,55.9583,56.0534,55.4638,55.5779,124607.65269603,0
PKO,60,20240412,160000,55.5399,55.7301,55.4257,55.4828,176895.44431339,0
PKO,60,20240412,170000,55.4448,55.5399,54.9692,54.9692,718889.57605609,0
PKO,60,20240415,100000,54.9692,55.692,54.9692,55.4257,108797.34371381,0
PKO,60,20240415,110000,55.4638,55.692,55.3306,55.4828,92889.24551004,0
PKO,60,20240415,120000,55.4638,55.6159,55.0834,55.1214,68399.8802403,0
PKO,60,20240415,130000,55.1404,55.3497,55.1024,55.2926,47810.517365814,0
PKO,60,20240415,140000,55.2546,55.5018,55.2355,55.4638,41774.924551374,0
PKO,60,20240415,150000,55.4257,55.8632,55.4067,55.673,100450.56048019,0
PKO,60,20240415,160000,55.673,55.8632,55.635,55.7491,138080.48383391,0
PKO,60,20240415,170000,55.7491,55.7491,55.0644,55.3306,694565.29581629,0
PKO,60,20240416,100000,54.5888,54.8932,53.4476,53.847,312043.30299757,0
PKO,60,20240416,110000,53.8661,54.0753,53.7329,53.8851,303183.38922501,0
PKO,60,20240416,120000,53.9231,54.0563,53.809,53.9612,173464.40958281,0
PKO,60,20240416,130000,53.9612,54.3986,53.9421,54.2845,275932.79281751,0
PKO,60,20240416,140000,54.3035,54.5508,54.2655,54.3986,200366.96048132,0
PKO,60,20240416,150000,54.3986,54.5508,54.1704,54.1704,227705.88263732,0
PKO,60,20240416,160000,54.1704,54.1704,52.915,52.9721,1931346.5892436,0
PKO,60,20240416,170000,52.9911,53.2384,52.896,53.1243,1106943.4946234,0
PKO,60,20240417,100000,53.5427,54.2084,53.3715,54.1514,297261.35808722,0
PKO,60,20240417,110000,54.1894,54.6459,54.1133,54.6459,384554.53653133,0
PKO,60,20240417,120000,54.6459,54.8741,54.5318,54.722,331049.11138102,0
PKO,60,20240417,130000,54.703,55.2165,54.6839,55.1595,312920.25150057,0
PKO,60,20240417,140000,55.1595,55.2546,54.9122,55.0263,244159.70778721,0
PKO,60,20240417,150000,55.0453,55.3116,54.8932,55.2355,347368.34491414,0
PKO,60,20240417,160000,55.2355,55.4257,55.1404,55.2546,360008.39042326,0
PKO,60,20240417,170000,55.2546,55.3877,55.1024,55.1024,806648.56767386,0
PKO,60,20240418,100000,55.2736,55.8062,55.1595,55.3687,268433.51617072,0
PKO,60,20240418,110000,55.3687,55.3877,54.7981,54.9312,334256.17724932,0
PKO,60,20240418,120000,54.9502,55.1975,54.703,55.1975,403315.34611238,0
PKO,60,20240418,130000,55.1785,55.4828,55.1024,55.4828,271467.08503303,0
PKO,60,20240418,140000,55.4828,55.8822,55.4828,55.5589,306263.22395558,0
PKO,60,20240418,150000,55.5589,55.5779,55.1975,55.2165,192529.1017986,0
PKO,60,20240418,160000,55.2546,55.9583,55.1595,55.9203,215994.3089845,0
PKO,60,20240418,170000,55.9013,56.0154,55.673,55.9583,1052751.4419282,0
PKO,60,20240419,100000,55.5779,55.8252,55.1595,55.2546,229527.07545172,0
PKO,60,20240419,110000,55.2546,55.4828,55.1024,55.1975,196484.83353517,0
PKO,60,20240419,120000,55.1975,55.5018,55.1214,55.4067,294176.26587161,0
PKO,60,20240419,130000,55.3877,55.4448,55.1595,55.1975,364083.99281852,0
PKO,60,20240419,140000,55.1975,55.4448,55.1404,55.4448,207277.39880476,0
PKO,60,20240419,150000,55.4448,55.9393,55.3497,55.9203,740798.56767311,0
PKO,60,20240419,160000,55.9393,56.1866,55.7491,56.1866,514960.14371844,0
PKO,60,20240419,170000,56.2056,56.2626,55.9013,56.2246,885734.81198614,0
PKO,60,20240422,100000,56.4148,56.9284,56.4148,56.8142,277877.01078161,0
PKO,60,20240422,110000,56.7762,57.1946,56.5479,57.1566,341856.39760868,0
PKO,60,20240422,120000,57.1566,57.48,57.1376,57.1756,270191.61916475,0
PKO,60,20240422,130000,57.2137,57.3278,57.1376,57.2707,151437.65030113,0
PKO,60,20240422,140000,57.2897,57.3278,57.0044,57.0995,175132.08383433,0
PKO,60,20240422,150000,57.0995,57.1376,56.9284,57.0995,196626.78563098,0
PKO,60,20240422,160000,57.0805,57.2517,57.0235,57.0805,260007.87066164,0
PKO,60,20240422,170000,57.0995,57.3278,56.9284,57.1756,775060.54611661,0
PKO,60,20240423,100000,57.2517,58.2027,57.2517,57.8033,230969.72934395,0
PKO,60,20240423,110000,57.8033,57.9745,57.7462,57.8984,184854.22515181,0
PKO,60,20240423,120000,57.8984,58.5451,57.8984,58.469,361459.45629154,0
PKO,60,20240423,130000,58.469,58.7924,58.3929,58.7163,281071.45868584,0
PKO,60,20240423,140000,58.7353,59.7244,58.6592,59.7054,573773.52575504,0
PKO,60,20240423,150000,59.7244,59.7814,59.382,59.4391,365407.82754907,0
PKO,60,20240423,160000,59.4391,59.7054,59.2869,59.7054,482496.2251552,0
PKO,60,20240423,170000,59.7054,59.9907,59.2108,59.5151,1474004.2754659,0
PKO,60,20240424,100000,59.4391,59.8385,58.9445,59.6673,198869.62874478,0
PKO,60,20240424,110000,59.6483,59.7814,58.9445,59.0967,470521.77725087,0
PKO,60,20240424,120000,59.1538,59.344,58.9826,59.2489,278371.21437443,0
PKO,60,20240424,130000,59.2679,59.4391,58.9636,58.9826,279192.43353611,0
PKO,60,20240424,140000,58.9636,59.2489,58.9636,59.2298,173311.94251694,0
PKO,60,20240424,150000,59.2489,59.3059,59.1347,59.2489,426936.17485516,0
PKO,60,20240424,160000,59.2489,59.4391,59.2489,59.2869,365532.95569279,0
PKO,60,20240424,170000,59.2869,59.8385,59.2869,59.5532,1161983.0539055,0
PKO,60,20240425,100000,59.3059,59.7054,59.0967,59.3249,216183.57844558,0
PKO,60,20240425,110000,59.344,59.4771,59.2679,59.3059,186761.64072069,0
PKO,60,20240425,120000,59.2869,59.4581,59.2489,59.344,419605.13772933,0
PKO,60,20240425,130000,59.344,59.4771,59.2489,59.2489,221335.91377498,0
PKO,60,20240425,140000,59.2489,59.344,59.0587,59.2298,604843.15928833,0
PKO,60,20240425,150000,59.2298,59.344,59.0016,59.0587,687911.42276233,0
PKO,60,20240425,160000,59.0587,59.1728,58.7543,58.8114,1239567.7604932,0
PKO,60,20240425,170000,58.7924,59.2489,58.6212,58.9636,483638.15090371,0
PKO,60,20240426,100000,59.2489,59.6483,58.7733,59.344,442694.96048408,0
PKO,60,20240426,110000,59.344,59.344,58.7924,59.0396,152364.01916341,0
PKO,60,20240426,120000,58.9826,59.0396,58.7353,59.0016,271558.56527255,0
PKO,60,20240426,130000,59.0016,59.0587,58.9065,58.9826,171450.79281632,0
PKO,60,20240426,140000,58.9636,59.0396,58.6212,58.6402,225047.69820616,0
PKO,60,20240426,150000,58.6402,58.8494,58.45,58.469,618836.48144417,0
PKO,60,20240426,160000,58.488,58.6973,58.412,58.5071,372585.34611203,0
PKO,60,20240426,170000,58.488,58.9065,58.45,58.6782,876194.5796507,0
PKO,60,20240429,100000,58.6022,59.1538,58.0886,58.3169,184542.98203803,0
PKO,60,20240429,110000,58.3359,58.412,58.0696,58.1267,98941.662276576,0
PKO,60,20240429,120000,58.1267,58.1267,57.537,57.6131,193554.31137945,0
PKO,60,20240429,130000,57.5941,57.7653,57.518,57.6511,159223.98563056,0
PKO,60,20240429,140000,57.6321,57.8794,57.3658,57.5941,120079.90658819,0
PKO,60,20240429,150000,57.5941,57.8604,57.537,57.8223,324501.43952465,0
PKO,60,20240429,160000,57.7843,58.2218,57.6702,58.1837,247684.32575132,0
PKO,60,20240429,170000,58.1837,58.7733,58.0886,58.5071,942589.25510056,0
PKO,60,20240430,100000,58.8685,58.8685,58.0506,58.3359,174196.25149899,0
PKO,60,20240430,110000,58.3169,58.6022,58.1267,58.2218,187591.27185842,0
PKO,60,20240430,120000,58.2218,58.3549,58.0696,58.3169,163709.67185815,0
PKO,60,20240430,130000,58.2978,58.3929,58.1457,58.1837,173102.69461275,0
PKO,60,20240430,140000,58.1647,58.3549,58.0886,58.2598,178165.65269664,0
PKO,60,20240430,150000,58.2598,58.3169,57.8604,57.8794,292726.25150034,0
PKO,60,20240430,160000,57.8794,57.9364,57.4609,57.8984,360514.16048315,0
PKO,60,20240430,170000,57.8604,58.0696,57.7272,57.7272,1326451.9066019,0
PKO,60,20240502,100000,58.0315,58.431,57.6131,57.9174,168914.58203785,0
PKO,60,20240502,110000,57.9174,58.5261,57.9174,58.0125,270538.61317673,0
PKO,60,20240502,120000,58.0315,58.0886,57.8794,58.0315,150310.44551069,0
PKO,60,20240502,130000,58.0506,58.1647,57.7653,58.1076,112370.3305402,0
PKO,60,20240502,140000,58.1647,58.1837,57.7462,57.7653,141417.93533095,0
PKO,60,20240502,150000,57.7843,57.9174,57.6892,57.6892,118706.65149836,0
PKO,60,20240502,160000,57.6702,57.7462,56.7001,56.7572,345722.75209975,0
PKO,60,20240502,170000,56.7762,57.4039,56.7762,57.1186,1015266.6251613,0
PKO,60,20240506,100000,57.1756,57.4609,56.567,56.8333,567713.74850946,0
PKO,60,20240506,110000,56.8333,57.0235,56.4719,56.8903,519987.35090413,0
PKO,60,20240506,120000,56.8903,57.2897,56.8903,57.0995,634064.26108507,0
PKO,60,20240506,130000,57.0995,57.3088,56.8903,57.0235,342009.91617156,0
PKO,60,20240506,140000,57.0235,57.0615,56.7382,56.8333,339716.60120147,0
PKO,60,20240506,150000,56.8523,57.1946,56.8523,57.1186,283106.10539245,0
PKO,60,20240506,160000,57.1186,57.556,56.9854,57.4229,319532.0646743,0
PKO,60,20240506,170000,57.4229,58.5261,57.4229,58.2027,1080419.482647,0
PKO,60,20240507,100000,58.5071,58.6212,57.8223,57.9555,179460.04551103,0
PKO,60,20240507,110000,57.9745,58.0696,57.3849,57.8033,522592.96048499,0
PKO,60,20240507,120000,57.8033,58.1647,57.7843,58.0696,137423.29820516,0
PKO,60,20240507,130000,58.0886,58.0886,57.8984,57.9555,136662.01437281,0
PKO,60,20240507,140000,57.9555,58.3359,57.8413,58.3359,344639.71018357,0
PKO,60,20240507,150000,58.3169,58.6212,58.2027,58.6212,211444.48143953,0
PKO,60,20240507,160000,58.6022,58.6782,57.6702,57.7462,492734.65150262,0
PKO,60,20240507,170000,57.7462,57.7653,57.2137,57.6511,954427.0083941,0
PKO,60,20240508,100000,57.4419,57.6511,57.1566,57.3658,176089.9976068,0
PKO,60,20240508,110000,57.3468,57.3658,57.0615,57.1566,181728.12455297,0
PKO,60,20240508,120000,57.1566,57.6892,57.1566,57.6892,144966.7377262,0
PKO,60,20240508,130000,57.6511,57.7653,57.499,57.537,153441.80359456,0
PKO,60,20240508,140000,57.518,57.7653,57.4419,57.7082,146196.98922322,0
PKO,60,20240508,150000,57.6892,57.6892,57.3658,57.48,346974.03353689,0
PKO,60,20240508,160000,57.48,57.9174,57.3658,57.8984,243454.15329619,0
PKO,60,20240508,170000,57.8794,57.9364,57.4039,57.8033,1197102.0024088,0
PKO,60,20240509,100000,58.2027,58.7353,57.8223,58.488,188727.94012191,0
PKO,60,20240509,110000,58.488,58.5831,58.2027,58.2408,149017.10419331,0
PKO,60,20240509,120000,58.2408,58.45,58.1076,58.2598,116867.58323486,0
PKO,60,20240509,130000,58.2978,58.3739,58.0886,58.2978,161255.47784615,0
PKO,60,20240509,140000,58.2978,58.3549,58.0315,58.0696,240666.63473328,0
PKO,60,20240509,150000,58.0506,58.45,57.6511,58.1076,267050.79760783,0
PKO,60,20240509,160000,58.1076,58.1076,57.7272,57.7462,243463.61676924,0
PKO,60,20240509,170000,57.7272,58.0125,57.5751,57.6511,648573.86827086,0
PKO,60,20240510,100000,58.2027,58.2598,56.567,56.605,292290.93173986,0
PKO,60,20240510,110000,56.567,56.8333,55.8442,55.9773,453651.5592866,0
PKO,60,20240510,120000,55.9773,56.1105,55.7301,55.8442,311244.16527301,0
PKO,60,20240510,130000,55.8442,55.8632,55.2926,55.8632,376201.44431566,0
PKO,60,20240510,140000,55.8822,55.9203,55.5779,55.673,281845.36048225,0
PKO,60,20240510,150000,55.654,55.654,54.8741,54.9692,468419.83473587,0
PKO,60,20240510,160000,55.0073,55.4067,54.7981,55.1595,522646.5868323,0
PKO,60,20240510,170000,55.2165,55.4638,54.741,54.741,1163377.3389354,0
PKO,60,20240513,100000,54.8932,55.5969,54.6269,54.8171,271430.28263782,0
PKO,60,20240513,110000,54.7981,55.1404,54.741,54.779,141839.58563036,0
PKO,60,20240513,120000,54.8171,55.1404,54.779,55.0263,113201.01317494,0
PKO,60,20240513,130000,55.0644,55.1024,54.76,54.9883,117399.6407199,0
PKO,60,20240513,140000,54.9883,55.1024,54.8741,54.8741,120986.29700737,0
PKO,60,20240513,150000,54.8551,54.9502,54.722,54.8551,137464.30658839,0
PKO,60,20240513,160000,54.8551,55.0073,54.4747,54.9692,338412.74491403,0
PKO,60,20240513,170000,54.9692,55.3306,54.9692,55.2165,686158.57725332,0
PKO,60,20240514,100000,55.1214,55.3497,54.9312,55.3116,174751.44191816,0
PKO,60,20240514,110000,55.3306,55.3306,54.9502,55.1595,233928.64191883,0
PKO,60,20240514,120000,55.1595,55.3116,54.9883,55.1214,170845.13054087,0
PKO,60,20240514,130000,55.1404,55.1975,55.0644,55.1024,148211.65748672,0
PKO,60,20240514,140000,55.1214,55.1785,54.703,54.722,199629.86108012,0
PKO,60,20240514,150000,54.703,54.703,53.8661,54.0372,601604.54850985,0
PKO,60,20240514,160000,54.0372,54.703,54.0182,54.6459,435111.56407681,0
PKO,60,20240514,170000,54.6079,55.0263,54.5128,54.8551,1281138.6946254,0
PKO,60,20240515,100000,54.741,55.0453,54.2274,54.3986,477773.95210125,0
PKO,60,20240515,110000,54.3606,54.4367,54.0563,54.3226,437426.96048402,0
PKO,60,20240515,120000,54.3606,54.8932,54.3226,54.7981,277775.01557203,0
PKO,60,20240515,130000,54.7981,55.0453,54.6269,54.6269,306101.29341666,0
PKO,60,20240515,140000,54.6269,54.76,54.5508,54.722,277646.73293729,0
PKO,60,20240515,150000,54.6839,54.8741,54.2845,54.5508,630369.30060598,0
PKO,60,20240515,160000,54.5508,54.8171,54.5128,54.8171,314976.97964431,0
PKO,60,20240515,170000,54.8171,54.9502,54.6649,54.779,840337.48024909,0
PKO,60,20240516,100000,54.8361,55.3306,54.8361,55.0263,397435.37485483,0
PKO,60,20240516,110000,55.0453,55.1214,54.9502,54.9883,245426.76167944,0
PKO,60,20240516,120000,55.0073,55.1024,54.779,54.8551,239264.98922428,0
PKO,60,20240516,130000,54.8741,55.0073,54.722,54.9502,180889.02994218,0
PKO,60,20240516,140000,54.9692,55.0073,54.779,54.8171,195049.54012198,0
PKO,60,20240516,150000,54.8361,54.8741,54.3226,54.4937,218087.83952344,0
PKO,60,20240516,160000,54.4937,54.8361,54.3796,54.6839,277895.93772772,0
PKO,60,20240516,170000,54.6649,54.6839,54.4177,54.6649,696892.25869057,0
PKO,60,20240517,100000,54.3416,54.6459,53.5998,53.7139,320794.9125785,0
PKO,60,20240517,110000,53.6949,53.771,53.4666,53.6949,166791.60958274,0
PKO,60,20240517,120000,53.6949,54.0372,53.6568,53.9041,199970.54611006,0
PKO,60,20240517,130000,53.9041,53.9041,53.6568,53.771,134159.45149853,0
PKO,60,20240517,140000,53.7519,53.771,53.4666,53.7329,208227.95209818,0
PKO,60,20240517,150000,53.7519,53.9992,53.7329,53.7329,165529.81317554,0
PKO,60,20240517,160000,53.771,54.1323,53.771,53.9992,179334.91736731,0
PKO,60,20240517,170000,53.9612,54.2845,53.9612,54.2655,739822.77845154,0
PKO,60,20240520,100000,54.3606,54.6839,54.1704,54.4937,236461.69820629,0
PKO,60,20240520,110000,54.4747,54.4747,54.1514,54.2084,310412.43114126,0
PKO,60,20240520,120000,54.2084,54.4557,54.2084,54.4367,1188698.4383369,0
