<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABS,60,20240411,100000,59.0658,59.4494,57.7234,57.7234,582.9834983336,0
ABS,60,20240411,110000,58.8741,58.8741,57.7234,57.9152,355.6303630264,0
ABS,60,20240411,120000,57.9152,58.8741,57.9152,58.8741,6.2574257424,0
ABS,60,20240411,130000,58.8741,58.8741,58.8741,58.8741,42.7590759064,0
ABS,60,20240411,140000,58.8741,58.8741,58.8741,58.8741,20.858085808000002,0
ABS,60,20240411,150000,59.2576,59.2576,59.2576,59.2576,15.643564356000002,0
ABS,60,20240411,160000,59.2576,59.2576,58.8741,59.2576,51.1023102296,0
ABS,60,20240411,170000,59.0658,59.0658,59.0658,59.0658,5.2145214520000005,0
ABS,60,20240412,100000,59.2576,59.4494,59.2576,59.4494,354.587458736,0
ABS,60,20240412,110000,59.2576,59.4494,59.2576,59.4494,60.4884488432,0
ABS,60,20240412,120000,59.2576,59.4494,59.0658,59.0658,90.7326732648,0
ABS,60,20240412,130000,59.2576,59.2576,59.0658,59.0658,9.3861386136,0
ABS,60,20240412,140000,59.0658,59.4494,59.0658,59.4494,142.8778877848,0
ABS,60,20240412,150000,59.4494,59.4494,59.4494,59.4494,128.2772277192,0
ABS,60,20240412,160000,59.4494,59.4494,59.2576,59.2576,528.7524752328001,0
ABS,60,20240412,170000,59.2576,59.4494,59.0658,59.4494,78.21782178,0
ABS,60,20240415,100000,59.4494,60.4082,59.4494,60.4082,411.947194708,0
ABS,60,20240415,110000,60.2165,60.9835,59.4494,60.9835,319.1287128624,0
ABS,60,20240415,120000,60.9835,60.9835,60.2165,60.2165,2.0858085808,0
ABS,60,20240415,130000,60.4082,60.4082,59.8329,60.4082,92.8184818456,0
ABS,60,20240415,140000,60.4082,60.4082,59.8329,59.8329,18.7722772272,0
ABS,60,20240415,150000,60.2165,60.2165,60.2165,60.2165,29.2013201312,0
ABS,60,20240415,160000,60.0247,60.0247,59.8329,59.8329,46.930693068,0
ABS,60,20240415,170000,59.8329,60.0247,59.4494,60.0247,556.9108910736,0
ABS,60,20240416,100000,60.0247,60.0247,59.4494,59.4494,277.4125412464,0
ABS,60,20240416,110000,59.2576,59.4494,58.4905,58.6823,528.7524752328,0
ABS,60,20240416,120000,57.9152,58.6823,57.5316,57.7234,192.937293724,0
ABS,60,20240416,130000,57.7234,59.4494,57.5316,59.4494,159.5643564312,0
ABS,60,20240416,140000,57.9152,57.9152,57.9152,57.9152,1.0429042904,0
ABS,60,20240416,150000,59.4494,59.4494,59.4494,59.4494,52.14521452,0
ABS,60,20240416,160000,57.9152,59.4494,56.381,57.9152,149.1353135272,0
ABS,60,20240416,170000,57.9152,59.4494,57.5316,59.4494,342.0726072512,0
ABS,60,20240417,100000,57.3399,59.4494,57.3399,58.6823,198.151815176,0
ABS,60,20240417,110000,58.107,58.4905,56.5728,57.9152,614.2706270456,0
ABS,60,20240417,120000,57.9152,57.9152,57.9152,57.9152,183.55115511040003,0
ABS,60,20240417,130000,58.107,58.4905,58.107,58.4905,1887.656765624,0
ABS,60,20240417,140000,58.6823,58.6823,58.6823,58.6823,89.6897689744,0
ABS,60,20240417,150000,58.4905,58.4905,58.4905,58.4905,1037.6897689480002,0
ABS,60,20240417,160000,58.4905,58.4905,57.9152,57.9152,1492.3960395624,0
ABS,60,20240418,100000,58.4905,58.4905,57.9152,58.2987,86.5610561032,0
ABS,60,20240418,110000,58.2987,58.2987,58.107,58.2987,66.7458745856,0
ABS,60,20240418,120000,58.2987,58.2987,58.107,58.107,41.716171616000004,0
ABS,60,20240418,130000,57.9152,58.107,57.9152,57.9152,236.7392739208,0
ABS,60,20240418,140000,57.9152,57.9152,57.9152,57.9152,86.5610561032,0
ABS,60,20240418,150000,57.7234,57.7234,57.7234,57.7234,8.3432343232,0
ABS,60,20240418,160000,57.5316,57.5316,57.5316,57.5316,8.3432343232,0
ABS,60,20240418,170000,57.3399,57.7234,56.5728,56.7646,677.88778876,0
ABS,60,20240419,100000,58.107,59.4494,57.5316,57.5316,788.4356435424,0
ABS,60,20240419,110000,57.1481,57.5316,57.1481,57.1481,85.5181518128,0
ABS,60,20240419,120000,57.3399,57.3399,56.5728,56.5728,210.6666666608,0
ABS,60,20240419,130000,56.381,57.3399,56.1892,56.1892,114.719471944,0
ABS,60,20240419,140000,57.3399,57.3399,56.1892,56.1892,21.9009900984,0
ABS,60,20240419,150000,57.3399,57.3399,57.3399,57.3399,1.0429042904,0
ABS,60,20240419,160000,56.5728,56.5728,56.5728,56.5728,4.1716171616,0
ABS,60,20240419,170000,56.5728,56.5728,56.1892,56.5728,176.2508250776,0
ABS,60,20240422,100000,56.1892,56.381,55.2304,56.381,635.1287128536,0
ABS,60,20240422,110000,55.6139,56.381,55.4222,56.381,135.577557752,0
ABS,60,20240422,120000,56.381,56.5728,56.381,56.5728,21.9009900984,0
ABS,60,20240422,130000,55.9975,55.9975,55.6139,55.9975,19.8151815176,0
ABS,60,20240422,140000,55.9975,55.9975,55.9975,55.9975,80.30363036080001,0
ABS,60,20240422,150000,55.6139,55.6139,55.4222,55.6139,131.4059405904,0
ABS,60,20240422,160000,55.6139,55.6139,55.6139,55.6139,59.4455445528,0
ABS,60,20240422,170000,55.6139,55.6139,55.6139,55.6139,16.6864686464,0
ABS,60,20240423,100000,55.8057,57.1481,55.8057,56.9563,581.9405940432,0
ABS,60,20240423,110000,56.1892,57.1481,55.6139,57.1481,109.504950492,0
ABS,60,20240423,120000,56.9563,57.1481,56.9563,57.1481,257.5973597288,0
ABS,60,20240423,130000,57.1481,57.1481,57.1481,57.1481,1.0429042904,0
ABS,60,20240423,140000,57.1481,57.5316,57.1481,57.5316,539.1815181368,0
ABS,60,20240423,150000,57.5316,57.5316,57.5316,57.5316,10.429042904000001,0
ABS,60,20240423,160000,57.5316,57.5316,56.1892,56.1892,80.30363036080001,0
ABS,60,20240423,170000,56.1892,57.5316,56.1892,57.5316,105.3333333304,0
ABS,60,20240424,100000,58.2987,59.0658,57.5316,57.9152,342.0726072512,0
ABS,60,20240424,110000,58.107,59.4494,57.9152,59.4494,304.5280527968,0
ABS,60,20240424,120000,59.4494,59.4494,59.4494,59.4494,521.4521452,0
ABS,60,20240424,130000,58.107,58.8741,58.107,58.8741,47.9735973584,0
ABS,60,20240424,140000,58.8741,58.8741,58.8741,58.8741,1.0429042904,0
ABS,60,20240424,150000,58.8741,58.8741,58.8741,58.8741,2.0858085808,0
ABS,60,20240424,160000,58.107,59.6411,58.107,59.6411,363.9735973496,0
ABS,60,20240424,170000,59.6411,59.6411,59.6411,59.6411,8.3432343232,0
ABS,60,20240425,100000,59.4494,59.4494,58.107,58.107,43.8019801968,0
ABS,60,20240425,110000,58.107,59.4494,58.107,58.8741,94.9042904264,0
ABS,60,20240425,120000,58.8741,59.4494,58.8741,59.4494,66.7458745856,0
ABS,60,20240425,130000,59.4494,59.4494,59.4494,59.4494,50.059405939200005,0
ABS,60,20240425,140000,59.4494,59.4494,59.4494,59.4494,1.0429042904,0
ABS,60,20240425,150000,59.4494,59.4494,59.4494,59.4494,1.0429042904,0
ABS,60,20240425,160000,59.4494,59.4494,59.4494,59.4494,16.6864686464,0
ABS,60,20240425,170000,59.4494,59.4494,59.4494,59.4494,104.29042904,0
ABS,60,20240426,100000,59.0658,59.0658,56.5728,58.107,425.5049504832,0
ABS,60,20240426,110000,58.107,58.2987,58.107,58.2987,236.7392739208,0
ABS,60,20240426,120000,58.107,58.107,58.107,58.107,78.21782178,0
ABS,60,20240426,130000,58.107,58.107,57.7234,57.7234,41.716171616000004,0
ABS,60,20240426,140000,57.7234,57.9152,57.7234,57.9152,41.716171616000004,0
ABS,60,20240426,150000,57.9152,57.9152,57.9152,57.9152,6.257425742400001,0
ABS,60,20240426,160000,58.107,58.107,57.9152,57.9152,51.1023102296,0
ABS,60,20240426,170000,57.9152,58.107,57.9152,57.9152,55.2739273912,0
ABS,60,20240429,100000,58.107,59.2576,57.7234,59.2576,216.9240924032,0
ABS,60,20240429,110000,59.2576,59.6411,58.4905,59.4494,83.432343232,0
ABS,60,20240429,120000,59.4494,59.4494,59.4494,59.4494,37.5445544544,0
ABS,60,20240429,130000,59.4494,59.4494,59.4494,59.4494,62.57425742400001,0
ABS,60,20240429,140000,58.8741,58.8741,58.6823,58.6823,22.943894388800004,0
ABS,60,20240429,150000,59.2576,59.2576,59.2576,59.2576,27.1155115504,0
ABS,60,20240429,160000,59.2576,59.2576,58.6823,58.6823,12.514851484800001,0
ABS,60,20240429,170000,58.6823,59.6411,58.4905,58.4905,114.719471944,0
ABS,60,20240430,100000,59.6411,59.6411,58.4905,58.4905,204.4092409184,0
ABS,60,20240430,110000,57.9152,58.2987,57.5316,58.2987,179.37953794880002,0
ABS,60,20240430,120000,58.4905,59.2576,58.4905,59.2576,268.0264026328,0
ABS,60,20240430,130000,59.2576,59.2576,59.2576,59.2576,16.6864686464,0
ABS,60,20240430,140000,59.2576,59.4494,59.2576,59.4494,134.53465346160002,0
ABS,60,20240430,150000,59.4494,59.4494,59.4494,59.4494,82.3894389416,0
ABS,60,20240430,160000,59.4494,59.4494,59.4494,59.4494,20.858085808,0
ABS,60,20240430,170000,59.4494,59.4494,59.4494,59.4494,1.0429042904,0
ABS,60,20240502,100000,59.4494,59.4494,59.4494,59.4494,79.2607260704,0
ABS,60,20240502,110000,59.4494,59.4494,59.4494,59.4494,255.511551148,0
ABS,60,20240502,120000,59.4494,59.4494,59.2576,59.4494,41.716171616,0
ABS,60,20240502,130000,59.4494,59.4494,58.107,58.107,50.0594059392,0
ABS,60,20240502,140000,59.4494,59.4494,58.107,58.107,10.429042904000001,0
ABS,60,20240502,150000,59.4494,59.4494,59.4494,59.4494,91.77557755520002,0
ABS,60,20240502,160000,59.4494,59.4494,59.4494,59.4494,51.1023102296,0
ABS,60,20240506,100000,59.6411,59.6411,59.0658,59.6411,233.61056104960002,0
ABS,60,20240506,110000,59.6411,59.6411,59.6411,59.6411,22.9438943888,0
ABS,60,20240506,120000,59.6411,59.6411,59.4494,59.4494,1084.620462016,0
ABS,60,20240506,130000,59.4494,59.4494,58.4905,58.4905,152.2640263984,0
ABS,60,20240506,140000,58.4905,58.4905,58.2987,58.4905,83.432343232,0
ABS,60,20240506,150000,58.4905,58.4905,58.107,58.107,35.4587458736,0
ABS,60,20240506,160000,58.107,58.4905,58.107,58.4905,65.7029702952,0
ABS,60,20240506,170000,58.107,58.2987,58.107,58.2987,76.1320131992,0
ABS,60,20240507,100000,57.5316,57.5316,55.8057,55.9975,1994.0330032448,0
ABS,60,20240507,110000,56.1892,56.5728,55.9975,56.5728,303.4851485064,0
ABS,60,20240507,120000,56.381,56.381,55.8057,56.381,2071.2079207344,0
ABS,60,20240507,130000,56.381,56.5728,56.381,56.381,178.3366336584,0
ABS,60,20240507,140000,56.381,56.381,56.1892,56.1892,95.9471947168,0
ABS,60,20240507,150000,56.381,56.381,56.1892,56.381,384.8316831576,0
ABS,60,20240507,160000,55.9975,56.381,55.9975,55.9975,329.5577557664,0
ABS,60,20240507,170000,56.5728,57.3399,56.5728,57.3399,791.5643564136,0
ABS,60,20240508,100000,57.5316,58.8741,56.9563,57.3399,112.6336633632,0
ABS,60,20240508,110000,57.3399,58.2987,56.9563,58.2987,1039.7755775288,0
ABS,60,20240508,120000,57.7234,57.7234,57.7234,57.7234,20.858085808000002,0
ABS,60,20240508,130000,58.107,58.2987,58.107,58.2987,42.7590759064,0
ABS,60,20240508,140000,57.7234,58.2987,57.7234,58.2987,88.646864684,0
ABS,60,20240508,150000,58.2987,58.4905,57.7234,58.2987,108.4620462016,0
ABS,60,20240508,160000,58.2987,58.4905,58.2987,58.4905,54.2310231008,0
ABS,60,20240508,170000,58.4905,58.4905,58.4905,58.4905,5.2145214520000005,0
ABS,60,20240509,100000,58.4905,58.4905,55.8057,58.2987,425.5049504832,0
ABS,60,20240509,110000,57.5316,58.4905,57.5316,58.4905,40.6732673256,0
ABS,60,20240509,120000,58.4905,58.4905,58.4905,58.4905,4.1716171616,0
ABS,60,20240509,130000,58.4905,58.4905,58.4905,58.4905,8.3432343232,0
ABS,60,20240509,140000,58.4905,58.4905,57.9152,58.4905,93.861386136,0
ABS,60,20240509,150000,58.4905,58.4905,57.9152,57.9152,11.4719471944,0
ABS,60,20240509,160000,58.2987,58.2987,57.5316,57.5316,90.7326732648,0
ABS,60,20240509,170000,57.3399,58.4905,57.3399,58.2987,28.158415840800004,0
ABS,60,20240510,100000,56.381,57.3399,55.9975,56.5728,1777.1089108416,0
ABS,60,20240510,110000,56.1892,56.9563,56.1892,56.7646,581.9405940432,0
ABS,60,20240510,120000,56.7646,56.7646,56.1892,56.381,431.7623762256,0
ABS,60,20240510,130000,56.1892,56.5728,56.1892,56.381,290.9702970216,0
ABS,60,20240510,140000,56.1892,56.5728,55.9975,56.381,598.6270626896,0
ABS,60,20240510,150000,56.1892,56.381,55.9975,56.1892,151.221122108,0
ABS,60,20240510,160000,56.1892,56.1892,55.8057,56.1892,382.7458745768,0
ABS,60,20240510,170000,56.1892,56.381,55.9975,56.381,34.4158415832,0
ABS,60,20240513,100000,56.1892,56.7646,55.8057,55.9975,556.9108910736,0
ABS,60,20240513,110000,55.9975,56.5728,55.6139,56.5728,338.94389438,0
ABS,60,20240513,120000,56.381,56.5728,55.6139,56.1892,438.019801968,0
ABS,60,20240513,130000,56.1892,56.5728,55.9975,56.5728,127.2343234288,0
ABS,60,20240513,140000,56.5728,56.5728,55.6139,55.6139,147.04950494640002,0
