<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACG,60,20240411,110000,27.7943,27.7943,27.4286,27.4286,238.4375,0
ACG,60,20240411,130000,27.4286,27.4286,27.4286,27.4286,119.21875,0
ACG,60,20240411,140000,27.4286,27.4286,27.4286,27.4286,54.6875,0
ACG,60,20240411,150000,27.2457,27.2457,27.2457,27.2457,87.5,0
ACG,60,20240411,170000,27.4286,27.4286,27.4286,27.4286,1.09375,0
ACG,60,20240412,100000,27.4286,27.4286,27.2457,27.2457,98.4375,0
ACG,60,20240412,110000,27.4286,27.4286,27.4286,27.4286,32.8125,0
ACG,60,20240412,130000,27.4286,27.4286,27.4286,27.4286,54.6875,0
ACG,60,20240412,140000,27.4286,27.4286,27.4286,27.4286,21.875,0
ACG,60,20240412,160000,27.3371,27.3371,27.3371,27.3371,124.6875,0
ACG,60,20240412,170000,27.2457,27.3371,27.2457,27.3371,142.1875,0
ACG,60,20240415,100000,27.4286,27.4286,27.4286,27.4286,228.59375,0
ACG,60,20240415,120000,27.2457,27.2457,26.9714,26.9714,127.96875,0
ACG,60,20240415,140000,27.3371,27.3371,26.9714,26.9714,112.65625,0
ACG,60,20240415,150000,26.9714,26.9714,26.9714,26.9714,26.25,0
ACG,60,20240415,160000,27.3371,27.4286,27.3371,27.4286,914.375,0
ACG,60,20240415,170000,27.4286,27.4286,27.0629,27.0629,142.1875,0
ACG,60,20240416,100000,27.0629,27.0629,27.0629,27.0629,164.0625,0
ACG,60,20240416,120000,27.4286,27.4286,27.0629,27.0629,202.34375,0
ACG,60,20240416,130000,27.0629,27.0629,27.0629,27.0629,43.75,0
ACG,60,20240416,140000,27.0629,27.0629,26.9714,26.9714,49.21875,0
ACG,60,20240416,150000,27.3371,27.3371,27.3371,27.3371,55.78125,0
ACG,60,20240416,160000,27.3371,27.3371,26.6971,26.6971,1093.75,0
ACG,60,20240416,170000,27.2457,27.2457,27.2457,27.2457,3.28125,0
ACG,60,20240417,100000,27.3371,27.3371,26.9714,26.9714,385,0
ACG,60,20240417,110000,26.9714,26.9714,26.9714,26.9714,134.53125,0
ACG,60,20240417,120000,27.2457,27.2457,27.2457,27.2457,1.09375,0
ACG,60,20240417,170000,27.2457,27.2457,27.2457,27.2457,328.125,0
ACG,60,20240418,100000,27.2457,27.4286,27.2457,27.4286,109.375,0
ACG,60,20240418,110000,27.3371,27.3371,27.3371,27.3371,55.78125,0
ACG,60,20240418,120000,27.0629,27.0629,27.0629,27.0629,40.46875,0
ACG,60,20240418,140000,27.4286,27.6114,27.2457,27.6114,502.03125,0
ACG,60,20240418,170000,27.2457,27.4286,27.1543,27.1543,399.21875,0
ACG,60,20240419,100000,27.4286,27.4286,27.2457,27.2457,82.03125,0
ACG,60,20240419,120000,27.4286,27.4286,27.4286,27.4286,119.21875,0
ACG,60,20240419,130000,27.4286,27.4286,27.4286,27.4286,63.4375,0
ACG,60,20240419,140000,27.6114,27.6114,27.6114,27.6114,109.375,0
ACG,60,20240419,150000,27.52,27.7029,27.52,27.7029,377.34375,0
ACG,60,20240419,160000,27.7029,27.7029,27.7029,27.7029,18.59375,0
ACG,60,20240419,170000,27.7943,27.7943,27.4286,27.7943,923.125,0
ACG,60,20240422,100000,27.7943,27.9771,27.7943,27.8857,931.875,0
ACG,60,20240422,110000,27.7943,27.7943,27.7943,27.7943,144.375,0
ACG,60,20240422,120000,27.7943,27.8857,27.7943,27.8857,123.59375,0
ACG,60,20240422,130000,27.8857,27.9771,27.8857,27.9771,806.09375,0
ACG,60,20240422,140000,27.9771,27.9771,27.8857,27.9771,386.09375,0
ACG,60,20240422,150000,27.8857,27.9771,27.8857,27.9771,67.8125,0
ACG,60,20240422,160000,27.9771,27.9771,27.9771,27.9771,146.5625,0
