<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACP,60,20240411,100000,76.0974,76.4798,76.0974,76.1452,4800.2213112503,0
ACP,60,20240411,110000,76.0974,77.0056,76.0018,77.0056,10927.851827987,0
ACP,60,20240411,120000,76.8622,77.1012,76.671,76.8144,9184.123580906,0
ACP,60,20240411,130000,76.8144,77.0534,76.7188,76.8144,5887.0441359156,0
ACP,60,20240411,140000,76.8144,76.8622,76.4798,76.6232,7246.8802014256,0
ACP,60,20240411,150000,76.5276,76.7666,76.4798,76.5276,2915.2793189049,0
ACP,60,20240411,160000,76.5276,77.2446,76.5276,77.0534,20131.849936004,0
ACP,60,20240411,170000,77.0534,77.0534,75.7628,76.0018,21951.938208302,0
ACP,60,20240412,100000,76.0974,77.3402,76.0974,77.0534,5792.9016390726,0
ACP,60,20240412,110000,77.149,77.149,76.8144,76.8144,1540.7988649971,0
ACP,60,20240412,120000,76.7666,76.7666,76.3364,76.7188,1701.8871373729,0
ACP,60,20240412,130000,76.8144,76.8144,75.715,75.715,4196.6633037124,0
ACP,60,20240412,140000,75.8584,76.1452,75.6672,75.6672,3834.7377047382,0
ACP,60,20240412,150000,75.8106,75.9062,75.3326,75.476,21924.741486992,0
ACP,60,20240412,160000,75.476,75.7628,75.1892,75.3326,11801.284993141,0
ACP,60,20240412,170000,75.2848,75.2848,74.4722,74.6634,21489.593946029,0
ACP,60,20240415,100000,74.4244,75.1892,72.9426,73.2772,16185.187262797,0
ACP,60,20240415,110000,73.325,74.2332,73.1338,73.8508,11449.819671594,0
ACP,60,20240415,120000,73.803,74.5678,73.7552,74.3288,9301.2786880884,0
ACP,60,20240415,130000,74.3288,74.8068,74.3288,74.5678,7886.0031522153,0
ACP,60,20240415,140000,74.5678,74.6634,74.281,74.3766,6474.911727313,0
ACP,60,20240415,150000,74.3766,74.6634,74.281,74.4722,4887.0416138944,0
ACP,60,20240415,160000,74.4722,74.8546,74.4244,74.6156,9793.9577549001,0
ACP,60,20240415,170000,74.759,74.759,73.7074,73.8986,30046.100881315,0
ACP,60,20240416,100000,73.2294,73.6596,73.1816,73.325,12990.618536591,0
ACP,60,20240416,110000,73.4684,73.4684,73.2294,73.4684,5616.1229505563,0
ACP,60,20240416,120000,73.4684,73.8508,73.3728,73.7552,8372.4060525708,0
ACP,60,20240416,130000,73.7552,73.9942,73.5162,73.6118,7191.4407310625,0
ACP,60,20240416,140000,73.5162,73.7074,73.2294,73.4206,11655.887136906,0
ACP,60,20240416,150000,73.325,73.3728,73.1816,73.325,7438.3032783397,0
ACP,60,20240416,160000,73.325,73.325,72.5602,72.7514,15704.014501155,0
ACP,60,20240416,170000,72.608,72.7514,72.5124,72.608,11688.31399693,0
ACP,60,20240417,100000,72.4646,73.6118,72.4646,73.5162,12506.307691721,0
ACP,60,20240417,110000,73.5162,73.803,73.4684,73.4684,6115.0781838242,0
ACP,60,20240417,120000,73.4206,73.4206,72.7036,73.2772,11283.501260505,0
ACP,60,20240417,130000,73.2772,73.5162,73.1338,73.2772,5745.8303906511,0
ACP,60,20240417,140000,73.3728,73.3728,72.8948,72.9426,3645.4066833095,0
ACP,60,20240417,150000,72.8948,73.2294,72.847,73.1338,5463.4029001221,0
ACP,60,20240417,160000,73.1338,73.2772,72.8948,73.2772,8315.920554465,0
ACP,60,20240417,170000,73.2772,73.2772,72.847,72.9904,14221.793189749,0
ACP,60,20240418,100000,73.086,73.3728,72.9426,72.9904,2899.5889027644,0
ACP,60,20240418,110000,73.0382,73.3728,72.7992,73.325,7727.0069353249,0
ACP,60,20240418,120000,73.2772,73.7552,73.1816,73.7552,6267.7982342584,0
ACP,60,20240418,130000,73.6596,74.0898,73.5162,74.042,6190.3921812986,0
ACP,60,20240418,140000,73.8986,74.1376,73.803,74.0898,8125.5435052936,0
ACP,60,20240418,150000,73.9942,74.8068,73.803,73.8508,22067.001259999,0
ACP,60,20240418,160000,73.8508,73.9464,73.2294,73.564,15351.503151865,0
ACP,60,20240418,170000,73.6596,74.4722,73.3728,73.7552,13089.991172148,0
ACP,60,20240419,100000,73.6596,73.9464,73.5162,73.7552,3026.1582596311,0
ACP,60,20240419,110000,73.6118,73.9464,73.3728,73.6596,3753.1475408076,0
ACP,60,20240419,120000,73.5162,73.7552,73.4206,73.7074,2348.3322823615,0
