<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADV,60,20240411,100000,0.96,0.96,0.96,0.96,20,0
ADV,60,20240411,170000,0.96,0.96,0.96,0.96,40,0
ADV,60,20240412,100000,0.96,0.96,0.96,0.96,20,0
ADV,60,20240412,170000,0.96,0.96,0.96,0.96,40,0
ADV,60,20240415,100000,0.96,0.96,0.96,0.96,2,0
ADV,60,20240415,170000,0.96,0.96,0.96,0.96,80,0
ADV,60,20240416,100000,0.96,0.96,0.96,0.96,20,0
ADV,60,20240416,160000,0.96,0.96,0.96,0.96,80,0
ADV,60,20240417,100000,0.96,0.96,0.96,0.96,20,0
ADV,60,20240417,170000,0.96,0.96,0.912,0.912,2080,0
ADV,60,20240418,100000,0.96,0.96,0.96,0.96,20,0
ADV,60,20240418,160000,0.94,0.94,0.94,0.94,60,0
ADV,60,20240418,170000,0.94,0.95,0.94,0.95,133,0
ADV,60,20240419,100000,0.95,0.95,0.95,0.95,20,0
ADV,60,20240419,160000,0.94,0.94,0.94,0.94,60,0
ADV,60,20240423,100000,0.94,0.94,0.94,0.94,120,0
ADV,60,20240423,120000,0.912,0.912,0.912,0.912,900,0
ADV,60,20240423,170000,0.94,0.94,0.94,0.94,60,0
ADV,60,20240425,100000,0.94,0.94,0.94,0.94,120,0
ADV,60,20240425,160000,0.94,0.94,0.94,0.94,80,0
ADV,60,20240426,100000,0.94,0.94,0.94,0.94,100,0
ADV,60,20240426,170000,0.912,0.912,0.912,0.912,9000,0
ADV,60,20240429,100000,0.94,0.94,0.94,0.94,100,0
ADV,60,20240429,150000,0.94,0.94,0.94,0.94,100,0
ADV,60,20240429,170000,0.94,0.94,0.94,0.94,112,0
ADV,60,20240430,100000,0.94,0.94,0.94,0.94,100,0
ADV,60,20240430,120000,0.94,0.94,0.94,0.94,300,0
ADV,60,20240516,100000,0.94,0.94,0.86,0.91,12625,0
ADV,60,20240516,120000,0.92,0.92,0.92,0.92,290,0
ADV,60,20240516,130000,0.928,0.928,0.928,0.928,3,0
ADV,60,20240516,160000,0.9,0.9,0.9,0.9,2426,0
ADV,60,20240517,100000,0.928,0.928,0.928,0.928,20,0
ADV,60,20240517,170000,0.95,0.95,0.95,0.95,80,0
ADV,60,20240520,100000,0.95,0.95,0.88,0.928,1949,0
ADV,60,20240520,110000,0.928,0.928,0.88,0.88,1500,0
ADV,60,20240520,130000,0.88,0.88,0.88,0.88,1500,0
ADV,60,20240520,160000,0.928,0.928,0.928,0.928,1003,0
ADV,60,20240521,100000,0.95,0.95,0.95,0.95,20,0
ADV,60,20240521,160000,0.95,0.95,0.95,0.95,80,0
ADV,60,20240522,100000,0.95,0.95,0.93,0.93,435,0
ADV,60,20240522,170000,0.91,0.92,0.91,0.92,668,0
