<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGO,60,20240411,100000,11.6,11.6,11.56,11.56,11511,0
AGO,60,20240411,110000,11.58,11.6,11.48,11.6,3173,0
AGO,60,20240411,120000,11.56,11.56,11.52,11.52,2973,0
AGO,60,20240411,130000,11.52,11.52,11.52,11.52,823,0
AGO,60,20240411,140000,11.56,11.56,11.48,11.48,9024,0
AGO,60,20240411,150000,11.48,11.48,11.46,11.46,2020,0
AGO,60,20240411,160000,11.46,11.46,11.4,11.4,1238,0
AGO,60,20240411,170000,11.52,11.54,11.42,11.42,274,0
AGO,60,20240412,100000,11.5,11.5,11.42,11.42,1934,0
AGO,60,20240412,110000,11.48,11.5,11.38,11.4,6414,0
AGO,60,20240412,120000,11.46,11.46,11.4,11.4,2891,0
AGO,60,20240412,130000,11.4,11.4,11.4,11.4,255,0
AGO,60,20240412,140000,11.4,11.4,11.4,11.4,819,0
AGO,60,20240412,150000,11.4,11.4,11.4,11.4,848,0
AGO,60,20240412,160000,11.44,11.46,11.4,11.4,887,0
AGO,60,20240412,170000,11.4,11.46,11.4,11.4,1661,0
AGO,60,20240415,100000,11.34,11.4,11.32,11.4,3562,0
AGO,60,20240415,110000,11.42,11.42,11.42,11.42,92,0
AGO,60,20240415,120000,11.34,11.34,11.32,11.32,1146,0
AGO,60,20240415,130000,11.32,11.32,11.3,11.3,2110,0
AGO,60,20240415,140000,11.28,11.28,11.26,11.26,412,0
AGO,60,20240415,150000,11.22,11.32,11.22,11.32,4237,0
AGO,60,20240415,160000,11.38,11.42,11.38,11.42,450,0
AGO,60,20240415,170000,11.4,11.46,11.4,11.46,1455,0
AGO,60,20240416,100000,11.26,11.44,11.26,11.44,4370,0
AGO,60,20240416,110000,11.42,11.42,11.38,11.38,1310,0
AGO,60,20240416,120000,11.4,11.4,11.4,11.4,7580,0
AGO,60,20240416,130000,11.4,11.4,11.38,11.38,1264,0
AGO,60,20240416,140000,11.38,11.38,11.38,11.38,329,0
AGO,60,20240416,150000,11.38,11.38,11.38,11.38,389,0
AGO,60,20240416,170000,11.38,11.38,11.38,11.38,2157,0
AGO,60,20240417,100000,11.34,11.34,11.3,11.3,710,0
AGO,60,20240417,110000,11.24,11.24,11.24,11.24,342,0
AGO,60,20240417,130000,11.24,11.24,11.18,11.18,1095,0
AGO,60,20240417,140000,11.26,11.26,11.18,11.18,375,0
AGO,60,20240417,150000,11.2,11.2,11.2,11.2,100,0
AGO,60,20240417,160000,11.2,11.24,11.2,11.2,7637,0
AGO,60,20240417,170000,11.24,11.3,11.24,11.3,255,0
AGO,60,20240418,100000,11.16,11.16,11.16,11.16,500,0
AGO,60,20240418,120000,11.18,11.18,11.16,11.16,2,0
AGO,60,20240418,130000,11.18,11.18,11.18,11.18,612,0
AGO,60,20240418,140000,11.18,11.18,11.18,11.18,183,0
AGO,60,20240418,150000,11.18,11.18,11.18,11.18,4,0
AGO,60,20240418,170000,11.3,11.3,11.3,11.3,1123,0
AGO,60,20240419,100000,11.18,11.32,11.16,11.3,2126,0
AGO,60,20240419,110000,11.18,11.18,11.16,11.16,80,0
AGO,60,20240419,140000,11.16,11.16,11.16,11.16,4,0
AGO,60,20240419,160000,11.22,11.22,11.22,11.22,30,0
AGO,60,20240419,170000,11.16,11.16,10.78,10.9,6540,0
AGO,60,20240422,100000,10.9,10.9,10.9,10.9,3455,0
AGO,60,20240422,110000,10.98,11.1,10.98,11,8099,0
AGO,60,20240422,120000,11.08,11.14,11,11,4869,0
AGO,60,20240422,130000,11.04,11.04,11.02,11.02,240,0
AGO,60,20240422,140000,11.02,11.02,11,11,2883,0
AGO,60,20240422,150000,11,11.16,11,11.16,1386,0
AGO,60,20240422,160000,11.16,11.16,11.02,11.02,1932,0
AGO,60,20240422,170000,11.02,11.14,11,11,5957,0
AGO,60,20240423,100000,11,11.14,11,11.02,1879,0
AGO,60,20240423,120000,11.04,11.04,11.04,11.04,100000,0
AGO,60,20240423,130000,11.1,11.12,11.1,11.1,418,0
AGO,60,20240423,140000,11.1,11.12,11.04,11.04,701,0
AGO,60,20240423,170000,11.06,11.06,11,11,16570,0
AGO,60,20240424,100000,11.08,11.08,11,11,4310,0
AGO,60,20240424,110000,10.98,10.98,10.62,10.8,12958,0
AGO,60,20240424,120000,10.8,10.82,10.78,10.78,100650,0
AGO,60,20240424,130000,10.76,10.76,10.64,10.66,4714,0
AGO,60,20240424,140000,10.66,10.76,10.64,10.66,3631,0
AGO,60,20240424,150000,10.66,10.74,10.64,10.74,1583,0
AGO,60,20240424,160000,10.78,10.8,10.78,10.8,2920,0
AGO,60,20240424,170000,10.74,10.8,10.7,10.8,834,0
AGO,60,20240425,100000,10.68,10.8,10.68,10.78,1708,0
AGO,60,20240425,110000,10.64,10.68,10.5,10.68,7831,0
AGO,60,20240425,120000,10.68,10.68,10.62,10.68,3367,0
AGO,60,20240425,130000,10.68,10.68,10.62,10.68,11974,0
AGO,60,20240425,140000,10.68,10.68,10.52,10.66,10466,0
