<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALE,60,20240411,100000,31,32.08,30.85,31.925,898927,0
ALE,60,20240411,110000,31.905,31.95,31.62,31.845,165810,0
ALE,60,20240411,120000,31.83,31.885,31.725,31.83,205432,0
ALE,60,20240411,130000,31.83,31.945,31.8,31.925,398638,0
ALE,60,20240411,140000,31.925,31.925,31.71,31.81,358296,0
ALE,60,20240411,150000,31.815,31.815,31.36,31.45,307600,0
ALE,60,20240411,160000,31.45,31.765,31.45,31.6,321643,0
ALE,60,20240411,170000,31.6,31.63,31.455,31.455,590070,0
ALE,60,20240412,100000,31.485,31.73,31.395,31.7,312516,0
ALE,60,20240412,110000,31.715,31.76,31.5,31.56,97909,0
ALE,60,20240412,120000,31.545,31.58,31.42,31.43,115198,0
ALE,60,20240412,130000,31.43,31.44,31.25,31.31,96480,0
ALE,60,20240412,140000,31.31,31.4,31.285,31.4,102403,0
ALE,60,20240412,150000,31.405,31.415,31.11,31.13,183428,0
ALE,60,20240412,160000,31.13,31.195,30.985,31.135,253845,0
ALE,60,20240412,170000,31.12,31.125,30.85,30.94,587874,0
ALE,60,20240415,100000,30.915,31.26,30.73,30.78,149437,0
ALE,60,20240415,110000,30.775,31.085,30.765,31.01,133221,0
ALE,60,20240415,120000,31.025,31.22,30.97,31.18,61614,0
ALE,60,20240415,130000,31.18,31.295,31.16,31.25,58943,0
ALE,60,20240415,140000,31.24,31.25,31.08,31.19,47725,0
ALE,60,20240415,150000,31.21,31.44,31.135,31.425,103031,0
ALE,60,20240415,160000,31.425,31.525,31.19,31.25,115388,0
ALE,60,20240415,170000,31.23,31.26,30.895,31,358312,0
ALE,60,20240416,100000,30.58,30.885,30.5,30.76,338565,0
ALE,60,20240416,110000,30.75,30.78,30.54,30.625,163310,0
ALE,60,20240416,120000,30.63,31.135,30.625,31.1,182047,0
ALE,60,20240416,130000,31.095,31.36,31.05,31.25,111616,0
ALE,60,20240416,140000,31.265,31.52,31.265,31.415,238951,0
ALE,60,20240416,150000,31.435,31.46,31.01,31.035,156011,0
ALE,60,20240416,160000,31.03,31.125,30.86,31.085,270586,0
ALE,60,20240416,170000,31.08,31.46,30.97,31.375,579958,0
ALE,60,20240417,100000,31.375,33.29,31.3,32.19,4107996,0
ALE,60,20240417,110000,32.155,33.41,32.05,33.4,3252187,0
ALE,60,20240417,120000,33.41,33.42,32.645,32.785,1048263,0
ALE,60,20240417,130000,32.8,33.015,32.695,32.88,1229249,0
ALE,60,20240417,140000,32.885,32.91,32.225,32.46,1266088,0
ALE,60,20240417,150000,32.46,32.695,32.37,32.37,1026871,0
ALE,60,20240417,160000,32.37,32.525,32.225,32.29,1135321,0
ALE,60,20240417,170000,32.29,32.32,31.89,31.89,1612349,0
ALE,60,20240418,100000,31.96,33.02,31.67,32.84,760547,0
ALE,60,20240418,110000,32.86,33.04,32.6,32.74,647714,0
ALE,60,20240418,120000,32.74,32.84,32.095,32.185,960994,0
ALE,60,20240418,130000,32.185,32.5,31.945,32.355,615913,0
ALE,60,20240418,140000,32.345,32.375,31.99,32.11,306364,0
ALE,60,20240418,150000,32.125,32.6,32.085,32.485,562221,0
ALE,60,20240418,160000,32.495,33,32.495,32.895,970648,0
ALE,60,20240418,170000,32.89,33.01,32.76,33,1909338,0
ALE,60,20240419,100000,32.48,33.105,32.46,32.985,782039,0
ALE,60,20240419,110000,32.99,33.025,32.88,32.91,792130,0
ALE,60,20240419,120000,32.9,33,32.66,32.99,326019,0
ALE,60,20240419,130000,32.98,33.01,32.83,32.995,363341,0
ALE,60,20240419,140000,32.995,32.995,32.835,32.95,472509,0
ALE,60,20240419,150000,32.945,33.15,32.94,32.99,2145255,0
ALE,60,20240419,160000,32.99,32.995,32.495,32.785,573946,0
ALE,60,20240419,170000,32.77,32.85,32.57,32.665,3325712,0
ALE,60,20240422,100000,32.99,33.01,32.65,32.92,1215215,0
ALE,60,20240422,110000,32.925,33.74,32.85,33.665,1741120,0
ALE,60,20240422,120000,33.665,33.845,33.475,33.71,514645,0
ALE,60,20240422,130000,33.705,33.805,33.63,33.775,417243,0
ALE,60,20240422,140000,33.79,33.805,33.63,33.73,291501,0
ALE,60,20240422,150000,33.725,33.82,33.61,33.65,626594,0
ALE,60,20240422,160000,33.635,33.65,33.2,33.51,618761,0
ALE,60,20240422,170000,33.495,33.61,33.295,33.295,5074982,0
ALE,60,20240423,100000,33.49,33.83,33.33,33.41,334633,0
ALE,60,20240423,110000,33.425,33.48,32.945,32.975,156881,0
ALE,60,20240423,120000,33,33.35,32.975,33.275,178936,0
ALE,60,20240423,130000,33.28,33.315,33.075,33.115,110076,0
ALE,60,20240423,140000,33.125,33.46,33.06,33.46,197624,0
ALE,60,20240423,150000,33.48,33.585,33.33,33.49,158342,0
ALE,60,20240423,160000,33.49,33.615,33.295,33.585,269606,0
ALE,60,20240423,170000,33.595,33.63,32.98,33.325,774469,0
ALE,60,20240424,100000,33.33,33.48,32.87,33,208448,0
ALE,60,20240424,110000,33,33.4,33,33.045,486890,0
ALE,60,20240424,120000,33.045,33.105,32.94,33.02,234785,0
ALE,60,20240424,130000,33.015,33.075,32.49,32.555,321471,0
ALE,60,20240424,140000,32.555,32.96,32.515,32.935,186500,0
ALE,60,20240424,150000,32.905,33.035,32.745,32.79,202972,0
ALE,60,20240424,160000,32.765,33.03,32.745,32.96,335881,0
ALE,60,20240424,170000,32.965,33,32.735,32.9,881093,0
ALE,60,20240425,100000,32.9,33,32.62,32.825,172612,0
ALE,60,20240425,110000,32.84,32.875,32.6,32.84,144419,0
