<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALI,60,20240411,120000,3.59,3.64,3.59,3.64,1500,0
ALI,60,20240411,130000,3.64,3.68,3.64,3.68,335,0
ALI,60,20240411,140000,3.64,3.64,3.63,3.63,601,0
ALI,60,20240411,150000,3.58,3.58,3.58,3.58,500,0
ALI,60,20240411,160000,3.55,3.62,3.51,3.62,534,0
ALI,60,20240411,170000,3.52,3.58,3.49,3.49,1777,0
ALI,60,20240412,100000,3.54,3.55,3.5,3.5,83,0
ALI,60,20240412,110000,3.54,3.55,3.54,3.55,8,0
ALI,60,20240412,120000,3.5,3.55,3.47,3.55,332,0
ALI,60,20240412,130000,3.5,3.5,3.44,3.44,3860,0
ALI,60,20240412,140000,3.45,3.45,3.44,3.44,460,0
ALI,60,20240412,150000,3.46,3.46,3.44,3.44,548,0
ALI,60,20240412,160000,3.46,3.48,3.46,3.48,1250,0
ALI,60,20240412,170000,3.46,3.55,3.42,3.55,2007,0
ALI,60,20240415,100000,3.5,3.55,3.49,3.55,755,0
ALI,60,20240415,120000,3.54,3.55,3.54,3.55,10,0
ALI,60,20240415,130000,3.54,3.55,3.54,3.55,6,0
ALI,60,20240415,170000,3.52,3.54,3.5,3.54,965,0
ALI,60,20240416,100000,3.55,3.62,3.55,3.61,333,0
ALI,60,20240416,110000,3.61,3.65,3.55,3.55,12866,0
ALI,60,20240416,120000,3.55,3.55,3.55,3.55,1133,0
ALI,60,20240416,170000,3.51,3.6,3.5,3.6,3198,0
ALI,60,20240417,100000,3.54,3.54,3.5,3.5,42480,0
ALI,60,20240417,110000,3.5,3.58,3.5,3.5,1078,0
ALI,60,20240417,130000,3.51,3.51,3.51,3.51,3,0
ALI,60,20240417,140000,3.58,3.58,3.58,3.58,100,0
ALI,60,20240417,160000,3.52,3.52,3.5,3.5,12,0
ALI,60,20240417,170000,3.5,3.54,3.48,3.54,1005,0
ALI,60,20240418,100000,3.55,3.6,3.5,3.59,37585,0
ALI,60,20240418,110000,3.52,3.58,3.52,3.58,854,0
ALI,60,20240418,120000,3.58,3.59,3.58,3.59,557,0
ALI,60,20240418,170000,3.52,3.57,3.37,3.57,6233,0
ALI,60,20240419,100000,3.57,3.57,3.22,3.22,28932,0
ALI,60,20240419,110000,3.2,3.2,2.76,2.88,61158,0
ALI,60,20240419,120000,2.86,2.95,2.8,2.92,34383,0
ALI,60,20240419,130000,2.92,2.98,2.87,2.93,23758,0
ALI,60,20240419,140000,2.93,3,2.89,2.98,24675,0
ALI,60,20240419,150000,2.98,3.08,2.92,3.06,83191,0
ALI,60,20240419,160000,3.08,3.08,3.03,3.05,800,0
ALI,60,20240419,170000,3.03,3.03,3.02,3.03,56115,0
ALI,60,20240422,100000,3,3,2.85,2.99,9871,0
ALI,60,20240422,110000,2.96,2.96,2.85,2.86,17830,0
ALI,60,20240422,120000,2.85,2.86,2.83,2.85,14996,0
ALI,60,20240422,130000,2.91,2.95,2.86,2.95,3836,0
ALI,60,20240422,140000,2.95,2.95,2.9,2.9,209,0
ALI,60,20240422,150000,2.94,2.95,2.94,2.95,22,0
ALI,60,20240422,160000,2.9,2.95,2.9,2.95,333,0
ALI,60,20240422,170000,2.94,2.96,2.9,2.95,4075,0
ALI,60,20240423,100000,2.91,3,2.91,3,8829,0
ALI,60,20240423,110000,2.99,3,2.99,2.99,1700,0
ALI,60,20240423,120000,2.99,3,2.98,2.99,4111,0
ALI,60,20240423,130000,2.97,2.99,2.96,2.99,8665,0
ALI,60,20240423,140000,2.99,3,2.99,3,2991,0
ALI,60,20240423,150000,3,3.03,3,3.02,2521,0
ALI,60,20240423,160000,2.97,2.99,2.96,2.96,1808,0
ALI,60,20240423,170000,2.99,3.03,2.99,3.03,677,0
ALI,60,20240424,100000,3.03,3.08,2.92,2.93,80094,0
ALI,60,20240424,110000,2.95,3,2.91,2.93,25847,0
ALI,60,20240424,120000,2.99,3.03,2.99,3.03,11469,0
ALI,60,20240424,130000,2.97,3,2.94,3,6672,0
ALI,60,20240424,140000,2.95,3,2.93,3,2096,0
ALI,60,20240424,160000,2.95,3,2.93,2.94,33026,0
ALI,60,20240424,170000,2.95,2.99,2.94,2.99,4634,0
ALI,60,20240425,120000,2.97,2.97,2.97,2.97,16,0
ALI,60,20240425,150000,2.95,2.95,2.83,2.83,7873,0
ALI,60,20240425,160000,2.89,2.94,2.89,2.94,30,0
ALI,60,20240425,170000,2.92,2.94,2.92,2.94,55,0
ALI,60,20240426,100000,2.89,2.9,2.89,2.9,1705,0
ALI,60,20240426,110000,2.88,2.9,2.8,2.9,16295,0
ALI,60,20240426,120000,2.85,2.9,2.85,2.9,12,0
ALI,60,20240426,130000,2.85,2.9,2.85,2.9,720,0
ALI,60,20240426,140000,2.89,2.96,2.89,2.96,2633,0
ALI,60,20240426,150000,2.98,3,2.94,2.94,5469,0
ALI,60,20240426,160000,2.92,2.92,2.9,2.9,7,0
ALI,60,20240426,170000,2.9,2.95,2.85,2.95,7713,0
ALI,60,20240429,120000,2.91,2.91,2.91,2.91,41,0
ALI,60,20240429,130000,2.91,2.91,2.91,2.91,5,0
ALI,60,20240429,140000,2.91,2.91,2.9,2.9,105,0
ALI,60,20240429,160000,2.9,2.9,2.9,2.9,400,0
ALI,60,20240429,170000,2.9,2.9,2.9,2.9,5,0
ALI,60,20240430,100000,2.91,2.91,2.65,2.65,1130,0
ALI,60,20240430,110000,2.71,2.92,2.66,2.92,4458,0
ALI,60,20240430,130000,2.86,2.86,2.84,2.84,200,0
ALI,60,20240430,150000,2.9,2.92,2.85,2.92,1964,0
ALI,60,20240430,160000,2.91,2.98,2.91,2.98,3072,0
ALI,60,20240430,170000,2.89,2.96,2.89,2.96,43,0
ALI,60,20240502,110000,2.93,2.94,2.93,2.94,350,0
ALI,60,20240502,120000,2.9,2.9,2.67,2.67,65,0
ALI,60,20240502,130000,2.74,2.8,2.74,2.8,193,0
ALI,60,20240502,150000,2.9,2.9,2.9,2.9,40,0
ALI,60,20240502,160000,2.9,2.9,2.9,2.9,3494,0
ALI,60,20240502,170000,2.9,2.92,2.81,2.92,566,0
ALI,60,20240506,100000,2.84,2.89,2.83,2.88,27,0
ALI,60,20240506,120000,2.83,2.89,2.83,2.89,440,0
ALI,60,20240506,130000,2.82,2.82,2.78,2.8,414,0
ALI,60,20240506,150000,2.87,2.88,2.87,2.87,29,0
ALI,60,20240506,160000,2.86,2.87,2.86,2.87,10,0
ALI,60,20240506,170000,2.82,2.89,2.75,2.85,74,0
ALI,60,20240507,100000,2.73,2.89,2.73,2.89,1828,0
ALI,60,20240507,110000,2.88,2.89,2.88,2.89,25,0
ALI,60,20240507,120000,2.88,2.88,2.88,2.88,45,0
ALI,60,20240507,130000,2.88,2.89,2.86,2.89,11926,0
ALI,60,20240507,140000,2.89,2.89,2.85,2.85,350,0
ALI,60,20240507,150000,2.88,2.88,2.88,2.88,5,0
ALI,60,20240507,160000,2.88,2.88,2.88,2.88,10,0
ALI,60,20240507,170000,2.86,2.86,2.81,2.81,4978,0
ALI,60,20240508,130000,2.83,2.83,2.83,2.83,200,0
ALI,60,20240508,140000,2.82,2.82,2.8,2.8,8200,0
ALI,60,20240508,150000,2.8,2.8,2.72,2.72,1703,0
ALI,60,20240508,170000,2.79,2.87,2.72,2.87,430,0
ALI,60,20240509,100000,2.88,2.88,2.73,2.76,159,0
ALI,60,20240509,110000,2.76,2.76,2.74,2.74,1203,0
ALI,60,20240509,120000,2.75,2.75,2.7,2.7,60000,0
ALI,60,20240509,130000,2.75,2.75,2.71,2.71,5624,0
ALI,60,20240509,140000,2.77,2.79,2.77,2.79,37,0
ALI,60,20240509,150000,2.75,2.83,2.75,2.83,20172,0
ALI,60,20240509,170000,2.8,2.84,2.8,2.84,15333,0
ALI,60,20240510,100000,2.85,2.89,2.85,2.89,1080,0
ALI,60,20240510,120000,2.87,2.91,2.8,2.91,54492,0
ALI,60,20240510,130000,2.94,2.95,2.92,2.95,3830,0
ALI,60,20240510,140000,2.94,2.99,2.94,2.99,19448,0
ALI,60,20240510,150000,2.99,3.04,2.8,2.88,21536,0
ALI,60,20240510,170000,3.04,3.04,3.04,3.04,497,0
ALI,60,20240513,100000,3.04,3.1,3.04,3.1,5020,0
ALI,60,20240513,110000,3,3,3,3,10,0
ALI,60,20240513,120000,3.01,3.1,3.01,3.1,480,0
ALI,60,20240513,150000,3.08,3.08,3.08,3.08,178,0
ALI,60,20240513,160000,3.01,3.01,3,3,30,0
ALI,60,20240513,170000,3.01,3.01,3,3,440,0
ALI,60,20240514,100000,3,3.14,3,3.14,19213,0
ALI,60,20240514,110000,3.14,3.18,3.08,3.18,8445,0
ALI,60,20240514,120000,3.18,3.18,3.18,3.18,200,0
ALI,60,20240514,130000,3.18,3.23,3.15,3.23,16151,0
ALI,60,20240514,140000,3.23,3.23,3.23,3.23,3500,0
ALI,60,20240514,150000,3.23,3.24,3.23,3.24,2748,0
ALI,60,20240514,160000,3.24,3.24,3.15,3.16,2554,0
ALI,60,20240514,170000,3.16,3.23,3.16,3.23,2089,0
ALI,60,20240515,100000,3.22,3.23,3.22,3.23,600,0
ALI,60,20240515,110000,3.23,3.23,3.23,3.23,50,0
ALI,60,20240515,120000,3.17,3.2,3.17,3.2,19725,0
ALI,60,20240515,130000,3.13,3.2,3.13,3.2,23108,0
ALI,60,20240515,140000,3.14,3.14,3.14,3.14,48,0
ALI,60,20240515,160000,3.14,3.14,3.14,3.14,20,0
ALI,60,20240515,170000,3.14,3.17,3.14,3.17,330,0
ALI,60,20240516,100000,3.23,3.23,3.23,3.23,698,0
ALI,60,20240516,110000,3.23,3.24,3.23,3.23,1333,0
ALI,60,20240516,120000,3.23,3.24,3.23,3.24,500,0
ALI,60,20240516,140000,3.2,3.2,3.2,3.2,3000,0
ALI,60,20240516,150000,3.2,3.22,3.18,3.22,8004,0
ALI,60,20240516,170000,3.22,3.24,3.22,3.24,3156,0
ALI,60,20240517,110000,3.18,3.18,3.18,3.18,120,0
ALI,60,20240517,130000,3.18,3.21,3.18,3.21,67,0
ALI,60,20240517,160000,3.16,3.16,3.16,3.16,500,0
ALI,60,20240517,170000,3.12,3.21,3.12,3.21,483,0
ALI,60,20240520,120000,3.2,3.24,3.2,3.24,63186,0
ALI,60,20240520,130000,3.2,3.2,3.2,3.2,25991,0
ALI,60,20240520,140000,3.2,3.2,3.13,3.13,22008,0
ALI,60,20240520,170000,3.11,3.11,3.11,3.11,526,0
ALI,60,20240521,100000,3.17,3.2,3.11,3.2,11158,0
ALI,60,20240521,160000,3.17,3.17,3.13,3.13,210,0
ALI,60,20240521,170000,3.17,3.2,3.17,3.2,5000,0
ALI,60,20240522,100000,3.14,3.14,3.14,3.14,5,0
ALI,60,20240522,130000,3.2,3.2,3.15,3.15,5033,0
ALI,60,20240522,150000,3.15,3.15,3.13,3.13,91,0
ALI,60,20240522,160000,3.18,3.19,3.18,3.19,7,0
