<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMC,60,20240411,100000,69.5342,69.5342,68.8582,68.8582,372.765957444,0
AMC,60,20240411,110000,69.2445,69.5342,69.2445,69.2445,133.5744680841,0
AMC,60,20240411,120000,69.2445,69.3411,68.6651,68.6651,851.1489361638,0
AMC,60,20240411,130000,69.2445,69.2445,68.7616,68.7616,212.2695035445,0
AMC,60,20240411,140000,69.1479,69.5342,69.1479,69.5342,1066.524822687,0
AMC,60,20240411,150000,69.5342,69.5342,69.4377,69.5342,72.482269503,0
AMC,60,20240411,160000,69.4377,69.824,69.4377,69.824,12.4255319148,0
AMC,60,20240411,170000,69.824,69.824,69.5342,69.824,48.6666666663,0
AMC,60,20240412,100000,68.9548,70.0171,68.9548,70.0171,880.141843965,0
AMC,60,20240412,110000,70.2103,70.5,70.1137,70.1137,349.9858156002,0
AMC,60,20240412,120000,70.1137,70.3068,70.0171,70.3068,44.5248226947,0
AMC,60,20240412,130000,70.4034,70.4034,70.3068,70.3068,93.191489361,0
AMC,60,20240412,140000,70.4034,70.4034,70.2103,70.4034,161.5319148924,0
AMC,60,20240412,150000,70.4034,70.4034,70.2103,70.2103,221.5886524806,0
AMC,60,20240412,160000,70.2103,70.2103,70.2103,70.2103,118.0425531906,0
AMC,60,20240412,170000,70.2103,70.5,70.2103,70.2103,793.1631205614,0
AMC,60,20240415,100000,70.2103,70.6932,70.2103,70.6932,102.5106382971,0
AMC,60,20240415,110000,70.5966,70.6932,70.3068,70.4034,586.0709219814,0
AMC,60,20240415,120000,70.4034,70.5966,70.4034,70.5,88.0141843965,0
AMC,60,20240415,130000,70.3068,70.3068,70.3068,70.3068,14.4964539006,0
AMC,60,20240415,140000,70.5,70.6932,70.4034,70.4034,261.9716312037,0
AMC,60,20240415,150000,70.4034,70.4034,70.3068,70.3068,480.4539007056,0
AMC,60,20240415,160000,70.2103,70.2103,69.9205,70.2103,179.1347517717,0
AMC,60,20240415,170000,70.0171,70.3068,70.0171,70.3068,108.7234042545,0
AMC,60,20240416,100000,70.3068,70.3068,68.9548,69.9205,189.4893617007,0
AMC,60,20240416,110000,69.9205,70.1137,69.9205,69.9205,410.0425531884,0
AMC,60,20240416,120000,69.9205,69.9205,69.9205,69.9205,285.7872340404,0
AMC,60,20240416,130000,69.9205,69.9205,69.1479,69.1479,465.957446805,0
AMC,60,20240416,140000,69.1479,69.1479,69.0514,69.0514,463.8865248192,0
AMC,60,20240416,150000,69.4377,69.4377,69.1479,69.1479,33.1347517728,0
AMC,60,20240416,160000,69.2445,69.3411,69.2445,69.3411,67.3049645385,0
AMC,60,20240416,170000,69.0514,69.5342,69.0514,69.5342,162.5673758853,0
AMC,60,20240417,100000,69.5342,69.5342,69.1479,69.1479,189.4893617007,0
AMC,60,20240417,110000,69.5342,70.0171,69.1479,69.5342,756.9219858099,0
AMC,60,20240417,120000,69.5342,69.5342,69.5342,69.5342,77.6595744675,0
AMC,60,20240417,130000,69.5342,69.5342,69.5342,69.5342,174.9929078001,0
AMC,60,20240417,140000,69.5342,69.6308,68.9548,68.9548,550.8652482228,0
AMC,60,20240417,150000,68.9548,69.1479,68.9548,69.0514,100.4397163113,0
AMC,60,20240417,160000,69.2445,69.2445,68.6651,68.6651,676.1560283637,0
AMC,60,20240417,170000,68.7616,69.0514,68.6651,68.7616,312.7092198558,0
AMC,60,20240418,100000,68.9548,69.6308,68.9548,69.5342,144.964539006,0
AMC,60,20240418,110000,69.5342,69.6308,69.5342,69.5342,1030.2836879355,0
AMC,60,20240418,120000,69.3411,69.5342,69.3411,69.5342,2.0709219858,0
AMC,60,20240418,140000,69.5342,69.5342,69.5342,69.5342,36.2411347515,0
AMC,60,20240418,150000,69.6308,69.6308,69.6308,69.6308,1.0354609929,0
AMC,60,20240418,160000,69.6308,69.6308,69.5342,69.5342,21.7446808509,0
AMC,60,20240418,170000,69.3411,69.5342,69.3411,69.5342,57.9858156024,0
AMC,60,20240419,100000,69.6308,70.3068,69.5342,69.5342,407.9716312026,0
AMC,60,20240419,110000,69.4377,69.824,69.3411,69.824,227.801418438,0
AMC,60,20240419,120000,69.5342,69.6308,69.5342,69.5342,948.4822694964,0
