<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APE,60,20240411,100000,3.6,3.6,3.59,3.59,12,0
APE,60,20240411,120000,3.47,3.47,3.43,3.43,240,0
APE,60,20240411,130000,3.57,3.57,3.57,3.57,3,0
APE,60,20240411,170000,3.42,3.57,3.42,3.57,31478,0
APE,60,20240412,100000,3.58,3.58,3.58,3.58,5,0
APE,60,20240412,120000,3.56,3.56,3.56,3.56,90,0
APE,60,20240412,140000,3.42,3.46,3.38,3.46,3223,0
APE,60,20240412,150000,3.53,3.53,3.53,3.53,143,0
APE,60,20240415,100000,3.53,3.53,3.53,3.53,2,0
APE,60,20240415,110000,3.53,3.53,3.53,3.53,70,0
APE,60,20240415,170000,3.53,3.53,3.53,3.53,30,0
APE,60,20240416,100000,3.52,3.52,3.52,3.52,6,0
APE,60,20240416,120000,3.52,3.52,3.52,3.52,300,0
APE,60,20240416,150000,3.52,3.52,3.52,3.52,7,0
APE,60,20240416,170000,3.51,3.51,3.51,3.51,11,0
APE,60,20240417,100000,3.5,3.5,3.5,3.5,25,0
APE,60,20240417,140000,3.38,3.39,3.38,3.39,151,0
APE,60,20240417,170000,3.39,3.5,3.39,3.5,40,0
APE,60,20240418,100000,3.5,3.51,3.5,3.51,601,0
APE,60,20240418,160000,3.51,3.51,3.51,3.51,3,0
APE,60,20240419,100000,3.51,3.51,3.51,3.51,3,0
APE,60,20240419,120000,3.44,3.44,3.4,3.4,200,0
APE,60,20240419,140000,3.5,3.5,3.5,3.5,614,0
APE,60,20240419,170000,3.49,3.49,3.49,3.49,3,0
APE,60,20240422,100000,3.49,3.49,3.49,3.49,3,0
APE,60,20240422,110000,3.39,3.39,3.39,3.39,24,0
APE,60,20240422,130000,3.49,3.49,3.49,3.49,7,0
APE,60,20240422,140000,3.48,3.48,3.48,3.48,10,0
APE,60,20240423,100000,3.48,3.48,3.48,3.48,3,0
APE,60,20240423,110000,3.41,3.41,3.41,3.41,11,0
APE,60,20240423,120000,3.41,3.41,3.4,3.4,501,0
APE,60,20240423,130000,3.4,3.4,3.4,3.4,3,0
APE,60,20240424,100000,3.4,3.4,3.38,3.38,1370,0
APE,60,20240424,140000,3.38,3.38,3.38,3.38,300,0
APE,60,20240424,150000,3.38,3.38,3.37,3.37,2094,0
APE,60,20240425,100000,3.36,3.36,3.36,3.36,4,0
APE,60,20240425,140000,3.36,3.36,3.36,3.36,118,0
APE,60,20240425,150000,3.35,3.35,3.35,3.35,160,0
APE,60,20240425,160000,3.33,3.33,3.33,3.33,33,0
APE,60,20240426,100000,3.24,3.24,2.88,2.9,21125,0
APE,60,20240426,110000,2.9,3,2.88,2.91,3253,0
APE,60,20240426,120000,2.9,3.05,2.88,3.05,7400,0
APE,60,20240426,130000,3.05,3.05,2.92,2.92,6952,0
APE,60,20240426,140000,2.92,2.92,2.89,2.89,5516,0
APE,60,20240426,150000,2.89,2.89,2.89,2.89,1701,0
APE,60,20240426,160000,2.89,2.89,2.86,2.89,2698,0
APE,60,20240426,170000,2.87,2.88,2.83,2.87,3762,0
