<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APL,60,20240411,120000,1.13,1.13,1.13,1.13,6000,0
APL,60,20240412,160000,1.04,1.14,1.04,1.14,41,0
APL,60,20240415,120000,1.14,1.14,1.14,1.14,1000,0
APL,60,20240426,160000,1.03,1.1,1.03,1.1,764,0
APL,60,20240509,120000,1.14,1.14,1.03,1.03,3000,0
APL,60,20240513,160000,1.03,1.03,1.03,1.03,469,0
APL,60,20240514,120000,1.03,1.03,1.03,1.03,500,0
APL,60,20240516,160000,1,1,1,1,600,0
APL,60,20240517,120000,1.1,1.1,1.1,1.1,2200,0
APL,60,20240517,160000,1.1,1.1,1.1,1.1,15,0
APL,60,20240520,120000,1.09,1.09,1.09,1.09,1174,0
APL,60,20240521,160000,1.02,1.02,1.02,1.02,1221,0
APL,60,20240620,120000,0.95,1,0.95,1,1721,0
APL,60,20240620,160000,1.05,1.05,1.05,1.05,20,0
APL,60,20240625,120000,1.01,1.01,1,1,3116,0
APL,60,20240626,160000,1,1,1,1,111,0
APL,60,20240702,120000,1,1.05,1,1.05,4051,0
APL,60,20240710,160000,1,1,1,1,8152,0
APL,60,20240712,120000,1,1,1,1,810,0
APL,60,20240712,160000,1,1,1,1,1231,0
APL,60,20240723,120000,1,1,1,1,154,0
APL,60,20240726,160000,0.9,0.9,0.9,0.9,100,0
APL,60,20240730,120000,0.9,0.9,0.9,0.9,800,0
APL,60,20240802,160000,0.9,0.9,0.82,0.82,4200,0
APL,60,20240805,120000,0.85,0.85,0.85,0.85,1000,0
APL,60,20240812,160000,1.05,1.05,0.96,1.05,1007,0
APL,60,20240814,120000,1.05,1.05,1.05,1.05,4185,0
APL,60,20240821,160000,1.1,1.1,1.1,1.1,10000,0
APL,60,20240828,120000,1.2,1.2,1.1,1.1,9916,0
APL,60,20240830,160000,1.19,1.2,1.1,1.2,1017,0
APL,60,20240909,120000,1.11,1.11,1.11,1.11,250,0
APL,60,20240916,160000,1.2,1.2,1.05,1.15,602,0
APL,60,20240918,120000,1.14,1.14,1.14,1.14,104,0
APL,60,20240920,160000,1.05,1.15,1.05,1.15,2729,0
APL,60,20240923,120000,1,1,1,1,800,0
APL,60,20240923,160000,1.13,1.13,1.13,1.13,50,0
APL,60,20240924,120000,1,1,1,1,400,0
APL,60,20240924,160000,1,1,1,1,1716,0
APL,60,20241003,120000,1,1,0.95,0.95,1709,0
APL,60,20241003,160000,1.04,1.04,1.04,1.04,100,0
APL,60,20241007,120000,0.95,0.95,0.95,0.95,600,0
APL,60,20241014,160000,0.965,1.04,0.95,1.04,1150,0
APL,60,20241112,120000,1,1,0.96,0.995,1204,0
APL,60,20241114,160000,1,1,1,1,2000,0
APL,60,20241121,120000,1.1,1.1,0.96,0.96,1240,0
APL,60,20241125,160000,1,1,1,1,811,0
APL,60,20241129,120000,1.1,1.1,1.1,1.1,2498,0
APL,60,20241129,160000,0.98,0.98,0.98,0.98,1000,0
APL,60,20241209,120000,0.98,0.98,0.95,0.95,3940,0
APL,60,20241209,160000,0.95,0.95,0.95,0.95,1874,0
APL,60,20241211,120000,0.91,0.91,0.91,0.91,1732,0
APL,60,20241213,160000,0.91,0.91,0.91,0.91,2000,0
APL,60,20241216,120000,0.91,0.91,0.91,0.91,1851,0
APL,60,20241217,160000,1,1,0.91,0.91,1151,0
APL,60,20241218,120000,0.9,0.9,0.9,0.9,628,0
APL,60,20241223,160000,0.84,0.98,0.84,0.98,3257,0
APL,60,20250206,120000,0.98,1.1,0.95,1.1,8337,0
APL,60,20250207,160000,1.15,1.15,1.15,1.15,1147,0
APL,60,20250211,120000,1.19,1.19,1.19,1.19,3000,0
APL,60,20250211,160000,1.19,1.19,1.19,1.19,400,0
APL,60,20250227,120000,1.15,1.15,1.15,1.15,250,0
APL,60,20250312,160000,0.945,0.945,0.945,0.945,2807,0
APL,60,20250319,120000,0.94,1.1,0.94,1.1,776,0
APL,60,20250409,160000,1.11,1.11,0.98,0.98,2007,0
APL,60,20250410,120000,0.98,0.98,0.98,0.98,193,0
APL,60,20250422,160000,1.07,1.07,0.955,0.955,107,0
APL,60,20250505,120000,1.05,1.05,1.05,1.05,1,0
APL,60,20250506,160000,1.05,1.05,1.05,1.05,1050,0
