<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APT,60,20240411,100000,14.1767,14.1961,14.1574,14.1574,141.86332677883968,0
APT,60,20240411,110000,14.1767,14.2153,14.0994,14.2153,1583.2775667507,0
APT,60,20240411,120000,14.1381,14.1381,14.1381,14.1381,212.27724080045354,0
APT,60,20240411,130000,14.1574,14.2153,14.1574,14.1961,1180.4685585976,0
APT,60,20240411,140000,14.1961,14.2153,14.1574,14.2153,1039.6407305544,0
APT,60,20240411,150000,14.1574,14.254,14.1574,14.254,1696.1469289324,0
APT,60,20240411,160000,14.1767,14.2347,14.1767,14.1767,2717.1486822458,0
APT,60,20240411,170000,14.2347,14.2347,14.1961,14.2347,2697.4742062692,0
APT,60,20240412,100000,14.1767,14.2347,14.1381,14.2347,577.8082944714785,0
APT,60,20240412,110000,14.2347,14.2347,14.2347,14.2347,144.96982298567556,0
APT,60,20240412,120000,14.1961,14.1961,14.1767,14.1961,135.65033436517,0
APT,60,20240412,130000,14.1767,14.1961,14.0994,14.0994,743.48809216939,0
APT,60,20240412,140000,14.0994,14.2153,14.0994,14.2153,359.31806125735,0
APT,60,20240412,150000,14.1574,14.2347,14.1381,14.1381,341.7145827519496,0
APT,60,20240412,170000,14.1767,14.1961,14.0223,14.0994,2691.2612138555,0
APT,60,20240415,100000,14.0994,14.0994,14.0609,14.0802,1206.3560269879,0
APT,60,20240415,110000,14.0415,14.0415,14.0029,14.0029,1156.6520876786,0
APT,60,20240415,120000,14.0029,14.0609,13.8677,14.0609,2694.3677100623,0
APT,60,20240415,130000,14.0609,14.0609,14.0415,14.0609,174.9992863184227,0
APT,60,20240415,140000,14.0029,14.0029,14.0029,14.0029,37.277954482031,0
APT,60,20240415,150000,14.0029,14.0415,14.0029,14.0029,166.71529643353,0
APT,60,20240415,170000,14.0415,14.0415,14.0415,14.0415,1.0354987356119685,0
APT,60,20240416,100000,14.0029,14.0029,13.9643,13.9643,1008.5757684861,0
APT,60,20240416,110000,14.0029,14.0029,13.9064,13.9064,281.65565608645545,0
APT,60,20240416,120000,13.9064,13.9064,13.9064,13.9064,788.01453780071,0
APT,60,20240416,130000,14.0029,14.0029,13.9064,14.0029,666.86118573411,0
APT,60,20240416,140000,13.9064,13.9064,13.887,13.887,394.52501826816,0
APT,60,20240416,150000,13.887,13.9064,13.8098,13.8677,3963.8891599226,0
APT,60,20240416,160000,13.8291,13.8291,13.8098,13.8098,828.3989884895748,0
APT,60,20240416,170000,13.8098,13.8677,13.7905,13.8677,468.04542849661,0
APT,60,20240417,100000,13.8098,13.9256,13.7905,13.8677,1067.5991964159,0
APT,60,20240417,110000,13.9064,13.9256,13.9064,13.9256,99.40787861874898,0
APT,60,20240417,120000,13.8484,13.9064,13.7325,13.7712,1237.4209890563,0
APT,60,20240417,130000,13.8291,13.8291,13.7712,13.7712,137.72133183639,0
APT,60,20240417,140000,13.8291,13.8291,13.7325,13.7325,1342.0063613531,0
APT,60,20240417,150000,13.7325,13.7325,13.7132,13.7132,1625.7330149107904,0
APT,60,20240417,160000,13.7325,13.8098,13.7132,13.8098,1082.0961787145,0
APT,60,20240417,170000,13.8098,13.8677,13.8098,13.8677,218.49023321413,0
APT,60,20240418,100000,13.9064,13.9836,13.7518,13.9064,871.88993538528,0
APT,60,20240418,110000,13.8098,13.9064,13.7712,13.9064,964.04932285474,0
APT,60,20240418,120000,13.9064,13.9256,13.9064,13.9064,314.79161562604,0
APT,60,20240418,130000,13.9256,13.9256,13.9256,13.9256,32.10046080397102,0
APT,60,20240418,140000,13.9256,14.0223,13.9256,14.0223,2449.9900084579,0
APT,60,20240418,150000,14.0223,14.0223,13.9064,13.9064,1908.4241697328578,0
APT,60,20240418,160000,14.0223,14.0223,13.9064,14.0223,33.135959539583,0
APT,60,20240418,170000,14.0994,14.0994,14.0994,14.0994,1023.0727507846249,0
APT,60,20240419,100000,14.0029,14.0994,14.0029,14.0029,782.83704412265,0
APT,60,20240419,110000,14.0029,14.0994,13.9064,13.9256,808.72451251295,0
APT,60,20240419,120000,14.0029,14.0223,14.0029,14.0223,10.354987356119684,0
APT,60,20240419,130000,14.0029,14.0223,14.0029,14.0223,3.1064962068359057,0
APT,60,20240419,150000,13.9836,14.0415,13.9836,14.0415,1316.1188929628,0
APT,60,20240419,160000,14.0029,14.0029,13.945,13.945,180.1767799964825,0
APT,60,20240419,170000,13.9836,13.9836,13.9836,13.9836,3.1064962068359057,0
APT,60,20240422,100000,13.9836,14.0029,13.7132,13.8291,2085.4944535225,0
APT,60,20240422,110000,13.8484,13.9064,13.8484,13.9064,46.59744310253858,0
APT,60,20240422,120000,13.9064,13.9064,13.9064,13.9064,127.36634448027,0
APT,60,20240422,130000,13.9064,14.0029,13.9064,13.9256,1044.8182242324763,0
APT,60,20240422,140000,13.9643,14.0994,13.945,13.9836,1074.8476875652,0
APT,60,20240422,160000,13.9836,13.9836,13.945,13.9643,41.41994942447874,0
APT,60,20240422,170000,14.0609,14.0609,13.9643,13.9643,140.82782804322773,0
APT,60,20240423,100000,14.0029,14.0029,13.945,13.945,424.55448160091,0
APT,60,20240423,110000,13.945,13.9836,13.9256,13.9836,136.68583310077983,0
APT,60,20240423,120000,13.9836,14.0415,13.9836,13.9836,2468.6289856989,0
APT,60,20240423,130000,14.0415,14.0415,14.0415,14.0415,2.070997471223937,0
APT,60,20240423,140000,13.9836,13.9836,13.9836,13.9836,20.70997471223937,0
APT,60,20240423,150000,13.9836,13.9836,13.9836,13.9836,3.1064962068359057,0
APT,60,20240423,160000,14.0223,14.0223,14.0029,14.0029,11.390486091732,0
APT,60,20240423,170000,14.0029,14.0415,13.9836,14.0415,777.65955044459,0
APT,60,20240424,100000,13.945,14.0994,13.945,14.0029,679.28717056145,0
APT,60,20240424,110000,13.9256,14.0029,13.9256,14.0029,230.91621804147,0
APT,60,20240424,120000,13.9836,14.0029,13.945,14.0029,2752.3556392566124,0
APT,60,20240424,130000,14.0029,14.0029,13.945,13.945,414.19949424479,0
APT,60,20240424,140000,13.945,14.0223,13.945,14.0223,241.27120539759,0
APT,60,20240424,150000,14.0029,14.0415,14.0029,14.0415,118.04685585976,0
APT,60,20240424,160000,14.0029,14.0223,14.0029,14.0029,1351.3258499736,0
APT,60,20240424,170000,14.0223,14.0223,14.0223,14.0223,1.0354987356119685,0
APT,60,20240425,100000,14.0223,14.0223,14.0029,14.0029,308.5786232123666,0
APT,60,20240425,110000,13.9643,14.0029,13.9064,13.9256,1251.9179713549,0
APT,60,20240425,120000,13.9256,13.9256,13.9256,13.9256,300.29463332747,0
APT,60,20240425,140000,13.9836,13.9836,13.9836,13.9836,2.070997471223937,0
APT,60,20240425,160000,13.9836,14.0029,13.9643,14.0029,1669.2239618065,0
APT,60,20240425,170000,13.9836,14.0029,13.9256,14.0029,414.19949424479,0
APT,60,20240426,100000,14.0415,14.4085,14.0415,14.3505,4914.4769992144,0
APT,60,20240426,110000,14.2926,14.3505,14.2347,14.2926,734.16860354889,0
APT,60,20240426,120000,14.2926,14.3699,14.2926,14.3699,862.57044676477,0
APT,60,20240426,130000,14.3313,14.3699,14.3313,14.3313,166.71529643352693,0
APT,60,20240426,140000,14.3505,14.4664,14.3505,14.4664,2501.7649452385,0
APT,60,20240426,150000,14.4664,14.4858,14.3892,14.3892,2259.4582411053,0
APT,60,20240426,160000,14.3892,14.3892,14.3892,14.3892,272.33616746595,0
APT,60,20240426,170000,14.3699,14.3892,14.3505,14.3505,124.25984827344,0
APT,60,20240429,100000,14.3505,14.4278,14.3313,14.3313,1164.9360775635,0
APT,60,20240429,110000,14.3313,14.4278,14.2926,14.4278,1289.1959258369006,0
APT,60,20240429,120000,14.3892,14.3892,14.3892,14.3892,150.14731666373544,0
APT,60,20240429,130000,14.3892,14.4085,14.1961,14.2926,1613.3070300834,0
APT,60,20240429,140000,14.2153,14.2926,14.2153,14.2926,98.372379883137,0
APT,60,20240429,150000,14.2926,14.3313,14.1961,14.1961,327.21760045338203,0
APT,60,20240430,100000,14.0029,14.3699,14.0029,14.2734,2638.4507783393,0
APT,60,20240430,110000,14.2347,14.2347,14.0802,14.0802,993.04328745188,0
APT,60,20240430,130000,14.0994,14.0994,14.0994,14.0994,66.27191907916598,0
APT,60,20240430,140000,14.1381,14.1961,14.1381,14.1961,41.41994942447874,0
APT,60,20240430,150000,14.1188,14.1188,14.1188,14.1188,27.95846586152315,0
APT,60,20240430,160000,14.1767,14.1767,14.1767,14.1767,138.75683057200376,0
APT,60,20240430,170000,14.1767,14.1767,14.1767,14.1767,113.90486091731653,0
APT,60,20240502,100000,14.1961,14.1961,14.1767,14.1767,51.77493678059842,0
APT,60,20240502,110000,14.1961,14.1961,14.1961,14.1961,44.526445631314644,0
APT,60,20240502,120000,14.1961,14.1961,14.1188,14.1188,134.6148356295559,0
APT,60,20240502,130000,14.2153,14.2153,14.1188,14.1188,144.96982298568,0
APT,60,20240502,140000,14.0994,14.0994,14.0994,14.0994,47.63294183815055,0
APT,60,20240502,150000,14.0994,14.2153,14.0994,14.2153,544.6723349319,0
APT,60,20240502,160000,14.2153,14.2347,14.1381,14.1381,9.319488620507716,0
APT,60,20240506,100000,14.1767,14.254,14.0415,14.2153,2096.8849396142,0
APT,60,20240506,110000,14.1961,14.2153,14.1961,14.2153,232.98721551269,0
APT,60,20240506,120000,14.1961,14.2153,14.1767,14.1961,7230.8876707784,0
APT,60,20240506,130000,14.2153,14.2347,14.2153,14.2347,227.80972183463305,0
APT,60,20240506,140000,14.2153,14.2153,14.1767,14.1767,398.66701321061,0
APT,60,20240506,150000,14.1961,14.254,14.1961,14.254,1021.0017533134009,0
APT,60,20240506,160000,14.2734,14.5823,14.2734,14.5823,10346.703366235,0
