<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AST,60,20240411,100000,26.8472,26.9863,26.2444,26.2444,3574.6448088585,0
AST,60,20240411,110000,26.3372,26.8008,26.1981,26.8008,3196.1530055676,0
AST,60,20240411,120000,26.6617,26.8008,26.3372,26.3372,1504.2622951305,0
AST,60,20240411,130000,26.7545,26.7545,26.3835,26.4299,441.0346083931,0
AST,60,20240411,140000,26.4299,26.4299,26.3835,26.4299,301.930783252,0
AST,60,20240411,150000,26.4299,26.6617,26.3372,26.6617,765.610200389,0
AST,60,20240411,160000,26.4763,26.4763,26.2908,26.2908,2097.3406193755,0
AST,60,20240411,170000,26.2908,26.2908,26.2444,26.2908,504.6557377212,0
AST,60,20240412,100000,26.2908,26.4299,26.2908,26.4299,540.2404371759,0
AST,60,20240412,110000,26.2908,26.2908,25.5489,26.1517,9630.5136615129,0
AST,60,20240412,120000,25.9662,25.9662,25.7807,25.7807,1278.8925319174,0
AST,60,20240412,130000,25.7807,25.7807,25.688,25.7807,2166.3533698331,0
AST,60,20240412,140000,25.7807,25.7807,25.7807,25.7807,2660.2258652953,0
AST,60,20240412,150000,25.7344,25.9662,25.688,25.9662,1476.2258652571,0
AST,60,20240412,160000,25.7807,25.7807,25.688,25.7344,365.5519125801,0
AST,60,20240412,170000,25.7344,25.9198,25.6416,25.9198,962.9435337287,0
AST,60,20240415,100000,25.9198,26.1981,25.7344,26.1981,843.2495446538,0
AST,60,20240415,110000,26.1517,26.569,26.059,26.2444,884.225865238,0
AST,60,20240415,120000,26.2444,26.3835,26.059,26.3835,733.260473612,0
AST,60,20240415,130000,26.2444,26.4299,26.2444,26.4299,280.364298734,0
AST,60,20240415,140000,26.3835,26.9399,26.3835,26.9399,2426.229508275,0
AST,60,20240415,150000,26.9399,27.3109,26.6154,26.6617,7249.5737707257,0
AST,60,20240415,160000,26.6617,26.7545,26.6617,26.7545,794.7249544883,0
AST,60,20240415,170000,26.6617,26.7545,26.2908,26.2908,306.2440801556,0
AST,60,20240416,100000,26.7081,27.1254,26.569,26.7081,797.959927166,0
AST,60,20240416,110000,26.9863,27.0791,26.8936,26.9399,2786.3897997256,0
AST,60,20240416,120000,26.9399,26.9399,26.7081,26.7545,974.8051002136,0
AST,60,20240416,130000,26.7545,26.7545,26.7545,26.7545,1908.633879843,0
AST,60,20240416,140000,26.7545,26.7545,26.7545,26.7545,1008.2331512165,0
AST,60,20240416,150000,26.7545,26.7545,26.7545,26.7545,203.8032786951,0
AST,60,20240416,160000,26.7081,26.7081,25.9662,25.9662,2391.7231330462,0
AST,60,20240416,170000,26.2444,26.3372,25.7807,25.7807,6163.7012752444,0
AST,60,20240417,100000,25.8735,26.2444,25.7344,26.1517,1901.0856102617,0
AST,60,20240417,110000,26.1053,26.1053,25.7344,25.9662,1876.284153066,0
AST,60,20240417,120000,25.8735,25.8735,25.7344,25.8271,636.211293281,0
AST,60,20240417,130000,25.7807,26.059,25.7807,26.059,1773.8433516055,0
AST,60,20240417,140000,26.059,26.1981,25.8735,25.8735,2379.8615665613,0
AST,60,20240417,150000,25.9198,26.059,25.7807,25.8271,710.6156648681,0
AST,60,20240417,160000,25.8271,26.059,25.3171,25.688,3849.617486463,0
AST,60,20240417,170000,25.688,26.2444,25.688,26.1981,763.4535519372,0
AST,60,20240418,100000,26.1517,26.1517,24.2506,25.0389,5918.9216759651,0
AST,60,20240418,110000,25.0389,25.4562,24.807,25.4098,3433.3843352656,0
AST,60,20240418,120000,25.4098,25.4098,24.8534,25.1316,4481.5154828404,0
AST,60,20240418,130000,25.1316,25.1316,24.9925,24.9925,1207.723133008,0
AST,60,20240418,140000,25.1316,25.1316,24.8997,25.1316,1042.7395264453,0
AST,60,20240418,150000,25.1316,25.1316,25.0389,25.0389,711.693989094,0
AST,60,20240418,160000,24.9925,25.0389,24.9461,24.9925,1176.4517304569,0
AST,60,20240418,170000,24.9925,25.0852,24.5752,25.0389,7600.0291441432,0
AST,60,20240419,100000,24.8997,25.4562,24.8534,25.4562,9905.4863391174,0
AST,60,20240419,110000,25.5025,25.5953,25.4098,25.5953,173.6102003699,0
AST,60,20240419,120000,25.5953,25.5953,25.4098,25.4098,168.2185792404,0
AST,60,20240419,130000,25.4562,25.4562,25.0389,25.4562,3889.5154828213,0
AST,60,20240419,140000,25.4098,25.4562,25.4098,25.4098,7388.6775958668,0
AST,60,20240419,150000,25.4562,25.4562,25.4098,25.4098,833.5446266207,0
AST,60,20240419,160000,25.4562,25.5953,25.4098,25.5489,797.959927166,0
AST,60,20240419,170000,25.5489,25.7807,25.4098,25.7807,3500.2404372714,0
AST,60,20240422,100000,26.1517,26.6617,26.059,26.1981,3339.5701276123,0
AST,60,20240422,110000,26.059,26.059,25.688,25.688,1076.1675774482,0
AST,60,20240422,120000,26.059,26.2444,25.8271,26.1517,4517.1001822951,0
AST,60,20240422,130000,26.1517,26.1517,26.1517,26.1517,162.82695811090002,0
AST,60,20240422,140000,25.9662,26.1053,25.9198,26.1053,161.748633885,0
AST,60,20240422,150000,26.059,26.059,25.6416,25.6416,1450.3460838355,0
AST,60,20240422,160000,25.8735,25.9662,25.6416,25.6416,264.18943534550004,0
AST,60,20240422,170000,25.9198,25.9198,25.2707,25.9198,3191.839708664,0
AST,60,20240423,100000,25.7807,25.7807,25.1316,25.178,3132.5318762395,0
