<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATD,60,20240411,100000,2.85497,2.85497,2.80723,2.83587,10018.445945972,0
ATD,60,20240411,110000,2.85497,2.85497,2.80723,2.85497,418.91891892,0
ATD,60,20240411,120000,2.80723,2.84542,2.80723,2.80723,579.1554054069,0
ATD,60,20240411,130000,2.84542,2.84542,2.80723,2.84542,3097.9054054134,0
ATD,60,20240411,140000,2.84542,2.84542,2.81677,2.81677,3152.3648648730004,0
ATD,60,20240411,150000,2.81677,2.84542,2.81677,2.84542,5479.459459473601,0
ATD,60,20240411,160000,2.84542,2.84542,2.81677,2.81677,5000.8445946075,0
ATD,60,20240411,170000,2.81677,2.83587,2.81677,2.83587,5083.5810810942,0
ATD,60,20240412,100000,2.83587,2.84542,2.83587,2.84542,528.8851351365,0
ATD,60,20240412,110000,2.84542,2.84542,2.82632,2.82632,2845.5067567641,0
ATD,60,20240412,120000,2.83587,2.85497,2.83587,2.85497,963.513513516,0
ATD,60,20240412,130000,2.82632,2.82632,2.79768,2.79768,3115.7094594675,0
ATD,60,20240412,150000,2.79768,2.79768,2.79768,2.79768,2618.24324325,0
ATD,60,20240412,160000,2.79768,2.79768,2.79768,2.79768,10069.763513539501,0
ATD,60,20240412,170000,2.79768,2.79768,2.79768,2.79768,418.91891892,0
ATD,60,20240415,100000,2.79768,2.91226,2.79768,2.91226,19987.66891897,0
ATD,60,20240415,110000,2.93135,2.93135,2.90271,2.92181,4119.0202702809,0
ATD,60,20240415,120000,2.92181,2.93135,2.91226,2.91226,2868.5472973047,0
ATD,60,20240415,130000,2.91226,3.01729,2.85497,2.85497,60978.885135293,0
ATD,60,20240415,140000,2.93135,2.93135,2.92181,2.93135,12055.43918922,0
ATD,60,20240415,150000,2.93135,2.93135,2.93135,2.93135,9777.5675675928,0
ATD,60,20240415,160000,2.93135,2.93135,2.91226,2.91226,374.9324324334,0
ATD,60,20240415,170000,2.91226,2.96,2.89316,2.89316,4542.1283783901,0
ATD,60,20240416,100000,2.9409,2.9409,2.92181,2.9409,4569.3581081199,0
ATD,60,20240416,110000,2.9409,2.9409,2.93135,2.9409,489.0878378391,0
ATD,60,20240416,120000,2.9409,2.9409,2.89316,2.9409,4093.8851351457,0
ATD,60,20240416,130000,2.92181,2.96,2.90271,2.90271,5658.5472973119,0
ATD,60,20240416,140000,2.96,2.96,2.9409,2.95045,4644.7635135255,0
ATD,60,20240416,150000,2.95045,2.96,2.92181,2.96,3844.6283783883,0
ATD,60,20240416,160000,2.96,2.96,2.89316,2.89316,4553.6486486604,0
ATD,60,20240416,170000,2.92181,2.96,2.83587,2.87406,6464.9662162329,0
ATD,60,20240417,100000,2.95045,2.95045,2.87406,2.89316,2631.8581081149,0
ATD,60,20240417,110000,2.95045,2.95045,2.92181,2.92181,94.256756757,0
ATD,60,20240417,120000,2.95045,2.96,2.95045,2.96,1957.3986486537,0
ATD,60,20240417,130000,2.95045,2.96,2.95045,2.96,1281.8918918952,0
ATD,60,20240417,140000,2.95045,2.96,2.95045,2.95045,2239.1216216274,0
ATD,60,20240417,150000,2.95045,2.95045,2.92181,2.92181,4594.4932432551,0
ATD,60,20240417,160000,2.9409,2.95045,2.92181,2.92181,1008.5472972999,0
ATD,60,20240417,170000,2.95045,2.95045,2.9409,2.9409,288.0067567575,0
ATD,60,20240418,100000,2.96,2.96,2.9409,2.96,3534.6283783875,0
ATD,60,20240418,110000,2.96,2.96955,2.96,2.96955,5488.8851351493,0
ATD,60,20240418,120000,2.96,2.96,2.92181,2.92181,1977.2972973024,0
