<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATP,60,20240411,120000,18.0138,18.0138,18.0138,18.0138,106.05212685657587,0
ATP,60,20240411,140000,18.0138,18.0138,18.0138,18.0138,11.047096547559985,0
ATP,60,20240411,170000,18.0138,18.0138,18.0138,18.0138,110.47096547559987,0
ATP,60,20240412,110000,17.878,17.878,17.878,17.878,111.57567513035585,0
ATP,60,20240412,130000,18.0138,18.0138,18.0138,18.0138,69.59670824962791,0
ATP,60,20240412,170000,17.3802,17.3802,17.3802,17.3802,530.2606342828793,0
ATP,60,20240415,100000,17.1991,17.3802,17.1991,17.3802,471.7110225808114,0
ATP,60,20240415,110000,17.4707,17.4707,17.4707,17.4707,99.42386892803987,0
ATP,60,20240415,120000,17.4707,17.5612,17.2896,17.5612,55.2354827378,0
ATP,60,20240415,150000,17.2896,17.9233,17.1991,17.9233,160.18289993961977,0
ATP,60,20240416,100000,17.9233,17.9233,17.2896,17.2896,202.16186682034774,0
ATP,60,20240416,110000,17.3802,17.3802,17.2896,17.2896,159.07819028486378,0
ATP,60,20240416,120000,17.1991,17.2896,17.1991,17.2896,155.7640613205958,0
ATP,60,20240416,130000,17.2896,17.2896,17.2896,17.2896,175.6488351062,0
ATP,60,20240416,150000,17.1991,17.2896,17.1991,17.2896,533.57476324715,0
ATP,60,20240417,100000,17.697,17.9233,17.697,17.9233,110.47096547559987,0
ATP,60,20240417,170000,17.2896,17.9233,17.2896,17.9233,192.21947992754374,0
ATP,60,20240419,100000,17.9233,17.9233,17.9233,17.9233,175.64883510620376,0
ATP,60,20240419,110000,17.7423,17.7423,17.7423,17.7423,166.8111578681558,0
ATP,60,20240419,120000,17.9233,18.6474,17.7423,17.7423,5155.6799587462,0
ATP,60,20240419,130000,17.6517,17.6517,17.6517,17.6517,82.8532241066999,0
ATP,60,20240419,140000,17.6517,17.6517,17.6517,17.6517,83.95793376145589,0
ATP,60,20240419,150000,17.6517,17.6517,17.6517,17.6517,3314.128964267996,0
ATP,60,20240419,160000,17.5612,17.5612,17.5612,17.5612,88.37677238047988,0
ATP,60,20240419,170000,17.5612,17.5612,17.5612,17.5612,28.722451023655964,0
ATP,60,20240422,100000,17.3802,17.6517,17.3802,17.3802,598.7526328777511,0
ATP,60,20240422,140000,17.1991,17.1991,17.0181,17.1991,667.24463147262,0
ATP,60,20240422,160000,17.1991,17.1991,17.1991,17.1991,88.37677238047988,0
ATP,60,20240422,170000,17.1991,17.1991,17.1991,17.1991,131.46044891596384,0
ATP,60,20240423,100000,16.2939,17.1991,16.2939,17.1991,864.987659673947,0
ATP,60,20240423,120000,17.1991,17.1991,16.837,16.837,160.18289993961977,0
ATP,60,20240423,130000,17.1991,17.1991,17.1991,17.1991,28.722451023655964,0
ATP,60,20240424,100000,17.1086,17.1086,17.1086,17.1086,171.2299964871798,0
ATP,60,20240424,110000,16.837,16.837,16.837,16.837,281.7009619627796,0
ATP,60,20240424,120000,16.837,17.1086,16.2939,17.1086,486.07224809263937,0
ATP,60,20240425,100000,16.9275,16.9275,16.5202,16.5202,190.01006061803173,0
ATP,60,20240425,110000,16.9275,17.0181,16.9275,17.0181,323.67992884351,0
ATP,60,20240425,130000,16.656,17.0181,16.656,17.0181,13.256515857071983,0
ATP,60,20240426,140000,16.656,16.9275,16.656,16.9275,12.151806202315983,0
ATP,60,20240429,130000,16.837,16.837,16.837,16.837,77.3296758329199,0
