<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AWM,60,20240411,100000,0.2745,0.2755,0.272,0.272,9624,0
AWM,60,20240411,110000,0.2725,0.2745,0.272,0.2745,5825,0
AWM,60,20240411,130000,0.2715,0.2755,0.2715,0.2755,27100,0
AWM,60,20240411,140000,0.2755,0.2755,0.2755,0.2755,400,0
AWM,60,20240411,150000,0.276,0.276,0.2705,0.2705,6250,0
AWM,60,20240411,160000,0.273,0.273,0.273,0.273,3000,0
AWM,60,20240411,170000,0.271,0.2745,0.271,0.2745,2066,0
AWM,60,20240412,100000,0.2765,0.28,0.2765,0.28,61100,0
AWM,60,20240412,110000,0.279,0.295,0.279,0.295,115235,0
AWM,60,20240412,120000,0.2945,0.309,0.2945,0.3055,748926,0
AWM,60,20240412,130000,0.305,0.305,0.2765,0.298,430074,0
AWM,60,20240412,140000,0.2995,0.2995,0.289,0.2935,64036,0
AWM,60,20240412,150000,0.2935,0.2965,0.283,0.291,79675,0
AWM,60,20240412,160000,0.291,0.291,0.285,0.29,47973,0
AWM,60,20240412,170000,0.29,0.292,0.29,0.292,50215,0
AWM,60,20240415,100000,0.292,0.292,0.28,0.28,65887,0
AWM,60,20240415,110000,0.2855,0.2855,0.2785,0.28,30155,0
AWM,60,20240415,120000,0.28,0.28,0.275,0.2785,199877,0
AWM,60,20240415,130000,0.278,0.279,0.278,0.279,3000,0
AWM,60,20240415,140000,0.276,0.276,0.2745,0.2755,17613,0
AWM,60,20240415,150000,0.2755,0.2765,0.2745,0.2765,24072,0
AWM,60,20240415,160000,0.2745,0.275,0.2735,0.275,16330,0
AWM,60,20240415,170000,0.2735,0.275,0.2735,0.275,4702,0
AWM,60,20240416,100000,0.275,0.2785,0.2715,0.2745,17728,0
AWM,60,20240416,120000,0.2745,0.276,0.272,0.274,38958,0
AWM,60,20240416,130000,0.274,0.2745,0.274,0.2745,3988,0
AWM,60,20240416,140000,0.2755,0.2755,0.2745,0.2745,2311,0
AWM,60,20240416,150000,0.276,0.276,0.276,0.276,1060,0
AWM,60,20240416,170000,0.2745,0.278,0.2745,0.278,23150,0
AWM,60,20240417,100000,0.278,0.278,0.2735,0.2735,200,0
AWM,60,20240417,110000,0.274,0.274,0.274,0.274,2200,0
AWM,60,20240417,120000,0.274,0.274,0.274,0.274,5392,0
AWM,60,20240417,130000,0.2745,0.2745,0.271,0.271,56846,0
AWM,60,20240417,150000,0.2715,0.2745,0.271,0.271,34414,0
AWM,60,20240417,160000,0.274,0.274,0.272,0.272,7530,0
AWM,60,20240417,170000,0.2745,0.2745,0.2745,0.2745,400,0
AWM,60,20240418,100000,0.276,0.28,0.275,0.28,33050,0
AWM,60,20240418,110000,0.2755,0.2755,0.2735,0.2735,3155,0
AWM,60,20240418,120000,0.2735,0.2735,0.2735,0.2735,110,0
