<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBD,60,20240411,100000,4.12,4.12,4.12,4.12,500,0
BBD,60,20240411,110000,4.12,4.12,4.12,4.12,5,0
BBD,60,20240411,120000,4.12,4.12,4.12,4.12,1,0
BBD,60,20240411,150000,4.12,4.12,4.12,4.12,3,0
BBD,60,20240411,160000,4.12,4.12,4.12,4.12,486,0
BBD,60,20240411,170000,4.17,4.17,4.17,4.17,205,0
BBD,60,20240412,100000,4.16,4.16,4.16,4.16,87,0
BBD,60,20240412,110000,4.12,4.12,4.12,4.12,1,0
BBD,60,20240412,120000,4.16,4.16,4.12,4.12,192,0
BBD,60,20240412,140000,4.12,4.12,4.12,4.12,1,0
BBD,60,20240412,170000,4.16,4.16,4.16,4.16,100,0
BBD,60,20240415,100000,4.16,4.39,4.16,4.39,554,0
BBD,60,20240415,110000,4.21,4.35,4.2,4.35,414,0
BBD,60,20240415,120000,4.19,4.19,4.19,4.19,29,0
BBD,60,20240415,130000,4.18,4.18,4.18,4.18,300,0
BBD,60,20240415,140000,4.19,4.19,4.19,4.19,3,0
BBD,60,20240415,160000,4.14,4.14,4.13,4.13,24,0
BBD,60,20240415,170000,4.13,4.18,4.13,4.18,101,0
BBD,60,20240416,100000,4.13,4.13,4.13,4.13,5,0
BBD,60,20240416,120000,4.13,4.15,4.13,4.15,1001,0
BBD,60,20240416,140000,4.18,4.2,4.18,4.2,515,0
BBD,60,20240416,150000,4.13,4.13,4.13,4.13,1,0
BBD,60,20240416,160000,4.13,4.13,4.13,4.13,249,0
BBD,60,20240416,170000,4.11,4.19,4.11,4.19,252,0
BBD,60,20240417,100000,4.11,4.11,4.11,4.11,61,0
BBD,60,20240417,110000,4.11,4.11,4.11,4.11,1,0
BBD,60,20240417,120000,4.11,4.11,4.11,4.11,1,0
BBD,60,20240417,160000,4.18,4.18,4.18,4.18,500,0
BBD,60,20240418,100000,4.19,4.19,4.19,4.19,405,0
BBD,60,20240418,110000,4.11,4.11,4.11,4.11,1,0
BBD,60,20240418,130000,4.11,4.11,4.11,4.11,183,0
BBD,60,20240418,140000,4.1,4.11,4.1,4.11,37,0
BBD,60,20240418,150000,4.11,4.11,4.1,4.1,521,0
BBD,60,20240418,170000,4.1,4.11,4.04,4.11,530,0
BBD,60,20240419,100000,4.04,4.04,4.04,4.04,1,0
BBD,60,20240419,160000,4.04,4.04,4.04,4.04,391,0
BBD,60,20240419,170000,4.1,4.1,4.1,4.1,100,0
BBD,60,20240422,100000,4.04,4.04,4.04,4.04,21,0
BBD,60,20240422,140000,4.1,4.1,4.1,4.1,3,0
