<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBT,60,20240411,100000,10.837,10.837,10.837,10.837,20.66985646,0
BBT,60,20240411,110000,10.837,10.9338,10.7403,10.9338,4691.023923597,0
BBT,60,20240411,120000,10.7403,10.7403,10.7403,10.7403,2.066985646,0
BBT,60,20240411,140000,10.837,10.9338,10.837,10.9338,289.37799044,0
BBT,60,20240411,150000,10.9338,10.9338,10.9338,10.9338,518.813397146,0
BBT,60,20240411,160000,10.9822,11.1273,10.9822,11.1273,763.751196197,0
BBT,60,20240411,170000,11.0789,11.0789,11.0789,11.0789,208.765550246,0
BBT,60,20240412,100000,11.1273,11.3692,11.1273,11.1273,826.7942584,0
BBT,60,20240412,110000,11.1273,11.1273,11.1273,11.1273,1057.263157929,0
BBT,60,20240412,120000,11.3208,11.3692,11.1273,11.1273,754.44976079,0
BBT,60,20240412,130000,11.2725,11.3208,11.2725,11.3208,100.248803831,0
BBT,60,20240412,140000,11.2725,11.3208,11.2725,11.3208,43.406698566,0
BBT,60,20240412,150000,11.3208,11.3208,11.3208,11.3208,124.01913876,0
BBT,60,20240412,160000,11.1273,11.3208,11.1273,11.3208,1254.660287122,0
BBT,60,20240412,170000,11.3692,11.3692,11.1273,11.1273,3701.971291986,0
BBT,60,20240415,100000,11.1273,11.1273,11.1273,11.1273,459.904306235,0
BBT,60,20240415,120000,11.3208,11.3208,11.1273,11.3208,11.368421053,0
BBT,60,20240415,130000,11.2725,11.2725,11.2725,11.2725,10.33492823,0
BBT,60,20240415,140000,11.2725,11.2725,11.1273,11.1273,4.133971292,0
BBT,60,20240415,160000,11.1273,11.1273,11.1273,11.1273,54.775119619,0
BBT,60,20240416,100000,10.9338,10.9338,10.6919,10.6919,509.511961739,0
BBT,60,20240416,110000,10.6919,10.6919,10.6919,10.6919,113.68421053,0
BBT,60,20240416,120000,10.7403,10.8854,10.7403,10.8854,350.354066997,0
BBT,60,20240416,140000,10.7403,10.7403,10.7403,10.7403,2.066985646,0
BBT,60,20240416,150000,10.7403,10.7403,10.7403,10.7403,37.205741628,0
BBT,60,20240416,160000,10.7403,10.7403,10.6919,10.6919,444.40191389,0
BBT,60,20240417,100000,10.6919,10.9338,10.6919,10.9338,131.253588521,0
BBT,60,20240417,110000,10.9338,10.9338,10.9338,10.9338,33.071770336,0
BBT,60,20240417,120000,10.9822,11.2725,10.9822,11.2725,1343.5406699,0
BBT,60,20240417,130000,11.1757,11.1757,11.1757,11.1757,25.837320575,0
BBT,60,20240417,140000,10.9822,10.9822,10.9822,10.9822,2.066985646,0
BBT,60,20240417,170000,10.9822,10.9822,10.9822,10.9822,51.67464115,0
BBT,60,20240418,100000,10.9822,10.9822,10.6919,10.9822,231.50239235200002,0
BBT,60,20240418,110000,10.7403,10.7403,10.6919,10.6919,18.602870814,0
BBT,60,20240418,150000,10.9338,10.9338,10.9338,10.9338,2.066985646,0
BBT,60,20240418,160000,10.6919,10.6919,10.6435,10.6919,982.851674673,0
BBT,60,20240418,170000,10.8854,10.8854,10.8854,10.8854,5.167464115,0
BBT,60,20240419,100000,10.6919,10.8854,10.6919,10.8854,105.416267946,0
BBT,60,20240419,110000,10.9338,10.9338,10.6435,10.6435,1209.18660291,0
BBT,60,20240419,120000,10.6435,10.6435,10.6435,10.6435,20.66985646,0
BBT,60,20240419,130000,10.6435,10.837,10.6435,10.837,341.05263159,0
BBT,60,20240419,140000,10.7887,10.9338,10.7887,10.9338,573.588516765,0
BBT,60,20240419,150000,10.7887,10.7887,10.7887,10.7887,1.033492823,0
BBT,60,20240419,160000,10.8854,10.8854,10.8854,10.8854,465.07177035,0
BBT,60,20240419,170000,10.8854,11.0306,10.8854,11.0306,929.110047877,0
BBT,60,20240422,100000,11.0306,11.0306,10.8854,11.0306,1399.349282342,0
BBT,60,20240422,120000,11.0306,11.0306,11.0306,11.0306,310.0478469,0
BBT,60,20240422,140000,10.837,10.837,10.837,10.837,155.02392345,0
BBT,60,20240422,150000,10.837,10.837,10.837,10.837,1.033492823,0
BBT,60,20240422,160000,11.0306,11.0306,11.0306,11.0306,4.133971292,0
BBT,60,20240423,100000,11.0306,11.0306,11.0306,11.0306,1.033492823,0
BBT,60,20240423,120000,10.9822,10.9822,10.9822,10.9822,46.507177035,0
BBT,60,20240423,130000,10.9822,10.9822,10.9822,10.9822,175.69377991,0
BBT,60,20240423,140000,10.9338,10.9338,10.9338,10.9338,196.36363637,0
BBT,60,20240423,160000,10.9338,10.9822,10.9338,10.9822,100.248803831,0
BBT,60,20240423,170000,10.9338,10.9338,10.6919,10.6919,516.7464115,0
BBT,60,20240424,100000,10.6919,10.6919,10.6435,10.6435,2916.516746506,0
BBT,60,20240424,110000,10.6435,10.6435,10.5951,10.5951,155.02392345,0
BBT,60,20240424,120000,10.6435,10.6435,10.6435,10.6435,51.67464115,0
BBT,60,20240424,130000,10.6435,10.6435,10.6435,10.6435,321.416267953,0
BBT,60,20240424,170000,10.6435,10.6435,10.6435,10.6435,421.665071784,0
BBT,60,20240425,100000,10.6435,10.6435,10.6435,10.6435,120.918660291,0
BBT,60,20240425,110000,10.6435,10.6435,10.5951,10.5951,502.277511978,0
BBT,60,20240425,120000,10.6919,10.8854,10.6919,10.8854,234.602870821,0
BBT,60,20240425,160000,10.837,10.837,10.5951,10.5951,389.626794271,0
BBT,60,20240425,170000,10.7887,10.7887,10.7887,10.7887,2.066985646,0
BBT,60,20240426,100000,10.7887,10.837,10.7887,10.837,29.971291867,0
BBT,60,20240426,110000,10.837,10.8854,10.837,10.8854,113.68421053,0
BBT,60,20240426,130000,10.8854,10.9338,10.8854,10.9338,206.6985646,0
BBT,60,20240426,160000,10.9338,10.9338,10.9338,10.9338,51.67464115,0
BBT,60,20240426,170000,10.6919,10.7887,10.6435,10.7887,299.71291867,0
BBT,60,20240429,100000,10.7887,10.7887,10.5951,10.7403,777.186602896,0
BBT,60,20240429,110000,10.6435,10.6435,10.5468,10.5468,465.07177035,0
BBT,60,20240429,120000,10.7403,10.7403,10.7403,10.7403,4.133971292,0
BBT,60,20240429,130000,10.5951,10.5951,10.5468,10.5468,675.904306242,0
BBT,60,20240429,140000,10.5951,10.5951,10.5951,10.5951,16.535885168,0
BBT,60,20240429,150000,10.7403,10.7403,10.7403,10.7403,24.803827752,0
BBT,60,20240429,160000,10.7403,10.7403,10.7403,10.7403,1.033492823,0
BBT,60,20240430,100000,10.7403,10.7403,10.7403,10.7403,1.033492823,0
BBT,60,20240430,140000,10.4984,10.4984,10.45,10.45,488.842105279,0
BBT,60,20240430,150000,10.7403,10.7887,10.45,10.45,186.02870814,0
BBT,60,20240430,160000,10.7403,10.7887,10.7403,10.7887,103.3492823,0
BBT,60,20240430,170000,10.6435,10.6435,10.6435,10.6435,103.3492823,0
BBT,60,20240502,100000,10.4984,10.6919,10.4984,10.6435,448.535885182,0
BBT,60,20240502,110000,10.6919,10.6919,10.6919,10.6919,64.076555026,0
BBT,60,20240502,140000,10.6435,10.6435,10.45,10.45,235.636363644,0
BBT,60,20240502,150000,10.6435,10.6435,10.6435,10.6435,706.909090932,0
BBT,60,20240502,160000,10.6435,10.837,10.6435,10.837,1119.272727309,0
BBT,60,20240502,170000,10.7887,10.7887,10.7403,10.7403,142.622009574,0
BBT,60,20240506,100000,10.7403,10.7403,10.6435,10.6435,323.483253599,0
BBT,60,20240506,120000,10.7403,10.7403,10.6435,10.7403,329.684210537,0
BBT,60,20240506,130000,10.7887,10.7887,10.7887,10.7887,371.023923457,0
BBT,60,20240506,140000,10.6919,10.6919,10.6435,10.6435,1350.775119661,0
BBT,60,20240506,170000,10.6919,10.6919,10.5468,10.5468,1885.090909152,0
BBT,60,20240507,100000,10.45,10.5951,10.45,10.5951,1502.698564642,0
