<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDZ,60,20240411,100000,28.95,29,28.95,28.95,94,0
BDZ,60,20240411,110000,29,29,28.55,28.55,252,0
BDZ,60,20240411,120000,28.75,28.75,28.55,28.55,59,0
BDZ,60,20240411,130000,28.5,28.5,28.3,28.3,258,0
BDZ,60,20240411,140000,28.35,28.4,28.3,28.4,300,0
BDZ,60,20240411,150000,28.55,28.55,28.55,28.55,2,0
BDZ,60,20240411,160000,28.4,28.4,28.3,28.3,500,0
BDZ,60,20240411,170000,28.35,28.7,28.35,28.7,25,0
BDZ,60,20240412,100000,28.35,28.8,28.2,28.8,70,0
BDZ,60,20240412,130000,28.8,28.8,28.8,28.8,1,0
BDZ,60,20240412,140000,28.8,28.9,28.8,28.9,275,0
BDZ,60,20240412,160000,28.7,28.7,28.35,28.35,220,0
BDZ,60,20240415,100000,28.35,28.35,28.2,28.2,200,0
BDZ,60,20240415,110000,28.2,28.2,28,28,575,0
BDZ,60,20240415,120000,27.6,28,27.05,27.9,246,0
BDZ,60,20240415,130000,27.3,27.6,27.2,27.6,201,0
BDZ,60,20240415,140000,27.6,27.6,27.55,27.6,291,0
BDZ,60,20240415,150000,27.6,27.6,27.2,27.2,376,0
BDZ,60,20240415,160000,27.2,27.2,27.1,27.1,862,0
BDZ,60,20240415,170000,27.1,27.6,27.1,27.6,2229,0
BDZ,60,20240416,100000,27.2,27.2,27,27,736,0
BDZ,60,20240416,110000,27.05,27.5,27.05,27.5,435,0
BDZ,60,20240416,120000,27.4,27.4,27.4,27.4,19,0
BDZ,60,20240416,130000,27.4,27.4,27.4,27.4,74,0
BDZ,60,20240416,140000,27.15,27.15,27.05,27.05,44,0
BDZ,60,20240416,150000,27.4,27.45,27.4,27.45,210,0
BDZ,60,20240416,160000,27.3,27.3,26.8,26.8,1003,0
BDZ,60,20240416,170000,26.8,26.8,25.1,26,2284,0
BDZ,60,20240417,100000,26,27.2,26,26.9,277,0
BDZ,60,20240417,110000,26.9,26.9,26.7,26.7,235,0
BDZ,60,20240417,120000,26.4,26.8,26.1,26.8,402,0
BDZ,60,20240417,130000,26.3,26.3,26.3,26.3,1,0
BDZ,60,20240417,140000,26.3,26.8,26,26.5,1240,0
BDZ,60,20240417,150000,26.5,26.5,26.4,26.4,362,0
BDZ,60,20240417,160000,26.4,26.4,26.4,26.4,50,0
BDZ,60,20240417,170000,26.4,26.45,26.35,26.35,175,0
BDZ,60,20240418,100000,26.5,26.95,26.5,26.8,114,0
BDZ,60,20240418,110000,26.95,26.95,26,26.9,101,0
BDZ,60,20240418,120000,26.9,26.95,26.8,26.8,162,0
BDZ,60,20240418,130000,26.8,26.9,26.8,26.9,36,0
BDZ,60,20240418,140000,26.2,26.2,26.2,26.2,80,0
BDZ,60,20240418,150000,26.85,26.85,26.85,26.85,4,0
BDZ,60,20240418,160000,26.8,26.8,26.8,26.8,4,0
BDZ,60,20240418,170000,26.7,26.7,26.35,26.35,20,0
BDZ,60,20240419,100000,26.75,26.75,26.25,26.25,247,0
BDZ,60,20240419,120000,26.25,26.5,26,26,239,0
BDZ,60,20240419,130000,26.25,26.25,26.25,26.25,55,0
BDZ,60,20240419,140000,26.5,26.5,26,26,197,0
BDZ,60,20240419,150000,26.05,26.05,26,26,251,0
BDZ,60,20240419,170000,26.1,26.2,26,26.2,223,0
BDZ,60,20240422,100000,26.2,26.2,25.4,25.5,162,0
BDZ,60,20240422,110000,25.5,26,25.2,26,153,0
BDZ,60,20240422,120000,25.95,26,25.7,25.7,213,0
BDZ,60,20240422,130000,25.75,25.75,25.7,25.75,53,0
BDZ,60,20240422,140000,25.65,25.65,25.6,25.6,58,0
BDZ,60,20240422,150000,25.75,25.75,25.2,25.2,688,0
BDZ,60,20240422,160000,25.5,25.6,25.5,25.6,80,0
BDZ,60,20240422,170000,25.75,25.75,25.4,25.65,30,0
BDZ,60,20240423,100000,25.15,25.15,25.15,25.15,5,0
BDZ,60,20240423,120000,25.25,25.25,25,25,984,0
BDZ,60,20240423,130000,25,25.65,25,25.65,658,0
BDZ,60,20240423,140000,25.15,25.15,25.15,25.15,28,0
BDZ,60,20240423,150000,25.15,25.6,25.15,25.6,101,0
BDZ,60,20240424,100000,25.4,25.4,25.4,25.4,39,0
BDZ,60,20240424,110000,25.45,25.45,25.1,25.1,41,0
BDZ,60,20240424,120000,25.4,25.6,25.4,25.6,2098,0
BDZ,60,20240424,130000,25.6,26.65,25.6,26.2,636,0
BDZ,60,20240424,140000,26.5,27.5,26.5,27.5,2363,0
BDZ,60,20240424,150000,27.8,27.9,27.1,27.9,4344,0
BDZ,60,20240424,160000,27.95,29.6,27.95,29.05,5883,0
BDZ,60,20240424,170000,28.85,29.7,28.25,28.6,5499,0
BDZ,60,20240425,100000,29.5,30.6,29,29.7,7375,0
BDZ,60,20240425,110000,29.2,29.2,28.25,28.25,1040,0
BDZ,60,20240425,120000,28.25,28.6,28.05,28.6,87,0
BDZ,60,20240425,130000,28.6,28.6,27.35,27.35,1339,0
BDZ,60,20240425,140000,27.4,27.6,27.3,27.6,1023,0
BDZ,60,20240425,150000,27.6,27.6,27.6,27.6,100,0
BDZ,60,20240425,160000,27.6,27.6,27.6,27.6,280,0
BDZ,60,20240425,170000,27.9,27.9,27,27,1283,0
BDZ,60,20240426,100000,27.2,27.6,27,27.6,1049,0
BDZ,60,20240426,110000,27.6,27.6,26.5,26.6,917,0
BDZ,60,20240426,140000,26.95,27.3,26.95,27.3,17,0
BDZ,60,20240426,150000,27.3,27.3,27,27,44,0
BDZ,60,20240426,160000,27,27,26.6,26.6,84,0
BDZ,60,20240426,170000,26.9,27.8,26.9,27.75,1021,0
BDZ,60,20240429,100000,28,28.5,27.8,27.8,964,0
BDZ,60,20240429,110000,27.8,28.2,27.1,28.2,642,0
BDZ,60,20240429,120000,28.2,31.2,28.2,31.2,8302,0
BDZ,60,20240429,130000,31.15,33.85,31.15,33.85,15497,0
BDZ,60,20240429,140000,34,36,34,35.4,11174,0
BDZ,60,20240429,150000,35.4,36,34,35.45,6983,0
BDZ,60,20240429,160000,35.8,36.4,35.8,36.4,7255,0
BDZ,60,20240429,170000,36.4,38,36.4,38,7171,0
BDZ,60,20240430,100000,40.4,45,40,42.95,53520,0
BDZ,60,20240430,110000,42.95,46.35,41.2,46.2,23318,0
BDZ,60,20240430,120000,46,46,43.8,44.35,7603,0
BDZ,60,20240430,130000,44.05,45,41.15,43.5,11799,0
BDZ,60,20240430,140000,43.2,43.65,41.2,41.3,4236,0
BDZ,60,20240430,150000,41.3,42.6,37.45,37.9,19673,0
BDZ,60,20240430,160000,37.85,39.9,37.3,38.2,9597,0
BDZ,60,20240430,170000,38.05,38.75,36.5,37.6,11819,0
BDZ,60,20240502,100000,39,41.2,38.05,41,13883,0
BDZ,60,20240502,110000,41.1,43.5,41,41,16582,0
BDZ,60,20240502,120000,40.8,41.2,39.6,40.5,6777,0
BDZ,60,20240502,130000,40.8,40.8,39.6,39.6,1534,0
BDZ,60,20240502,140000,39.6,39.75,38.8,39.5,4242,0
BDZ,60,20240502,150000,39.7,40.3,39.65,40,2621,0
BDZ,60,20240502,160000,39.6,40.5,39.45,40.5,1666,0
BDZ,60,20240502,170000,40.25,40.5,39.3,39.3,4458,0
BDZ,60,20240506,100000,39.95,40.85,38.7,39.8,6216,0
BDZ,60,20240506,110000,39.8,40,39,39.5,1471,0
BDZ,60,20240506,120000,39.5,39.9,38.8,38.8,1783,0
BDZ,60,20240506,130000,39.8,39.8,38.7,38.7,3657,0
BDZ,60,20240506,140000,39.2,39.3,38.65,39.3,1990,0
BDZ,60,20240506,150000,39.3,39.5,36.45,38,5001,0
BDZ,60,20240506,160000,36.85,38.1,36.5,37.8,3632,0
BDZ,60,20240506,170000,37.5,37.5,36.7,37.2,3387,0
BDZ,60,20240507,100000,37.2,37.8,36.6,37.6,2051,0
BDZ,60,20240507,110000,37.7,37.7,36.8,36.8,847,0
BDZ,60,20240507,120000,36.85,37.15,36.6,36.6,629,0
BDZ,60,20240507,130000,36.5,36.75,36.5,36.55,288,0
BDZ,60,20240507,140000,36.5,36.75,34.35,35.1,5667,0
BDZ,60,20240507,150000,35,35.5,34.4,35.5,1380,0
BDZ,60,20240507,160000,35.4,35.6,34.8,35.4,1552,0
BDZ,60,20240507,170000,35.35,35.4,34.65,35,1978,0
BDZ,60,20240508,100000,35,38.5,35,37.65,10947,0
BDZ,60,20240508,110000,37.2,37.5,36.5,36.6,1795,0
BDZ,60,20240508,120000,36.6,36.9,36.3,36.8,713,0
BDZ,60,20240508,130000,36.75,36.8,36.3,36.3,339,0
BDZ,60,20240508,140000,36.5,37.55,36,37.2,2322,0
BDZ,60,20240508,150000,37.1,37.4,36.45,36.8,823,0
BDZ,60,20240508,160000,36.4,36.9,36.4,36.9,168,0
BDZ,60,20240508,170000,36.9,36.9,35.85,36.4,2660,0
BDZ,60,20240509,100000,36.65,37,35.5,36,2419,0
BDZ,60,20240509,110000,36,36,34.9,35.15,6378,0
BDZ,60,20240509,120000,35.15,35.45,35.15,35.2,851,0
BDZ,60,20240509,130000,35.3,35.3,34.7,34.75,1239,0
BDZ,60,20240509,140000,34.95,35.1,34.6,35.1,2424,0
BDZ,60,20240509,150000,35.1,35.2,34.6,35.1,970,0
BDZ,60,20240509,160000,34.9,35.7,34.7,35.65,1598,0
BDZ,60,20240509,170000,35.55,35.55,34.85,35.3,889,0
BDZ,60,20240510,100000,35.5,35.5,34.65,35.35,357,0
BDZ,60,20240510,110000,34.8,35.7,34.8,35.55,1486,0
BDZ,60,20240510,120000,34.95,35.5,34.95,35.45,39,0
BDZ,60,20240510,130000,35,35.45,34,34,2310,0
BDZ,60,20240510,140000,34.45,35.2,34.45,35.15,1249,0
BDZ,60,20240510,150000,35.15,35.15,34.65,35,44,0
BDZ,60,20240510,160000,34.65,35,34.65,34.65,71,0
BDZ,60,20240510,170000,35,35,34.65,35,233,0
BDZ,60,20240513,100000,35.2,35.4,35.05,35.1,387,0
BDZ,60,20240513,110000,35.35,35.8,34.6,34.6,4668,0
BDZ,60,20240513,120000,34.65,35,34.5,35,1435,0
BDZ,60,20240513,130000,34.55,35,34.55,34.95,210,0
BDZ,60,20240513,140000,34.6,35.25,34.6,35.15,1003,0
BDZ,60,20240513,150000,35.1,35.3,35.1,35.3,270,0
BDZ,60,20240513,160000,35.25,35.3,34.6,35.25,551,0
BDZ,60,20240513,170000,35.25,35.3,34.6,35.25,892,0
BDZ,60,20240514,100000,35.35,35.6,35.3,35.6,398,0
BDZ,60,20240514,110000,35.55,35.6,35.55,35.6,141,0
BDZ,60,20240514,120000,35.55,35.6,35.55,35.6,200,0
BDZ,60,20240514,130000,35.6,35.6,35.6,35.6,8,0
BDZ,60,20240514,150000,35.4,35.6,34.8,35.4,410,0
BDZ,60,20240514,160000,34.8,35.25,34.2,34.2,1471,0
BDZ,60,20240514,170000,34.85,34.95,34.45,34.95,303,0
BDZ,60,20240515,100000,35.6,38,35,36.85,14006,0
BDZ,60,20240515,110000,36.95,37,35.2,35.4,3374,0
BDZ,60,20240515,120000,35.9,35.9,35.15,35.25,1710,0
BDZ,60,20240515,130000,35.9,35.9,35.2,35.2,1573,0
BDZ,60,20240515,140000,35.7,35.8,35.2,35.7,176,0
BDZ,60,20240515,150000,35.65,35.65,35,35.3,947,0
BDZ,60,20240515,160000,35.3,35.55,35,35.5,1109,0
BDZ,60,20240515,170000,35,35.5,34.7,35.5,1673,0
BDZ,60,20240516,100000,35.95,35.95,34.7,35.6,292,0
BDZ,60,20240516,110000,35.1,35.7,34.7,35.65,612,0
BDZ,60,20240516,120000,35.5,35.5,34.7,35.1,1332,0
BDZ,60,20240516,130000,35,35,34.75,34.75,594,0
BDZ,60,20240516,140000,34.8,34.8,34.4,34.6,2721,0
BDZ,60,20240516,150000,34.5,34.75,34.4,34.45,733,0
BDZ,60,20240516,160000,34.45,34.75,34.45,34.75,205,0
BDZ,60,20240516,170000,34.75,34.75,34.4,34.4,93,0
BDZ,60,20240517,100000,34.95,34.95,34.5,34.55,1010,0
BDZ,60,20240517,110000,34.75,34.75,34.1,34.35,210,0
BDZ,60,20240517,120000,34.1,34.15,33.6,33.8,2608,0
