<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIO,60,20240411,100000,3.51,3.53,3.48,3.48,4463,0
BIO,60,20240411,110000,3.5,3.54,3.5,3.54,1100,0
BIO,60,20240411,130000,3.515,3.54,3.49,3.49,1854,0
BIO,60,20240411,140000,3.495,3.54,3.495,3.495,7400,0
BIO,60,20240411,150000,3.495,3.54,3.495,3.54,1100,0
BIO,60,20240411,160000,3.51,3.51,3.49,3.495,1296,0
BIO,60,20240411,170000,3.495,3.54,3.49,3.54,2021,0
BIO,60,20240412,100000,3.505,3.54,3.505,3.535,6142,0
BIO,60,20240412,110000,3.52,3.54,3.5,3.54,8079,0
BIO,60,20240412,120000,3.515,3.54,3.505,3.535,948,0
BIO,60,20240412,130000,3.51,3.51,3.51,3.51,500,0
BIO,60,20240412,140000,3.515,3.515,3.505,3.505,1804,0
BIO,60,20240412,150000,3.53,3.55,3.505,3.55,8514,0
BIO,60,20240412,160000,3.515,3.515,3.5,3.5,2504,0
BIO,60,20240412,170000,3.51,3.54,3.5,3.5,3540,0
BIO,60,20240415,100000,3.51,3.51,3.505,3.505,694,0
BIO,60,20240415,110000,3.51,3.51,3.5,3.505,1010,0
BIO,60,20240415,120000,3.505,3.53,3.505,3.53,1991,0
BIO,60,20240415,130000,3.53,3.53,3.49,3.52,16289,0
BIO,60,20240415,140000,3.5,3.5,3.5,3.5,50,0
BIO,60,20240415,150000,3.5,3.52,3.5,3.52,105,0
BIO,60,20240415,160000,3.5,3.52,3.5,3.505,671,0
BIO,60,20240415,170000,3.505,3.52,3.505,3.52,2963,0
BIO,60,20240416,100000,3.51,3.51,3.5,3.5,6758,0
BIO,60,20240416,110000,3.51,3.52,3.48,3.52,3085,0
BIO,60,20240416,120000,3.5,3.51,3.5,3.5,2029,0
BIO,60,20240416,130000,3.5,3.5,3.5,3.5,641,0
BIO,60,20240416,140000,3.5,3.51,3.5,3.51,783,0
BIO,60,20240416,150000,3.51,3.51,3.5,3.51,1510,0
BIO,60,20240416,160000,3.49,3.49,3.49,3.49,8,0
BIO,60,20240416,170000,3.495,3.5,3.495,3.495,2493,0
BIO,60,20240417,100000,3.49,3.505,3.49,3.5,925,0
BIO,60,20240417,110000,3.5,3.505,3.5,3.505,716,0
BIO,60,20240417,120000,3.51,3.51,3.5,3.5,2889,0
BIO,60,20240417,130000,3.5,3.5,3.5,3.5,99,0
BIO,60,20240417,140000,3.5,3.5,3.5,3.5,20,0
BIO,60,20240417,150000,3.5,3.5,3.5,3.5,759,0
BIO,60,20240417,160000,3.5,3.51,3.5,3.5,3191,0
BIO,60,20240417,170000,3.5,3.5,3.5,3.5,9,0
BIO,60,20240418,100000,3.5,3.51,3.5,3.5,14704,0
BIO,60,20240418,110000,3.5,3.545,3.5,3.545,2898,0
BIO,60,20240418,120000,3.505,3.515,3.5,3.5,2399,0
BIO,60,20240418,130000,3.495,3.54,3.48,3.5,9614,0
BIO,60,20240418,150000,3.51,3.51,3.5,3.5,160,0
BIO,60,20240418,160000,3.5,3.5,3.5,3.5,481,0
BIO,60,20240418,170000,3.5,3.5,3.49,3.5,5108,0
BIO,60,20240419,100000,3.5,3.515,3.48,3.515,5384,0
BIO,60,20240419,110000,3.51,3.51,3.5,3.5,1155,0
BIO,60,20240419,120000,3.49,3.5,3.49,3.49,635,0
BIO,60,20240419,130000,3.49,3.5,3.485,3.485,4232,0
BIO,60,20240419,140000,3.485,3.51,3.48,3.5,4589,0
BIO,60,20240419,150000,3.5,3.51,3.48,3.485,3549,0
BIO,60,20240419,160000,3.51,3.51,3.485,3.485,2632,0
BIO,60,20240419,170000,3.485,3.5,3.48,3.5,11670,0
BIO,60,20240422,100000,3.5,3.5,3.5,3.5,2776,0
BIO,60,20240422,110000,3.5,3.51,3.5,3.51,2506,0
BIO,60,20240422,120000,3.505,3.54,3.505,3.54,6200,0
BIO,60,20240422,130000,3.515,3.535,3.515,3.515,514,0
BIO,60,20240422,140000,3.51,3.535,3.5,3.535,4908,0
BIO,60,20240422,150000,3.53,3.535,3.53,3.535,400,0
BIO,60,20240422,160000,3.51,3.525,3.51,3.525,883,0
BIO,60,20240422,170000,3.51,3.52,3.5,3.52,4073,0
BIO,60,20240423,100000,3.505,3.51,3.5,3.51,5725,0
BIO,60,20240423,110000,3.5,3.52,3.5,3.5,12109,0
BIO,60,20240423,120000,3.5,3.515,3.49,3.49,2279,0
BIO,60,20240423,130000,3.5,3.5,3.5,3.5,4000,0
BIO,60,20240423,140000,3.5,3.5,3.5,3.5,4958,0
BIO,60,20240423,150000,3.49,3.49,3.49,3.49,14,0
BIO,60,20240423,170000,3.495,3.5,3.495,3.5,21,0
BIO,60,20240424,100000,3.5,3.5,3.5,3.5,333,0
BIO,60,20240424,110000,3.5,3.5,3.5,3.5,4609,0
BIO,60,20240424,120000,3.5,3.5,3.5,3.5,4529,0
BIO,60,20240424,130000,3.5,3.51,3.5,3.51,5439,0
BIO,60,20240424,140000,3.5,3.5,3.5,3.5,4000,0
BIO,60,20240424,150000,3.505,3.505,3.505,3.505,6,0
BIO,60,20240424,170000,3.505,3.505,3.505,3.505,1212,0
BIO,60,20240425,100000,3.505,3.505,3.5,3.505,1479,0
BIO,60,20240425,110000,3.5,3.5,3.5,3.5,10727,0
BIO,60,20240425,120000,3.505,3.505,3.5,3.5,5816,0
