<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMC,60,20240411,100000,13.02,13.14,13,13.12,899,0
BMC,60,20240411,110000,13.12,13.12,13,13.12,871,0
BMC,60,20240411,120000,13,13,13,13,601,0
BMC,60,20240411,130000,13,13,12.78,12.9,2082,0
BMC,60,20240411,140000,12.88,13.12,12.88,13.12,1742,0
BMC,60,20240411,150000,12.96,13.18,12.96,13.18,5829,0
BMC,60,20240411,160000,13.02,13.18,13.02,13.04,737,0
BMC,60,20240411,170000,13.02,13.02,12.96,12.96,4330,0
BMC,60,20240412,100000,13,13.16,12.96,13,2408,0
BMC,60,20240412,110000,13.12,13.16,13.02,13.04,190,0
BMC,60,20240412,120000,13.14,13.14,13.02,13.04,114,0
BMC,60,20240412,130000,13.02,13.06,13,13,1314,0
BMC,60,20240412,140000,13,13.04,12.8,12.8,2935,0
BMC,60,20240412,150000,12.8,12.96,12.78,12.8,6023,0
BMC,60,20240412,170000,12.94,12.96,12.8,12.8,3292,0
BMC,60,20240415,100000,12.8,13,12.78,12.78,1727,0
BMC,60,20240415,110000,12.78,12.78,12.56,12.62,1965,0
BMC,60,20240415,120000,12.68,12.68,12,12.14,6627,0
BMC,60,20240415,130000,12.18,12.42,12.18,12.3,1913,0
BMC,60,20240415,140000,12.42,12.66,12.4,12.62,6303,0
BMC,60,20240415,150000,12.54,12.62,12.24,12.62,4514,0
BMC,60,20240415,160000,12.62,12.74,12.52,12.52,272,0
BMC,60,20240415,170000,12.56,12.72,12.5,12.54,1538,0
BMC,60,20240416,100000,12.74,12.76,12.54,12.56,2005,0
BMC,60,20240416,110000,12.56,12.6,12.54,12.6,739,0
BMC,60,20240416,120000,12.54,12.6,12.54,12.6,588,0
BMC,60,20240416,130000,12.74,12.74,12.62,12.66,97,0
BMC,60,20240416,140000,12.62,12.62,12.5,12.5,228,0
BMC,60,20240416,150000,12.5,12.5,12.42,12.42,2541,0
BMC,60,20240416,160000,12.54,12.54,12.28,12.28,560,0
BMC,60,20240416,170000,12.3,12.32,11.96,12.3,4525,0
BMC,60,20240417,100000,12.2,12.2,11.92,12.2,416,0
BMC,60,20240417,110000,12.2,12.26,12.02,12.26,429,0
BMC,60,20240417,130000,12.24,12.24,12.04,12.04,36,0
BMC,60,20240417,140000,12.04,12.08,12.02,12.04,405,0
BMC,60,20240417,150000,12.2,12.2,12.04,12.04,261,0
BMC,60,20240417,160000,12.2,12.2,12.04,12.08,288,0
BMC,60,20240417,170000,12.08,12.22,12.04,12.06,422,0
BMC,60,20240418,100000,12.24,12.26,12.08,12.08,222,0
BMC,60,20240418,110000,12.08,12.26,12.08,12.26,483,0
BMC,60,20240418,120000,12.12,12.12,12.08,12.1,272,0
BMC,60,20240418,130000,12.08,13.3,12,12.78,12269,0
BMC,60,20240418,140000,13.06,13.14,12.62,12.62,2897,0
BMC,60,20240418,150000,12.62,12.78,12.54,12.56,1923,0
BMC,60,20240418,160000,12.56,12.56,12.48,12.48,2134,0
BMC,60,20240418,170000,12.48,12.52,12,12.02,8031,0
BMC,60,20240419,100000,12,12.36,12,12.26,2069,0
BMC,60,20240419,110000,12.26,12.34,12.24,12.24,6748,0
BMC,60,20240419,120000,12.2,12.28,12.14,12.28,1088,0
BMC,60,20240419,130000,12.16,12.16,12.16,12.16,2,0
BMC,60,20240419,140000,12.28,12.28,12.2,12.2,32,0
BMC,60,20240419,150000,12.2,12.2,12.14,12.14,1118,0
BMC,60,20240419,170000,12.12,12.2,12.06,12.12,1902,0
BMC,60,20240422,100000,12.24,12.26,12.04,12.26,729,0
BMC,60,20240422,110000,12.08,12.22,12.08,12.22,228,0
BMC,60,20240422,120000,12.1,12.2,12.04,12.04,1560,0
BMC,60,20240422,130000,12.08,12.1,12,12.1,1366,0
BMC,60,20240422,140000,12.14,12.2,12.14,12.2,554,0
BMC,60,20240422,150000,12.12,12.2,12.12,12.2,83,0
BMC,60,20240422,160000,12.2,12.44,12.2,12.44,4942,0
BMC,60,20240422,170000,12.4,12.42,12.38,12.4,3190,0
BMC,60,20240423,100000,12.5,12.62,12.22,12.44,1213,0
BMC,60,20240423,110000,12.32,12.32,12.26,12.26,340,0
BMC,60,20240423,120000,12.26,12.26,12.06,12.12,2720,0
BMC,60,20240423,130000,12.3,12.42,12.16,12.16,6579,0
BMC,60,20240423,140000,12.16,12.34,12.16,12.34,4,0
BMC,60,20240423,150000,12.28,12.34,12.28,12.28,199,0
BMC,60,20240423,160000,12.34,12.34,12.18,12.18,25,0
BMC,60,20240423,170000,12.24,12.34,12.24,12.34,386,0
BMC,60,20240424,100000,12.32,12.34,12.18,12.28,1350,0
BMC,60,20240424,110000,12.2,12.42,12.2,12.4,3574,0
BMC,60,20240424,120000,12.28,12.36,12.28,12.36,209,0
BMC,60,20240424,130000,12.3,12.3,12.28,12.28,607,0
BMC,60,20240424,140000,12.2,12.2,12.2,12.2,33,0
BMC,60,20240424,150000,12.3,12.3,12.22,12.22,483,0
BMC,60,20240424,160000,12.22,12.36,12.22,12.3,2236,0
BMC,60,20240424,170000,12.3,12.3,12.24,12.24,9006,0
BMC,60,20240425,100000,12.38,12.38,12.24,12.24,1226,0
BMC,60,20240425,110000,12.36,12.38,12.3,12.36,1811,0
BMC,60,20240425,120000,12.34,12.36,12.3,12.36,1115,0
BMC,60,20240425,130000,12.34,12.4,12.32,12.32,5354,0
BMC,60,20240425,140000,12.32,12.4,12.32,12.32,895,0
BMC,60,20240425,150000,12.32,12.36,12.3,12.36,362,0
BMC,60,20240425,160000,12.36,12.4,12.32,12.38,843,0
BMC,60,20240425,170000,12.36,12.38,12.32,12.32,7072,0
BMC,60,20240426,100000,12.4,12.44,12.3,12.44,1311,0
BMC,60,20240426,110000,12.44,12.46,12.44,12.46,300,0
BMC,60,20240426,120000,12.32,12.32,12.2,12.2,2557,0
BMC,60,20240426,130000,12.14,12.3,12.14,12.18,1332,0
BMC,60,20240426,140000,12.18,12.28,12.14,12.28,996,0
BMC,60,20240426,150000,12.16,12.16,12.16,12.16,100,0
BMC,60,20240426,160000,12.28,12.28,12.16,12.16,35,0
BMC,60,20240426,170000,12.18,12.2,12.14,12.16,2852,0
BMC,60,20240429,100000,12.16,12.3,12.14,12.3,1984,0
BMC,60,20240429,110000,12.22,12.24,12.22,12.24,192,0
BMC,60,20240429,120000,12.2,12.26,12.14,12.16,1577,0
BMC,60,20240429,130000,12.16,12.16,12.06,12.06,6914,0
BMC,60,20240429,140000,12.18,12.18,12.06,12.06,205,0
BMC,60,20240429,150000,12.06,12.06,12.06,12.06,200,0
BMC,60,20240429,160000,12.08,12.08,12.08,12.08,600,0
BMC,60,20240429,170000,12.08,12.14,12,12,5741,0
BMC,60,20240430,100000,12,12.1,11.92,11.92,2078,0
BMC,60,20240430,110000,11.92,12,11.78,12,1872,0
BMC,60,20240430,120000,12,12,11.9,11.9,456,0
BMC,60,20240430,130000,11.92,12.04,11.92,12,81,0
BMC,60,20240430,140000,11.94,12.08,11.9,11.9,325,0
BMC,60,20240430,150000,11.92,11.92,11.9,11.9,398,0
BMC,60,20240430,160000,12,12,12,12,50,0
BMC,60,20240430,170000,12,12,11.9,11.9,1297,0
BMC,60,20240502,100000,12.02,12.02,11.92,11.98,1050,0
BMC,60,20240502,110000,11.92,12,11.92,12,77,0
BMC,60,20240502,120000,12,12,11.92,11.92,371,0
BMC,60,20240502,130000,11.92,11.92,11.9,11.9,205,0
BMC,60,20240502,140000,11.88,11.92,11.8,11.92,202,0
BMC,60,20240502,150000,11.8,11.88,11.68,11.88,1245,0
BMC,60,20240502,160000,11.88,11.88,11.88,11.88,75,0
BMC,60,20240502,170000,11.88,11.96,11.82,11.82,513,0
BMC,60,20240506,100000,11.82,12.08,11.82,12.04,468,0
BMC,60,20240506,110000,12.04,12.18,12.04,12.18,3107,0
BMC,60,20240506,120000,12.1,12.16,12.1,12.16,800,0
BMC,60,20240506,130000,12.12,12.16,12.1,12.1,1673,0
BMC,60,20240506,140000,12.16,12.18,12.1,12.16,1195,0
BMC,60,20240506,150000,12.14,12.18,12.02,12.02,1634,0
BMC,60,20240506,160000,12.06,12.06,12.02,12.02,350,0
BMC,60,20240506,170000,12.08,12.1,12.02,12.02,771,0
BMC,60,20240507,100000,12,12.14,12,12.02,209,0
BMC,60,20240507,110000,12,12,11.98,11.98,487,0
BMC,60,20240507,120000,12,12,11.9,11.92,2169,0
BMC,60,20240507,130000,12,12,11.9,11.9,800,0
BMC,60,20240507,140000,12,12,11.9,11.9,149,0
BMC,60,20240507,150000,11.9,11.9,11.9,11.9,100,0
BMC,60,20240507,160000,11.9,11.98,11.8,11.98,1043,0
BMC,60,20240507,170000,11.84,11.84,11.84,11.84,108,0
BMC,60,20240508,100000,12.02,12.02,11.98,11.98,359,0
BMC,60,20240508,110000,11.86,11.86,11.84,11.84,391,0
BMC,60,20240508,120000,11.84,11.84,11.84,11.84,672,0
BMC,60,20240508,130000,11.84,11.96,11.82,11.96,229,0
