<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRS,60,20240411,100000,5.57073,5.58002,5.53359,5.53359,741.0157617904,0
BRS,60,20240411,120000,5.54288,5.54288,5.53359,5.53359,3538.1348509905,0
BRS,60,20240411,130000,5.54288,5.60787,5.49646,5.60787,22457.732048098,0
BRS,60,20240411,140000,5.61715,5.61715,5.60787,5.60787,680.7005253656,0
BRS,60,20240411,150000,5.58002,5.58002,5.58002,5.58002,60.315236424800005,0
BRS,60,20240411,160000,5.58002,5.60787,5.58002,5.58002,1395.8669001168,0
BRS,60,20240411,170000,5.58002,5.61715,5.58002,5.61715,2586.0157617133,0
BRS,60,20240412,100000,5.61715,5.61715,5.61715,5.61715,341.4273204761,0
BRS,60,20240412,110000,5.61715,5.61715,5.60787,5.60787,50.6217162851,0
BRS,60,20240412,120000,5.60787,5.60787,5.60787,5.60787,85.0875656707,0
BRS,60,20240412,130000,5.57073,5.57073,5.57073,5.57073,1.0770577933,0
BRS,60,20240412,140000,5.60787,5.60787,5.58002,5.58002,404.9737302808,0
BRS,60,20240412,150000,5.58002,5.59859,5.58002,5.59859,458.8266199458,0
BRS,60,20240412,160000,5.58002,5.58002,5.58002,5.58002,74.3169877377,0
BRS,60,20240412,170000,5.5893,5.5893,5.5893,5.5893,74.3169877377,0
BRS,60,20240415,100000,5.59859,5.64501,5.59859,5.64501,6028.2924691001,0
BRS,60,20240415,110000,5.64501,5.68215,5.64501,5.66358,6208.1611205812,0
BRS,60,20240415,120000,5.66358,5.66358,5.62644,5.63572,745.3239929636,0
BRS,60,20240415,130000,5.66358,5.66358,5.66358,5.66358,555.7618213428,0
BRS,60,20240415,140000,5.62644,5.64501,5.62644,5.64501,3625.3765322478,0
BRS,60,20240415,150000,5.64501,5.64501,5.64501,5.64501,2.1541155866,0
BRS,60,20240415,160000,5.60787,5.64501,5.60787,5.64501,62.4693520114,0
BRS,60,20240415,170000,5.64501,5.64501,5.60787,5.64501,798.0998248353,0
BRS,60,20240416,100000,5.64501,5.64501,5.64501,5.64501,1080.2889666799,0
BRS,60,20240416,110000,5.5893,5.5893,5.57073,5.58002,2168.1173379129,0
BRS,60,20240416,120000,5.5893,5.59859,5.5893,5.59859,1404.4833624632,0
BRS,60,20240416,130000,5.5893,5.64501,5.5893,5.61715,1106.1383537191,0
BRS,60,20240416,160000,5.58002,5.58002,5.53359,5.53359,3818.1698772485,0
BRS,60,20240416,170000,5.53359,5.62644,5.53359,5.62644,4118.6690015792,0
BRS,60,20240417,100000,5.60787,5.66358,5.57073,5.59859,4805.8318737046,0
BRS,60,20240417,110000,5.59859,5.63572,5.59859,5.63572,386.66374779470004,0
BRS,60,20240417,120000,5.62644,5.62644,5.5893,5.60787,928.4238178246,0
BRS,60,20240417,130000,5.62644,5.62644,5.60787,5.60787,18.3099824861,0
BRS,60,20240417,140000,5.62644,5.62644,5.60787,5.60787,378.04728544830004,0
BRS,60,20240417,150000,5.60787,5.60787,5.60787,5.60787,446.9789842195,0
BRS,60,20240417,160000,5.60787,5.83998,5.60787,5.72857,27083.6952703218,0
BRS,60,20240417,170000,5.70072,5.73785,5.60787,5.60787,33317.705777942,0
BRS,60,20240418,100000,5.60787,5.70072,5.60787,5.63572,6332.0227668107,0
BRS,60,20240418,110000,5.67286,5.72857,5.63572,5.70072,7774.2031520394,0
BRS,60,20240418,120000,5.70072,5.70072,5.62644,5.70072,3168.7040278886,0
BRS,60,20240418,130000,5.70072,5.72857,5.66358,5.66358,2299.5183886955,0
BRS,60,20240418,140000,5.65429,5.70072,5.63572,5.70072,609.6147110078,0
BRS,60,20240418,150000,5.70072,5.70072,5.64501,5.70072,473.905429052,0
BRS,60,20240418,160000,5.68215,5.69143,5.68215,5.69143,883.187390506,0
BRS,60,20240418,170000,5.69143,5.69143,5.66358,5.66358,1836.3835375765,0
BRS,60,20240419,100000,5.66358,5.70072,5.64501,5.64501,10736.112083614,0
BRS,60,20240419,110000,5.69143,5.69143,5.64501,5.64501,861.6462346400001,0
BRS,60,20240419,120000,5.64501,5.69143,5.64501,5.69143,3057.7670751787,0
BRS,60,20240419,130000,5.68215,5.68215,5.68215,5.68215,53.852889665000006,0
BRS,60,20240419,140000,5.68215,5.69143,5.64501,5.64501,474.9824868453,0
BRS,60,20240419,150000,5.69143,5.70072,5.69143,5.69143,2113.1873904546,0
BRS,60,20240419,170000,5.64501,5.69143,5.64501,5.68215,1725.4465848666,0
BRS,60,20240422,100000,5.68215,5.72857,5.68215,5.72857,5364.8248684273,0
