<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAP,60,20240411,100000,0.62,0.63,0.618,0.626,12617,0
CAP,60,20240411,110000,0.622,0.626,0.618,0.626,22924,0
CAP,60,20240411,120000,0.62,0.62,0.618,0.618,13300,0
CAP,60,20240411,130000,0.618,0.62,0.58,0.61,246649,0
CAP,60,20240411,140000,0.61,0.616,0.6,0.6,41182,0
CAP,60,20240411,150000,0.616,0.616,0.616,0.616,1796,0
CAP,60,20240411,160000,0.616,0.616,0.6,0.6,12938,0
CAP,60,20240411,170000,0.6,0.616,0.6,0.61,7976,0
CAP,60,20240412,100000,0.61,0.618,0.6,0.6,10334,0
CAP,60,20240412,110000,0.6,0.61,0.598,0.6,24356,0
CAP,60,20240412,120000,0.61,0.61,0.598,0.598,22686,0
CAP,60,20240412,130000,0.6,0.6,0.6,0.6,13000,0
CAP,60,20240412,140000,0.61,0.61,0.61,0.61,10,0
CAP,60,20240412,150000,0.6,0.61,0.6,0.6,13020,0
CAP,60,20240412,160000,0.6,0.608,0.6,0.6,22063,0
CAP,60,20240412,170000,0.598,0.6,0.598,0.6,43818,0
CAP,60,20240415,100000,0.598,0.618,0.59,0.596,57720,0
CAP,60,20240415,110000,0.592,0.604,0.59,0.59,77400,0
CAP,60,20240415,120000,0.6,0.6,0.59,0.6,15077,0
CAP,60,20240415,130000,0.6,0.6,0.6,0.6,50600,0
CAP,60,20240415,140000,0.6,0.6,0.6,0.6,6500,0
CAP,60,20240415,150000,0.604,0.604,0.592,0.592,817,0
CAP,60,20240415,160000,0.602,0.602,0.602,0.602,1210,0
CAP,60,20240415,170000,0.6,0.6,0.6,0.6,7000,0
CAP,60,20240416,100000,0.592,0.598,0.588,0.598,35000,0
CAP,60,20240416,110000,0.598,0.598,0.58,0.582,48210,0
CAP,60,20240416,120000,0.594,0.594,0.586,0.59,39096,0
CAP,60,20240416,130000,0.596,0.596,0.59,0.59,22070,0
CAP,60,20240416,140000,0.594,0.594,0.594,0.594,7000,0
CAP,60,20240416,150000,0.596,0.596,0.596,0.596,5000,0
CAP,60,20240416,160000,0.59,0.594,0.588,0.588,15020,0
CAP,60,20240416,170000,0.588,0.59,0.578,0.58,129653,0
CAP,60,20240417,100000,0.562,0.586,0.562,0.582,86376,0
CAP,60,20240417,110000,0.58,0.584,0.576,0.58,45548,0
CAP,60,20240417,120000,0.584,0.594,0.58,0.594,91109,0
CAP,60,20240417,130000,0.584,0.592,0.58,0.586,81345,0
CAP,60,20240417,140000,0.586,0.586,0.58,0.58,7293,0
CAP,60,20240417,150000,0.588,0.588,0.588,0.588,100,0
CAP,60,20240417,160000,0.588,0.588,0.588,0.588,3450,0
CAP,60,20240417,170000,0.584,0.586,0.576,0.58,17512,0
CAP,60,20240418,100000,0.58,0.592,0.58,0.58,4366,0
CAP,60,20240418,110000,0.592,0.602,0.588,0.602,61115,0
CAP,60,20240418,120000,0.602,0.602,0.582,0.582,25818,0
CAP,60,20240418,130000,0.59,0.596,0.58,0.58,33504,0
CAP,60,20240418,140000,0.594,0.6,0.58,0.6,37651,0
CAP,60,20240418,150000,0.586,0.596,0.58,0.588,26203,0
CAP,60,20240418,160000,0.59,0.59,0.586,0.586,55914,0
CAP,60,20240418,170000,0.586,0.59,0.578,0.59,211150,0
CAP,60,20240419,100000,0.59,0.59,0.576,0.576,39340,0
CAP,60,20240419,110000,0.588,0.588,0.57,0.572,25428,0
CAP,60,20240419,120000,0.582,0.582,0.576,0.578,30490,0
CAP,60,20240419,130000,0.578,0.58,0.576,0.58,101400,0
CAP,60,20240419,140000,0.582,0.584,0.582,0.584,10634,0
CAP,60,20240419,150000,0.584,0.586,0.582,0.582,13390,0
CAP,60,20240419,160000,0.582,0.588,0.58,0.588,24075,0
CAP,60,20240419,170000,0.582,0.584,0.576,0.584,33237,0
CAP,60,20240422,100000,0.58,0.586,0.572,0.584,46030,0
CAP,60,20240422,110000,0.578,0.58,0.578,0.58,184500,0
CAP,60,20240422,120000,0.58,0.58,0.572,0.58,40662,0
CAP,60,20240422,130000,0.58,0.58,0.58,0.58,39011,0
CAP,60,20240422,140000,0.578,0.578,0.578,0.578,9500,0
CAP,60,20240422,150000,0.58,0.58,0.58,0.58,2812,0
CAP,60,20240422,160000,0.58,0.58,0.58,0.58,3000,0
CAP,60,20240422,170000,0.578,0.58,0.578,0.58,1964,0
CAP,60,20240423,100000,0.578,0.58,0.576,0.58,16574,0
CAP,60,20240423,110000,0.576,0.584,0.576,0.584,63028,0
CAP,60,20240423,120000,0.584,0.598,0.578,0.598,66476,0
CAP,60,20240423,130000,0.596,0.596,0.596,0.596,2494,0
CAP,60,20240423,150000,0.584,0.584,0.578,0.578,42158,0
CAP,60,20240423,160000,0.58,0.586,0.58,0.586,34408,0
CAP,60,20240423,170000,0.588,0.588,0.58,0.58,35164,0
CAP,60,20240424,100000,0.582,0.588,0.58,0.586,56255,0
CAP,60,20240424,110000,0.588,0.588,0.584,0.584,10268,0
CAP,60,20240424,120000,0.582,0.582,0.578,0.578,27829,0
CAP,60,20240424,130000,0.586,0.586,0.58,0.58,5000,0
CAP,60,20240424,140000,0.58,0.58,0.576,0.578,42606,0
CAP,60,20240424,150000,0.574,0.58,0.574,0.58,14393,0
CAP,60,20240424,160000,0.58,0.58,0.58,0.58,8732,0
CAP,60,20240424,170000,0.58,0.58,0.58,0.58,11500,0
CAP,60,20240425,100000,0.586,0.586,0.58,0.58,5937,0
CAP,60,20240425,110000,0.58,0.58,0.58,0.58,10000,0
CAP,60,20240425,120000,0.58,0.58,0.576,0.578,18035,0
CAP,60,20240425,130000,0.578,0.578,0.574,0.574,9986,0
CAP,60,20240425,140000,0.574,0.578,0.574,0.578,13080,0
CAP,60,20240425,150000,0.578,0.578,0.576,0.576,10000,0
CAP,60,20240425,160000,0.576,0.576,0.576,0.576,10000,0
CAP,60,20240425,170000,0.574,0.576,0.572,0.576,17551,0
CAP,60,20240426,100000,0.578,0.578,0.57,0.574,90145,0
CAP,60,20240426,110000,0.574,0.578,0.57,0.578,39471,0
CAP,60,20240426,120000,0.57,0.57,0.57,0.57,29722,0
CAP,60,20240426,130000,0.576,0.576,0.576,0.576,7790,0
CAP,60,20240426,140000,0.574,0.574,0.574,0.574,5000,0
CAP,60,20240426,150000,0.57,0.57,0.568,0.568,16440,0
CAP,60,20240426,160000,0.568,0.572,0.568,0.572,4200,0
CAP,60,20240426,170000,0.568,0.568,0.568,0.568,1300,0
CAP,60,20240429,100000,0.57,0.574,0.57,0.574,26620,0
CAP,60,20240429,110000,0.578,0.578,0.578,0.578,500,0
CAP,60,20240429,120000,0.578,0.584,0.578,0.584,16500,0
CAP,60,20240429,130000,0.586,0.586,0.584,0.586,40917,0
CAP,60,20240429,140000,0.584,0.584,0.58,0.58,1300,0
CAP,60,20240429,150000,0.58,0.584,0.58,0.584,9550,0
CAP,60,20240429,160000,0.584,0.586,0.58,0.582,39974,0
CAP,60,20240429,170000,0.586,0.586,0.58,0.586,13400,0
CAP,60,20240430,100000,0.586,0.586,0.586,0.586,10322,0
CAP,60,20240430,110000,0.578,0.578,0.578,0.578,5956,0
CAP,60,20240430,120000,0.578,0.586,0.572,0.58,6130,0
CAP,60,20240430,130000,0.574,0.58,0.57,0.58,49373,0
CAP,60,20240430,140000,0.58,0.582,0.57,0.58,122288,0
CAP,60,20240430,150000,0.572,0.572,0.57,0.57,27481,0
CAP,60,20240430,160000,0.576,0.576,0.57,0.57,6750,0
CAP,60,20240430,170000,0.57,0.576,0.568,0.576,34925,0
CAP,60,20240502,100000,0.58,0.582,0.57,0.58,86271,0
CAP,60,20240502,110000,0.58,0.582,0.57,0.572,160867,0
CAP,60,20240502,120000,0.57,0.58,0.568,0.57,77154,0
CAP,60,20240502,130000,0.57,0.576,0.568,0.568,64165,0
