<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAV,60,20240411,130000,15.9,16,15.9,16,51,0
CAV,60,20240411,140000,16,16,16,16,20,0
CAV,60,20240412,120000,15.8,15.8,15.8,15.8,20,0
CAV,60,20240412,140000,15.75,15.75,15.7,15.7,108,0
CAV,60,20240415,110000,15.95,16.2,15.95,16.1,116,0
CAV,60,20240415,120000,16,16,16,16,5,0
CAV,60,20240415,150000,16.15,16.25,16.15,16.25,166,0
CAV,60,20240415,160000,16.25,16.3,16.25,16.3,95,0
CAV,60,20240415,170000,16.2,16.2,16.2,16.2,10,0
CAV,60,20240416,100000,16,16,15.7,16,1015,0
CAV,60,20240416,120000,15.7,15.7,15.7,15.7,30,0
CAV,60,20240416,170000,15.95,16,15.95,16,31,0
CAV,60,20240417,100000,15.65,15.65,15.65,15.65,14,0
CAV,60,20240417,110000,15.9,15.9,15.9,15.9,10,0
CAV,60,20240417,140000,15.65,15.65,15.65,15.65,25,0
CAV,60,20240417,170000,15.9,15.9,15.9,15.9,5,0
CAV,60,20240418,120000,15.9,15.9,15.9,15.9,24,0
CAV,60,20240419,110000,15.85,15.9,15.85,15.9,100,0
CAV,60,20240422,100000,15.9,15.9,15.9,15.9,7,0
CAV,60,20240422,120000,15.7,15.7,15.6,15.6,157,0
CAV,60,20240423,140000,15.6,15.6,15.35,15.35,589,0
CAV,60,20240423,170000,15.35,15.35,15.35,15.35,125,0
CAV,60,20240424,130000,15.3,15.3,15.25,15.25,17,0
CAV,60,20240425,100000,15.5,15.55,15.5,15.55,11,0
CAV,60,20240425,110000,15.45,15.45,15.45,15.45,2,0
CAV,60,20240426,130000,15.45,16,15.45,16,1250,0
CAV,60,20240426,170000,15.55,15.9,15.55,15.9,26,0
CAV,60,20240429,100000,16,16,15.25,15.25,1097,0
CAV,60,20240429,110000,15.6,15.6,15.6,15.6,50,0
CAV,60,20240430,100000,15.5,15.5,15.2,15.2,322,0
CAV,60,20240430,120000,15.2,15.2,15,15,198,0
CAV,60,20240430,160000,15.3,15.3,15.3,15.3,1,0
CAV,60,20240430,170000,15.3,15.45,15,15.45,273,0
CAV,60,20240506,100000,15.85,16,15.45,15.45,459,0
CAV,60,20240506,140000,15.45,15.45,14.95,14.95,1378,0
CAV,60,20240506,150000,14.95,15,14.95,15,258,0
CAV,60,20240506,160000,14.95,14.95,14.1,14.45,4088,0
CAV,60,20240506,170000,14.5,14.6,14.5,14.6,705,0
CAV,60,20240507,100000,14.6,14.9,14.6,14.9,1804,0
CAV,60,20240507,110000,14.95,15.05,14.95,15,376,0
CAV,60,20240507,120000,15,15,15,15,1,0
CAV,60,20240507,130000,15,15.1,15,15.1,200,0
CAV,60,20240507,160000,15.1,15.1,15.1,15.1,20,0
CAV,60,20240508,120000,15,15,15,15,100,0
CAV,60,20240508,160000,15.05,15.1,15.05,15.1,272,0
CAV,60,20240508,170000,15.1,15.1,15.1,15.1,3,0
CAV,60,20240509,100000,15.1,15.1,14.6,14.6,2066,0
CAV,60,20240509,110000,14.85,14.85,14.85,14.85,100,0
CAV,60,20240509,130000,14.9,14.9,14.9,14.9,104,0
CAV,60,20240509,140000,14.9,14.9,14.9,14.9,17,0
CAV,60,20240509,150000,14.9,14.95,14.9,14.95,125,0
CAV,60,20240510,130000,14.85,14.85,14.7,14.7,142,0
CAV,60,20240510,140000,14.7,14.7,14.7,14.7,4,0
CAV,60,20240510,170000,14.95,14.95,14.95,14.95,10,0
CAV,60,20240513,100000,14.95,14.95,14.45,14.5,2712,0
CAV,60,20240513,110000,14.5,14.55,14.5,14.55,231,0
CAV,60,20240513,120000,14.55,14.6,14.55,14.6,193,0
CAV,60,20240513,150000,14.6,14.6,14.6,14.6,82,0
CAV,60,20240513,160000,14.65,14.7,14.6,14.7,210,0
CAV,60,20240514,100000,14.6,14.65,14.6,14.65,286,0
CAV,60,20240514,140000,14.7,14.7,14.7,14.7,49,0
CAV,60,20240514,150000,14.65,14.65,14.6,14.65,340,0
CAV,60,20240514,160000,14.65,14.65,14.65,14.65,244,0
CAV,60,20240514,170000,14.7,14.7,14.7,14.7,100,0
CAV,60,20240515,100000,14.75,14.75,14.75,14.75,21,0
CAV,60,20240515,110000,14.7,14.7,14.7,14.7,25,0
CAV,60,20240515,120000,14.7,14.8,14.7,14.8,100,0
CAV,60,20240515,130000,14.8,14.8,14.8,14.8,238,0
CAV,60,20240516,100000,14.9,14.9,14.9,14.9,100,0
CAV,60,20240516,110000,14.95,15,14.95,15,174,0
CAV,60,20240516,120000,14.8,14.8,14.8,14.8,82,0
CAV,60,20240516,150000,15,15,15,15,5,0
CAV,60,20240517,100000,14.95,14.95,14.6,14.6,2350,0
CAV,60,20240517,110000,14.65,14.7,14.65,14.7,136,0
CAV,60,20240517,170000,14.7,14.8,14.6,14.8,1280,0
CAV,60,20240520,100000,14.8,14.85,14.8,14.85,140,0
CAV,60,20240520,110000,14.85,14.85,14.85,14.85,20,0
CAV,60,20240520,120000,14.85,14.9,14.6,14.9,132,0
CAV,60,20240520,150000,14.8,14.8,14.8,14.8,3,0
CAV,60,20240520,160000,14.9,15,14.9,15,190,0
CAV,60,20240520,170000,15,15.1,15,15.1,142,0
CAV,60,20240521,110000,15.1,15.1,15.1,15.1,400,0
CAV,60,20240521,170000,15.1,15.1,15.1,15.1,124,0
CAV,60,20240522,100000,15.2,15.2,14.85,14.85,343,0
CAV,60,20240522,120000,15.15,15.15,15.15,15.15,10,0
CAV,60,20240523,130000,15.15,15.15,15.15,15.15,125,0
CAV,60,20240523,140000,15.15,15.7,15.15,15.7,769,0
CAV,60,20240523,170000,15.65,15.7,15.65,15.7,65,0
CAV,60,20240524,100000,15.7,15.7,15.7,15.7,3,0
CAV,60,20240524,130000,15.4,15.4,15.2,15.2,300,0
CAV,60,20240524,150000,15.65,15.7,15.65,15.7,15,0
CAV,60,20240527,100000,15.65,15.65,15.65,15.65,104,0
CAV,60,20240527,120000,15.6,15.6,15.6,15.6,2,0
CAV,60,20240527,130000,15.6,15.6,15.6,15.6,38,0
CAV,60,20240527,170000,15.6,15.6,15.6,15.6,10,0
CAV,60,20240528,100000,15.3,15.3,15.3,15.3,1884,0
CAV,60,20240528,120000,15.2,15.45,15.2,15.45,616,0
CAV,60,20240528,130000,15.45,15.45,15.45,15.45,800,0
CAV,60,20240528,160000,15.3,15.4,15.3,15.4,534,0
CAV,60,20240528,170000,15.2,15.2,15.2,15.2,114,0
CAV,60,20240529,100000,15.15,15.15,14.9,14.9,1754,0
CAV,60,20240529,150000,14.9,14.9,14.9,14.9,60,0
CAV,60,20240531,100000,14.7,14.95,14.7,14.95,255,0
CAV,60,20240531,110000,14.95,14.95,14.8,14.8,2,0
CAV,60,20240531,120000,14.8,14.8,14.8,14.8,2,0
CAV,60,20240531,140000,14.7,14.8,14.7,14.8,155,0
CAV,60,20240531,160000,14.7,14.7,14.7,14.7,22,0
CAV,60,20240531,170000,14.6,14.6,14.6,14.6,228,0
CAV,60,20240603,100000,14.6,15,14.6,15,70,0
CAV,60,20240603,130000,14.7,15,14.7,15,146,0
CAV,60,20240604,150000,14.7,14.7,14.7,14.7,30,0
CAV,60,20240604,170000,14.9,15.15,14.9,15.15,930,0
CAV,60,20240606,120000,14.95,15.15,14.95,15.15,41,0
CAV,60,20240606,150000,15.15,15.15,14.6,14.6,2560,0
CAV,60,20240606,160000,15.15,15.15,15.15,15.15,10,0
CAV,60,20240607,100000,14.6,14.6,14.55,14.6,427,0
CAV,60,20240607,110000,14.9,15.05,14.6,14.6,204,0
CAV,60,20240607,150000,14.65,14.65,14.6,14.6,214,0
CAV,60,20240607,170000,14.9,15,14.9,15,91,0
CAV,60,20240610,100000,14.6,14.9,14.55,14.9,185,0
CAV,60,20240610,170000,14.8,14.95,14.8,14.95,541,0
CAV,60,20240611,120000,14.8,14.8,14.8,14.8,60,0
CAV,60,20240611,170000,14.6,14.6,14.55,14.55,940,0
CAV,60,20240612,100000,14.7,14.95,14.7,14.95,30,0
CAV,60,20240612,120000,14.7,14.7,14.5,14.5,1351,0
CAV,60,20240612,130000,14.95,14.95,14.95,14.95,10,0
CAV,60,20240612,140000,14.95,14.95,14.5,14.5,145,0
CAV,60,20240612,150000,14.95,14.95,14.95,14.95,5,0
CAV,60,20240613,100000,14.7,15,14.6,15,281,0
CAV,60,20240613,120000,14.95,14.95,14.95,14.95,1,0
CAV,60,20240613,130000,14.95,15.45,14.95,15.45,2524,0
CAV,60,20240613,160000,15.2,15.2,15.05,15.05,1357,0
CAV,60,20240613,170000,15,15,15,15,100,0
CAV,60,20240614,100000,15.4,15.45,15.4,15.45,30,0
CAV,60,20240614,110000,14.95,14.95,14.95,14.95,60,0
CAV,60,20240614,120000,15.4,15.45,15.4,15.45,33,0
CAV,60,20240614,130000,14.95,15.45,14.95,15.45,58,0
CAV,60,20240614,140000,15.45,15.45,15.45,15.45,7,0
CAV,60,20240617,100000,15.4,15.4,15.4,15.4,5,0
CAV,60,20240617,140000,15.2,15.2,15.2,15.2,494,0
CAV,60,20240618,100000,15.05,15.05,14.75,14.75,1197,0
CAV,60,20240618,110000,14.7,15.15,14.7,15.15,24,0
CAV,60,20240618,120000,14.7,14.7,14.45,14.45,1074,0
CAV,60,20240618,130000,14.4,14.7,14.4,14.7,762,0
CAV,60,20240619,150000,14.6,14.75,14.6,14.75,383,0
CAV,60,20240619,160000,14.7,14.7,14.6,14.6,1137,0
CAV,60,20240620,100000,14.55,14.55,14.55,14.55,845,0
CAV,60,20240620,120000,14.7,14.7,14.7,14.7,20,0
CAV,60,20240620,130000,14.55,14.55,14.55,14.55,127,0
CAV,60,20240620,140000,14.7,14.7,14.7,14.7,25,0
CAV,60,20240620,160000,14.55,14.55,14.55,14.55,127,0
CAV,60,20240621,110000,14.75,14.75,14.75,14.75,8,0
CAV,60,20240621,170000,14.55,14.55,14.55,14.55,200,0
CAV,60,20240624,100000,14.75,14.75,14.75,14.75,8,0
CAV,60,20240625,120000,14.6,14.6,14.6,14.6,4,0
CAV,60,20240626,100000,14.6,14.6,14.6,14.6,4,0
CAV,60,20240626,110000,14.7,14.7,14.7,14.7,17,0
CAV,60,20240626,150000,14.75,14.75,14.75,14.75,50,0
CAV,60,20240627,130000,14.65,14.8,14.2,14.2,3635,0
CAV,60,20240627,150000,14.85,14.85,14.85,14.85,1000,0
CAV,60,20240701,100000,14,14.3,13.95,14.25,3177,0
CAV,60,20240701,110000,14.25,14.25,14.25,14.25,100,0
CAV,60,20240701,120000,14.25,14.25,14.25,14.25,445,0
CAV,60,20240701,130000,14.3,14.3,14.3,14.3,50,0
CAV,60,20240701,170000,14,14,14,14,86,0
CAV,60,20240702,100000,14.4,14.4,14.4,14.4,10,0
CAV,60,20240702,120000,14.35,14.4,14.35,14.4,300,0
CAV,60,20240703,100000,14.35,14.55,14.35,14.55,750,0
CAV,60,20240703,130000,14.7,14.7,14.7,14.7,10,0
CAV,60,20240703,160000,14.2,14.2,14.2,14.2,6,0
CAV,60,20240703,170000,14.2,14.7,14.1,14.7,1492,0
CAV,60,20240704,110000,14.1,14.1,14.1,14.1,850,0
