<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBF,60,20240411,100000,107.718,108.212,104.259,105.741,1844.7023809437,0
CBF,60,20240411,110000,104.753,106.729,102.776,106.729,3311.9642856986998,0
CBF,60,20240411,120000,106.729,106.729,105.741,106.235,119.4047619042,0
CBF,60,20240411,130000,106.235,106.729,106.235,106.729,66.7857142854,0
CBF,60,20240411,140000,106.729,106.729,106.235,106.235,37.4404761903,0
CBF,60,20240411,150000,106.235,106.729,106.235,106.235,35.4166666665,0
CBF,60,20240411,160000,106.729,106.729,106.235,106.235,103.2142857138,0
CBF,60,20240411,170000,106.729,106.729,105.741,105.741,363.2738095221,0
CBF,60,20240412,100000,106.729,107.224,104.259,106.235,1415.6547618981,0
CBF,60,20240412,110000,106.729,106.729,104.753,105.741,195.2976190467,0
CBF,60,20240412,120000,105.741,105.741,105.741,105.741,1.0119047619,0
CBF,60,20240412,130000,105.741,105.741,104.753,104.753,28.333333333199995,0
CBF,60,20240412,140000,104.753,106.235,104.259,104.259,607.14285714,0
CBF,60,20240412,150000,105.247,106.235,104.259,106.235,4055.7142856952,0
CBF,60,20240412,160000,104.753,106.235,104.753,105.741,3066.071428557,0
CBF,60,20240412,170000,105.741,105.741,105.247,105.741,3101.4880952235,0
CBF,60,20240415,100000,106.235,107.224,104.753,105.741,1166.7261904707,0
CBF,60,20240415,110000,106.235,106.729,106.235,106.235,320.7738095223,0
CBF,60,20240415,120000,106.235,107.224,106.235,107.224,181.1309523801,0
CBF,60,20240415,130000,107.224,107.224,105.741,105.741,3133.8690476043,0
CBF,60,20240415,140000,105.741,105.741,105.741,105.741,20.238095238,0
CBF,60,20240415,150000,106.729,106.729,106.729,106.729,9.1071428571,0
CBF,60,20240415,160000,105.741,106.729,105.741,106.235,525.1785714260999,0
CBF,60,20240415,170000,106.729,107.718,106.235,107.718,1910.4761904672,0
CBF,60,20240416,100000,108.706,109.694,107.718,109.694,1901.3690476101,0
CBF,60,20240416,110000,109.2,110.682,109.2,110.682,922.8571428528,0
CBF,60,20240416,120000,110.682,110.682,110.188,110.682,454.34523809309997,0
CBF,60,20240416,130000,110.682,110.682,108.706,110.682,781.1904761868,0
CBF,60,20240416,140000,108.706,110.188,107.718,110.188,1611.9642857067,0
CBF,60,20240416,150000,110.188,110.188,107.718,109.694,81.9642857139,0
CBF,60,20240416,160000,110.188,110.188,108.212,108.212,473.5714285692,0
CBF,60,20240416,170000,108.212,108.706,106.729,106.729,522.1428571404,0
CBF,60,20240417,100000,108.706,108.706,107.224,107.718,164.9404761897,0
CBF,60,20240417,110000,107.718,108.212,107.718,108.212,106.2499999995,0
CBF,60,20240417,120000,108.706,111.176,108.706,111.176,764.9999999964,0
CBF,60,20240417,130000,110.682,111.176,109.2,110.682,790.2976190439,0
CBF,60,20240417,140000,110.682,110.682,110.682,110.682,157.8571428564,0
CBF,60,20240417,150000,109.2,110.188,108.706,110.188,149.7619047612,0
CBF,60,20240417,160000,110.188,110.188,108.706,110.188,195.2976190467,0
CBF,60,20240417,170000,109.2,110.682,107.718,109.694,1997.4999999906,0
CBF,60,20240418,100000,110.682,111.176,110.188,110.188,487.7380952358,0
CBF,60,20240418,110000,110.682,111.176,110.682,111.176,40.476190476,0
CBF,60,20240418,120000,111.176,111.176,110.188,110.682,654.7023809493,0
CBF,60,20240418,130000,110.188,110.188,110.188,110.188,105.23809523759999,0
CBF,60,20240418,140000,110.188,110.682,109.694,110.188,5131.3690475949,0
CBF,60,20240418,150000,110.188,110.682,109.694,110.682,513.0357142833,0
CBF,60,20240418,160000,110.682,110.682,110.682,110.682,15.178571428499998,0
CBF,60,20240418,170000,110.682,112.165,110.682,111.671,1494.5833333263,0
CBF,60,20240419,100000,112.165,115.624,112.165,114.141,9462.3214285269,0
CBF,60,20240419,110000,114.141,115.624,113.153,115.624,6403.3333333032,0
CBF,60,20240419,120000,115.129,115.624,114.141,115.624,416.9047619028,0
CBF,60,20240419,130000,113.647,115.624,113.647,114.141,81.9642857139,0
CBF,60,20240419,140000,114.635,115.624,113.647,115.624,838.8690476151,0
CBF,60,20240419,150000,115.624,116.118,115.624,115.624,1460.1785714217,0
CBF,60,20240419,160000,116.118,116.118,115.624,115.624,686.0714285682,0
CBF,60,20240419,170000,116.118,116.118,115.624,116.118,744.7619047584,0
CBF,60,20240422,100000,116.118,118.094,116.118,117.106,2739.2261904633,0
CBF,60,20240422,110000,117.6,117.6,116.118,116.612,3604.4047618878,0
CBF,60,20240422,120000,116.118,116.118,115.129,115.129,183.1547619039,0
CBF,60,20240422,130000,114.635,115.624,114.635,115.624,591.9642857115,0
CBF,60,20240422,140000,114.635,116.118,114.635,115.624,478.6309523787,0
CBF,60,20240422,150000,115.129,116.118,115.129,116.118,177.0833333325,0
CBF,60,20240422,160000,116.118,116.118,115.129,115.624,101.19047618999998,0
CBF,60,20240422,170000,115.129,116.118,114.635,115.129,325.8333333318,0
CBF,60,20240423,100000,115.624,116.118,115.624,115.624,492.7976190453,0
CBF,60,20240423,110000,116.118,116.118,115.129,115.129,514.0476190452,0
CBF,60,20240423,120000,115.624,116.118,115.129,115.129,550.4761904736,0
CBF,60,20240423,130000,115.624,116.118,115.129,115.624,1438.9285714218,0
CBF,60,20240423,140000,115.624,115.624,115.624,115.624,40.476190476,0
CBF,60,20240423,150000,115.624,115.624,114.141,114.141,904.6428571386,0
CBF,60,20240423,160000,114.635,115.129,114.141,114.635,339.9999999984,0
CBF,60,20240423,170000,114.635,116.118,114.635,116.118,1085.7738095187,0
CBF,60,20240424,100000,116.118,116.118,113.153,113.647,985.5952380906,0
CBF,60,20240424,110000,113.647,114.635,113.647,114.635,284.3452380939,0
CBF,60,20240424,120000,115.129,115.129,110.188,110.682,1622.0833333257,0
CBF,60,20240424,130000,111.176,112.165,110.682,111.176,884.4047619006,0
CBF,60,20240424,140000,111.671,111.671,110.188,111.671,745.7738095203,0
CBF,60,20240424,150000,111.671,112.659,111.671,112.659,168.98809523729997,0
CBF,60,20240424,160000,113.153,113.153,111.176,111.176,737.6785714251,0
CBF,60,20240424,170000,111.671,111.671,110.188,110.188,551.4880952355,0
CBF,60,20240425,100000,110.188,111.176,110.188,110.682,273.214285713,0
CBF,60,20240425,110000,110.682,110.682,109.2,110.682,1157.6190476136,0
CBF,60,20240425,120000,110.188,110.682,110.188,110.682,59.7023809521,0
CBF,60,20240425,130000,110.682,111.671,110.682,111.671,261.0714285702,0
CBF,60,20240425,150000,111.176,111.176,111.176,111.176,40.476190476,0
CBF,60,20240425,160000,111.176,111.176,108.706,108.706,835.8333333294,0
CBF,60,20240425,170000,107.718,107.718,106.729,106.729,798.3928571391,0
CBF,60,20240426,100000,107.718,111.176,106.729,107.718,1231.4880952323,0
CBF,60,20240426,110000,106.729,110.188,106.729,107.718,592.9761904734,0
CBF,60,20240426,120000,108.212,110.682,108.212,110.682,190.2380952372,0
CBF,60,20240426,130000,110.188,111.176,110.188,111.176,247.9166666655,0
CBF,60,20240426,140000,111.671,112.165,111.176,112.165,99.1666666662,0
CBF,60,20240426,150000,112.165,112.659,110.682,112.659,484.7023809501,0
CBF,60,20240426,160000,112.659,112.659,112.165,112.659,237.7976190465,0
CBF,60,20240426,170000,112.659,112.659,110.682,110.682,233.7499999989,0
CBF,60,20240429,100000,112.659,113.647,111.671,113.647,233.7499999989,0
CBF,60,20240429,110000,113.647,114.141,113.647,114.141,733.6309523775,0
CBF,60,20240429,120000,113.647,113.647,112.659,113.647,248.9285714274,0
CBF,60,20240429,130000,113.647,113.647,113.647,113.647,5.0595238095,0
CBF,60,20240429,140000,113.647,113.647,113.647,113.647,171.0119047611,0
CBF,60,20240429,160000,113.647,114.141,113.647,114.141,225.65476190369998,0
CBF,60,20240429,170000,113.647,114.141,113.647,114.141,454.3452380931,0
CBF,60,20240430,100000,112.165,114.141,107.718,109.694,2494.3452380835,0
CBF,60,20240430,110000,109.694,110.682,109.694,110.188,2288.9285714178,0
CBF,60,20240430,120000,109.694,111.176,109.694,111.176,1041.2499999951,0
CBF,60,20240430,130000,111.176,112.659,111.176,112.659,309.6428571414,0
CBF,60,20240430,140000,111.671,111.671,111.671,111.671,172.023809523,0
CBF,60,20240430,150000,112.659,112.659,111.671,111.671,44.5238095236,0
CBF,60,20240430,160000,112.165,112.659,111.671,112.659,136.6071428565,0
CBF,60,20240430,170000,112.165,112.659,109.694,110.188,1405.5357142791,0
CBF,60,20240502,100000,112.659,112.659,109.694,109.694,167.9761904754,0
CBF,60,20240502,110000,109.694,110.682,109.694,110.682,14.166666666599998,0
CBF,60,20240502,120000,109.694,109.694,109.2,109.694,268.1547619035,0
CBF,60,20240502,130000,109.694,112.659,109.694,112.659,188.2142857134,0
CBF,60,20240502,140000,112.659,112.659,112.659,112.659,105.2380952376,0
CBF,60,20240502,150000,112.659,113.647,112.165,112.165,126.4880952375,0
CBF,60,20240502,160000,112.165,112.165,109.2,109.2,399.7023809505,0
CBF,60,20240502,170000,109.694,111.176,109.2,109.2,854.0476190436,0
CBF,60,20240506,100000,111.176,112.659,109.694,110.188,708.33333333,0
CBF,60,20240506,110000,110.682,110.682,109.694,109.694,877.3214285673,0
CBF,60,20240506,120000,109.694,109.694,106.729,108.706,1212.2619047562,0
CBF,60,20240506,130000,108.706,108.706,107.718,107.718,560.5952380926,0
CBF,60,20240506,140000,108.212,108.706,107.718,108.706,224.6428571418,0
CBF,60,20240506,150000,108.706,111.176,108.706,111.176,177.0833333325,0
CBF,60,20240506,160000,111.176,111.671,108.706,108.706,560.5952380926,0
CBF,60,20240506,170000,109.694,111.176,109.694,111.176,275.2380952368,0
CBF,60,20240507,100000,110.682,112.165,110.682,110.682,243.8690476179,0
CBF,60,20240507,110000,111.176,112.165,111.176,111.671,235.7738095227,0
CBF,60,20240507,120000,112.165,113.153,112.165,112.165,659.7619047588,0
CBF,60,20240507,130000,112.659,113.647,112.165,112.165,163.9285714278,0
CBF,60,20240507,140000,112.165,112.165,112.165,112.165,102.2023809519,0
CBF,60,20240507,150000,112.165,112.165,110.682,112.165,157.8571428564,0
