<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCC,60,20240411,100000,67.6,68,67.4,67.65,27110,0
CCC,60,20240411,110000,67.65,68.1,67.6,68.1,23540,0
CCC,60,20240411,120000,68.05,68.25,67.7,68,17467,0
CCC,60,20240411,130000,68.15,68.3,68.05,68.3,11482,0
CCC,60,20240411,140000,68.2,68.8,67.95,68.45,29414,0
CCC,60,20240411,150000,68.45,68.7,68,68.3,18654,0
CCC,60,20240411,160000,68.3,68.5,67.9,68,31381,0
CCC,60,20240411,170000,68,68.2,67.6,68.1,37151,0
CCC,60,20240412,100000,68.8,70.1,68.8,69.75,57167,0
CCC,60,20240412,110000,69.8,70.3,69.8,70.1,22590,0
CCC,60,20240412,120000,70.15,72,70,71.8,70552,0
CCC,60,20240412,130000,71.8,72.25,71.2,71.25,69546,0
CCC,60,20240412,140000,71.45,72.1,71.2,71.9,58762,0
CCC,60,20240412,150000,71.95,72,70.5,70.5,40813,0
CCC,60,20240412,160000,70.6,71.2,70.6,71,26287,0
CCC,60,20240412,170000,71,71.7,70.85,71.25,78502,0
CCC,60,20240415,100000,72.25,76.7,72.25,76.2,299602,0
CCC,60,20240415,110000,76.2,76.8,75.75,76.45,79064,0
CCC,60,20240415,120000,76.6,80,76.5,78.7,176961,0
CCC,60,20240415,130000,78.65,81.35,78.65,80.85,163084,0
CCC,60,20240415,140000,80.9,81,79.2,80.2,159752,0
CCC,60,20240415,150000,80.2,83,80.1,82.2,170460,0
CCC,60,20240415,160000,82.2,83.9,81.05,82.5,130850,0
CCC,60,20240415,170000,82.5,83,81.6,83,238027,0
CCC,60,20240416,100000,82.1,84.9,80,83.65,173086,0
CCC,60,20240416,110000,83.55,84.9,83.2,84.9,97161,0
CCC,60,20240416,120000,84.9,87.4,84.45,85.6,180818,0
CCC,60,20240416,130000,85.6,85.85,82.7,84.5,66413,0
CCC,60,20240416,140000,84.5,84.85,82.9,83.8,80171,0
CCC,60,20240416,150000,83.6,83.6,82.5,82.95,55674,0
CCC,60,20240416,160000,82.95,82.95,78.9,80.6,180160,0
CCC,60,20240416,170000,80.7,80.9,79.5,80.65,88086,0
CCC,60,20240417,100000,80.65,82.25,79.8,82.25,65783,0
CCC,60,20240417,110000,82.25,82.3,79.75,80.15,40642,0
CCC,60,20240417,120000,80.15,80.25,78.2,79.25,51058,0
CCC,60,20240417,130000,79.15,79.9,78.5,78.7,17272,0
CCC,60,20240417,140000,78.6,80.3,78.6,79.85,45912,0
CCC,60,20240417,150000,79.7,81.4,79.5,80.75,30118,0
CCC,60,20240417,160000,80.6,81.2,80.55,81.15,27688,0
CCC,60,20240417,170000,81.05,81.1,80.05,80.05,31720,0
CCC,60,20240418,100000,81.1,81.95,79.6,81.5,22267,0
CCC,60,20240418,110000,81.2,81.3,79.45,79.65,27696,0
CCC,60,20240418,120000,79.45,80.5,79.45,80.25,17891,0
CCC,60,20240418,130000,80.25,81.25,79.85,81.25,16250,0
CCC,60,20240418,140000,81.3,81.7,80.6,80.6,13869,0
CCC,60,20240418,150000,80.6,81.15,80.25,80.25,9662,0
CCC,60,20240418,160000,80.25,82.05,80.25,81.9,27238,0
CCC,60,20240418,170000,81.9,83,81.75,83,60211,0
CCC,60,20240419,100000,82.5,83.7,81.6,82.15,28630,0
CCC,60,20240419,110000,82,82.6,82,82.3,8447,0
CCC,60,20240419,120000,82.25,82.75,82.05,82.7,7083,0
CCC,60,20240419,130000,82.8,82.9,82.5,82.75,4789,0
CCC,60,20240419,140000,82.9,82.9,82.35,82.45,3749,0
CCC,60,20240419,150000,82.5,82.9,82.45,82.7,7627,0
CCC,60,20240419,160000,82.6,82.7,82.25,82.6,19057,0
CCC,60,20240419,170000,82.7,82.9,82.3,82.6,21828,0
CCC,60,20240422,100000,82.8,84.45,82.8,83.9,31783,0
CCC,60,20240422,110000,83.9,85,83.75,84.2,70531,0
CCC,60,20240422,120000,84.2,86.2,84.2,85.5,41976,0
CCC,60,20240422,130000,85.8,85.8,85.05,85.2,11613,0
CCC,60,20240422,140000,85.25,85.3,84.1,84.95,19402,0
CCC,60,20240422,150000,84.95,85,84.2,84.7,24635,0
CCC,60,20240422,160000,84.75,84.75,84.2,84.55,25511,0
CCC,60,20240422,170000,84.6,84.6,84.25,84.5,34501,0
CCC,60,20240423,100000,84.8,86.95,84.8,86.55,69321,0
CCC,60,20240423,110000,86.3,87,86.2,86.6,24053,0
CCC,60,20240423,120000,86.55,86.6,86.35,86.55,14819,0
CCC,60,20240423,130000,86.6,86.7,86.4,86.5,13332,0
CCC,60,20240423,140000,86.5,88,86.5,88,42057,0
CCC,60,20240423,150000,88,88,87,87,23664,0
CCC,60,20240423,160000,87.25,87.3,86.75,87.2,10885,0
CCC,60,20240423,170000,87.2,88,87.1,88,68279,0
CCC,60,20240424,100000,88.4,90,87.5,89.6,89798,0
CCC,60,20240424,110000,89.9,89.9,88.45,88.6,49761,0
CCC,60,20240424,120000,88.7,89,88,88.85,28140,0
CCC,60,20240424,130000,88.8,89,86.2,86.25,59520,0
CCC,60,20240424,140000,86.55,86.9,85,86.65,55226,0
CCC,60,20240424,150000,86.65,87.5,85.7,86.5,41531,0
CCC,60,20240424,160000,86.85,87,86.3,86.6,16203,0
CCC,60,20240424,170000,86.55,87.1,86.2,86.85,41065,0
CCC,60,20240425,100000,86.8,86.8,85.05,86,29320,0
CCC,60,20240425,110000,86.1,86.2,85.5,85.6,10641,0
CCC,60,20240425,120000,85.6,85.9,85.15,85.35,13123,0
CCC,60,20240425,130000,85.15,86.2,85.15,85.55,9296,0
