<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCE,60,20240411,160000,0.38,0.38,0.38,0.38,3400,0
CCE,60,20240412,120000,0.38,0.38,0.38,0.38,1768,0
CCE,60,20240412,160000,0.396,0.396,0.396,0.396,1000,0
CCE,60,20240419,120000,0.38,0.41,0.38,0.41,23325,0
CCE,60,20240419,160000,0.39,0.39,0.39,0.39,566,0
CCE,60,20240423,120000,0.4,0.41,0.4,0.41,2534,0
CCE,60,20240423,160000,0.41,0.41,0.41,0.41,4500,0
CCE,60,20240424,120000,0.4,0.4,0.4,0.4,166,0
CCE,60,20240426,160000,0.396,0.396,0.35,0.35,2596,0
CCE,60,20240502,120000,0.396,0.396,0.352,0.352,1468,0
CCE,60,20240502,160000,0.396,0.396,0.396,0.396,1700,0
CCE,60,20240506,120000,0.4,0.4,0.4,0.4,609,0
CCE,60,20240506,160000,0.42,0.42,0.42,0.42,16319,0
CCE,60,20240508,120000,0.42,0.42,0.412,0.412,7372,0
CCE,60,20240514,160000,0.36,0.36,0.36,0.36,1200,0
CCE,60,20240521,120000,0.422,0.422,0.422,0.422,300,0
CCE,60,20240521,160000,0.424,0.424,0.424,0.424,3500,0
CCE,60,20240528,120000,0.428,0.428,0.37,0.37,1900,0
CCE,60,20240528,160000,0.426,0.426,0.426,0.426,400,0
CCE,60,20240605,120000,0.426,0.426,0.426,0.426,100,0
CCE,60,20240611,160000,0.426,0.426,0.426,0.426,1388,0
CCE,60,20240701,120000,0.43,0.43,0.354,0.354,10182,0
CCE,60,20240701,160000,0.362,0.362,0.362,0.362,55,0
CCE,60,20240702,120000,0.362,0.362,0.362,0.362,3000,0
CCE,60,20240702,160000,0.364,0.364,0.364,0.364,167,0
CCE,60,20240703,120000,0.36,0.36,0.36,0.36,169,0
CCE,60,20240704,160000,0.36,0.36,0.36,0.36,616,0
CCE,60,20240709,120000,0.37,0.37,0.356,0.356,1200,0
CCE,60,20240712,160000,0.38,0.38,0.354,0.354,1005,0
CCE,60,20240715,120000,0.38,0.38,0.38,0.38,115,0
CCE,60,20240726,160000,0.354,0.398,0.354,0.354,13838,0
CCE,60,20240729,120000,0.354,0.354,0.354,0.354,1000,0
CCE,60,20240729,160000,0.35,0.35,0.35,0.35,1943,0
CCE,60,20240731,120000,0.378,0.378,0.378,0.378,800,0
CCE,60,20240801,160000,0.378,0.41,0.378,0.41,407,0
CCE,60,20240819,120000,0.392,0.392,0.324,0.324,5258,0
CCE,60,20240819,160000,0.326,0.326,0.326,0.326,750,0
CCE,60,20240820,120000,0.332,0.332,0.332,0.332,404,0
CCE,60,20240820,160000,0.37,0.37,0.37,0.37,5,0
CCE,60,20240822,120000,0.37,0.37,0.35,0.35,2801,0
CCE,60,20240826,160000,0.37,0.37,0.334,0.334,454,0
