<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDL,60,20240411,100000,12.7,12.8,12.7,12.8,33,0
CDL,60,20240411,120000,12.4,12.4,12.4,12.4,23,0
CDL,60,20240411,150000,12.7,12.8,12.7,12.8,59,0
CDL,60,20240412,100000,12.9,12.9,12.9,12.9,6,0
CDL,60,20240412,110000,12.8,12.8,12.8,12.8,93,0
CDL,60,20240412,130000,12.4,12.4,12.4,12.4,519,0
CDL,60,20240415,100000,12.8,12.8,12.8,12.8,20,0
CDL,60,20240415,170000,12.8,12.8,12.8,12.8,2,0
CDL,60,20240416,100000,13,14.3,12.7,13.3,2558,0
CDL,60,20240416,110000,13.3,13.3,13.1,13.1,330,0
CDL,60,20240416,120000,13.1,13.1,13.1,13.1,22,0
CDL,60,20240416,130000,13.1,13.2,13.1,13.2,21,0
CDL,60,20240416,140000,13.2,13.2,13.2,13.2,5,0
CDL,60,20240416,150000,13.1,13.1,13.1,13.1,6,0
CDL,60,20240416,160000,13.1,13.1,12.8,12.9,908,0
CDL,60,20240417,100000,13.3,13.3,12.9,12.9,17,0
CDL,60,20240417,110000,12.9,12.9,12.9,12.9,171,0
CDL,60,20240417,170000,13.3,13.3,13.3,13.3,22,0
CDL,60,20240418,100000,13.3,13.3,13.3,13.3,2,0
CDL,60,20240418,110000,12.9,12.9,12.9,12.9,493,0
CDL,60,20240418,120000,12.9,12.9,12.9,12.9,130,0
CDL,60,20240418,160000,13.2,13.2,12.9,12.9,581,0
CDL,60,20240419,100000,13.2,13.2,13.2,13.2,2,0
CDL,60,20240419,130000,12.8,12.8,12.8,12.8,40,0
CDL,60,20240419,160000,13.1,13.1,13.1,13.1,1,0
CDL,60,20240419,170000,12.9,12.9,12.9,12.9,1,0
CDL,60,20240422,100000,13.8,13.8,13.5,13.5,308,0
CDL,60,20240422,130000,13.4,13.4,13.4,13.4,20,0
CDL,60,20240422,160000,13.1,13.1,13.1,13.1,8,0
CDL,60,20240423,100000,13.5,13.5,13.2,13.5,90,0
CDL,60,20240423,130000,13.4,13.4,13.4,13.4,150,0
CDL,60,20240423,140000,13.1,13.2,13.1,13.2,147,0
CDL,60,20240424,100000,13.1,13.1,13.1,13.1,240,0
CDL,60,20240424,110000,13.2,13.3,13.2,13.3,151,0
CDL,60,20240424,160000,13.5,13.5,13.5,13.5,4,0
CDL,60,20240425,100000,13.3,13.3,12.9,12.9,74,0
CDL,60,20240425,110000,13.2,13.2,13.2,13.2,2,0
CDL,60,20240425,120000,13.2,13.3,13.2,13.3,57,0
CDL,60,20240425,160000,12.8,12.8,12.7,12.7,700,0
CDL,60,20240426,100000,13.3,13.3,13.3,13.3,67,0
CDL,60,20240426,110000,13.2,13.2,13.2,13.2,100,0
CDL,60,20240426,120000,13.2,13.2,13.2,13.2,25,0
CDL,60,20240429,100000,13.5,13.5,12.8,12.8,35,0
CDL,60,20240429,110000,13.3,13.3,13.3,13.3,10,0
CDL,60,20240429,120000,12.8,13,12.7,13,43,0
CDL,60,20240429,170000,12.8,12.8,12.8,12.8,9,0
