<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEZ,60,20240411,100000,136.655,136.655,136.655,136.655,34.966887416999995,0
CEZ,60,20240411,110000,136.089,136.089,134.013,134.013,67.814569536,0
CEZ,60,20240411,120000,134.201,134.201,134.107,134.107,10.59602649,0
CEZ,60,20240411,130000,135.994,135.994,135.9,135.9,39.205298013,0
CEZ,60,20240411,140000,135.994,135.994,134.296,134.296,63.57615894,0
CEZ,60,20240411,150000,134.296,134.296,134.296,134.296,64.635761589,0
CEZ,60,20240411,160000,134.956,135.994,134.956,135.994,37.086092715,0
CEZ,60,20240411,170000,135.239,135.994,134.956,134.956,42.38410596,0
CEZ,60,20240412,100000,135.806,140.053,135.806,138.448,652.715231784,0
CEZ,60,20240412,110000,138.731,139.675,138.448,138.448,67.814569536,0
CEZ,60,20240412,120000,138.448,139.675,138.448,139.675,12.715231788,0
CEZ,60,20240412,140000,139.486,139.675,138.543,138.543,42.38410596,0
CEZ,60,20240412,150000,139.675,139.675,139.675,139.675,529.8013245,0
CEZ,60,20240412,160000,138.826,140.053,138.826,139.675,616.688741718,0
CEZ,60,20240412,170000,138.731,140.053,138.731,140.053,232.052980131,0
CEZ,60,20240415,100000,140.053,140.43,138.826,139.675,448.211920527,0
CEZ,60,20240415,110000,138.826,141.091,138.826,141.091,59.337748344,0
CEZ,60,20240415,120000,140.147,141.185,140.147,141.185,29.668874171999995,0
CEZ,60,20240415,130000,140.619,141.374,140.619,140.902,78.410596026,0
CEZ,60,20240415,140000,140.902,141.091,140.902,141.091,25.430463576,0
CEZ,60,20240415,150000,141.091,141.091,140.902,140.902,3.178807947,0
CEZ,60,20240415,160000,141.091,141.751,141.091,141.751,52.98013244999999,0
CEZ,60,20240415,170000,139.675,139.675,134.201,135.9,460.927152315,0
CEZ,60,20240416,100000,139.675,140.241,139.298,139.298,1012.980132444,0
CEZ,60,20240416,110000,139.581,140.713,139.392,139.392,28.609271523,0
CEZ,60,20240416,120000,140.619,140.619,140.619,140.619,3.178807947,0
CEZ,60,20240416,130000,140.619,141.468,139.958,139.958,172.715231787,0
CEZ,60,20240416,140000,141.468,141.563,140.808,140.902,199.205298012,0
CEZ,60,20240416,150000,142.129,142.129,142.034,142.034,128.211920529,0
CEZ,60,20240416,160000,142.506,143.45,141.563,143.45,409.006622514,0
CEZ,60,20240416,170000,142.129,142.506,139.392,139.392,186.490066224,0
CEZ,60,20240417,100000,142.506,143.356,142.412,143.356,165.298013244,0
CEZ,60,20240417,110000,143.45,143.45,141.563,143.356,15.894039735,0
CEZ,60,20240417,120000,143.45,143.45,142.506,142.695,405.827814567,0
CEZ,60,20240417,130000,142.695,142.695,142.506,142.506,157.88079470099999,0
CEZ,60,20240417,140000,143.45,143.45,143.45,143.45,1.059602649,0
CEZ,60,20240417,150000,143.356,143.356,143.356,143.356,2.119205298,0
CEZ,60,20240417,170000,143.167,143.356,142.695,142.695,63.57615893999999,0
CEZ,60,20240418,100000,142.695,142.695,142.034,142.034,148.34437086,0
CEZ,60,20240418,110000,141.091,141.846,139.486,139.486,14.834437085999998,0
CEZ,60,20240418,120000,141.751,142.129,139.958,142.129,46.622516556,0
CEZ,60,20240418,150000,141.657,141.657,141.657,141.657,1.059602649,0
CEZ,60,20240418,160000,141.563,141.657,141.563,141.657,22.251655629,0
CEZ,60,20240418,170000,142.034,142.129,141.563,142.129,86.887417218,0
CEZ,60,20240419,100000,140.619,140.996,140.619,140.996,301.986754965,0
CEZ,60,20240419,110000,141.563,141.563,141.563,141.563,5.298013245,0
CEZ,60,20240419,150000,141.563,141.563,139.864,140.43,130.331125827,0
CEZ,60,20240419,160000,138.826,138.826,138.826,138.826,47.68211920499999,0
CEZ,60,20240419,170000,139.675,140.43,137.127,140.43,110.198675496,0
CEZ,60,20240422,100000,140.524,140.524,138.543,140.524,68.874172185,0
CEZ,60,20240422,110000,140.524,140.524,140.524,140.524,3.1788079469999997,0
CEZ,60,20240422,130000,140.147,140.147,138.543,138.543,130.331125827,0
CEZ,60,20240422,140000,139.014,139.014,139.014,139.014,52.98013244999999,0
CEZ,60,20240422,150000,139.581,139.581,139.581,139.581,39.205298013,0
CEZ,60,20240422,160000,137.882,137.882,137.882,137.882,5.298013245,0
CEZ,60,20240422,170000,137.976,137.976,137.976,137.976,7.417218542999999,0
CEZ,60,20240423,100000,139.581,139.581,137.976,139.581,45.562913907,0
CEZ,60,20240423,130000,139.581,139.581,139.581,139.581,3.1788079469999997,0
CEZ,60,20240423,140000,139.581,139.581,137.976,137.976,23.311258278,0
CEZ,60,20240424,100000,139.675,139.675,139.675,139.675,70.99337748299999,0
CEZ,60,20240424,110000,138.259,138.448,137.788,138.165,395.231788077,0
CEZ,60,20240424,120000,137.316,137.316,137.316,137.316,3.1788079469999997,0
CEZ,60,20240424,130000,139.109,139.109,139.109,139.109,1.059602649,0
CEZ,60,20240424,140000,139.109,139.109,139.014,139.014,56.158940396999995,0
CEZ,60,20240424,160000,138.826,138.826,137.788,138.448,68.874172185,0
CEZ,60,20240424,170000,138.543,138.543,138.543,138.543,11.655629139,0
CEZ,60,20240425,100000,137.316,137.316,136.089,137.127,161.059602648,0
CEZ,60,20240425,110000,137.127,137.127,136.561,136.561,150.463576158,0
CEZ,60,20240425,120000,136.561,136.561,136.561,136.561,6.357615893999999,0
CEZ,60,20240425,130000,137.693,137.788,137.693,137.788,11.655629138999998,0
CEZ,60,20240425,160000,137.788,137.788,137.788,137.788,57.21854304599999,0
CEZ,60,20240425,170000,136.655,136.655,136.655,136.655,8.476821192,0
CEZ,60,20240426,100000,136.655,137.693,136.655,137.693,2.119205298,0
CEZ,60,20240426,110000,138.354,138.354,137.788,137.788,47.68211920499999,0
CEZ,60,20240426,130000,138.543,138.543,137.033,137.033,10.59602649,0
CEZ,60,20240426,150000,137.221,137.221,137.221,137.221,21.19205298,0
CEZ,60,20240426,170000,138.543,138.543,138.543,138.543,3.1788079469999997,0
CEZ,60,20240429,100000,138.731,139.581,138.543,139.581,136.688741721,0
CEZ,60,20240429,110000,138.543,138.543,137.788,138.543,57.218543046,0
CEZ,60,20240429,120000,138.543,138.731,138.543,138.731,42.38410596,0
CEZ,60,20240429,130000,138.826,139.864,138.826,139.864,12.715231787999999,0
CEZ,60,20240429,140000,140.053,140.053,140.053,140.053,54.039735099,0
CEZ,60,20240429,150000,140.996,141.374,140.996,141.374,41.324503311,0
CEZ,60,20240429,170000,140.053,140.053,140.053,140.053,44.503311258,0
CEZ,60,20240430,100000,142.129,142.129,142.129,142.129,20.132450330999998,0
CEZ,60,20240430,110000,141.374,142.129,141.374,142.129,20.132450330999998,0
CEZ,60,20240430,120000,141.091,141.091,140.996,140.996,6.357615893999999,0
CEZ,60,20240430,130000,141.563,141.563,140.43,140.43,16.953642384,0
CEZ,60,20240430,140000,141.563,142.129,140.713,142.129,74.17218543,0
CEZ,60,20240430,150000,140.808,140.808,140.713,140.808,233.11258277999997,0
CEZ,60,20240430,160000,140.902,140.902,140.902,140.902,10.59602649,0
CEZ,60,20240430,170000,140.902,141.94,139.203,139.203,22.251655629,0
CEZ,60,20240502,100000,140.619,141.94,140.619,141.94,42.38410596,0
CEZ,60,20240502,110000,141.94,142.129,141.94,142.129,13.774834437,0
CEZ,60,20240502,120000,140.619,141.563,139.958,141.563,48.741721854,0
CEZ,60,20240502,130000,141.563,141.94,141.563,141.94,11.655629138999998,0
CEZ,60,20240502,140000,139.958,140.053,139.864,139.864,147.284768211,0
CEZ,60,20240502,170000,141.94,141.94,141.94,141.94,7.417218542999999,0
CEZ,60,20240506,100000,141.94,141.94,141.091,141.091,16.953642384,0
CEZ,60,20240506,110000,141.185,141.185,141.185,141.185,4.238410596,0
CEZ,60,20240506,120000,141.279,141.279,139.486,139.486,22.251655629,0
CEZ,60,20240506,140000,141.563,141.563,140.619,140.619,211.9205298,0
CEZ,60,20240506,150000,142.034,142.034,141.94,141.94,10.59602649,0
CEZ,60,20240506,160000,141.94,141.94,141.94,141.94,9.536423841,0
CEZ,60,20240507,100000,141.94,142.506,141.846,142.034,319.999999998,0
CEZ,60,20240507,110000,142.412,144.488,142.223,144.488,439.735099335,0
CEZ,60,20240507,120000,142.318,142.318,142.223,142.223,20.132450331,0
CEZ,60,20240507,130000,142.506,142.695,142.506,142.695,43.443708609,0
CEZ,60,20240507,150000,143.261,144.394,143.261,143.639,30.728476821,0
CEZ,60,20240507,160000,143.639,143.639,143.639,143.639,9.536423841,0
CEZ,60,20240507,170000,143.45,144.488,143.45,144.488,43.443708609,0
CEZ,60,20240508,100000,144.488,144.488,144.394,144.394,157.880794701,0
CEZ,60,20240508,110000,144.394,144.394,144.394,144.394,5.298013245,0
CEZ,60,20240508,120000,144.394,144.394,144.394,144.394,16.953642384,0
CEZ,60,20240508,130000,144.205,144.394,144.205,144.394,139.867549668,0
CEZ,60,20240508,140000,144.488,144.488,144.488,144.488,9.536423841,0
CEZ,60,20240508,150000,144.205,144.205,144.205,144.205,31.788079469999996,0
CEZ,60,20240508,160000,144.488,144.488,144.488,144.488,8.476821192,0
CEZ,60,20240508,170000,144.488,144.488,144.205,144.488,42.38410596,0
CEZ,60,20240509,100000,144.488,144.677,144.299,144.677,243.70860927,0
CEZ,60,20240509,110000,144.394,145.054,144.394,145.054,31.788079469999996,0
CEZ,60,20240509,120000,145.054,145.904,145.054,145.338,121.854304635,0
CEZ,60,20240509,130000,146.281,147.791,145.526,147.225,175.894039734,0
CEZ,60,20240509,140000,147.791,147.791,147.225,147.225,236.29139072699996,0
CEZ,60,20240509,150000,147.791,147.791,147.791,147.791,11.655629138999998,0
CEZ,60,20240509,160000,147.791,149.113,147.697,147.697,178.013245032,0
CEZ,60,20240509,170000,147.886,149.113,147.886,149.113,73.11258278099999,0
CEZ,60,20240510,100000,149.113,149.113,148.452,148.452,1615.894039725,0
CEZ,60,20240510,110000,149.49,150.623,149.49,150.434,134.569536423,0
CEZ,60,20240510,120000,150.434,150.528,149.018,149.018,13.774834437,0
CEZ,60,20240510,130000,150.434,150.434,147.791,147.791,104.900662251,0
CEZ,60,20240510,140000,150.056,150.528,150.056,150.528,24.370860927,0
CEZ,60,20240510,150000,150.056,150.056,150.056,150.056,2.119205298,0
CEZ,60,20240510,160000,148.358,148.358,145.809,146.47,61.456953642,0
CEZ,60,20240510,170000,146.753,150.056,146.659,150.056,65.695364238,0
CEZ,60,20240513,100000,150.056,150.056,148.169,148.169,94.304635761,0
CEZ,60,20240513,110000,148.169,150.528,148.169,148.169,25.430463576,0
CEZ,60,20240513,120000,148.263,149.584,148.169,149.584,26.490066224999996,0
CEZ,60,20240513,130000,149.301,149.584,148.169,148.169,115.496688741,0
CEZ,60,20240513,140000,149.49,149.584,149.49,149.584,48.741721854,0
CEZ,60,20240514,100000,149.773,151.755,148.169,148.169,442.913907282,0
CEZ,60,20240514,110000,149.396,149.396,147.225,147.225,78.410596026,0
CEZ,60,20240514,120000,147.319,148.641,147.319,148.641,131.390728476,0
CEZ,60,20240514,130000,148.452,148.452,148.452,148.452,2.119205298,0
CEZ,60,20240514,140000,148.452,148.452,148.452,148.452,11.655629138999998,0
CEZ,60,20240514,150000,148.452,148.452,147.791,148.358,163.17880794599998,0
CEZ,60,20240514,160000,148.263,148.263,148.263,148.263,5.298013245,0
CEZ,60,20240514,170000,148.358,148.358,147.414,147.414,13.774834437,0
CEZ,60,20240515,100000,147.414,147.414,146.47,146.659,109.139072847,0
CEZ,60,20240515,110000,149.396,149.396,149.396,149.396,4.238410596,0
CEZ,60,20240515,120000,146.942,149.113,146.942,149.113,23.311258278,0
CEZ,60,20240515,130000,147.98,149.301,147.98,149.301,91.125827814,0
CEZ,60,20240515,140000,149.962,149.962,149.301,149.301,29.668874172,0
CEZ,60,20240515,150000,148.641,149.301,148.641,149.301,146.225165562,0
CEZ,60,20240515,160000,150.056,150.434,150.056,150.434,277.61589403799996,0
CEZ,60,20240515,170000,151.944,151.944,151.755,151.944,122.913907284,0
CEZ,60,20240516,100000,151.755,151.755,150.623,150.623,34.966887417,0
CEZ,60,20240516,110000,151,151,148.546,150.906,109.139072847,0
CEZ,60,20240516,120000,150.151,151,149.773,149.773,66.754966887,0
CEZ,60,20240516,130000,150.056,150.056,150.056,150.056,11.655629138999998,0
CEZ,60,20240516,140000,149.773,150.434,149.773,150.434,40.264900661999995,0
CEZ,60,20240516,150000,150.056,150.339,149.49,149.49,29.668874172,0
CEZ,60,20240516,160000,150.528,150.528,150.528,150.528,95.36423840999998,0
CEZ,60,20240516,170000,148.169,148.169,146.281,146.281,105.96026489999998,0
CEZ,60,20240517,100000,149.584,149.584,149.113,149.113,14.834437086,0
CEZ,60,20240517,110000,150.056,150.056,149.584,149.584,61.456953642,0
CEZ,60,20240517,120000,150.434,150.528,150.434,150.528,22.251655629,0
CEZ,60,20240517,130000,150.528,150.528,148.641,148.641,227.814569535,0
CEZ,60,20240517,140000,149.962,149.962,149.962,149.962,31.788079469999996,0
