<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLC,60,20240411,100000,5.15,5.15,5.05,5.12,3488,0
CLC,60,20240411,110000,5.1,5.1,5.1,5.1,441,0
CLC,60,20240411,120000,5.07,5.15,5.06,5.15,5303,0
CLC,60,20240411,130000,5.15,5.17,5.15,5.17,3375,0
CLC,60,20240411,140000,5.13,5.13,5.06,5.06,2280,0
CLC,60,20240411,150000,5.08,5.12,5.08,5.12,1902,0
CLC,60,20240411,160000,5.07,5.14,5.07,5.14,2661,0
CLC,60,20240411,170000,5.12,5.12,5.12,5.12,2910,0
CLC,60,20240412,100000,5.06,5.16,5.06,5.08,892,0
CLC,60,20240412,110000,5.13,5.14,5.13,5.14,299,0
CLC,60,20240412,120000,5.14,5.15,5.1,5.15,3372,0
CLC,60,20240412,130000,5.15,5.15,5.08,5.08,1216,0
CLC,60,20240412,140000,5.13,5.13,5.08,5.08,5638,0
CLC,60,20240412,150000,5.13,5.13,5.08,5.13,262,0
CLC,60,20240412,160000,5.1,5.1,5.08,5.08,508,0
CLC,60,20240412,170000,5.12,5.14,5.08,5.14,2846,0
CLC,60,20240415,100000,5.18,5.18,5.05,5.05,1572,0
CLC,60,20240415,110000,5.05,5.1,5.05,5.05,4825,0
CLC,60,20240415,120000,5.05,5.07,5.05,5.07,2907,0
CLC,60,20240415,130000,5.07,5.15,5.07,5.15,3808,0
CLC,60,20240415,140000,5.15,5.15,5.06,5.14,914,0
CLC,60,20240415,150000,5.08,5.08,5.08,5.08,18,0
CLC,60,20240415,160000,5.08,5.14,5.06,5.06,590,0
CLC,60,20240415,170000,5.1,5.1,5.05,5.05,2350,0
CLC,60,20240416,100000,5.05,5.13,4.8,5.04,35819,0
CLC,60,20240416,110000,4.99,5.05,4.85,5,4256,0
CLC,60,20240416,120000,4.945,5,4.9,4.995,3336,0
CLC,60,20240416,130000,4.95,5.05,4.95,5.05,3596,0
CLC,60,20240416,140000,5.05,5.05,5.05,5.05,500,0
CLC,60,20240416,150000,5.01,5.01,5.01,5.01,69,0
CLC,60,20240416,160000,5.01,5.01,4.99,5.01,800,0
CLC,60,20240416,170000,5,5,4.9,4.95,8864,0
CLC,60,20240417,100000,4.955,5.03,4.91,4.915,613,0
CLC,60,20240417,110000,4.95,5.01,4.95,5,3048,0
CLC,60,20240417,120000,5,5.02,5,5.02,2407,0
CLC,60,20240417,130000,5,5.01,5,5.01,275,0
CLC,60,20240417,140000,5.01,5.01,4.98,5.01,385,0
CLC,60,20240417,150000,5.01,5.01,4.98,5,1330,0
CLC,60,20240417,160000,5,5.05,5,5.05,2676,0
CLC,60,20240417,170000,5.09,5.14,5,5.02,6254,0
CLC,60,20240418,100000,5.07,5.1,5.06,5.06,1606,0
CLC,60,20240418,110000,5.06,5.1,5.03,5.03,2538,0
CLC,60,20240418,120000,5.1,5.1,5.01,5.01,1100,0
CLC,60,20240418,130000,5.01,5.05,5,5,1640,0
CLC,60,20240418,140000,5,5.01,5,5,1070,0
CLC,60,20240418,150000,5,5,4.99,4.99,400,0
CLC,60,20240418,160000,5.01,5.01,4.98,4.98,2079,0
CLC,60,20240418,170000,4.98,5.08,4.95,5,4333,0
CLC,60,20240419,100000,5,5,5,5,2190,0
CLC,60,20240419,110000,5,5.07,5,5.01,3847,0
CLC,60,20240419,120000,5,5,5,5,1200,0
CLC,60,20240419,130000,4.99,4.99,4.975,4.975,733,0
CLC,60,20240419,150000,5.01,5.05,4.98,5.05,6847,0
CLC,60,20240419,160000,5.02,5.03,4.98,4.98,1164,0
CLC,60,20240419,170000,5,5.18,5,5.08,11441,0
CLC,60,20240422,100000,5.13,5.13,5.04,5.04,2457,0
CLC,60,20240422,110000,5.05,5.12,5.02,5.05,4769,0
CLC,60,20240422,120000,5.04,5.05,5,5.04,3127,0
CLC,60,20240422,130000,5.02,5.04,4.99,4.99,3613,0
CLC,60,20240422,140000,5,5,4.99,4.99,11400,0
CLC,60,20240422,150000,5.04,5.1,5.04,5.1,614,0
CLC,60,20240422,160000,5.1,5.1,5.04,5.04,401,0
CLC,60,20240422,170000,5.04,5.06,4.99,4.99,4718,0
CLC,60,20240423,100000,5.06,5.06,5,5,3772,0
CLC,60,20240423,110000,5.01,5.1,5.01,5.1,828,0
CLC,60,20240423,120000,5.07,5.07,5.01,5.01,377,0
CLC,60,20240423,130000,5.04,5.05,5.01,5.04,6453,0
CLC,60,20240423,140000,5.05,5.05,5.05,5.05,121,0
CLC,60,20240423,150000,5.04,5.05,5.04,5.05,1000,0
CLC,60,20240423,160000,5.02,5.04,4.99,5.04,2303,0
CLC,60,20240423,170000,5,5.05,4.99,5,1559,0
CLC,60,20240424,100000,5.04,5.06,5.04,5.05,2064,0
CLC,60,20240424,110000,5.05,5.05,5.05,5.05,638,0
CLC,60,20240424,120000,5.05,5.06,5.05,5.05,2094,0
CLC,60,20240424,130000,5.01,5.12,5,5.01,17447,0
CLC,60,20240424,140000,5.05,5.06,4.96,4.96,10786,0
CLC,60,20240424,150000,5,5,5,5,1665,0
CLC,60,20240424,160000,4.96,5,4.96,4.97,4096,0
CLC,60,20240424,170000,5,5.01,5,5.01,10091,0
CLC,60,20240425,100000,5,5.09,5,5.02,6007,0
CLC,60,20240425,110000,5.02,5.02,5,5.01,4074,0
CLC,60,20240425,120000,5,5,5,5,1005,0
CLC,60,20240425,130000,5,5,5,5,4175,0
CLC,60,20240425,140000,5,5,5,5,3592,0
CLC,60,20240425,150000,5,5,4.98,4.99,1250,0
CLC,60,20240425,160000,5,5,4.95,4.95,2329,0
CLC,60,20240425,170000,4.95,5,4.92,5,5254,0
CLC,60,20240426,100000,4.96,5,4.9,5,8831,0
CLC,60,20240426,110000,4.99,5.04,4.95,5.04,13930,0
CLC,60,20240426,120000,5.04,5.04,5.04,5.04,7,0
CLC,60,20240426,130000,5.04,5.04,5,5,700,0
CLC,60,20240426,140000,5,5.03,4.98,5.03,602,0
CLC,60,20240426,150000,5.04,5.05,5.03,5.03,3685,0
CLC,60,20240426,160000,5,5,5,5,450,0
CLC,60,20240426,170000,4.98,5,4.98,5,531,0
CLC,60,20240429,100000,4.925,4.96,4.92,4.95,10080,0
CLC,60,20240429,110000,4.95,4.98,4.91,4.91,6708,0
CLC,60,20240429,120000,4.93,4.94,4.91,4.925,8465,0
CLC,60,20240429,130000,4.95,4.95,4.91,4.91,1164,0
CLC,60,20240429,140000,4.91,4.95,4.905,4.95,1233,0
CLC,60,20240429,150000,4.94,4.94,4.94,4.94,300,0
CLC,60,20240429,160000,4.905,4.94,4.9,4.905,3044,0
CLC,60,20240429,170000,4.94,4.95,4.9,4.95,2705,0
CLC,60,20240430,100000,4.91,4.96,4.86,4.9,5502,0
CLC,60,20240430,110000,4.9,4.94,4.9,4.94,2088,0
CLC,60,20240430,120000,4.94,4.95,4.94,4.95,1600,0
CLC,60,20240430,130000,4.95,4.95,4.95,4.95,200,0
CLC,60,20240430,140000,4.95,4.95,4.95,4.95,240,0
CLC,60,20240430,150000,4.95,4.95,4.9,4.95,10346,0
CLC,60,20240430,160000,4.9,4.945,4.9,4.945,1017,0
CLC,60,20240430,170000,4.945,4.945,4.945,4.945,10,0
CLC,60,20240502,100000,4.945,4.945,4.94,4.94,412,0
CLC,60,20240502,110000,4.94,4.95,4.94,4.95,760,0
CLC,60,20240502,130000,4.95,4.95,4.95,4.95,1003,0
CLC,60,20240502,140000,4.95,4.95,4.95,4.95,37,0
CLC,60,20240502,150000,4.95,4.955,4.94,4.94,1233,0
CLC,60,20240502,160000,4.94,4.945,4.85,4.86,3574,0
CLC,60,20240502,170000,4.945,4.945,4.815,4.94,3331,0
CLC,60,20240506,100000,4.94,4.945,4.9,4.94,2428,0
CLC,60,20240506,110000,4.94,4.945,4.9,4.945,1366,0
CLC,60,20240506,120000,4.945,4.945,4.94,4.94,476,0
CLC,60,20240506,130000,4.94,4.94,4.9,4.905,2200,0
CLC,60,20240506,140000,4.905,4.94,4.9,4.91,2164,0
CLC,60,20240506,150000,4.94,4.94,4.85,4.925,4881,0
CLC,60,20240506,160000,4.87,4.925,4.86,4.925,1950,0
CLC,60,20240506,170000,4.925,4.94,4.925,4.94,2451,0
CLC,60,20240507,100000,4.94,4.94,4.9,4.93,3399,0
CLC,60,20240507,110000,4.93,4.98,4.9,4.95,8701,0
CLC,60,20240507,120000,4.95,4.975,4.94,4.94,14121,0
CLC,60,20240507,130000,4.94,4.995,4.88,4.99,14559,0
CLC,60,20240507,140000,4.99,5.09,4.96,5.02,16533,0
CLC,60,20240507,150000,5.02,5.02,5.02,5.02,250,0
CLC,60,20240507,160000,5.02,5.02,4.965,4.965,1609,0
CLC,60,20240507,170000,4.955,4.995,4.94,4.995,1966,0
CLC,60,20240508,100000,5,5,4.94,4.95,4185,0
CLC,60,20240508,110000,4.95,4.95,4.95,4.95,615,0
CLC,60,20240508,120000,4.95,4.965,4.93,4.965,1753,0
CLC,60,20240508,130000,4.965,4.965,4.94,4.94,711,0
CLC,60,20240508,140000,4.94,4.94,4.9,4.94,4190,0
CLC,60,20240508,150000,4.95,4.95,4.87,4.945,3168,0
CLC,60,20240508,160000,4.895,4.9,4.87,4.89,4059,0
CLC,60,20240508,170000,4.89,4.94,4.89,4.94,759,0
CLC,60,20240509,100000,4.9,4.91,4.835,4.835,6765,0
CLC,60,20240509,110000,4.84,4.92,4.805,4.89,16114,0
CLC,60,20240509,120000,4.89,4.895,4.825,4.85,5192,0
CLC,60,20240509,130000,4.87,4.87,4.83,4.87,3075,0
CLC,60,20240509,140000,4.87,4.87,4.85,4.87,254,0
CLC,60,20240509,150000,4.87,4.9,4.85,4.85,6345,0
CLC,60,20240509,160000,4.9,5.09,4.85,4.95,22350,0
CLC,60,20240509,170000,4.94,4.995,4.85,4.85,15387,0
CLC,60,20240510,100000,4.925,4.94,4.88,4.88,443,0
CLC,60,20240510,110000,4.88,4.88,4.84,4.86,8154,0
CLC,60,20240510,120000,4.84,4.86,4.8,4.86,8574,0
CLC,60,20240510,130000,4.86,4.9,4.86,4.89,3276,0
CLC,60,20240510,140000,4.89,4.9,4.89,4.89,1491,0
CLC,60,20240510,150000,4.89,4.89,4.86,4.89,765,0
CLC,60,20240510,160000,4.89,4.89,4.87,4.87,168,0
CLC,60,20240510,170000,4.87,4.87,4.805,4.805,6634,0
