<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMP,60,20240411,100000,79,79.4,79,79.4,33,0
CMP,60,20240411,110000,79.2,79.6,79,79.4,488,0
CMP,60,20240411,150000,78.4,78.4,78.4,78.4,217,0
CMP,60,20240411,170000,78.8,79.4,78.8,79.4,55,0
CMP,60,20240412,100000,79.2,79.2,79.2,79.2,3,0
CMP,60,20240412,110000,79.2,79.2,78.8,78.8,192,0
CMP,60,20240412,120000,79.4,79.4,79.4,79.4,3,0
CMP,60,20240412,130000,78.8,78.8,78.8,78.8,74,0
CMP,60,20240412,150000,79.4,79.4,79.4,79.4,2,0
CMP,60,20240412,170000,78.8,79.2,78.4,79.2,31,0
CMP,60,20240415,100000,79.2,79.4,79.2,79.4,99,0
CMP,60,20240415,110000,79.2,79.2,78.8,78.8,51,0
CMP,60,20240415,120000,78.8,78.8,78.8,78.8,25,0
CMP,60,20240415,130000,78.8,78.8,78.8,78.8,296,0
CMP,60,20240415,140000,79,79,79,79,140,0
CMP,60,20240415,150000,79,80.2,79,80,3763,0
CMP,60,20240415,160000,79.2,81,79.2,81,440,0
CMP,60,20240415,170000,81.4,82,81.4,82,264,0
CMP,60,20240416,100000,81.8,81.8,81,81,146,0
CMP,60,20240416,110000,80.2,80.2,80,80,419,0
CMP,60,20240416,120000,79.6,79.6,79.6,79.6,12,0
CMP,60,20240416,130000,79.6,80,78,80,1134,0
CMP,60,20240416,140000,79.2,79.2,79,79,62,0
CMP,60,20240416,150000,80,80,78.8,78.8,1140,0
CMP,60,20240416,160000,78.8,78.8,78.6,78.6,58,0
CMP,60,20240416,170000,78,80,78,80,492,0
CMP,60,20240417,100000,78.2,80,78.2,80,83,0
CMP,60,20240417,110000,79.6,79.6,79.6,79.6,187,0
CMP,60,20240417,120000,78.6,79.6,78.6,79.6,108,0
CMP,60,20240417,150000,79,79,79,79,7,0
CMP,60,20240417,160000,79,79,79,79,60,0
CMP,60,20240417,170000,79.4,80,79.4,80,269,0
CMP,60,20240418,110000,78.6,79.4,78.4,79.4,523,0
CMP,60,20240418,130000,79,79.4,79,79.4,120,0
CMP,60,20240418,140000,79.4,79.4,79.4,79.4,2,0
CMP,60,20240418,150000,78.6,78.6,78.4,78.4,199,0
CMP,60,20240418,160000,79.4,79.4,79.4,79.4,20,0
CMP,60,20240418,170000,79.4,79.6,79.4,79.6,388,0
CMP,60,20240419,100000,78,80,77.2,79.4,732,0
CMP,60,20240419,110000,78,79.8,78,79.8,118,0
CMP,60,20240419,120000,79.8,79.8,79.8,79.8,28,0
CMP,60,20240419,140000,79,79.8,78.4,78.4,537,0
CMP,60,20240419,150000,79.8,80,79.8,80,1648,0
CMP,60,20240419,160000,80.4,80.8,80,80,244,0
CMP,60,20240419,170000,80,80.2,80,80,4175,0
CMP,60,20240422,100000,80.6,80.8,79.8,80,526,0
CMP,60,20240422,110000,80,80.8,80,80.8,631,0
CMP,60,20240422,120000,80,80.8,80,80.8,663,0
CMP,60,20240422,130000,80,80,80,80,250,0
CMP,60,20240422,140000,80,80.4,80,80,1186,0
CMP,60,20240422,150000,80,80.8,80,80.8,519,0
CMP,60,20240422,160000,80.6,80.8,80.4,80.4,476,0
CMP,60,20240422,170000,80.8,80.8,80.8,80.8,2,0
CMP,60,20240423,100000,80.8,80.8,79.6,79.6,174,0
CMP,60,20240423,110000,79.8,79.8,79.8,79.8,1,0
CMP,60,20240423,120000,79.8,79.8,79.8,79.8,529,0
CMP,60,20240423,130000,79.6,80,79.6,80,1397,0
CMP,60,20240423,150000,80.6,80.8,80.6,80.8,100,0
CMP,60,20240423,160000,80,80,80,80,59,0
CMP,60,20240423,170000,80.8,80.8,80.8,80.8,4,0
CMP,60,20240424,100000,80,80.8,80,80.8,153,0
CMP,60,20240424,110000,81,81.2,79.6,80.8,396,0
CMP,60,20240424,120000,80,80,80,80,156,0
CMP,60,20240424,130000,80,80,80,80,1000,0
CMP,60,20240424,140000,80,80.4,79.6,80.4,10127,0
CMP,60,20240424,150000,80,80,80,80,5025,0
CMP,60,20240424,160000,80,80,80,80,200,0
CMP,60,20240424,170000,79.8,80,79.8,80,1688,0
CMP,60,20240425,100000,79.6,79.6,79.4,79.4,212,0
CMP,60,20240425,110000,80,80,80,80,5875,0
CMP,60,20240425,150000,79.4,80,77,77,1107,0
CMP,60,20240425,160000,79.6,79.6,78,78,57,0
CMP,60,20240425,170000,78,79.6,78,79.6,85,0
CMP,60,20240426,100000,79.4,79.4,78.4,78.4,126,0
CMP,60,20240426,110000,78.6,79.4,77.2,77.2,812,0
CMP,60,20240426,130000,78.8,78.8,78.2,78.2,74,0
CMP,60,20240426,140000,78.8,78.8,78.4,78.4,1500,0
CMP,60,20240426,150000,78.2,78.8,78,78,336,0
CMP,60,20240426,170000,78.4,79.4,78.2,79.4,539,0
CMP,60,20240429,100000,79.4,79.6,79.4,79.4,811,0
CMP,60,20240429,120000,78.2,78.2,78,78,133,0
CMP,60,20240429,140000,79,79,78,78,166,0
CMP,60,20240429,160000,79,79,79,79,1,0
CMP,60,20240429,170000,79,79,79,79,100,0
CMP,60,20240430,100000,78,78,78,78,21,0
CMP,60,20240430,110000,77.8,77.8,77.8,77.8,10,0
CMP,60,20240430,120000,77.8,77.8,77.8,77.8,1,0
CMP,60,20240430,140000,77.8,77.8,77.2,77.4,116,0
CMP,60,20240430,160000,77.8,77.8,77.8,77.8,60,0
CMP,60,20240430,170000,78.6,78.8,78.6,78.8,93,0
CMP,60,20240502,100000,78.8,78.8,78.8,78.8,5,0
CMP,60,20240502,110000,78,78,77.6,77.6,145,0
CMP,60,20240502,130000,77.6,77.6,77.6,77.6,30,0
CMP,60,20240502,150000,77.6,77.6,77.6,77.6,229,0
CMP,60,20240502,170000,78.6,78.8,78.6,78.8,52,0
CMP,60,20240506,100000,78.8,78.8,78.8,78.8,22,0
CMP,60,20240506,130000,77.8,77.8,77.8,77.8,132,0
CMP,60,20240506,140000,78,78.8,77.8,78.8,799,0
CMP,60,20240506,150000,77.6,78,76,76,927,0
CMP,60,20240506,170000,77,78.4,77,77,4227,0
CMP,60,20240507,100000,77.8,78,77,78,635,0
CMP,60,20240507,110000,77.6,78,77.6,78,417,0
CMP,60,20240507,120000,78.4,79.2,78.4,78.8,721,0
CMP,60,20240507,130000,79.2,79.2,79.2,79.2,25,0
CMP,60,20240507,140000,78.8,78.8,78.8,78.8,357,0
CMP,60,20240507,150000,79,79.2,78.8,79.2,1715,0
CMP,60,20240507,160000,79.2,79.2,78.8,79,1394,0
CMP,60,20240507,170000,79,79.4,79,79.4,316,0
CMP,60,20240508,100000,79.4,80.2,79.4,80.2,397,0
CMP,60,20240508,110000,80.2,80.8,79.6,80,5915,0
CMP,60,20240508,120000,80,80,79.6,80,2457,0
CMP,60,20240508,130000,80,80,79.6,80,570,0
CMP,60,20240508,140000,80,80,80,80,1010,0
CMP,60,20240508,150000,80,80,79.6,79.6,950,0
CMP,60,20240508,160000,80,80,80,80,860,0
CMP,60,20240508,170000,79.6,80,79.6,80,2430,0
CMP,60,20240509,100000,80.6,81.2,79.8,79.8,99,0
CMP,60,20240509,110000,79.8,79.8,79.4,79.4,1160,0
CMP,60,20240509,120000,79.4,79.8,79.2,79.8,558,0
CMP,60,20240509,130000,79,80,78.6,80,46869,0
CMP,60,20240509,140000,80,80,80,80,767,0
CMP,60,20240509,160000,80.2,80.4,80,80.4,1004,0
CMP,60,20240509,170000,80.4,81.4,80.4,81,4439,0
CMP,60,20240510,100000,81.8,81.8,81.2,81.6,2178,0
CMP,60,20240510,110000,81.2,81.2,80,80,1577,0
CMP,60,20240510,120000,80.2,80.8,80,80.8,1013,0
CMP,60,20240510,130000,80.2,80.6,79.4,80,5332,0
CMP,60,20240510,140000,80.6,80.8,80.6,80.8,97,0
CMP,60,20240510,150000,81,81,79.2,79.4,5727,0
CMP,60,20240510,160000,79.2,80,79,80,1304,0
CMP,60,20240510,170000,80.6,82,80.6,81.6,2034,0
CMP,60,20240513,100000,81.6,81.8,81.2,81.8,940,0
CMP,60,20240513,110000,81.8,81.8,81.8,81.8,58,0
CMP,60,20240513,120000,81.6,82,81,82,1452,0
CMP,60,20240513,130000,81.2,81.2,81,81,1599,0
CMP,60,20240513,140000,81,81,80.8,80.8,294,0
CMP,60,20240513,150000,80.8,80.8,80.6,80.6,462,0
CMP,60,20240513,160000,80.6,80.6,80.2,80.6,806,0
CMP,60,20240513,170000,81,81.6,81,81.4,307,0
CMP,60,20240514,100000,81.4,81.4,81.4,81.4,211,0
CMP,60,20240514,110000,81.8,81.8,81.4,81.4,5502,0
CMP,60,20240514,120000,81,81,81,81,50,0
CMP,60,20240514,130000,81,81,81,81,50,0
CMP,60,20240514,140000,81.4,81.4,81.4,81.4,110,0
CMP,60,20240514,150000,81.4,81.8,81.4,81.8,298,0
CMP,60,20240514,160000,81.8,81.8,81.8,81.8,81,0
CMP,60,20240514,170000,81.8,82,80.8,82,3689,0
CMP,60,20240515,100000,82.4,82.8,82.4,82.4,1240,0
CMP,60,20240515,110000,82.6,82.8,82.4,82.8,1413,0
CMP,60,20240515,120000,82.8,82.8,82,82,470,0
