<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMR,60,20240411,100000,256.606,259.064,256.606,258.081,217.6643835678,0
CMR,60,20240411,110000,258.081,258.081,258.081,258.081,5.085616438500001,0
CMR,60,20240411,120000,257.098,257.098,254.148,255.623,257.3321917881,0
CMR,60,20240411,130000,254.64,258.081,254.64,258.081,117.9863013732,0
CMR,60,20240411,140000,258.081,258.081,256.114,256.114,10.171232877000001,0
CMR,60,20240411,150000,256.114,256.114,256.114,256.114,14.2397260278,0
CMR,60,20240411,160000,255.623,256.606,254.148,255.623,121.0376712363,0
CMR,60,20240411,170000,255.623,255.623,253.657,253.657,282.7602739806,0
CMR,60,20240412,100000,256.606,261.522,256.606,258.572,212.5787671293,0
CMR,60,20240412,110000,260.047,265.455,258.572,261.03,846.2465753664,0
CMR,60,20240412,120000,261.03,262.997,261.03,262.997,26.445205480200002,0
CMR,60,20240412,130000,261.03,261.03,260.047,260.047,53.9075342481,0
CMR,60,20240412,140000,260.047,260.539,260.047,260.539,111.88356164700001,0
CMR,60,20240412,150000,260.539,261.03,260.539,261.03,131.2089041133,0
CMR,60,20240412,160000,261.522,262.505,260.047,261.03,138.3287671272,0
CMR,60,20240412,170000,260.539,264.471,260.539,264.471,311.2397260362,0
CMR,60,20240415,100000,263.98,263.98,258.572,263.98,991.6952055075,0
CMR,60,20240415,110000,262.997,263.98,262.997,263.488,113.9178082224,0
CMR,60,20240415,120000,263.98,263.98,262.997,263.488,89.5068493176,0
CMR,60,20240415,130000,262.997,263.488,262.997,263.488,68.1472602759,0
CMR,60,20240415,140000,261.522,261.522,261.522,261.522,3305.650685025,0
CMR,60,20240415,150000,261.522,261.522,260.539,260.539,191.2191780876,0
CMR,60,20240415,160000,261.03,261.03,261.03,261.03,26.4452054802,0
CMR,60,20240415,170000,261.03,261.522,258.572,258.572,591.9657534414,0
CMR,60,20240416,100000,256.606,256.606,252.182,252.182,663.1643835804,0
CMR,60,20240416,110000,251.69,252.182,249.724,251.69,717.0719178285,0
CMR,60,20240416,120000,251.69,251.69,249.724,250.215,201.3904109646,0
CMR,60,20240416,130000,249.724,250.215,249.724,249.724,196.3047945261,0
CMR,60,20240416,140000,250.215,250.215,248.741,248.741,92.5582191807,0
CMR,60,20240416,150000,248.741,250.215,248.741,250.215,128.1575342502,0
CMR,60,20240416,160000,249.724,249.724,247.758,247.758,164.7739726074,0
CMR,60,20240416,170000,247.758,247.758,244.316,244.316,573.6575342628,0
CMR,60,20240417,100000,244.808,246.774,240.875,246.774,495.3390411099,0
CMR,60,20240417,110000,250.215,250.707,249.724,249.724,25783.058219907,0
CMR,60,20240417,120000,250.707,252.182,250.215,252.182,73.2328767144,0
CMR,60,20240417,130000,250.707,252.673,250.707,251.199,61.027397262,0
CMR,60,20240417,140000,251.69,253.165,250.707,251.69,120.0205479486,0
CMR,60,20240417,150000,250.707,250.707,250.707,250.707,20.342465754000003,0
CMR,60,20240417,160000,252.673,253.657,250.707,252.673,368.1986301474,0
