<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPD,60,20240411,100000,3.46,3.46,3.34,3.46,1172,0
CPD,60,20240411,150000,3.46,3.47,3.46,3.47,66,0
CPD,60,20240412,140000,3.4,3.45,3.33,3.35,1701,0
CPD,60,20240412,150000,3.45,3.45,3.45,3.45,10,0
CPD,60,20240412,160000,3.4,3.47,3.35,3.47,1001,0
CPD,60,20240415,100000,3.37,3.47,3.37,3.47,21,0
CPD,60,20240415,110000,3.35,3.45,3.35,3.45,236,0
CPD,60,20240415,120000,3.45,3.45,3.45,3.45,2,0
CPD,60,20240415,160000,3.46,3.46,3.45,3.45,151,0
CPD,60,20240416,100000,3.37,3.37,3.37,3.37,1,0
CPD,60,20240416,110000,3.45,3.45,3.45,3.45,2,0
CPD,60,20240417,100000,3.37,3.44,3.37,3.44,202,0
CPD,60,20240417,120000,3.38,3.45,3.37,3.45,87,0
CPD,60,20240417,160000,3.44,3.45,3.32,3.32,3599,0
CPD,60,20240417,170000,3.46,3.49,3.46,3.49,1001,0
CPD,60,20240418,100000,3.49,3.49,3.49,3.49,10,0
CPD,60,20240418,110000,3.49,3.58,3.43,3.58,5615,0
CPD,60,20240418,120000,3.45,3.45,3.45,3.45,1,0
CPD,60,20240418,130000,3.58,3.58,3.58,3.58,10,0
CPD,60,20240418,140000,3.55,3.55,3.44,3.44,2761,0
CPD,60,20240418,150000,3.57,3.58,3.57,3.58,47,0
CPD,60,20240418,160000,3.58,3.58,3.58,3.58,194,0
CPD,60,20240418,170000,3.56,3.6,3.46,3.46,1022,0
CPD,60,20240419,100000,3.59,3.59,3.59,3.59,10,0
CPD,60,20240419,110000,3.59,3.59,3.59,3.59,50,0
CPD,60,20240419,130000,3.45,3.58,3.45,3.58,2310,0
CPD,60,20240419,140000,3.46,3.58,3.42,3.55,4822,0
CPD,60,20240419,160000,3.45,3.54,3.42,3.54,1424,0
CPD,60,20240419,170000,3.5,3.58,3.5,3.58,520,0
CPD,60,20240422,100000,3.59,3.59,3.48,3.59,3046,0
CPD,60,20240422,110000,3.59,3.62,3.59,3.62,1066,0
CPD,60,20240422,120000,3.5,3.5,3.49,3.49,350,0
CPD,60,20240422,130000,3.5,3.6,3.49,3.6,514,0
CPD,60,20240422,140000,3.6,3.61,3.6,3.61,22,0
CPD,60,20240422,160000,3.51,3.61,3.45,3.61,6854,0
CPD,60,20240422,170000,3.58,3.61,3.47,3.61,1010,0
CPD,60,20240423,100000,3.6,3.6,3.47,3.47,10526,0
CPD,60,20240423,110000,3.47,3.53,3.46,3.53,4397,0
CPD,60,20240423,120000,3.53,3.62,3.53,3.62,8774,0
CPD,60,20240423,140000,3.69,3.69,3.69,3.69,10,0
CPD,60,20240423,160000,3.66,3.66,3.66,3.66,816,0
CPD,60,20240424,100000,3.64,3.79,3.64,3.79,4710,0
CPD,60,20240424,110000,3.79,3.96,3.76,3.8,14287,0
CPD,60,20240424,120000,3.9,3.92,3.9,3.92,600,0
CPD,60,20240424,130000,3.9,3.9,3.8,3.8,2997,0
CPD,60,20240424,140000,3.88,3.88,3.88,3.88,10,0
CPD,60,20240424,150000,3.88,3.89,3.81,3.81,1534,0
CPD,60,20240424,170000,3.71,3.88,3.71,3.88,1309,0
