<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPL,60,20240411,120000,6.8,6.8,6.8,6.8,1100,0
CPL,60,20240411,130000,6.8,6.8,6.8,6.8,830,0
CPL,60,20240411,160000,6.7,6.7,6.7,6.7,1200,0
CPL,60,20240411,170000,6.6,6.6,6.55,6.55,1285,0
CPL,60,20240412,130000,6.65,6.65,6.65,6.65,1820,0
CPL,60,20240412,140000,6.65,6.65,6.65,6.65,3180,0
CPL,60,20240412,150000,6.65,6.7,6.65,6.7,5050,0
CPL,60,20240412,160000,6.7,6.7,6.7,6.7,1574,0
CPL,60,20240412,170000,6.7,6.7,6.6,6.7,2194,0
CPL,60,20240415,100000,6.7,6.7,6.7,6.7,2000,0
CPL,60,20240415,110000,6.75,6.75,6.75,6.75,111,0
CPL,60,20240415,140000,6.7,6.7,6.7,6.7,1386,0
CPL,60,20240416,130000,6.9,6.9,6.9,6.9,6370,0
CPL,60,20240416,170000,6.9,6.9,6.9,6.9,505,0
CPL,60,20240417,110000,6.9,6.9,6.9,6.9,9,0
CPL,60,20240418,100000,6.95,6.95,6.95,6.95,25803,0
CPL,60,20240418,160000,7.1,7.4,7.1,7.4,1802,0
CPL,60,20240419,100000,7.3,7.3,7.3,7.3,120,0
CPL,60,20240419,120000,7.05,7.05,7.05,7.05,10,0
CPL,60,20240422,100000,7,7,7,7,1200,0
CPL,60,20240422,110000,6.95,6.95,6.95,6.95,100,0
CPL,60,20240422,150000,6.95,6.95,6.95,6.95,86,0
CPL,60,20240422,160000,7,7,7,7,1153,0
CPL,60,20240422,170000,7,7,7,7,1100,0
CPL,60,20240423,110000,7,7,7,7,1100,0
CPL,60,20240425,160000,6.7,6.7,6.7,6.7,150,0
CPL,60,20240429,140000,6.9,6.9,6.9,6.9,3760,0
CPL,60,20240506,100000,6.8,6.95,6.8,6.95,520,0
CPL,60,20240506,150000,6.8,6.8,6.8,6.8,550,0
CPL,60,20240507,110000,6.95,6.95,6.95,6.95,15,0
CPL,60,20240513,100000,6.95,6.95,6.7,6.7,1210,0
CPL,60,20240513,120000,6.4,6.4,6.4,6.4,180,0
CPL,60,20240513,150000,6.6,6.6,6.6,6.6,230,0
CPL,60,20240514,100000,6.7,6.7,6.4,6.4,1213,0
CPL,60,20240514,110000,6.4,6.4,6.4,6.4,100,0
CPL,60,20240523,100000,6.4,6.8,6.4,6.7,4596,0
CPL,60,20240523,160000,6.4,6.4,6.4,6.4,220,0
CPL,60,20240523,170000,6.4,6.65,6.4,6.65,31201,0
CPL,60,20240524,100000,6.65,6.65,6.65,6.65,200,0
CPL,60,20240524,110000,6.65,6.65,6.5,6.5,2100,0
CPL,60,20240524,120000,6.35,6.35,6.35,6.35,13,0
CPL,60,20240524,140000,6.55,6.55,6.55,6.55,159,0
CPL,60,20240527,100000,6.4,6.4,6.4,6.4,1000,0
CPL,60,20240527,110000,6.4,6.4,6.4,6.4,1500,0
CPL,60,20240528,100000,6.4,6.4,6.4,6.4,300,0
CPL,60,20240531,130000,6.4,6.4,6.4,6.4,250,0
CPL,60,20240531,160000,6.4,6.4,6.4,6.4,260,0
CPL,60,20240603,100000,6.2,6.2,6.2,6.2,180,0
CPL,60,20240603,170000,6.4,6.4,6.4,6.4,1,0
CPL,60,20240604,110000,6.4,6.4,6.4,6.4,220,0
CPL,60,20240604,150000,6.1,6.4,6.1,6.4,269,0
CPL,60,20240604,170000,6.1,6.1,6.1,6.1,85,0
