<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPS,60,20240411,100000,10.4,10.625,10.4,10.625,301426,0
CPS,60,20240411,110000,10.615,10.645,10.55,10.605,71108,0
CPS,60,20240411,120000,10.59,10.595,10.525,10.57,68276,0
CPS,60,20240411,130000,10.575,10.575,10.5,10.5,123137,0
CPS,60,20240411,140000,10.5,10.51,10.41,10.43,108596,0
CPS,60,20240411,150000,10.435,10.65,10.435,10.635,158116,0
CPS,60,20240411,160000,10.63,10.715,10.595,10.68,236193,0
CPS,60,20240411,170000,10.675,10.675,10.58,10.605,224693,0
CPS,60,20240412,100000,10.65,10.705,10.5,10.68,222381,0
CPS,60,20240412,110000,10.69,10.69,10.615,10.62,39509,0
CPS,60,20240412,120000,10.615,10.64,10.515,10.57,129492,0
CPS,60,20240412,130000,10.565,10.59,10.52,10.53,56759,0
CPS,60,20240412,140000,10.53,10.58,10.515,10.56,73146,0
CPS,60,20240412,150000,10.555,10.565,10.385,10.39,177733,0
CPS,60,20240412,160000,10.39,10.4,10.31,10.39,225398,0
CPS,60,20240412,170000,10.385,10.385,10.18,10.18,745506,0
CPS,60,20240415,100000,10.175,10.345,10.075,10.14,506538,0
CPS,60,20240415,110000,10.15,10.16,10.07,10.08,222144,0
CPS,60,20240415,120000,10.08,10.16,10.06,10.11,124698,0
CPS,60,20240415,130000,10.11,10.155,10.075,10.1,133775,0
CPS,60,20240415,140000,10.105,10.135,10.09,10.095,90665,0
CPS,60,20240415,150000,10.09,10.15,10.085,10.1,200363,0
CPS,60,20240415,160000,10.1,10.16,10.085,10.095,203379,0
CPS,60,20240415,170000,10.1,10.11,10.05,10.05,336364,0
CPS,60,20240416,100000,10.02,10.04,9.8,9.86,620084,0
CPS,60,20240416,110000,9.86,9.898,9.808,9.886,132274,0
CPS,60,20240416,120000,9.886,9.968,9.876,9.922,173075,0
CPS,60,20240416,130000,9.922,9.948,9.87,9.872,138809,0
CPS,60,20240416,140000,9.872,9.872,9.77,9.788,292826,0
CPS,60,20240416,150000,9.786,9.87,9.784,9.79,198421,0
CPS,60,20240416,160000,9.788,9.83,9.74,9.772,203421,0
CPS,60,20240416,170000,9.77,9.806,9.72,9.76,377200,0
CPS,60,20240417,100000,9.77,9.896,9.656,9.868,330576,0
CPS,60,20240417,110000,9.874,9.92,9.8,9.83,178806,0
CPS,60,20240417,120000,9.834,9.838,9.77,9.78,89221,0
CPS,60,20240417,130000,9.778,9.812,9.75,9.804,78566,0
CPS,60,20240417,140000,9.824,9.834,9.78,9.784,80272,0
CPS,60,20240417,150000,9.782,9.828,9.77,9.78,67391,0
CPS,60,20240417,160000,9.778,9.85,9.77,9.82,103461,0
CPS,60,20240417,170000,9.814,9.83,9.762,9.83,193750,0
CPS,60,20240418,100000,9.94,9.98,9.79,9.956,145002,0
CPS,60,20240418,110000,9.954,9.996,9.78,9.832,295067,0
CPS,60,20240418,120000,9.832,9.902,9.81,9.888,75181,0
CPS,60,20240418,130000,9.886,10.215,9.878,10.13,264352,0
CPS,60,20240418,140000,10.13,10.135,10.035,10.095,76699,0
CPS,60,20240418,150000,10.09,10.13,10.045,10.06,58638,0
CPS,60,20240418,160000,10.055,10.1,10.01,10.1,56610,0
CPS,60,20240418,170000,10.085,10.115,10.06,10.11,120780,0
CPS,60,20240419,100000,10.045,10.13,10.015,10.12,79026,0
CPS,60,20240419,110000,10.13,10.165,10.07,10.08,81700,0
CPS,60,20240419,120000,10.085,10.2,10.085,10.185,55169,0
CPS,60,20240419,130000,10.18,10.25,10.155,10.215,94234,0
CPS,60,20240419,140000,10.22,10.295,10.215,10.255,120111,0
CPS,60,20240419,150000,10.255,10.285,10.21,10.23,75648,0
CPS,60,20240419,160000,10.235,10.235,10.085,10.11,120197,0
CPS,60,20240419,170000,10.11,10.11,10.065,10.105,171702,0
CPS,60,20240422,100000,10.115,10.22,10.065,10.09,97502,0
CPS,60,20240422,110000,10.08,10.1,10.025,10.1,58159,0
CPS,60,20240422,120000,10.1,10.19,10.1,10.14,48884,0
CPS,60,20240422,130000,10.135,10.15,10.105,10.13,32671,0
CPS,60,20240422,140000,10.13,10.15,10.075,10.09,39758,0
CPS,60,20240422,150000,10.09,10.16,10.08,10.14,46590,0
CPS,60,20240422,160000,10.135,10.175,10.095,10.095,58647,0
CPS,60,20240422,170000,10.09,10.175,10.09,10.12,127617,0
CPS,60,20240423,100000,10.28,10.36,10.21,10.29,165735,0
