<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRIA,60,20250312,100000,194,198,190,192,5911,0
CRIA,60,20250312,110000,192,197.5,192,193,1214,0
CRIA,60,20250312,120000,195,197,195,197,421,0
CRIA,60,20250312,130000,197.5,197.5,194,195,684,0
CRIA,60,20250312,140000,197,197,195,196.5,354,0
CRIA,60,20250312,150000,195,196.5,195,195,2321,0
CRIA,60,20250312,160000,195,196.5,195,196.5,506,0
CRIA,60,20250312,170000,195.5,196,193,196,1173,0
CRIA,60,20250313,100000,196,196,193,193,1103,0
CRIA,60,20250313,110000,193,194,192.5,193,1371,0
CRIA,60,20250313,120000,193,193.5,193,193,264,0
CRIA,60,20250313,130000,193,196,192.5,196,1828,0
CRIA,60,20250313,140000,196.5,197,196.5,197,1113,0
CRIA,60,20250313,150000,197,197.5,197,197.5,70,0
CRIA,60,20250313,160000,197.5,197.5,197.5,197.5,550,0
CRIA,60,20250313,170000,198,198,197.5,198,690,0
CRIA,60,20250314,100000,199,206,199,204,1122,0
CRIA,60,20250314,110000,204,205,204,205,275,0
CRIA,60,20250314,120000,205,207,204,206,1538,0
CRIA,60,20250314,130000,205,207,204,205,474,0
CRIA,60,20250314,140000,204,204,202,202,1587,0
CRIA,60,20250314,150000,203,204,202,204,295,0
CRIA,60,20250314,160000,204,204,202,204,930,0
CRIA,60,20250314,170000,205,207,205,207,1120,0
CRIA,60,20250317,100000,208,208,203,203,374,0
CRIA,60,20250317,110000,203,206,202,203,574,0
CRIA,60,20250317,120000,203,205,203,203,433,0
CRIA,60,20250317,130000,204,206,204,204,279,0
CRIA,60,20250317,140000,205,205,204,204,112,0
CRIA,60,20250317,150000,204,205,202,204,925,0
CRIA,60,20250317,160000,204,206,202,203,120,0
CRIA,60,20250317,170000,203,205,202,203,705,0
CRIA,60,20250318,100000,204,207,204,204,1005,0
CRIA,60,20250318,110000,204,204,201,201,920,0
CRIA,60,20250318,120000,201,202,199,200,799,0
CRIA,60,20250318,130000,200,200,199,199,125,0
CRIA,60,20250318,140000,200,200,200,200,52,0
CRIA,60,20250318,150000,199.5,199.5,199,199,156,0
CRIA,60,20250318,160000,199,199,199,199,213,0
CRIA,60,20250318,170000,200,200,199,200,428,0
CRIA,60,20250319,100000,199,202,199,202,36,0
CRIA,60,20250319,110000,201,202,201,202,53,0
CRIA,60,20250319,130000,201,201,201,201,25,0
CRIA,60,20250319,140000,202,202,202,202,50,0
CRIA,60,20250319,150000,200,200,198,199,293,0
CRIA,60,20250319,160000,199,199,199,199,104,0
CRIA,60,20250319,170000,199.5,199.5,198,198,350,0
CRIA,60,20250320,100000,201,203,201,203,322,0
CRIA,60,20250320,110000,204,204,201,201,410,0
CRIA,60,20250320,120000,202,202,201,201,500,0
CRIA,60,20250320,130000,200,200,200,200,115,0
CRIA,60,20250320,140000,201,202,200,202,343,0
CRIA,60,20250320,150000,199,199,198,198,175,0
CRIA,60,20250320,160000,198,200,198,200,80,0
CRIA,60,20250320,170000,197.5,199,197,198.5,404,0
CRIA,60,20250321,100000,195.5,196,195,196,400,0
CRIA,60,20250321,110000,196,196,196,196,265,0
