<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRM,60,20240411,110000,0.58,0.58,0.572,0.572,2282,0
CRM,60,20240411,120000,0.58,0.58,0.58,0.58,429,0
CRM,60,20240411,130000,0.576,0.576,0.576,0.576,1500,0
CRM,60,20240411,160000,0.58,0.59,0.58,0.59,8323,0
CRM,60,20240411,170000,0.59,0.592,0.574,0.592,4113,0
CRM,60,20240412,100000,0.574,0.574,0.574,0.574,1060,0
CRM,60,20240412,110000,0.588,0.592,0.58,0.592,4409,0
CRM,60,20240412,120000,0.592,0.592,0.59,0.59,1007,0
CRM,60,20240412,130000,0.59,0.59,0.59,0.59,3768,0
CRM,60,20240412,140000,0.588,0.588,0.588,0.588,11000,0
CRM,60,20240412,150000,0.588,0.588,0.588,0.588,18,0
CRM,60,20240412,170000,0.582,0.582,0.58,0.58,6632,0
CRM,60,20240415,110000,0.58,0.58,0.58,0.58,5520,0
CRM,60,20240415,120000,0.588,0.59,0.588,0.59,7978,0
CRM,60,20240415,130000,0.582,0.59,0.58,0.59,6500,0
CRM,60,20240415,150000,0.582,0.59,0.58,0.59,6136,0
CRM,60,20240415,170000,0.588,0.596,0.58,0.594,14315,0
CRM,60,20240416,140000,0.592,0.592,0.592,0.592,200,0
CRM,60,20240416,170000,0.59,0.592,0.59,0.592,1231,0
CRM,60,20240417,100000,0.592,0.592,0.592,0.592,12,0
CRM,60,20240417,130000,0.59,0.59,0.59,0.59,1350,0
CRM,60,20240417,140000,0.59,0.59,0.59,0.59,2751,0
CRM,60,20240417,170000,0.586,0.588,0.576,0.588,1164,0
CRM,60,20240418,100000,0.588,0.588,0.588,0.588,500,0
CRM,60,20240418,110000,0.58,0.58,0.576,0.576,4250,0
CRM,60,20240418,140000,0.584,0.584,0.584,0.584,500,0
CRM,60,20240418,170000,0.582,0.584,0.582,0.584,5620,0
CRM,60,20240419,100000,0.58,0.582,0.58,0.582,10000,0
CRM,60,20240419,110000,0.582,0.582,0.582,0.582,100,0
CRM,60,20240419,160000,0.578,0.584,0.578,0.584,8115,0
CRM,60,20240419,170000,0.584,0.588,0.584,0.588,3002,0
CRM,60,20240422,100000,0.59,0.59,0.59,0.59,2030,0
CRM,60,20240422,110000,0.59,0.59,0.59,0.59,1200,0
CRM,60,20240422,120000,0.58,0.58,0.58,0.58,3000,0
CRM,60,20240422,150000,0.588,0.59,0.588,0.59,16932,0
CRM,60,20240423,100000,0.588,0.59,0.588,0.59,6108,0
CRM,60,20240423,110000,0.59,0.59,0.59,0.59,474,0
CRM,60,20240423,120000,0.594,0.594,0.594,0.594,600,0
CRM,60,20240423,130000,0.592,0.592,0.592,0.592,72,0
CRM,60,20240423,140000,0.594,0.61,0.594,0.61,10100,0
CRM,60,20240423,160000,0.594,0.594,0.59,0.59,240,0
CRM,60,20240423,170000,0.598,0.604,0.59,0.604,6051,0
CRM,60,20240424,110000,0.59,0.598,0.582,0.598,1550,0
CRM,60,20240424,170000,0.596,0.61,0.596,0.61,24814,0
CRM,60,20240425,100000,0.608,0.608,0.608,0.608,2406,0
CRM,60,20240425,120000,0.596,0.596,0.584,0.584,100,0
CRM,60,20240425,150000,0.598,0.606,0.598,0.606,4170,0
CRM,60,20240425,170000,0.598,0.598,0.598,0.598,159,0
CRM,60,20240426,110000,0.59,0.6,0.58,0.6,1000,0
CRM,60,20240426,120000,0.598,0.6,0.598,0.6,419,0
CRM,60,20240426,130000,0.6,0.6,0.598,0.6,5219,0
CRM,60,20240426,140000,0.596,0.602,0.596,0.6,6129,0
CRM,60,20240426,160000,0.6,0.61,0.6,0.61,10000,0
CRM,60,20240426,170000,0.608,0.608,0.604,0.604,187,0
CRM,60,20240429,100000,0.602,0.61,0.6,0.61,5537,0
CRM,60,20240429,110000,0.6,0.602,0.6,0.6,5900,0
CRM,60,20240429,150000,0.608,0.61,0.608,0.61,2089,0
CRM,60,20240429,160000,0.608,0.608,0.608,0.608,20,0
CRM,60,20240429,170000,0.61,0.61,0.61,0.61,130,0
CRM,60,20240430,100000,0.61,0.618,0.61,0.61,6832,0
CRM,60,20240430,120000,0.61,0.61,0.61,0.61,5000,0
CRM,60,20240430,150000,0.604,0.604,0.59,0.59,4493,0
CRM,60,20240430,160000,0.59,0.59,0.59,0.59,80,0
CRM,60,20240430,170000,0.588,0.59,0.588,0.588,9309,0
CRM,60,20240502,100000,0.588,0.588,0.588,0.588,502,0
CRM,60,20240502,110000,0.588,0.588,0.588,0.588,3000,0
CRM,60,20240502,140000,0.588,0.588,0.588,0.588,552,0
CRM,60,20240502,150000,0.586,0.586,0.58,0.58,7459,0
CRM,60,20240502,170000,0.59,0.59,0.59,0.59,130,0
CRM,60,20240506,100000,0.586,0.586,0.56,0.57,116147,0
CRM,60,20240506,110000,0.576,0.576,0.576,0.576,215,0
CRM,60,20240506,120000,0.576,0.58,0.572,0.58,10780,0
CRM,60,20240506,130000,0.58,0.586,0.58,0.586,870,0
CRM,60,20240506,140000,0.588,0.588,0.586,0.586,898,0
CRM,60,20240506,150000,0.588,0.588,0.588,0.588,1260,0
CRM,60,20240506,160000,0.59,0.596,0.59,0.596,2258,0
CRM,60,20240506,170000,0.596,0.606,0.592,0.606,4814,0
CRM,60,20240507,100000,0.606,0.61,0.606,0.61,7000,0
CRM,60,20240507,150000,0.604,0.604,0.584,0.6,4580,0
CRM,60,20240507,160000,0.6,0.6,0.6,0.6,573,0
CRM,60,20240507,170000,0.6,0.61,0.6,0.61,1201,0
CRM,60,20240508,100000,0.61,0.61,0.61,0.61,1611,0
CRM,60,20240508,110000,0.61,0.61,0.61,0.61,271,0
CRM,60,20240508,120000,0.6,0.61,0.6,0.61,6001,0
CRM,60,20240508,130000,0.6,0.6,0.6,0.6,4000,0
CRM,60,20240508,160000,0.602,0.602,0.6,0.6,10500,0
CRM,60,20240508,170000,0.602,0.608,0.602,0.608,1120,0
CRM,60,20240509,100000,0.608,0.608,0.6,0.6,4598,0
CRM,60,20240509,110000,0.608,0.61,0.608,0.61,2370,0
CRM,60,20240509,150000,0.608,0.61,0.608,0.61,1000,0
