<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTS,60,20240411,100000,4.49018,4.49018,4.49018,4.49018,1.046728972,0
CTS,60,20240411,120000,4.60482,4.60482,4.60482,4.60482,10.46728972,0
CTS,60,20240411,150000,4.77679,4.77679,4.77679,4.77679,20.93457944,0
CTS,60,20240411,160000,4.77679,4.77679,4.77679,4.77679,418.6915888,0
CTS,60,20240412,100000,4.58571,4.58571,4.58571,4.58571,1.046728972,0
CTS,60,20240415,150000,4.68125,4.68125,4.68125,4.68125,70.130841124,0
CTS,60,20240415,160000,4.68125,4.68125,4.68125,4.68125,366.3551402,0
CTS,60,20240416,100000,4.73857,4.73857,4.73857,4.73857,10.46728972,0
CTS,60,20240416,120000,4.77679,4.77679,4.77679,4.77679,84.785046732,0
CTS,60,20240417,100000,4.77679,4.77679,4.77679,4.77679,324.48598132,0
CTS,60,20240417,110000,4.77679,4.77679,4.77679,4.77679,418.6915888,0
CTS,60,20240417,170000,4.77679,4.77679,4.77679,4.77679,418.6915888,0
CTS,60,20240419,130000,4.77679,4.77679,4.77679,4.77679,270.056074776,0
CTS,60,20240422,100000,4.77679,4.77679,4.58571,4.58571,5.23364486,0
CTS,60,20240423,110000,4.77679,4.87232,4.77679,4.87232,230.28037383999998,0
CTS,60,20240423,120000,4.77679,4.77679,4.77679,4.77679,31.401869159999997,0
CTS,60,20240423,140000,4.87232,4.87232,4.58571,4.58571,4.186915888,0
CTS,60,20240423,170000,4.87232,4.87232,4.87232,4.87232,4.186915888,0
CTS,60,20240425,100000,4.58571,4.77679,4.58571,4.58571,23.028037384,0
CTS,60,20240425,140000,4.77679,4.77679,4.77679,4.77679,20.93457944,0
CTS,60,20240425,150000,4.77679,4.77679,4.77679,4.77679,66.990654208,0
CTS,60,20240425,170000,5.01562,5.01562,5.01562,5.01562,3.1401869159999998,0
CTS,60,20240429,100000,4.77679,4.77679,4.58571,4.58571,5.23364486,0
CTS,60,20240429,160000,4.75768,4.77679,4.75768,4.77679,1259.214953316,0
CTS,60,20240430,100000,4.58571,4.58571,4.58571,4.58571,1.046728972,0
CTS,60,20240430,110000,4.77679,4.77679,4.77679,4.77679,293.08411215999996,0
CTS,60,20240502,100000,4.58571,4.58571,4.58571,4.58571,1.046728972,0
CTS,60,20240502,150000,4.77679,4.77679,4.77679,4.77679,20.93457944,0
CTS,60,20240506,100000,4.77679,4.77679,4.77679,4.77679,1.046728972,0
CTS,60,20240506,160000,5.01562,5.01562,5.01562,5.01562,11.514018691999999,0
CTS,60,20240507,120000,5.01562,5.01562,5.01562,5.01562,10.46728972,0
CTS,60,20240508,140000,5.01562,5.01562,5.01562,5.01562,10.46728972,0
