<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAT,60,20240411,100000,66,71.7,65.1,69,19341,0
DAT,60,20240411,110000,69.7,70.6,68,68.7,4011,0
DAT,60,20240411,120000,68.9,69.3,68.4,68.9,3282,0
DAT,60,20240411,130000,68.9,68.9,67.9,68.5,1162,0
DAT,60,20240411,140000,68.2,68.7,67.9,68.1,663,0
DAT,60,20240411,150000,68.6,71,68.6,71,7351,0
DAT,60,20240411,160000,71,71.2,69.3,70.5,3394,0
DAT,60,20240411,170000,70.1,70.5,69.8,69.8,1799,0
DAT,60,20240412,100000,70.2,73.1,70.2,72.7,8297,0
DAT,60,20240412,110000,72.4,74.9,72.1,74.7,9691,0
DAT,60,20240412,120000,74.7,74.8,73,73.7,5044,0
DAT,60,20240412,130000,73.7,73.8,72.6,73.2,3321,0
DAT,60,20240412,140000,73.1,73.4,71.7,72.3,2378,0
DAT,60,20240412,150000,72.5,73.3,72,72.9,1768,0
DAT,60,20240412,160000,72.8,72.8,71.1,71.5,1706,0
DAT,60,20240412,170000,72,72,70.5,71.5,3793,0
DAT,60,20240415,100000,71,71.6,68.1,69,5358,0
DAT,60,20240415,110000,69.8,71,69.3,70.8,979,0
DAT,60,20240415,120000,70.8,71.5,69.8,70,2554,0
DAT,60,20240415,130000,70,70.3,69.8,69.8,1338,0
DAT,60,20240415,140000,70,72.7,70,72.5,1981,0
DAT,60,20240415,150000,72.6,74.6,72,72.1,5628,0
DAT,60,20240415,160000,72.3,72.3,71.5,71.8,5221,0
DAT,60,20240415,170000,71.9,72.3,70.8,72,2981,0
DAT,60,20240416,100000,71,71,68.6,69.5,5837,0
DAT,60,20240416,110000,69.5,69.8,68.4,68.5,6451,0
DAT,60,20240416,120000,68.5,68.8,68.4,68.5,3338,0
DAT,60,20240416,130000,68.5,69.7,68.2,69.5,4259,0
DAT,60,20240416,140000,69.6,70.6,69,70.6,1366,0
DAT,60,20240416,150000,70.5,70.5,69.1,69.5,1267,0
DAT,60,20240416,160000,69.5,70,64.6,65.6,15023,0
DAT,60,20240416,170000,65.5,66.5,64.5,64.8,6634,0
DAT,60,20240417,100000,65.5,66.2,61.7,62.6,12092,0
DAT,60,20240417,110000,62.8,62.9,60.5,61.7,15378,0
DAT,60,20240417,120000,61.9,61.9,57.3,57.5,27313,0
DAT,60,20240417,130000,58.3,59.7,57.4,59.4,22622,0
DAT,60,20240417,140000,59.6,60.5,59,60.5,8725,0
DAT,60,20240417,150000,60.6,67,60.5,65.7,21547,0
DAT,60,20240417,160000,66.1,66.4,64.8,65.6,5257,0
DAT,60,20240417,170000,65.2,65.9,63,65,8575,0
DAT,60,20240418,100000,64.9,68,64,66.5,5755,0
DAT,60,20240418,110000,65.7,66.9,64.6,64.6,2832,0
DAT,60,20240418,120000,65.5,65.5,64.1,64.8,1809,0
DAT,60,20240418,130000,64.5,65.1,64.1,65,1012,0
DAT,60,20240418,140000,65,65,64.1,64.2,972,0
DAT,60,20240418,150000,64.4,64.4,62.2,62.6,3038,0
DAT,60,20240418,160000,62.3,63.9,61.1,61.9,2232,0
DAT,60,20240418,170000,61.5,62.9,61.4,61.8,2930,0
DAT,60,20240419,100000,61,61,59.1,61,4723,0
DAT,60,20240419,110000,60.6,61.2,59.9,60.2,1719,0
DAT,60,20240419,120000,60.5,60.7,59.7,59.9,1799,0
DAT,60,20240419,130000,59.9,60.4,59.9,60,419,0
DAT,60,20240419,140000,59.9,60.2,59.7,60.2,1091,0
DAT,60,20240419,150000,60.4,61.5,60.3,60.9,2163,0
DAT,60,20240419,160000,60.9,61.9,60.8,61.8,1760,0
DAT,60,20240419,170000,61.5,61.8,61,61.8,1854,0
DAT,60,20240422,100000,62,64.7,62,63.9,4244,0
DAT,60,20240422,110000,63.9,63.9,62.5,63.4,1120,0
DAT,60,20240422,120000,63.4,63.9,62.8,62.8,590,0
DAT,60,20240422,130000,62.8,63.2,62.2,62.2,1504,0
DAT,60,20240422,140000,62.1,62.9,61.5,62,1688,0
DAT,60,20240422,150000,62,62,61,61.5,1490,0
DAT,60,20240422,160000,61.4,61.8,60.4,60.4,1139,0
DAT,60,20240422,170000,60.4,61.5,60.3,61.4,3113,0
DAT,60,20240423,100000,60.9,62,60,60.8,3113,0
DAT,60,20240423,110000,60.4,60.7,60,60.2,3005,0
DAT,60,20240423,120000,60.4,61.3,60.4,61.3,646,0
DAT,60,20240423,130000,61.1,62.5,61.1,61.9,3530,0
DAT,60,20240423,140000,62.4,64.4,62.4,63.5,2935,0
DAT,60,20240423,150000,62.6,63.4,62.3,63.1,479,0
DAT,60,20240423,160000,62.6,63.2,62.6,63.2,1052,0
DAT,60,20240423,170000,63.2,63.8,63,63.8,2256,0
DAT,60,20240424,100000,63.8,64.5,62.5,62.8,2193,0
DAT,60,20240424,110000,62.8,62.8,61.6,62.4,1940,0
DAT,60,20240424,120000,62.1,62.2,61.7,62,355,0
DAT,60,20240424,130000,62,62,61.3,61.9,398,0
DAT,60,20240424,140000,61.6,61.6,59.3,60,6676,0
DAT,60,20240424,150000,60,60.4,59.8,60,2298,0
DAT,60,20240424,160000,60.2,60.4,59.8,60.3,1589,0
DAT,60,20240424,170000,60.4,61,58.5,58.5,8890,0
DAT,60,20240425,100000,58.5,60,56.1,56.1,11138,0
DAT,60,20240425,110000,56.5,58.7,56.1,57.9,5257,0
DAT,60,20240425,120000,57.9,58,56,56.5,5759,0
DAT,60,20240425,130000,56.7,57.5,56.3,57.5,1538,0
DAT,60,20240425,140000,57.4,58,56.8,57.1,2116,0
DAT,60,20240425,150000,57.1,57.2,56.5,56.6,2095,0
DAT,60,20240425,160000,56.6,57,54.2,54.7,6819,0
DAT,60,20240425,170000,54.6,55.8,53.5,55.2,6229,0
DAT,60,20240426,100000,56,56.3,53.1,54,18064,0
DAT,60,20240426,110000,54,57,54,56.8,8405,0
DAT,60,20240426,120000,56.8,58,56.1,57.4,1752,0
DAT,60,20240426,130000,57.7,58.3,57.1,57.5,2573,0
DAT,60,20240426,140000,57.4,57.8,56.8,57,1795,0
DAT,60,20240426,150000,57.3,58.3,57.2,58.3,2818,0
DAT,60,20240426,160000,58.2,59.4,57.3,59,4044,0
DAT,60,20240426,170000,59,60.8,59,60.8,10501,0
DAT,60,20240429,100000,62.2,65,62,65,16192,0
DAT,60,20240429,110000,64.5,65.9,64.5,65.3,6433,0
DAT,60,20240429,120000,65.3,65.3,63.5,63.9,5267,0
DAT,60,20240429,130000,63.6,65.6,63.5,64.9,4691,0
DAT,60,20240429,140000,64.5,65.2,64.5,65.1,2290,0
DAT,60,20240429,150000,65.1,65.4,65,65.1,2181,0
DAT,60,20240429,160000,65.4,66.9,65,66.7,6223,0
DAT,60,20240429,170000,66.7,68.8,66.7,68.5,9063,0
DAT,60,20240430,100000,69.9,71,67.3,69.5,11475,0
DAT,60,20240430,110000,69.7,69.8,68.1,68.2,2556,0
DAT,60,20240430,120000,68.2,68.2,65.2,66.1,6818,0
DAT,60,20240430,130000,66.1,67.4,65.5,66.4,3779,0
DAT,60,20240430,140000,66.3,68.5,66.3,68,2024,0
DAT,60,20240430,150000,67.8,67.9,66.4,67,1875,0
DAT,60,20240430,160000,67,67.9,66.8,67.4,725,0
DAT,60,20240430,170000,67.5,68.9,67.1,67.8,3950,0
DAT,60,20240502,100000,67.8,69,67.4,68.2,1593,0
DAT,60,20240502,110000,67.7,68,66.7,67.1,2459,0
DAT,60,20240502,120000,67.5,67.5,66.3,67,1620,0
DAT,60,20240502,130000,67,67,66.3,66.6,388,0
DAT,60,20240502,140000,66.5,66.8,66.3,66.7,204,0
DAT,60,20240502,150000,66.8,67.2,66.6,67,719,0
DAT,60,20240502,160000,67,67,66.6,67,323,0
DAT,60,20240502,170000,66.7,66.9,65.3,65.8,2483,0
DAT,60,20240506,100000,64.2,66,63.4,65.6,8287,0
DAT,60,20240506,110000,65.9,67,65.9,66.5,2907,0
DAT,60,20240506,120000,66.8,68,66.5,66.9,4699,0
DAT,60,20240506,130000,66.9,66.9,60.2,62,24032,0
DAT,60,20240506,140000,62.4,62.4,59.2,60.6,15104,0
DAT,60,20240506,150000,60.8,64.9,60.6,62.6,15775,0
DAT,60,20240506,160000,62.7,63.6,61.6,63.2,5043,0
DAT,60,20240506,170000,63.3,65.2,63.1,65.2,8632,0
DAT,60,20240507,100000,66.3,69.5,66,66.4,30043,0
DAT,60,20240507,110000,66.6,67,65,65.5,6708,0
DAT,60,20240507,120000,65.6,65.6,64,64.8,7382,0
DAT,60,20240507,130000,64.8,65.3,64.1,64.5,1596,0
DAT,60,20240507,140000,64.5,65.8,64.5,65.4,413,0
DAT,60,20240507,150000,65.4,65.7,64.2,64.6,923,0
DAT,60,20240507,160000,64.2,64.3,63.2,63.8,2491,0
DAT,60,20240507,170000,63.8,63.9,61.6,63.3,11105,0
DAT,60,20240508,100000,63.2,64.7,62,62,3544,0
DAT,60,20240508,110000,62.1,63.5,62,63.5,745,0
DAT,60,20240508,120000,63.1,63.3,62.8,62.8,156,0
DAT,60,20240508,130000,62.8,63.3,62.3,62.7,598,0
DAT,60,20240508,140000,62.5,62.5,62.1,62.5,1244,0
DAT,60,20240508,150000,62.6,63.3,62.3,63.3,1506,0
DAT,60,20240508,160000,63.3,63.3,62.2,62.5,1506,0
DAT,60,20240508,170000,62.4,62.7,62,62.4,2880,0
DAT,60,20240509,100000,62.5,63.2,61.5,62.9,3504,0
