<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBC,60,20240411,100000,69.7354,69.7354,69.5561,69.5561,172.9251700675,0
DBC,60,20240411,110000,69.3768,69.5561,69.1976,69.5561,81.4421768705,0
DBC,60,20240411,120000,69.7354,69.7354,69.7354,69.7354,33.469387755,0
DBC,60,20240411,130000,69.7354,69.7354,69.5561,69.5561,123.8367346935,0
DBC,60,20240411,140000,69.5561,69.7354,69.5561,69.7354,54.6666666665,0
DBC,60,20240411,170000,69.7354,69.7354,69.3768,69.3768,179.6190476185,0
DBC,60,20240412,100000,69.7354,69.7354,69.0183,69.0183,104.870748299,0
DBC,60,20240412,110000,69.3768,69.3768,69.3768,69.3768,13.387755102,0
DBC,60,20240412,120000,69.3768,69.3768,69.3768,69.3768,30.1224489795,0
DBC,60,20240412,130000,69.0183,69.7354,69.0183,69.0183,1348.8163265265,0
DBC,60,20240412,140000,69.0183,69.1976,68.4805,69.1976,137.2244897955,0
DBC,60,20240412,150000,69.1976,69.1976,68.3012,68.3012,119.3741496595,0
DBC,60,20240412,160000,68.3012,69.1976,68.122,69.1976,187.428571428,0
DBC,60,20240412,170000,69.1976,69.1976,69.1976,69.1976,128.2993197275,0
DBC,60,20240415,100000,69.0183,69.9146,68.3012,69.9146,163.9999999995,0
DBC,60,20240415,110000,69.7354,69.7354,68.6598,68.6598,23.4285714285,0
DBC,60,20240415,120000,69.7354,69.7354,69.7354,69.7354,51.319727891,0
DBC,60,20240415,130000,68.6598,69.7354,68.6598,69.7354,23.4285714285,0
DBC,60,20240415,140000,69.7354,69.7354,68.6598,68.6598,4.462585034,0
DBC,60,20240415,150000,68.839,68.839,68.839,68.839,5.5782312925,0
DBC,60,20240415,160000,68.839,69.5561,68.839,69.5561,60.244897959,0
DBC,60,20240416,100000,69.9146,69.9146,68.3012,68.3012,332.462585033,0
DBC,60,20240416,130000,68.3012,68.6598,68.3012,68.3012,59.1292517005,0
DBC,60,20240416,140000,68.3012,69.0183,68.3012,68.3012,43.5102040815,0
DBC,60,20240416,160000,68.3012,68.3012,68.3012,68.3012,44.62585034,0
DBC,60,20240416,170000,68.3012,68.3012,68.3012,68.3012,8.925170068,0
DBC,60,20240417,100000,68.3012,68.839,68.122,68.3012,121.6054421765,0
DBC,60,20240417,110000,68.839,68.839,68.4805,68.6598,204.1632653055,0
DBC,60,20240417,120000,68.839,68.839,68.6598,68.6598,326.8843537405,0
DBC,60,20240417,130000,68.839,70.2732,68.839,69.9146,2893.986394549,0
DBC,60,20240417,140000,70.4524,70.4524,70.2732,70.2732,54.6666666665,0
DBC,60,20240417,150000,69.9146,70.4524,69.9146,70.4524,637.0340136035,0
DBC,60,20240417,160000,70.0939,70.6317,70.0939,70.6317,3587.918367336,0
DBC,60,20240417,170000,70.6317,70.811,70.0939,70.6317,1328.7346938735,0
DBC,60,20240418,100000,70.6317,70.6317,69.9146,70.0939,695.0476190455,0
DBC,60,20240418,110000,70.4524,70.4524,70.4524,70.4524,2.231292517,0
DBC,60,20240418,130000,70.4524,70.6317,70.4524,70.6317,66.93877551,0
DBC,60,20240418,140000,70.6317,70.6317,70.4524,70.4524,480.8435374135,0
DBC,60,20240418,150000,70.4524,70.4524,70.4524,70.4524,429.5238095225,0
DBC,60,20240418,160000,70.4524,70.4524,70.2732,70.2732,44.62585034,0
DBC,60,20240418,170000,70.2732,70.4524,70.2732,70.2732,143.9183673465,0
DBC,60,20240419,100000,70.6317,70.6317,69.9146,69.9146,139.4557823125,0
DBC,60,20240419,110000,70.4524,70.4524,69.9146,69.9146,24.544217687,0
DBC,60,20240419,120000,70.0939,70.0939,69.7354,69.7354,114.9115646255,0
DBC,60,20240419,130000,69.9146,69.9146,69.9146,69.9146,203.047619047,0
DBC,60,20240419,140000,69.9146,70.4524,69.9146,70.4524,191.891156462,0
DBC,60,20240419,160000,70.4524,70.6317,70.4524,70.6317,285.605442176,0
DBC,60,20240419,170000,69.9146,69.9146,69.9146,69.9146,1.1156462585,0
DBC,60,20240422,100000,70.4524,70.4524,69.9146,69.9146,622.530612243,0
DBC,60,20240422,110000,70.2732,70.2732,70.2732,70.2732,189.659863945,0
DBC,60,20240422,120000,70.0939,70.2732,69.9146,70.2732,1052.0544217655,0
DBC,60,20240422,130000,70.2732,70.4524,70.2732,70.2732,78.095238095,0
DBC,60,20240422,140000,70.2732,70.4524,70.2732,70.4524,73.632653061,0
DBC,60,20240422,150000,70.0939,70.4524,70.0939,70.4524,64.707482993,0
DBC,60,20240422,160000,70.6317,70.6317,70.6317,70.6317,21.1972789115,0
DBC,60,20240422,170000,70.6317,70.6317,70.4524,70.4524,5.5782312925,0
DBC,60,20240423,100000,70.4524,70.6317,70.0939,70.6317,191.891156462,0
DBC,60,20240423,110000,70.6317,70.6317,70.2732,70.6317,70.2857142855,0
DBC,60,20240423,120000,70.4524,70.4524,70.2732,70.4524,194.122448979,0
DBC,60,20240423,130000,70.4524,70.4524,70.4524,70.4524,446.2585034,0
DBC,60,20240423,140000,70.2732,70.4524,70.2732,70.4524,42.394557823,0
DBC,60,20240423,150000,70.4524,70.4524,70.2732,70.2732,65.8231292515,0
DBC,60,20240423,160000,70.6317,70.6317,70.0939,70.0939,72.51700680249999,0
DBC,60,20240423,170000,70.6317,71.528,70.6317,71.528,1884.3265306065,0
DBC,60,20240424,100000,71.528,71.7073,71.3488,71.7073,672.7346938755,0
DBC,60,20240424,110000,71.7073,71.7073,71.528,71.7073,551.129251699,0
DBC,60,20240424,120000,71.528,71.528,71.528,71.528,70.2857142855,0
DBC,60,20240424,130000,71.528,71.7073,71.528,71.7073,565.6326530595,0
DBC,60,20240424,140000,71.528,71.528,71.528,71.528,16.7346938775,0
DBC,60,20240424,150000,71.528,71.528,71.528,71.528,32.3537414965,0
DBC,60,20240424,160000,71.3488,71.528,71.3488,71.528,63.5918367345,0
DBC,60,20240424,170000,71.3488,71.7073,70.811,71.7073,692.8163265285,0
DBC,60,20240425,100000,71.7073,71.7073,71.1695,71.1695,814.421768705,0
DBC,60,20240425,110000,71.7073,71.7073,71.7073,71.7073,66.93877551,0
DBC,60,20240425,120000,71.7073,71.7073,71.7073,71.7073,281.142857142,0
DBC,60,20240425,130000,71.528,71.528,71.3488,71.3488,274.448979591,0
DBC,60,20240425,150000,71.1695,71.528,71.1695,71.528,146.1496598635,0
DBC,60,20240425,160000,71.528,71.7073,71.528,71.528,290.06802721,0
DBC,60,20240425,170000,71.528,71.528,71.3488,71.3488,89.25170068,0
DBC,60,20240426,100000,71.528,71.7073,71.3488,71.3488,215.3197278905,0
DBC,60,20240426,110000,71.528,71.7073,71.528,71.7073,614.7210884335,0
DBC,60,20240426,120000,71.7073,71.7073,71.7073,71.7073,740.789115644,0
DBC,60,20240426,130000,71.7073,72.6037,71.528,72.6037,2669.7414965905,0
DBC,60,20240426,140000,72.9622,73.3207,72.0659,72.0659,543.3197278895,0
DBC,60,20240426,150000,73.3207,73.3207,73.3207,73.3207,568.979591835,0
DBC,60,20240426,160000,72.4244,73.3207,72.4244,73.3207,110.4489795915,0
DBC,60,20240426,170000,73.3207,73.3207,72.7829,73.3207,682.775510202,0
DBC,60,20240429,100000,73.5,74.9341,73.5,74.9341,2191.129251694,0
DBC,60,20240429,110000,74.9341,74.9341,74.5756,74.9341,1085.5238095205,0
DBC,60,20240429,120000,74.9341,74.9341,74.3963,74.7549,446.2585034,0
DBC,60,20240429,130000,74.5756,74.7549,74.3963,74.3963,80.326530612,0
DBC,60,20240429,140000,74.3963,74.3963,74.0378,74.0378,981.76870748,0
DBC,60,20240429,150000,73.8585,74.3963,73.8585,74.3963,1073.251700677,0
DBC,60,20240429,160000,74.3963,74.9341,74.3963,74.9341,339.156462584,0
DBC,60,20240429,170000,74.9341,74.9341,74.5756,74.9341,1042.013605439,0
DBC,60,20240430,100000,75.1134,75.2927,74.9341,74.9341,601.3333333315,0
DBC,60,20240430,110000,75.2927,75.2927,74.9341,74.9341,206.3945578225,0
DBC,60,20240430,120000,74.7549,74.7549,74.2171,74.5756,603.5646258485,0
DBC,60,20240430,130000,74.3963,74.5756,73.8585,74.0378,433.9863945565,0
DBC,60,20240430,140000,74.0378,74.2171,74.0378,74.2171,191.891156462,0
DBC,60,20240430,150000,74.2171,74.2171,74.2171,74.2171,54.6666666665,0
DBC,60,20240430,160000,74.2171,74.2171,73.6793,73.6793,738.557823127,0
DBC,60,20240430,170000,73.6793,74.2171,73.5,74.2171,666.0408163245,0
DBC,60,20240502,100000,73.6793,74.3963,69.0183,74.2171,867.972789113,0
DBC,60,20240502,110000,73.5,74.2171,72.6037,74.2171,139.4557823125,0
DBC,60,20240502,120000,74.2171,74.2171,72.7829,73.5,44.62585034,0
DBC,60,20240502,130000,73.1415,73.1415,73.1415,73.1415,15.619047619,0
DBC,60,20240502,140000,73.6793,73.6793,73.6793,73.6793,22.31292517,0
DBC,60,20240502,150000,73.6793,73.6793,73.6793,73.6793,3.3469387755,0
DBC,60,20240502,160000,73.6793,73.6793,72.6037,72.6037,209.741496598,0
DBC,60,20240502,170000,72.6037,74.0378,72.4244,74.0378,248.7891156455,0
DBC,60,20240506,100000,73.8585,73.8585,72.0659,73.1415,311.2653061215,0
DBC,60,20240506,110000,73.1415,73.1415,72.6037,72.6037,577.904761903,0
DBC,60,20240506,120000,72.6037,73.5,70.811,72.6037,1011.8911564595,0
DBC,60,20240506,130000,72.6037,73.5,72.6037,73.5,147.265306122,0
DBC,60,20240506,140000,73.3207,73.5,73.3207,73.5,509.8503401345,0
DBC,60,20240506,150000,73.5,73.5,73.3207,73.3207,161.7687074825,0
DBC,60,20240506,160000,73.3207,73.3207,72.9622,72.9622,128.2993197275,0
DBC,60,20240506,170000,73.3207,73.5,72.7829,73.5,939.374149657,0
DBC,60,20240507,100000,72.9622,73.5,72.9622,72.9622,330.231292516,0
DBC,60,20240507,110000,72.9622,73.5,72.9622,73.3207,16.7346938775,0
DBC,60,20240507,120000,73.3207,73.3207,72.7829,72.7829,36.8163265305,0
DBC,60,20240507,140000,72.7829,72.7829,72.7829,72.7829,16.7346938775,0
DBC,60,20240507,150000,72.9622,73.3207,72.9622,73.3207,47.9727891155,0
DBC,60,20240507,160000,72.9622,72.9622,72.7829,72.7829,37.931972789,0
DBC,60,20240507,170000,72.9622,73.5,72.9622,73.5,195.2380952375,0
DBC,60,20240508,100000,70.811,70.811,67.4049,69.0183,7930.013605418,0
DBC,60,20240508,110000,69.0183,69.5561,68.3012,69.0183,805.496598637,0
DBC,60,20240508,120000,69.5561,70.4524,68.839,69.9146,2322.775510197,0
DBC,60,20240508,130000,69.9146,69.9146,69.5561,69.9146,363.700680271,0
DBC,60,20240508,140000,69.5561,69.5561,68.6598,68.6598,1008.544217684,0
DBC,60,20240508,150000,68.839,69.9146,68.839,69.9146,529.9319727875,0
DBC,60,20240508,160000,69.5561,69.9146,69.1976,69.9146,734.095238093,0
DBC,60,20240508,170000,69.7354,70.2732,69.7354,69.7354,255.4829931965,0
DBC,60,20240509,100000,69.9146,70.6317,69.3768,69.3768,485.3061224475,0
DBC,60,20240509,110000,69.5561,69.7354,69.3768,69.3768,44.62585034,0
DBC,60,20240509,120000,69.7354,69.9146,69.5561,69.7354,214.204081632,0
