<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOM,60,20240411,100000,168.425,168.986,168.425,168.612,285.349662613,0
DOM,60,20240411,110000,168.612,168.799,168.05,168.425,644.44137286757,0
DOM,60,20240411,120000,168.238,168.799,168.238,168.425,115.42233543897,0
DOM,60,20240411,130000,168.238,168.612,167.489,168.425,2480.5114866097,0
DOM,60,20240411,140000,168.799,168.799,168.425,168.425,2213.330154575,0
DOM,60,20240411,150000,168.612,168.612,168.425,168.612,130.38449003291,0
DOM,60,20240411,160000,168.612,168.612,168.05,168.425,235.11957219049,0
DOM,60,20240411,170000,168.05,168.612,168.05,168.612,507.64453086583,0
DOM,60,20240412,100000,169.36,170.296,169.173,169.735,445.65846183379,0
DOM,60,20240412,110000,168.986,169.735,168.986,168.986,42.749013125544,0
DOM,60,20240412,120000,168.986,168.986,167.863,167.863,651.92245016454,0
DOM,60,20240412,130000,168.425,168.799,168.05,168.612,3715.9579659379,0
DOM,60,20240412,140000,168.612,168.986,168.612,168.799,39.542837141128,0
DOM,60,20240412,150000,168.986,168.986,168.799,168.986,106.87253281386,0
DOM,60,20240412,160000,168.799,168.799,168.05,168.425,2637.614109846,0
DOM,60,20240412,170000,168.425,168.425,167.489,167.489,574.97422653856,0
DOM,60,20240415,100000,167.676,170.296,167.489,170.296,1551.7891764572,0
DOM,60,20240415,110000,170.109,170.296,169.36,169.922,423.21522994288,0
DOM,60,20240415,120000,169.735,170.109,169.36,169.735,304.5867185195,0
DOM,60,20240415,130000,169.548,169.548,168.425,169.36,801.54399610394,0
DOM,60,20240415,140000,169.36,170.109,169.36,169.735,331.30485172296,0
DOM,60,20240415,150000,169.548,170.109,169.548,170.109,339.85465434807,0
DOM,60,20240415,160000,170.109,170.109,169.922,170.109,281.07476130045,0
DOM,60,20240415,170000,169.922,170.109,169.173,169.173,3200.8323577751,0
DOM,60,20240416,100000,169.173,170.296,167.863,170.109,779.10076421303,0
DOM,60,20240416,110000,170.109,170.109,168.799,169.36,4129.5546679275,0
DOM,60,20240416,120000,168.612,169.173,168.425,169.173,944.75319007451,0
DOM,60,20240416,130000,169.173,169.173,168.425,168.425,5200.4174467224,0
DOM,60,20240416,140000,168.986,169.173,168.986,169.173,235.11957219049,0
DOM,60,20240416,150000,169.173,169.173,168.799,169.173,132.52194068919,0
DOM,60,20240416,160000,169.173,169.173,168.612,169.173,205.19526300261,0
DOM,60,20240416,170000,168.986,169.173,168.05,169.173,8309.3394262775,0
DOM,60,20240417,100000,168.986,169.173,168.425,168.799,517.26305881908,0
DOM,60,20240417,110000,168.799,171.045,168.799,170.109,3230.756666963,0
DOM,60,20240417,120000,170.296,170.296,169.922,169.922,185.95820709611,0
DOM,60,20240417,130000,170.109,170.109,168.425,169.173,2112.86997373,0
DOM,60,20240417,140000,169.173,169.173,168.799,169.173,443.52101117752,0
DOM,60,20240417,150000,169.173,169.173,168.986,169.173,267.18133203465,0
DOM,60,20240417,160000,169.173,169.173,168.799,169.173,235.11957219049,0
DOM,60,20240417,170000,169.173,169.173,168.612,168.986,1209.7970714529,0
DOM,60,20240418,100000,168.986,171.045,168.986,170.296,268.25005736279,0
DOM,60,20240418,110000,170.296,170.483,169.173,169.36,78.016948954117,0
DOM,60,20240418,120000,169.735,169.922,169.36,169.548,225.50104423724,0
DOM,60,20240418,130000,169.922,169.922,169.548,169.548,141.07174331429,0
DOM,60,20240418,140000,169.922,169.922,169.922,169.922,22.443231890910404,0
DOM,60,20240418,150000,169.922,169.922,169.735,169.735,125.04086339222,0
DOM,60,20240418,160000,169.735,169.735,169.173,169.173,143.20919397057,0
DOM,60,20240418,170000,169.36,169.735,169.36,169.735,882.76712104248,0
DOM,60,20240419,100000,169.36,169.36,167.676,168.986,391.15347009872,0
DOM,60,20240419,110000,168.612,169.173,168.612,169.173,57.711167719484,0
DOM,60,20240419,120000,168.612,169.173,168.612,169.173,59.848618375761,0
DOM,60,20240419,130000,168.986,168.986,168.612,168.612,169.9273271740359,0
DOM,60,20240419,140000,168.612,169.173,168.612,168.986,339.85465434807,0
DOM,60,20240419,150000,168.799,168.986,168.799,168.986,117.55978609524,0
DOM,60,20240419,160000,168.986,168.986,168.986,168.986,445.65846183379,0
DOM,60,20240419,170000,168.986,168.986,168.612,168.986,551.46226931951,0
DOM,60,20240422,100000,168.425,170.109,168.05,168.986,247.94427612815,0
DOM,60,20240422,110000,168.612,168.799,168.425,168.612,947.95936605893,0
DOM,60,20240422,120000,168.612,168.986,168.612,168.986,277.86858531603,0
DOM,60,20240422,130000,168.986,168.986,168.612,168.986,54.504991735068,0
DOM,60,20240422,140000,168.986,168.986,168.425,168.986,1404.3050811741,0
DOM,60,20240422,150000,168.986,168.986,168.425,168.799,229.7759455498,0
DOM,60,20240422,160000,168.799,168.986,168.612,168.986,143.20919397057,0
DOM,60,20240422,170000,168.986,168.986,168.612,168.986,814.36870004161,0
DOM,60,20240423,100000,168.986,170.109,168.425,168.799,286.41838794114,0
DOM,60,20240423,110000,168.799,168.799,168.425,168.425,2563.8720622045,0
DOM,60,20240423,120000,168.612,168.799,168.425,168.799,103.66635682944,0
DOM,60,20240423,130000,168.799,168.799,168.612,168.799,272.52495867534,0
DOM,60,20240423,140000,168.799,168.799,168.799,168.799,106.87253281386,0
DOM,60,20240423,150000,168.799,168.799,168.425,168.425,895.59182498014,0
DOM,60,20240423,160000,168.238,168.425,167.863,168.05,227.63849489352,0
DOM,60,20240423,170000,168.05,168.425,167.676,168.425,1343.3877374702,0
DOM,60,20240424,100000,168.425,169.36,168.425,169.173,220.15741759655,0
DOM,60,20240424,110000,169.173,169.173,168.612,168.612,212.67634029958,0
DOM,60,20240424,120000,168.986,168.986,168.425,168.425,1138.1924744676,0
DOM,60,20240424,130000,168.238,168.425,168.238,168.425,52.367541078791,0
DOM,60,20240424,140000,168.425,168.425,168.238,168.238,43.817738453682,0
DOM,60,20240424,150000,168.425,168.425,168.238,168.238,161.37752454893,0
DOM,60,20240424,160000,167.863,168.238,167.863,168.238,22.44323189091,0
DOM,60,20240424,170000,168.238,168.238,166.927,166.927,325.96122508227,0
DOM,60,20240425,100000,166.554,167.115,163.747,164.308,897.72927563642,0
DOM,60,20240425,110000,164.682,166.367,164.682,166.367,172.06477783031,0
DOM,60,20240425,120000,166.367,166.367,165.805,165.805,70.535871657147,0
DOM,60,20240425,130000,166.18,166.367,165.993,166.367,113.28488478269,0
DOM,60,20240425,140000,165.993,166.554,165.993,166.18,225.50104423724,0
DOM,60,20240425,150000,166.18,166.554,163.372,163.372,1787.9774739759,0
DOM,60,20240425,160000,163.559,163.747,160.19,163.559,3948.9400874721,0
DOM,60,20240425,170000,163.185,163.747,162.624,162.624,310.99907048833,0
DOM,60,20240426,100000,163.559,163.747,161.875,162.811,387.94729411431,0
DOM,60,20240426,110000,162.811,162.811,162.062,162.811,239.39447350304,0
DOM,60,20240426,120000,162.811,162.811,162.436,162.811,102.5976315013,0
DOM,60,20240426,130000,162.811,162.811,162.436,162.624,148.55282061126,0
DOM,60,20240426,140000,162.624,162.811,162.624,162.811,89.772927563642,0
