<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EAT,60,20240411,100000,24.0688,24.0688,23.6258,23.6258,1105.2333684928,0
EAT,60,20240411,110000,23.6258,23.8719,23.3305,23.8227,19895.216472363,0
EAT,60,20240411,120000,23.8227,23.8227,23.6258,23.7242,3820.5723335491,0
EAT,60,20240411,130000,23.675,23.675,23.4781,23.4781,3923.1721223522,0
EAT,60,20240411,140000,23.4781,23.4781,23.4289,23.4781,2981.4889122485,0
EAT,60,20240411,150000,23.4289,23.5766,23.4289,23.5766,2542.6462512293,0
EAT,60,20240411,160000,23.4781,23.675,23.4781,23.5766,6731.9683207737,0
EAT,60,20240411,170000,23.5766,23.5766,23.232,23.232,19798.711720519,0
EAT,60,20240412,100000,23.5273,23.8719,23.5273,23.6258,8801.2333682184,0
EAT,60,20240412,110000,23.6258,23.6258,23.4781,23.4781,4027.8035901415,0
EAT,60,20240412,120000,23.4289,23.4781,23.3797,23.4781,712.1034846631,0
EAT,60,20240412,130000,23.4781,23.4781,23.4289,23.4289,4077.5797253034,0
EAT,60,20240412,140000,23.4781,23.4781,23.3305,23.3305,1502.4266102949002,0
EAT,60,20240412,150000,23.3305,23.4289,23.232,23.3305,4160.8785637376,0
EAT,60,20240412,160000,23.2812,23.3305,23.232,23.3305,1584.709609236,0
EAT,60,20240412,170000,23.2812,23.3305,23.0844,23.3305,15850.143610839,0
EAT,60,20240415,100000,23.3305,23.4289,23.232,23.3305,1312.4646250852,0
EAT,60,20240415,110000,23.232,23.3305,23.232,23.232,1110.3125659583,0
EAT,60,20240415,120000,23.3797,23.4781,23.3305,23.4781,2322.2090812266,0
EAT,60,20240415,130000,23.4781,23.4781,23.3305,23.3305,1589.7888067015,0
EAT,60,20240415,140000,23.3797,23.4781,23.3305,23.3305,4269.5733894993,0
EAT,60,20240415,150000,23.3305,23.3797,23.232,23.2812,4804.920802363,0
EAT,60,20240415,160000,23.3305,23.3305,23.232,23.232,3055.6451952448,0
EAT,60,20240415,170000,23.3305,23.3305,23.0844,23.0844,11112.268215021,0
EAT,60,20240416,100000,23.0844,23.1828,22.4445,22.789,16007.59873227,0
EAT,60,20240416,110000,22.8383,22.8875,22.5922,22.6906,14611.83526875,0
EAT,60,20240416,120000,22.6906,22.789,22.5922,22.7398,2809.8120379146,0
EAT,60,20240416,130000,22.7398,22.789,22.5922,22.6414,11319.499471613,0
EAT,60,20240416,140000,22.6414,22.789,22.5922,22.6906,10428.608236165,0
EAT,60,20240416,150000,22.789,22.8383,22.5922,22.5922,13809.322069201,0
EAT,60,20240416,160000,22.5922,22.6414,22.3953,22.3953,8165.3178455378,0
EAT,60,20240416,170000,22.4445,22.6906,22.4445,22.5922,8281.1235477512,0
EAT,60,20240417,100000,22.4937,22.6414,22.4445,22.6414,2994.6948256588,0
EAT,60,20240417,110000,22.6414,22.6414,22.5922,22.5922,5055.8331571587,0
EAT,60,20240417,120000,22.5922,22.6906,22.5922,22.6906,724.2935585803,0
EAT,60,20240417,130000,22.6906,22.6906,22.6414,22.6414,5388.0126714024,0
EAT,60,20240417,140000,22.6414,22.6414,22.4445,22.4445,2872.7940864868,0
EAT,60,20240417,150000,22.4445,22.5429,22.3953,22.4937,2133.26293551,0
EAT,60,20240417,160000,22.4937,22.5429,22.346,22.346,9441.2122488714,0
EAT,60,20240417,170000,22.2968,22.6414,22.2968,22.3953,6528.8004221537,0
EAT,60,20240418,100000,22.3953,22.7398,22.3953,22.5429,2668.6103483737,0
EAT,60,20240418,110000,22.4937,22.5922,22.3953,22.5922,3474.171066402,0
EAT,60,20240418,120000,22.6414,22.6414,22.5429,22.6414,3112.5322068584,0
EAT,60,20240418,130000,22.6414,22.9367,22.5429,22.9367,15409.269270834,0
EAT,60,20240418,140000,22.9367,22.9367,22.789,22.8875,4031.8669481139,0
EAT,60,20240418,150000,22.8875,23.0844,22.789,22.9367,5538.3569163812,0
EAT,60,20240418,160000,22.8875,23.2812,22.8875,23.2812,5537.3410768881,0
EAT,60,20240418,170000,23.3305,23.4781,23.1336,23.1336,19084.57655687,0
EAT,60,20240419,100000,22.789,23.2812,22.789,23.1336,1162.1203801064,0
EAT,60,20240419,110000,23.1828,23.1828,23.1828,23.1828,2287.6705384612,0
EAT,60,20240419,120000,23.1828,23.232,23.1828,23.232,1698.4836324632,0
EAT,60,20240419,130000,23.1828,23.1828,23.1828,23.1828,762.8954593181,0
EAT,60,20240419,140000,23.1828,23.232,23.1828,23.232,1234.2449841165,0
EAT,60,20240419,150000,23.2812,23.4289,23.2812,23.4289,1599.9472016325,0
EAT,60,20240419,160000,23.4781,23.5273,23.4289,23.5273,5355.5058076232,0
EAT,60,20240419,170000,23.4781,23.5766,23.4781,23.5273,5052.7856386794,0
EAT,60,20240422,100000,23.5766,23.9211,23.5766,23.8719,9875.9915519182,0
EAT,60,20240422,110000,23.7734,24.118,23.7242,24.118,9873.959872932,0
EAT,60,20240422,120000,24.118,24.2164,24.118,24.118,4789.6832099665,0
EAT,60,20240422,130000,24.118,24.1672,23.9211,24.1672,6730.9524812806,0
EAT,60,20240422,140000,24.118,24.3641,24.118,24.3149,17417.583948693,0
EAT,60,20240422,150000,24.4133,25.004,24.3641,24.9055,40797.129882389,0
EAT,60,20240422,160000,24.9055,25.0532,24.6102,24.6594,6106.2111930241,0
EAT,60,20240422,170000,24.7578,25.0532,24.6594,24.8071,14068.361139942,0
EAT,60,20240423,100000,24.8071,24.8071,24.3149,24.7086,9481.8458285954,0
EAT,60,20240423,110000,24.7578,25.5946,24.7578,25.3977,41041.947200226,0
EAT,60,20240423,120000,25.3977,25.7423,25.3977,25.6438,31449.374866883,0
EAT,60,20240423,130000,25.7423,25.8899,25.7423,25.7915,25921.176345433,0
EAT,60,20240423,140000,25.7915,26.0868,25.7915,26.0376,9519.4318898401,0
EAT,60,20240423,150000,25.9884,26.1852,25.9391,25.9884,11653.710664843,0
EAT,60,20240423,160000,25.9884,26.2345,25.9884,26.136,8685.427666005,0
EAT,60,20240423,170000,26.136,26.4313,26.136,26.4313,21197.522702518,0
EAT,60,20240424,100000,26.3821,26.3821,25.2993,25.3977,26875.049629454,0
EAT,60,20240424,110000,25.4962,25.6438,25.2993,25.2993,10652.092924647,0
EAT,60,20240424,120000,25.2993,25.3485,25.2501,25.2501,3823.6198520284,0
EAT,60,20240424,130000,25.2993,25.5454,25.2008,25.3485,5371.7592395128,0
EAT,60,20240424,140000,25.3485,25.3977,25.3485,25.3977,2201.3241815477,0
EAT,60,20240424,150000,25.4962,25.693,25.4469,25.5946,5476.3907073021,0
EAT,60,20240424,160000,25.5454,25.7423,25.4962,25.5946,7887.9936639215,0
EAT,60,20240424,170000,25.5946,25.5946,25.2501,25.2501,13508.633579244,0
EAT,60,20240425,100000,25.7423,25.7423,25.0532,25.3977,3431.5058076918,0
EAT,60,20240425,110000,25.3977,25.3977,25.3977,25.3977,91.425554379,0
EAT,60,20240425,120000,25.3977,25.7423,25.3977,25.7423,5104.5934528275,0
EAT,60,20240425,130000,25.7915,25.7915,25.6438,25.693,3601.1510030395,0
EAT,60,20240425,140000,25.6438,25.693,25.5946,25.5946,3561.5332628086,0
EAT,60,20240425,150000,25.5946,25.6438,25.3485,25.3485,12505.999999554,0
EAT,60,20240425,160000,25.3485,25.3485,25.1024,25.1024,6860.9799363974,0
EAT,60,20240425,170000,25.1024,25.2993,25.1024,25.1516,9393.4677926957,0
EAT,60,20240426,100000,25.1516,25.3977,25.1516,25.2993,3951.615628159,0
EAT,60,20240426,110000,25.2993,25.2993,25.2993,25.2993,3055.6451952448,0
