<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH,60,20240411,100000,4.75,4.75,4.75,4.75,379,0
ECH,60,20240411,110000,4.75,4.75,4.7,4.7,2181,0
ECH,60,20240411,120000,4.7,4.7,4.7,4.7,300,0
ECH,60,20240411,130000,4.7,4.7,4.65,4.7,24836,0
ECH,60,20240411,140000,4.72,4.72,4.72,4.72,150,0
ECH,60,20240411,170000,4.71,4.71,4.71,4.71,28,0
ECH,60,20240412,110000,4.71,4.71,4.7,4.7,980,0
ECH,60,20240412,120000,4.66,4.7,4.66,4.7,1130,0
ECH,60,20240412,150000,4.68,4.68,4.67,4.67,506,0
ECH,60,20240412,160000,4.68,4.74,4.68,4.74,2545,0
ECH,60,20240412,170000,4.7,4.7,4.7,4.7,500,0
ECH,60,20240415,100000,4.65,4.72,4.65,4.7,729,0
ECH,60,20240415,110000,4.65,4.72,4.6,4.72,17630,0
ECH,60,20240415,120000,4.7,4.7,4.7,4.7,900,0
ECH,60,20240415,130000,4.7,4.72,4.7,4.72,8,0
ECH,60,20240415,140000,4.7,4.74,4.7,4.74,1745,0
ECH,60,20240415,150000,4.74,4.75,4.74,4.75,6798,0
ECH,60,20240415,160000,4.75,4.78,4.74,4.74,4095,0
ECH,60,20240415,170000,4.78,4.78,4.74,4.75,6846,0
ECH,60,20240416,100000,4.79,4.79,4.79,4.79,375,0
ECH,60,20240416,110000,4.79,4.86,4.75,4.86,16567,0
ECH,60,20240416,120000,4.83,4.96,4.83,4.94,27477,0
ECH,60,20240416,130000,4.95,5,4.95,4.97,57476,0
ECH,60,20240416,140000,4.98,5.02,4.96,5.02,2520,0
ECH,60,20240416,150000,5,5,4.97,4.97,177,0
ECH,60,20240416,160000,4.97,5,4.95,4.95,3556,0
ECH,60,20240416,170000,4.95,4.97,4.95,4.95,1838,0
ECH,60,20240417,100000,4.96,5,4.89,4.89,16394,0
ECH,60,20240417,110000,4.94,4.95,4.94,4.95,1185,0
ECH,60,20240417,120000,4.98,4.98,4.95,4.95,4558,0
ECH,60,20240417,130000,4.95,4.95,4.93,4.93,1317,0
ECH,60,20240417,140000,4.95,4.95,4.95,4.95,80,0
ECH,60,20240417,150000,4.95,4.95,4.94,4.94,286,0
ECH,60,20240417,160000,4.94,4.94,4.94,4.94,870,0
ECH,60,20240417,170000,4.96,4.96,4.88,4.9,16223,0
ECH,60,20240418,100000,4.97,4.97,4.96,4.96,940,0
ECH,60,20240418,110000,4.9,4.97,4.9,4.97,13630,0
ECH,60,20240418,120000,4.98,4.98,4.95,4.97,2407,0
ECH,60,20240418,130000,4.98,4.99,4.93,4.95,1373,0
ECH,60,20240418,140000,4.99,4.99,4.99,4.99,25,0
ECH,60,20240418,150000,4.95,4.95,4.95,4.95,3,0
ECH,60,20240418,170000,4.97,4.97,4.97,4.97,267,0
ECH,60,20240419,100000,4.9,4.97,4.9,4.9,3619,0
ECH,60,20240419,110000,4.93,4.93,4.86,4.86,1411,0
ECH,60,20240419,120000,4.9,4.9,4.87,4.87,403,0
ECH,60,20240419,130000,4.9,4.9,4.85,4.85,824,0
ECH,60,20240419,140000,4.85,4.85,4.85,4.85,66,0
ECH,60,20240419,160000,4.93,4.93,4.93,4.93,120,0
ECH,60,20240419,170000,4.86,4.87,4.86,4.87,778,0
ECH,60,20240422,100000,4.95,4.95,4.95,4.95,692,0
ECH,60,20240422,110000,4.85,4.85,4.85,4.85,700,0
ECH,60,20240422,120000,4.87,4.87,4.87,4.87,200,0
ECH,60,20240422,130000,4.91,4.91,4.88,4.91,519,0
ECH,60,20240422,140000,4.91,4.91,4.88,4.88,293,0
ECH,60,20240422,150000,4.88,4.88,4.87,4.87,17,0
ECH,60,20240422,160000,4.88,4.88,4.88,4.88,85,0
ECH,60,20240422,170000,4.88,4.91,4.87,4.91,5022,0
ECH,60,20240423,100000,4.93,4.95,4.93,4.95,240,0
ECH,60,20240423,110000,4.93,4.93,4.91,4.91,608,0
ECH,60,20240423,120000,4.92,4.95,4.85,4.95,7741,0
ECH,60,20240423,130000,4.95,4.98,4.93,4.98,4177,0
ECH,60,20240423,140000,4.95,4.95,4.95,4.95,1431,0
ECH,60,20240423,150000,4.97,4.97,4.97,4.97,155,0
ECH,60,20240423,160000,4.98,4.99,4.98,4.99,451,0
ECH,60,20240423,170000,4.99,4.99,4.99,4.99,1300,0
ECH,60,20240424,100000,4.9,4.9,4.87,4.9,431,0
ECH,60,20240424,110000,4.98,4.98,4.96,4.96,128,0
ECH,60,20240424,120000,4.98,4.98,4.98,4.98,91,0
ECH,60,20240424,130000,4.96,4.96,4.96,4.96,9,0
ECH,60,20240424,140000,4.96,4.96,4.87,4.87,85,0
ECH,60,20240424,150000,4.9,4.9,4.9,4.9,209,0
ECH,60,20240424,160000,4.9,4.9,4.9,4.9,324,0
ECH,60,20240424,170000,4.96,4.96,4.91,4.91,106,0
ECH,60,20240425,100000,4.86,4.86,4.64,4.8,33940,0
ECH,60,20240425,110000,4.72,4.75,4.7,4.75,6475,0
ECH,60,20240425,120000,4.8,4.8,4.71,4.71,739,0
ECH,60,20240425,130000,4.8,4.8,4.8,4.8,4,0
ECH,60,20240425,140000,4.75,4.79,4.75,4.75,2103,0
ECH,60,20240425,150000,4.71,4.76,4.7,4.76,3322,0
ECH,60,20240425,160000,4.76,4.76,4.76,4.76,1263,0
ECH,60,20240425,170000,4.74,4.74,4.7,4.71,9612,0
ECH,60,20240426,100000,4.72,4.77,4.7,4.73,1844,0
ECH,60,20240426,110000,4.73,4.75,4.7,4.7,2480,0
ECH,60,20240426,120000,4.7,4.77,4.7,4.7,147,0
ECH,60,20240426,130000,4.7,4.75,4.7,4.7,9240,0
ECH,60,20240426,140000,4.7,4.75,4.7,4.75,12621,0
ECH,60,20240426,150000,4.75,4.75,4.75,4.75,2449,0
ECH,60,20240426,160000,4.72,4.76,4.7,4.7,3065,0
ECH,60,20240426,170000,4.75,4.75,4.75,4.75,4370,0
ECH,60,20240429,100000,4.7,4.75,4.7,4.74,5211,0
ECH,60,20240429,110000,4.7,4.7,4.7,4.7,5000,0
ECH,60,20240429,120000,4.73,4.74,4.69,4.74,21515,0
ECH,60,20240429,130000,4.74,4.74,4.68,4.68,1416,0
ECH,60,20240429,140000,4.68,4.7,4.66,4.7,40335,0
ECH,60,20240429,150000,4.74,4.74,4.74,4.74,3,0
