<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFK,60,20240411,160000,6.3,6.3,6.3,6.3,255,0
EFK,60,20240412,120000,6.8,6.8,6.8,6.8,1316,0
EFK,60,20240412,160000,6.8,6.8,6.8,6.8,238,0
EFK,60,20240415,120000,6.9,6.9,6.9,6.9,2,0
EFK,60,20240415,160000,6.5,6.5,6.5,6.5,300,0
EFK,60,20240416,120000,6.25,6.25,6.25,6.25,132,0
EFK,60,20240416,160000,6.85,6.85,6.85,6.85,16,0
EFK,60,20240417,120000,6.75,6.75,6.75,6.75,100,0
EFK,60,20240418,160000,6.9,6.95,6.9,6.95,546,0
EFK,60,20240422,120000,6.9,7,6.9,7,342,0
EFK,60,20240422,160000,7.2,7.2,7.2,7.2,1400,0
EFK,60,20240423,120000,7.4,7.4,7.4,7.4,205,0
EFK,60,20240423,160000,7.3,7.3,7.3,7.3,380,0
EFK,60,20240425,120000,7.3,7.3,7.3,7.3,220,0
EFK,60,20240426,160000,7.55,7.55,7.5,7.5,260,0
EFK,60,20240429,120000,7,7,7,7,358,0
EFK,60,20240429,160000,7.45,7.45,7.45,7.45,450,0
EFK,60,20240430,120000,7.2,7.2,7.2,7.2,183,0
EFK,60,20240502,160000,7.2,7.45,7.2,7.45,21,0
EFK,60,20240506,120000,7.45,7.45,7.45,7.45,5,0
EFK,60,20240506,160000,7.45,7.45,7.45,7.45,500,0
EFK,60,20240507,120000,7.4,7.4,7.4,7.4,150,0
EFK,60,20240508,160000,7.4,7.4,7.4,7.4,595,0
EFK,60,20240510,120000,7.4,7.4,7.4,7.4,504,0
EFK,60,20240516,160000,7.4,7.45,7.05,7.45,246,0
EFK,60,20240520,120000,7.45,7.45,7.45,7.45,2229,0
EFK,60,20240520,160000,7.45,7.45,7.45,7.45,757,0
EFK,60,20240521,120000,7.5,7.5,7.5,7.5,270,0
EFK,60,20240522,160000,7.6,7.6,7.4,7.4,2014,0
EFK,60,20240523,120000,7.7,7.7,7.7,7.7,10,0
EFK,60,20240527,160000,6.95,6.95,6.95,6.95,421,0
EFK,60,20240528,120000,6.95,6.95,6.95,6.95,2110,0
EFK,60,20240528,160000,6.9,6.9,6.9,6.9,236,0
EFK,60,20240529,120000,6.9,6.9,6.9,6.9,64,0
EFK,60,20240531,160000,6.75,6.75,6.75,6.75,2754,0
EFK,60,20240603,120000,6.7,6.7,6.7,6.7,1142,0
EFK,60,20240605,160000,6.75,6.75,6.6,6.6,197,0
EFK,60,20240606,120000,6.6,6.6,6.6,6.6,1710,0
EFK,60,20240607,160000,6.6,6.6,6.6,6.6,2190,0
EFK,60,20240613,120000,6.75,6.95,6.75,6.95,264,0
EFK,60,20240613,160000,6.95,6.95,6.95,6.95,126,0
EFK,60,20240618,120000,6.95,6.95,6.95,6.95,500,0
EFK,60,20240620,160000,6.95,6.95,6.95,6.95,2504,0
EFK,60,20240621,120000,6.95,6.95,6.95,6.95,70,0
EFK,60,20240621,160000,6.95,6.95,6.95,6.95,430,0
EFK,60,20240625,120000,6.95,6.95,6.95,6.95,570,0
EFK,60,20240626,160000,6.6,6.6,6.6,6.6,522,0
EFK,60,20240627,120000,6.8,6.8,6.8,6.8,346,0
EFK,60,20240628,160000,6.5,6.9,6.5,6.9,1617,0
EFK,60,20240701,120000,6.9,6.9,6.9,6.9,700,0
EFK,60,20240701,160000,6.9,6.9,6.9,6.9,20,0
EFK,60,20240703,120000,6.8,6.8,6.75,6.75,417,0
EFK,60,20240703,160000,6.1,6.1,6.1,6.1,1700,0
EFK,60,20240704,120000,6.1,6.1,6.1,6.1,1500,0
EFK,60,20240705,160000,6.1,6.7,6.1,6.7,2314,0
EFK,60,20240709,120000,6.1,6.1,6.1,6.1,100,0
EFK,60,20240709,160000,6.5,6.5,6.5,6.5,1,0
EFK,60,20240715,120000,6.15,6.25,6.15,6.25,850,0
EFK,60,20240717,160000,6.05,6.05,6.05,6.05,1,0
EFK,60,20240723,120000,6.3,6.35,6.3,6.35,1476,0
EFK,60,20240723,160000,6.3,6.3,6.3,6.3,250,0
EFK,60,20240726,120000,6.3,6.35,6.3,6.35,750,0
EFK,60,20240726,160000,6.35,6.35,6.35,6.35,25,0
EFK,60,20240729,120000,6.7,6.7,6.7,6.7,253,0
EFK,60,20240729,160000,6.6,6.6,6.6,6.6,226,0
EFK,60,20240730,120000,6.6,6.6,6.6,6.6,487,0
EFK,60,20240730,160000,6.9,6.9,6.9,6.9,10,0
EFK,60,20240801,120000,6.4,6.4,6.4,6.4,312,0
EFK,60,20240801,160000,6.4,6.4,6.4,6.4,13,0
EFK,60,20240805,120000,6.35,6.35,6.35,6.35,250,0
EFK,60,20240808,160000,6.25,6.25,6.25,6.25,823,0
EFK,60,20240821,120000,6.5,6.5,6.2,6.2,1556,0
EFK,60,20240821,160000,6.15,6.15,6.15,6.15,227,0
EFK,60,20240822,120000,6.1,6.1,6.1,6.1,213,0
EFK,60,20240823,160000,6.1,6.1,6.1,6.1,880,0
EFK,60,20240826,120000,6.1,6.1,6.1,6.1,154,0
EFK,60,20240826,160000,6.1,6.1,6.1,6.1,286,0
EFK,60,20240829,120000,6.1,6.1,6,6,384,0
EFK,60,20240902,160000,6.05,6.1,6.05,6.1,1470,0
EFK,60,20240904,120000,6.1,6.1,6.1,6.1,500,0
EFK,60,20240906,160000,5.9,6.1,5.9,6.1,290,0
EFK,60,20240911,120000,6.1,6.1,5.9,5.9,938,0
EFK,60,20240911,160000,5.9,5.9,5.9,5.9,200,0
EFK,60,20240912,120000,5.8,5.8,5.8,5.8,10,0
EFK,60,20241001,160000,5.6,7,5.6,7,2192,0
EFK,60,20250306,120000,6.35,6.35,6.35,6.35,600,0
EFK,60,20250310,160000,6.35,6.35,6,6,585,0
EFK,60,20250311,120000,6,6,6,6,39,0
EFK,60,20250311,160000,5.9,5.9,5.9,5.9,23,0
EFK,60,20250312,120000,5.9,5.9,5.9,5.9,715,0
EFK,60,20250312,160000,5.9,5.9,5.9,5.9,18,0
EFK,60,20250318,120000,5.8,5.9,5.8,5.9,473,0
EFK,60,20250319,160000,5.8,5.8,5.8,5.8,366,0
EFK,60,20250324,120000,5.85,5.9,5.85,5.9,550,0
EFK,60,20250409,160000,6,6.45,5.8,6.45,253,0
EFK,60,20250410,120000,5.75,5.75,5.75,5.75,58,0
EFK,60,20250416,160000,6.2,6.2,6,6,31,0
EFK,60,20250417,120000,6,6,6,6,50,0
EFK,60,20250417,160000,6,6,6,6,50,0
EFK,60,20250422,120000,5.6,5.6,5.6,5.6,421,0
EFK,60,20250422,160000,5.6,5.6,5.6,5.6,524,0
EFK,60,20250423,120000,5.6,5.6,5.6,5.6,324,0
EFK,60,20250423,160000,5.5,5.5,5.5,5.5,346,0
EFK,60,20250425,120000,5.5,5.5,5.5,5.5,4,0
EFK,60,20250425,160000,5.4,5.4,5.4,5.4,282,0
EFK,60,20250428,120000,5.4,5.4,5.4,5.4,700,0
EFK,60,20250428,160000,5.5,5.5,5.5,5.5,317,0
EFK,60,20250502,120000,5.75,5.75,5.75,5.75,530,0
EFK,60,20250506,160000,5.6,5.6,5.6,5.6,15,0
