<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EHG,60,20240411,100000,2.36,2.36,2.36,2.36,930,0
EHG,60,20240411,130000,2.36,2.36,2.36,2.36,5,0
EHG,60,20240415,170000,2.32,2.32,2.26,2.26,48,0
EHG,60,20240416,110000,2.34,2.34,2.34,2.34,3,0
EHG,60,20240416,150000,2.36,2.36,2.36,2.36,2110,0
EHG,60,20240416,160000,2.28,2.36,2.28,2.36,1668,0
EHG,60,20240422,120000,2.3,2.3,2.22,2.22,350,0
EHG,60,20240426,100000,2.22,2.22,2.22,2.22,100,0
EHG,60,20240426,120000,2.3,2.3,2.3,2.3,264,0
EHG,60,20240426,130000,2.42,2.42,2.42,2.42,117,0
EHG,60,20240429,100000,2.32,2.32,2.24,2.24,194,0
EHG,60,20240429,110000,2.24,2.24,2.24,2.24,17,0
EHG,60,20240429,120000,2.4,2.4,2.4,2.4,100,0
EHG,60,20240429,130000,2.42,2.44,2.42,2.44,804,0
EHG,60,20240430,150000,2.44,2.44,2.44,2.44,18,0
EHG,60,20240430,160000,2.44,2.44,2.44,2.44,200,0
EHG,60,20240430,170000,2.44,2.44,2.44,2.44,1000,0
EHG,60,20240502,160000,2.3,2.3,2.2,2.2,2620,0
EHG,60,20240508,130000,2.24,2.24,2.22,2.22,146,0
EHG,60,20240510,170000,2.44,2.74,2.44,2.74,2670,0
EHG,60,20240513,100000,2.72,2.82,2.72,2.82,5888,0
EHG,60,20240513,110000,2.88,2.98,2.88,2.98,1000,0
EHG,60,20240513,120000,2.98,3.26,2.98,3.26,1123,0
EHG,60,20240513,130000,3.26,3.26,3.22,3.26,1191,0
EHG,60,20240513,140000,3.26,3.26,3.24,3.24,762,0
EHG,60,20240513,150000,3.26,3.26,3.24,3.26,85,0
EHG,60,20240513,160000,3.22,3.22,3.22,3.22,41,0
EHG,60,20240514,100000,3.26,3.5,2.96,3.5,2210,0
EHG,60,20240514,110000,3.48,3.6,3.48,3.6,2207,0
EHG,60,20240514,120000,3.92,3.92,3.44,3.44,4626,0
