<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMC,60,20240411,100000,11.2,11.2,11.2,11.2,2,0
EMC,60,20240411,110000,10.7,10.7,10.7,10.7,450,0
EMC,60,20240507,100000,10.5,11,10.5,10.9,151,0
EMC,60,20240507,150000,10.3,10.3,10.3,10.3,125,0
EMC,60,20240507,170000,10.9,10.9,10.9,10.9,2,0
EMC,60,20240517,100000,10.9,10.9,10.7,10.9,19,0
EMC,60,20240517,170000,10.9,10.9,10.9,10.9,2,0
EMC,60,20240520,140000,10.3,10.3,10.3,10.3,143,0
EMC,60,20240523,100000,10.7,10.7,10.7,10.7,6,0
EMC,60,20240523,170000,10.7,10.7,10.7,10.7,2,0
EMC,60,20240524,100000,10.7,10.7,10.7,10.7,5,0
EMC,60,20240524,170000,10.8,10.8,10.8,10.8,2,0
EMC,60,20240527,100000,10.9,10.9,10.9,10.9,2,0
EMC,60,20240527,140000,10.6,10.6,10.6,10.6,10,0
EMC,60,20240527,170000,10.9,10.9,10.9,10.9,2,0
EMC,60,20240606,100000,10.9,10.9,10.9,10.9,15,0
EMC,60,20240606,130000,10.4,10.4,10.4,10.4,50,0
EMC,60,20240606,170000,10.9,10.9,10.9,10.9,2,0
EMC,60,20240624,100000,10.9,10.9,10.4,10.8,27,0
EMC,60,20240624,110000,10.6,10.7,10.6,10.7,45,0
EMC,60,20240624,170000,10.3,10.7,10.1,10.7,65,0
EMC,60,20240625,100000,10.7,10.7,10.7,10.7,1,0
EMC,60,20240625,160000,10.2,10.3,10.2,10.3,10,0
EMC,60,20240625,170000,10.7,10.7,10.7,10.7,2,0
EMC,60,20240627,100000,10.7,10.7,10.3,10.3,28,0
EMC,60,20240627,120000,10.3,10.3,10.3,10.3,10,0
EMC,60,20240627,160000,10.4,10.4,10.4,10.4,24,0
EMC,60,20240627,170000,10.7,10.7,10.7,10.7,2,0
EMC,60,20240628,100000,10.7,10.7,10.4,10.4,14,0
EMC,60,20240628,170000,10.7,10.7,10.7,10.7,2,0
EMC,60,20240702,100000,10.7,10.7,10.7,10.7,4,0
EMC,60,20240702,110000,10.4,10.4,10.4,10.4,8,0
EMC,60,20240702,170000,10.7,10.7,10.7,10.7,2,0
EMC,60,20240703,100000,10.7,10.7,10.7,10.7,2,0
EMC,60,20240703,120000,10.4,10.4,10.4,10.4,32,0
EMC,60,20240703,170000,10.7,10.7,10.7,10.7,1,0
EMC,60,20240704,100000,10.7,10.7,10.3,10.4,22,0
EMC,60,20240704,110000,10.2,10.2,10.2,10.2,32,0
EMC,60,20240704,170000,10.7,10.7,10.7,10.7,2,0
EMC,60,20240705,100000,10.6,10.6,10.6,10.6,2,0
EMC,60,20240705,170000,10.7,10.7,10.7,10.7,2,0
EMC,60,20240708,100000,10.2,10.2,10.2,10.2,500,0
EMC,60,20240708,120000,10.3,10.3,10.3,10.3,260,0
EMC,60,20240708,170000,10.4,10.4,10.4,10.4,2,0
EMC,60,20240724,100000,10.4,10.4,10.4,10.4,159,0
EMC,60,20240724,110000,10.2,10.2,10.1,10.1,129,0
EMC,60,20240724,170000,10.4,10.4,10.4,10.4,1,0
EMC,60,20240729,100000,10.4,10.4,10.4,10.4,5,0
EMC,60,20240729,130000,10.4,10.4,10.4,10.4,10,0
EMC,60,20240731,100000,10.4,10.4,10.4,10.4,3,0
EMC,60,20240731,160000,10.2,10.2,10.2,10.2,113,0
EMC,60,20240805,100000,10.2,10.2,10.1,10.2,33,0
EMC,60,20240805,150000,10.1,10.1,10.1,10.1,175,0
EMC,60,20240813,100000,10.2,10.2,10.2,10.2,11,0
EMC,60,20240813,110000,10.2,10.2,10.2,10.2,50,0
EMC,60,20240814,100000,10.2,10.2,10.2,10.2,2,0
EMC,60,20240814,120000,10.2,10.2,10.2,10.2,242,0
EMC,60,20240819,100000,10,10.3,10,10.3,34,0
EMC,60,20240819,150000,10,10,10,10,100,0
EMC,60,20240821,100000,10,10.4,10,10.4,4,0
EMC,60,20240821,130000,10.3,10.3,10.3,10.3,200,0
EMC,60,20240826,100000,10,10.4,10,10.4,33,0
EMC,60,20240826,150000,10.2,10.2,10.2,10.2,10,0
EMC,60,20240827,100000,10.3,10.8,10.3,10.3,71,0
EMC,60,20240827,170000,10.6,10.6,10.6,10.6,1,0
EMC,60,20240829,100000,10.6,10.7,10.6,10.7,12,0
EMC,60,20240829,110000,10.2,10.2,10.1,10.1,18,0
EMC,60,20240829,170000,10.3,10.6,10.3,10.6,3,0
EMC,60,20240830,100000,10.6,10.6,10.6,10.6,2,0
EMC,60,20240830,110000,10.3,10.3,10.3,10.3,3,0
