<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENE,60,20240415,100000,18.5,18.5,18.1,18.5,6,0
ENE,60,20240415,110000,18.1,18.1,18,18,3657,0
ENE,60,20240415,130000,17.9,17.9,17.9,17.9,82,0
ENE,60,20240415,140000,17.9,17.9,17.9,17.9,15,0
ENE,60,20240415,150000,17.9,17.9,17.9,17.9,51,0
ENE,60,20240415,170000,18,18,18,18,1,0
ENE,60,20240416,100000,18.6,18.6,18.3,18.3,12,0
ENE,60,20240416,150000,18.3,18.3,18.3,18.3,11,0
ENE,60,20240417,100000,18.5,18.5,18.5,18.5,2,0
ENE,60,20240417,170000,17.9,17.9,17.9,17.9,18,0
ENE,60,20240423,100000,18.5,18.5,17.8,17.8,8,0
ENE,60,20240423,110000,17.8,17.8,17.8,17.8,61,0
ENE,60,20240423,140000,18.5,18.5,17.1,18.5,163,0
ENE,60,20240424,100000,18.4,18.4,18.4,18.4,10,0
ENE,60,20240424,120000,17.9,17.9,17.9,17.9,50,0
ENE,60,20240424,170000,18.2,18.2,18.2,18.2,2,0
ENE,60,20240426,100000,18.2,18.2,18.2,18.2,143,0
ENE,60,20240426,110000,17.7,17.9,17.7,17.9,103,0
ENE,60,20240430,100000,18.4,18.5,17.8,17.8,354,0
ENE,60,20240430,120000,17.8,17.8,17.8,17.8,14,0
ENE,60,20240506,100000,17.8,18.5,17.8,18.5,12,0
ENE,60,20240506,140000,17.8,17.8,17.8,17.8,60,0
ENE,60,20240506,170000,17.1,18.5,17.1,18.5,140,0
ENE,60,20240509,100000,18.5,18.5,17.8,18.5,94,0
ENE,60,20240509,110000,18,18,18,18,30,0
ENE,60,20240513,100000,18.5,18.5,18,18,5,0
ENE,60,20240513,160000,17.9,18,17.9,18,43,0
ENE,60,20240514,100000,18.5,18.5,18.5,18.5,2,0
ENE,60,20240514,140000,18,18,18,18,114,0
ENE,60,20240514,170000,18.5,18.5,18.5,18.5,2,0
ENE,60,20240517,100000,18.5,18.5,18.5,18.5,6,0
ENE,60,20240517,170000,18.5,18.5,18.5,18.5,2,0
ENE,60,20240522,100000,18.5,18.5,18.5,18.5,4,0
ENE,60,20240522,120000,18,18,18,18,293,0
ENE,60,20240523,100000,18.5,18.6,18.3,18.3,302,0
ENE,60,20240523,130000,18.3,18.3,18.3,18.3,1,0
ENE,60,20240523,140000,18.6,18.6,18.6,18.6,10,0
ENE,60,20240523,160000,18.3,18.3,18.3,18.3,99,0
ENE,60,20240523,170000,18.4,18.4,18.4,18.4,365,0
ENE,60,20240524,100000,18.4,18.4,18.4,18.4,86,0
ENE,60,20240524,120000,18.6,18.6,18.6,18.6,82,0
ENE,60,20240524,140000,18.8,18.8,18.8,18.8,1,0
ENE,60,20240524,170000,18.8,19.2,18.8,19.2,132,0
ENE,60,20240527,100000,18.8,18.8,18.8,18.8,2,0
ENE,60,20240527,130000,18.7,18.7,18.7,18.7,44,0
ENE,60,20240527,160000,18.8,18.8,18.8,18.8,56,0
ENE,60,20240527,170000,18.8,18.8,18.8,18.8,100,0
ENE,60,20240528,100000,19.2,19.2,19.2,19.2,2,0
ENE,60,20240528,160000,19.1,19.1,19.1,19.1,45,0
ENE,60,20240528,170000,19.2,19.2,19.2,19.2,55,0
ENE,60,20240531,100000,19.2,19.2,19.2,19.2,4,0
ENE,60,20240531,120000,19,19,19,19,104,0
ENE,60,20240603,100000,19,19,19,19,23,0
ENE,60,20240603,110000,18.5,18.5,18.5,18.5,2,0
ENE,60,20240604,100000,19.2,19.2,19.2,19.2,3,0
ENE,60,20240604,120000,19.2,19.2,19.2,19.2,15,0
ENE,60,20240604,130000,19.2,19.2,19.2,19.2,152,0
ENE,60,20240604,170000,19.2,19.2,19.2,19.2,50,0
ENE,60,20240605,100000,19.2,19.2,19.2,19.2,10,0
ENE,60,20240605,140000,19,19,19,19,80,0
ENE,60,20240605,170000,18.3,19.2,18.3,19.2,13,0
ENE,60,20240607,100000,19,19,17.3,18.9,54,0
ENE,60,20240607,120000,18.9,18.9,18.9,18.9,1,0
ENE,60,20240611,100000,19.2,19.2,19,19,5,0
ENE,60,20240611,120000,18.5,18.5,18.5,18.5,25,0
ENE,60,20240611,140000,18.4,18.4,18.2,18.2,1465,0
ENE,60,20240611,160000,18.2,18.2,18.2,18.2,82,0
ENE,60,20240613,100000,19.2,19.2,18.2,18.2,222,0
ENE,60,20240613,170000,18.2,18.2,17.8,17.8,127,0
ENE,60,20240614,100000,19.2,19.9,18.4,19.9,707,0
