<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENG,60,20240411,100000,9.7,9.9,9.7,9.9,2518,0
ENG,60,20240411,110000,9.77,9.85,9.77,9.85,2350,0
ENG,60,20240411,120000,9.77,9.88,9.77,9.78,2040,0
ENG,60,20240411,130000,9.87,9.87,9.79,9.8,1110,0
ENG,60,20240411,140000,9.8,9.8,9.77,9.8,6120,0
ENG,60,20240411,150000,9.8,9.81,9.77,9.77,1140,0
ENG,60,20240411,160000,9.8,9.8,9.77,9.77,909,0
ENG,60,20240411,170000,9.79,9.82,9.78,9.82,1502,0
ENG,60,20240412,100000,9.82,9.85,9.82,9.82,4083,0
ENG,60,20240412,110000,9.8,9.83,9.8,9.82,1012,0
ENG,60,20240412,120000,9.82,9.84,9.82,9.83,1845,0
ENG,60,20240412,130000,9.83,9.83,9.83,9.83,135,0
ENG,60,20240412,140000,9.83,9.84,9.73,9.73,6601,0
ENG,60,20240412,150000,9.75,9.76,9.65,9.7,4207,0
ENG,60,20240412,160000,9.71,9.71,9.7,9.7,5811,0
ENG,60,20240412,170000,9.7,9.7,9.66,9.7,301,0
ENG,60,20240415,100000,9.7,9.78,9.62,9.7,134,0
ENG,60,20240415,110000,9.62,9.69,9.6,9.68,1938,0
ENG,60,20240415,120000,9.62,9.74,9.62,9.74,120,0
ENG,60,20240415,130000,9.64,9.7,9.64,9.7,102,0
ENG,60,20240415,140000,9.65,9.73,9.65,9.73,1845,0
ENG,60,20240415,150000,9.63,9.7,9.6,9.6,2527,0
ENG,60,20240415,160000,9.6,9.6,9.55,9.57,827,0
ENG,60,20240415,170000,9.57,9.6,9.51,9.6,6857,0
ENG,60,20240416,100000,9.6,9.6,9.52,9.6,5326,0
ENG,60,20240416,110000,9.52,9.6,9.51,9.6,2136,0
ENG,60,20240416,120000,9.55,9.55,9.55,9.55,645,0
ENG,60,20240416,130000,9.55,9.55,9.55,9.55,779,0
ENG,60,20240416,140000,9.55,9.55,9.55,9.55,250,0
ENG,60,20240416,150000,9.53,9.58,9.53,9.58,739,0
ENG,60,20240416,160000,9.58,9.58,9.54,9.54,503,0
ENG,60,20240416,170000,9.52,9.55,9.48,9.55,4802,0
ENG,60,20240417,100000,9.44,9.55,9.44,9.48,2877,0
ENG,60,20240417,110000,9.51,9.55,9.46,9.46,3821,0
ENG,60,20240417,120000,9.45,9.54,9.2,9.45,7572,0
ENG,60,20240417,130000,9.38,9.42,9.32,9.32,2717,0
ENG,60,20240417,140000,9.32,9.4,9.28,9.4,3137,0
ENG,60,20240417,150000,9.4,9.43,9.35,9.43,3423,0
ENG,60,20240417,160000,9.35,9.54,9.35,9.49,8445,0
ENG,60,20240417,170000,9.42,9.45,9.35,9.45,5801,0
ENG,60,20240418,100000,9.44,9.44,9.35,9.37,848,0
ENG,60,20240418,110000,9.43,9.43,9.32,9.38,2610,0
ENG,60,20240418,120000,9.34,9.38,9.3,9.35,5290,0
ENG,60,20240418,130000,9.3,9.35,9.3,9.35,1834,0
ENG,60,20240418,140000,9.35,9.45,9.35,9.45,1637,0
ENG,60,20240418,150000,9.44,9.44,9.36,9.36,293,0
ENG,60,20240418,160000,9.36,9.36,9.35,9.36,929,0
ENG,60,20240418,170000,9.35,9.44,9.31,9.43,2853,0
ENG,60,20240419,100000,9.43,9.44,9.31,9.31,1050,0
ENG,60,20240419,110000,9.32,9.32,9.24,9.25,5062,0
ENG,60,20240419,120000,9.26,9.31,9.25,9.31,1616,0
ENG,60,20240419,130000,9.31,9.32,9.28,9.32,1485,0
ENG,60,20240419,140000,9.32,9.32,9.32,9.32,3,0
ENG,60,20240419,150000,9.28,9.3,9.26,9.26,2882,0
ENG,60,20240419,160000,9.26,9.29,9.25,9.29,7940,0
ENG,60,20240419,170000,9.26,9.3,9.26,9.3,7102,0
ENG,60,20240422,100000,9.4,9.49,9.4,9.49,2561,0
ENG,60,20240422,110000,9.46,9.77,9.46,9.76,4845,0
ENG,60,20240422,120000,9.75,9.8,9.6,9.75,1448,0
ENG,60,20240422,130000,9.75,9.75,9.7,9.75,772,0
ENG,60,20240422,140000,9.7,9.75,9.7,9.75,716,0
ENG,60,20240422,150000,9.75,9.89,9.74,9.89,1394,0
ENG,60,20240422,160000,9.82,9.83,9.82,9.83,506,0
ENG,60,20240422,170000,9.75,9.88,9.7,9.88,2485,0
ENG,60,20240423,100000,9.9,9.99,9.63,9.63,7858,0
ENG,60,20240423,110000,9.63,9.77,9.63,9.77,1378,0
ENG,60,20240423,120000,9.76,9.78,9.66,9.68,661,0
ENG,60,20240423,130000,9.66,9.66,9.65,9.65,490,0
ENG,60,20240423,140000,9.66,9.7,9.6,9.7,7552,0
ENG,60,20240423,150000,9.7,9.8,9.7,9.8,757,0
ENG,60,20240423,170000,9.74,9.75,9.7,9.7,686,0
ENG,60,20240424,100000,9.69,9.7,9.62,9.62,1934,0
ENG,60,20240424,110000,9.61,9.65,9.52,9.65,2772,0
ENG,60,20240424,120000,9.67,9.7,9.67,9.7,869,0
ENG,60,20240424,130000,9.67,9.67,9.65,9.65,6122,0
ENG,60,20240424,140000,9.65,9.65,9.65,9.65,4129,0
ENG,60,20240424,150000,9.62,9.64,9.53,9.53,8220,0
ENG,60,20240424,160000,9.53,9.53,9.53,9.53,9,0
ENG,60,20240424,170000,9.54,9.63,9.49,9.63,5598,0
ENG,60,20240425,100000,9.64,9.64,9.52,9.52,12127,0
ENG,60,20240425,110000,9.52,9.62,9.52,9.62,125,0
ENG,60,20240425,120000,9.52,9.52,9.52,9.52,40,0
ENG,60,20240425,130000,9.52,9.58,9.5,9.57,2946,0
ENG,60,20240425,140000,9.58,9.58,9.5,9.5,1648,0
ENG,60,20240425,150000,9.5,9.51,9.48,9.51,612,0
ENG,60,20240425,160000,9.51,9.54,9.48,9.48,328,0
ENG,60,20240425,170000,9.5,9.5,9.5,9.5,650,0
ENG,60,20240426,100000,9.49,9.5,9.44,9.5,2418,0
ENG,60,20240426,110000,9.5,9.5,9.41,9.49,2874,0
ENG,60,20240426,120000,9.49,9.5,9.49,9.5,7811,0
ENG,60,20240426,130000,9.58,9.58,9.45,9.45,1195,0
ENG,60,20240426,140000,9.52,9.52,9.47,9.48,2153,0
ENG,60,20240426,160000,9.52,9.54,9.5,9.54,439,0
ENG,60,20240426,170000,9.52,9.52,9.5,9.51,772,0
ENG,60,20240429,100000,9.46,9.59,9.46,9.5,1118,0
ENG,60,20240429,110000,9.52,9.56,9.46,9.53,1475,0
ENG,60,20240429,120000,9.52,9.52,9.48,9.52,422,0
ENG,60,20240429,130000,9.52,9.52,9.41,9.45,5124,0
ENG,60,20240429,140000,9.45,9.45,9.41,9.41,401,0
ENG,60,20240429,150000,9.41,9.42,9.33,9.33,1659,0
ENG,60,20240429,160000,9.39,9.4,9.37,9.4,814,0
ENG,60,20240429,170000,9.44,9.51,9.44,9.51,5461,0
ENG,60,20240430,100000,9.43,9.51,9.4,9.44,4519,0
ENG,60,20240430,110000,9.42,9.42,9.42,9.42,259,0
ENG,60,20240430,130000,9.46,9.5,9.46,9.5,504,0
ENG,60,20240430,140000,9.45,9.51,9.45,9.49,3385,0
ENG,60,20240430,150000,9.49,9.49,9.49,9.49,300,0
ENG,60,20240430,160000,9.49,9.49,9.47,9.47,607,0
ENG,60,20240430,170000,9.49,9.6,9.49,9.6,3602,0
ENG,60,20240502,100000,9.56,9.6,9.5,9.5,304,0
ENG,60,20240502,110000,9.52,9.59,9.52,9.52,137,0
ENG,60,20240502,120000,9.57,9.57,9.53,9.53,202,0
ENG,60,20240502,130000,9.57,9.59,9.57,9.59,526,0
ENG,60,20240502,140000,9.54,9.54,9.5,9.5,1500,0
ENG,60,20240502,150000,9.51,9.58,9.5,9.5,628,0
ENG,60,20240502,160000,9.53,9.58,9.53,9.53,1118,0
ENG,60,20240502,170000,9.56,9.59,9.56,9.59,170,0
ENG,60,20240506,100000,9.42,9.59,9.4,9.46,3483,0
ENG,60,20240506,110000,9.45,9.46,9.44,9.44,1822,0
ENG,60,20240506,120000,9.46,9.59,9.46,9.5,4687,0
ENG,60,20240506,130000,9.52,9.57,9.47,9.57,1253,0
ENG,60,20240506,140000,9.57,9.59,9.57,9.59,638,0
ENG,60,20240506,150000,9.57,9.57,9.56,9.57,680,0
ENG,60,20240506,160000,9.51,9.58,9.51,9.58,163,0
ENG,60,20240506,170000,9.58,9.6,9.58,9.6,817,0
ENG,60,20240507,100000,9.6,9.87,9.6,9.87,21239,0
ENG,60,20240507,110000,9.87,9.9,9.7,9.84,8784,0
ENG,60,20240507,120000,9.83,9.83,9.72,9.72,3478,0
ENG,60,20240507,130000,9.72,9.72,9.65,9.65,2269,0
ENG,60,20240507,140000,9.7,9.76,9.59,9.76,3702,0
ENG,60,20240507,150000,9.7,9.72,9.67,9.72,1215,0
ENG,60,20240507,170000,9.66,9.69,9.6,9.6,1060,0
ENG,60,20240508,100000,9.6,9.82,9.6,9.8,7185,0
ENG,60,20240508,110000,9.72,9.8,9.64,9.64,1617,0
ENG,60,20240508,120000,9.69,9.69,9.68,9.68,118,0
ENG,60,20240508,130000,9.65,9.66,9.63,9.63,1708,0
ENG,60,20240508,140000,9.67,9.67,9.63,9.63,674,0
ENG,60,20240508,150000,9.63,9.63,9.63,9.63,286,0
ENG,60,20240508,160000,9.67,9.68,9.67,9.68,1050,0
ENG,60,20240508,170000,9.68,9.7,9.68,9.7,1509,0
ENG,60,20240509,100000,9.8,9.9,9.8,9.85,2697,0
ENG,60,20240509,110000,9.9,9.9,9.7,9.7,12296,0
ENG,60,20240509,120000,9.82,9.89,9.72,9.87,9152,0
ENG,60,20240509,130000,9.87,9.89,9.74,9.76,3100,0
ENG,60,20240509,140000,9.8,9.86,9.8,9.85,2882,0
ENG,60,20240509,150000,9.86,9.9,9.82,9.89,1317,0
ENG,60,20240509,160000,9.9,9.91,9.8,9.85,3174,0
ENG,60,20240509,170000,9.91,9.94,9.84,9.94,2341,0
ENG,60,20240510,100000,9.94,9.99,9.8,9.95,16718,0
ENG,60,20240510,110000,9.92,9.99,9.86,9.99,6541,0
ENG,60,20240510,120000,9.99,10,9.98,10,4829,0
ENG,60,20240510,130000,10,10.3,10,10.16,26378,0
ENG,60,20240510,140000,10.12,10.16,10.06,10.16,4045,0
ENG,60,20240510,150000,10.16,10.18,10.14,10.16,4889,0
ENG,60,20240510,160000,10.16,10.16,10,10.1,4504,0
ENG,60,20240510,170000,10.1,10.1,9.85,9.93,12773,0
ENG,60,20240513,100000,9.79,9.98,9.79,9.96,13353,0
ENG,60,20240513,110000,9.98,9.98,9.87,9.87,4575,0
ENG,60,20240513,120000,9.9,9.9,9.83,9.83,1611,0
ENG,60,20240513,130000,9.83,9.9,9.81,9.87,4844,0
ENG,60,20240513,140000,9.85,9.85,9.8,9.8,900,0
ENG,60,20240513,150000,9.89,9.89,9.83,9.89,360,0
ENG,60,20240513,160000,9.82,9.83,9.8,9.82,1774,0
ENG,60,20240513,170000,9.81,9.95,9.81,9.93,5537,0
ENG,60,20240514,100000,9.8,9.89,9.8,9.85,5041,0
ENG,60,20240514,110000,9.88,9.98,9.87,9.98,2119,0
ENG,60,20240514,120000,9.97,9.97,9.86,9.9,1536,0
ENG,60,20240514,130000,9.97,9.98,9.87,9.87,773,0
ENG,60,20240514,140000,9.9,9.95,9.9,9.95,2331,0
ENG,60,20240514,150000,9.95,9.95,9.89,9.89,3712,0
ENG,60,20240514,160000,9.95,9.95,9.9,9.9,2247,0
ENG,60,20240514,170000,9.91,9.95,9.89,9.95,1632,0
ENG,60,20240515,100000,9.95,9.98,9.89,9.89,3602,0
ENG,60,20240515,110000,9.93,9.93,9.93,9.93,285,0
ENG,60,20240515,120000,9.92,9.94,9.81,9.89,3953,0
ENG,60,20240515,130000,9.84,9.9,9.84,9.9,2639,0
ENG,60,20240515,140000,9.89,9.9,9.87,9.87,6793,0
ENG,60,20240515,150000,9.87,9.9,9.86,9.9,2413,0
ENG,60,20240515,160000,9.94,9.94,9.94,9.94,111,0
ENG,60,20240515,170000,9.9,9.94,9.9,9.9,2764,0
ENG,60,20240516,100000,9.88,9.88,9.8,9.88,2114,0
ENG,60,20240516,110000,9.87,9.98,9.87,9.98,5291,0
ENG,60,20240516,120000,9.98,10.3,9.98,10.22,14822,0
ENG,60,20240516,130000,10.2,10.2,10,10.1,9484,0
ENG,60,20240516,140000,10.1,10.26,10.08,10.12,12295,0
ENG,60,20240516,150000,10.2,10.26,10.14,10.16,4686,0
ENG,60,20240516,160000,10.16,10.2,10.1,10.18,3453,0
ENG,60,20240516,170000,10.14,10.2,10.1,10.1,2990,0
ENG,60,20240517,100000,10.18,10.3,10.1,10.16,3293,0
ENG,60,20240517,110000,10.24,10.24,10.1,10.22,4056,0
ENG,60,20240517,120000,10.22,10.24,10.2,10.2,1548,0
ENG,60,20240517,130000,10.22,10.22,10.14,10.14,2971,0
ENG,60,20240517,140000,10.12,10.18,10.1,10.12,2115,0
ENG,60,20240517,150000,10.18,10.18,10.1,10.1,2016,0
ENG,60,20240517,160000,10.08,10.24,9.93,10.24,10933,0
ENG,60,20240517,170000,10.1,10.26,10.1,10.26,2260,0
ENG,60,20240520,100000,10.26,10.36,10.26,10.3,7245,0
ENG,60,20240520,110000,10.3,10.36,10.28,10.36,7772,0
ENG,60,20240520,120000,10.4,10.46,10.36,10.38,4519,0
ENG,60,20240520,130000,10.38,10.5,10.38,10.48,14984,0
ENG,60,20240520,140000,10.48,10.48,10.4,10.42,1960,0
ENG,60,20240520,150000,10.48,10.5,10.48,10.5,2972,0
ENG,60,20240520,160000,10.52,10.54,10.44,10.52,2326,0
ENG,60,20240520,170000,10.48,10.54,10.44,10.54,6257,0
ENG,60,20240521,100000,10.54,10.64,10.5,10.54,9191,0
ENG,60,20240521,110000,10.54,10.58,10.5,10.58,2656,0
ENG,60,20240521,120000,10.56,10.6,10.52,10.58,2686,0
ENG,60,20240521,130000,10.58,10.58,10.52,10.52,900,0
ENG,60,20240521,140000,10.54,10.54,10.46,10.54,2276,0
ENG,60,20240521,150000,10.54,10.54,10.54,10.54,50,0
ENG,60,20240521,160000,10.46,10.52,10.44,10.52,418,0
ENG,60,20240521,170000,10.52,10.58,10.52,10.58,2181,0
ENG,60,20240522,100000,10.58,10.58,10.28,10.4,8785,0
ENG,60,20240522,110000,10.4,10.46,10.4,10.44,1406,0
