<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENT,60,20240411,100000,62.9159,62.9159,62.1713,62.9159,4756.5905245242,0
ENT,60,20240411,110000,62.9159,62.9159,62.6367,62.6367,1110.9813874764,0
ENT,60,20240411,120000,62.9159,62.9159,62.8228,62.9159,215.9644670046,0
ENT,60,20240411,130000,62.9159,62.9159,62.9159,62.9159,54.7969543146,0
ENT,60,20240411,140000,62.8228,63.5674,62.7298,63.5674,408.291032148,0
ENT,60,20240411,150000,63.5674,63.5674,62.7298,62.9159,344.8984771566,0
ENT,60,20240411,160000,63.1951,63.6605,63.1951,63.1951,281.5059221652,0
ENT,60,20240411,170000,63.1951,63.6605,62.8228,62.8228,388.9509306252,0
ENT,60,20240412,100000,62.8228,63.2882,62.8228,63.009,735.998307951,0
ENT,60,20240412,110000,63.102,63.6605,63.102,63.6605,210.5922165816,0
ENT,60,20240412,120000,63.2882,63.7535,62.0783,62.9159,2199.3993231762,0
ENT,60,20240412,130000,63.6605,63.6605,62.1713,62.3575,440.524534686,0
ENT,60,20240412,140000,62.9159,63.009,62.3575,62.3575,653.2656514368,0
ENT,60,20240412,160000,62.5436,63.009,62.5436,63.009,238.5279187812,0
ENT,60,20240412,170000,62.8228,62.8228,62.0783,62.0783,1177.5972927216,0
ENT,60,20240415,100000,61.7991,63.7535,61.7991,63.7535,1435.4653130256,0
ENT,60,20240415,110000,63.6605,63.7535,62.5436,63.6605,386.802030456,0
ENT,60,20240415,120000,63.6605,63.6605,63.6605,63.6605,167.6142131976,0
ENT,60,20240415,130000,63.6605,64.2189,62.4506,62.6367,1974.8392554948,0
ENT,60,20240415,140000,63.9397,64.0328,63.9397,64.0328,316.962774957,0
ENT,60,20240415,150000,63.3813,63.7535,63.102,63.3813,199.8477157356,0
ENT,60,20240415,160000,63.7535,64.0328,63.3813,64.0328,675.8291032134,0
ENT,60,20240415,170000,63.7535,65.2427,63.7535,65.2427,2420.7360406038,0
ENT,60,20240416,100000,63.3813,63.3813,62.6367,63.3813,1239.9153976284,0
ENT,60,20240416,110000,63.3813,64.0328,63.102,64.0328,376.05752961,0
ENT,60,20240416,120000,63.4743,65.1496,63.4743,65.1496,534.0016920462,0
ENT,60,20240416,130000,65.2427,65.8942,65.1496,65.1496,612.436548222,0
ENT,60,20240416,140000,65.1496,65.8942,64.5912,65.8942,361.0152284256,0
ENT,60,20240416,150000,65.8011,65.8942,65.0565,65.8942,191.2521150588,0
ENT,60,20240416,160000,65.615,65.8942,65.1496,65.1496,2636.7005076084,0
ENT,60,20240416,170000,65.1496,65.8942,65.1496,65.3357,540.4483925538,0
ENT,60,20240417,100000,65.3357,65.615,62.2644,65.615,6675.5583756198,0
