<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETL,60,20240411,100000,37.3973,37.3973,37.2153,37.2153,116.495049506,0
ETL,60,20240411,110000,37.2153,37.3063,37.2153,37.3063,178.039603962,0
ETL,60,20240411,120000,37.3063,37.3063,36.8514,36.9423,212.108910893,0
ETL,60,20240411,130000,36.8514,37.1243,36.8514,36.9423,73.633663367,0
ETL,60,20240411,140000,37.1243,37.2153,37.1243,37.2153,45.059405941,0
ETL,60,20240411,150000,37.2153,37.2153,37.2153,37.2153,47.257425743,0
ETL,60,20240411,160000,37.2153,37.2153,37.2153,37.2153,95.613861387,0
ETL,60,20240411,170000,37.2153,37.2153,37.2153,37.2153,64.841584159,0
ETL,60,20240412,100000,37.2153,37.2153,37.2153,37.2153,390.148514855,0
ETL,60,20240412,110000,37.0333,37.3063,37.0333,37.3063,73.63366336700001,0
ETL,60,20240412,120000,37.3063,37.4883,37.3063,37.4883,427.514851489,0
ETL,60,20240412,130000,37.4883,37.4883,37.4883,37.4883,24.178217822,0
ETL,60,20240412,140000,37.3063,37.9432,36.3964,37.9432,803.376237631,0
ETL,60,20240412,150000,37.7613,37.7613,37.7613,37.7613,43.960396040000006,0
ETL,60,20240412,160000,37.7613,37.7613,37.7613,37.7613,49.455445545,0
ETL,60,20240412,170000,37.3063,37.7613,36.7604,37.7613,49.455445545,0
ETL,60,20240415,100000,37.3063,37.6703,36.7604,36.7604,311.019801983,0
ETL,60,20240415,110000,37.1243,37.1243,36.7604,37.0333,312.118811884,0
ETL,60,20240415,120000,37.0333,37.3063,37.0333,37.1243,187.930693071,0
ETL,60,20240415,130000,37.1243,37.3063,36.9423,36.9423,92.31683168400001,0
ETL,60,20240415,140000,37.3063,37.3063,37.3063,37.3063,5.495049505000001,0
ETL,60,20240415,150000,37.3063,37.5793,37.3063,37.3063,149.465346536,0
ETL,60,20240415,160000,37.5793,37.5793,37.5793,37.5793,95.613861387,0
ETL,60,20240416,100000,37.6703,38.0342,37.3063,37.3063,807.772277235,0
ETL,60,20240416,110000,37.3063,37.3063,37.3063,37.3063,17.584158416,0
ETL,60,20240416,120000,37.8523,37.8523,37.3063,37.8523,59.346534654,0
ETL,60,20240416,130000,37.9432,38.6712,37.9432,38.0342,761.613861393,0
ETL,60,20240416,140000,38.5802,38.5802,38.5802,38.5802,870.415841592,0
ETL,60,20240416,150000,38.3982,38.3982,38.3982,38.3982,5.495049505000001,0
ETL,60,20240416,160000,38.3982,38.3982,36.3964,36.3964,1047.356435653,0
ETL,60,20240416,170000,37.2153,37.4883,37.1243,37.4883,260.465346537,0
ETL,60,20240417,100000,38.7622,38.9441,37.4883,38.3982,3475.069306962,0
ETL,60,20240417,110000,38.3982,38.3982,38.2162,38.2162,340.69306931,0
ETL,60,20240417,120000,38.3072,38.3072,37.3063,37.3063,3813.56435647,0
ETL,60,20240417,130000,37.7613,37.7613,37.3973,37.3973,157.158415843,0
ETL,60,20240417,140000,37.7613,37.8523,37.3063,37.6703,431.910891093,0
ETL,60,20240417,150000,37.8523,37.8523,37.8523,37.8523,518.732673272,0
ETL,60,20240417,160000,37.8523,37.8523,37.8523,37.8523,236.287128715,0
ETL,60,20240417,170000,37.8523,37.8523,37.8523,37.8523,153.86138614,0
ETL,60,20240418,100000,37.8523,37.8523,37.6703,37.8523,1848.534653482,0
