<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUC,60,20240411,100000,1.16,1.16,1.16,1.16,2,0
EUC,60,20240411,120000,1.14,1.14,1.14,1.14,10,0
EUC,60,20240411,130000,1.11,1.11,1.08,1.105,9479,0
EUC,60,20240411,140000,1.105,1.105,1.08,1.08,2000,0
EUC,60,20240411,160000,1.12,1.14,1.12,1.14,9,0
EUC,60,20240412,100000,1.145,1.145,1.145,1.145,20,0
EUC,60,20240412,110000,1.14,1.14,1.14,1.14,500,0
EUC,60,20240412,120000,1.105,1.105,1.105,1.105,7,0
EUC,60,20240412,130000,1.135,1.14,1.135,1.14,8,0
EUC,60,20240412,150000,1.105,1.105,1.105,1.105,9,0
EUC,60,20240412,160000,1.14,1.14,1.14,1.14,5,0
EUC,60,20240412,170000,1.105,1.14,1.105,1.14,98,0
EUC,60,20240415,100000,1.14,1.145,1.14,1.145,10,0
EUC,60,20240415,170000,1.135,1.135,1.135,1.135,10,0
EUC,60,20240416,100000,1.135,1.135,1.135,1.135,10,0
EUC,60,20240416,160000,1.11,1.13,1.11,1.13,51,0
EUC,60,20240417,100000,1.135,1.135,1.135,1.135,2,0
EUC,60,20240417,110000,1.105,1.105,1.105,1.105,20,0
EUC,60,20240417,120000,1.105,1.105,1.105,1.105,150,0
EUC,60,20240417,130000,1.105,1.135,1.105,1.135,2700,0
EUC,60,20240418,100000,1.135,1.135,1.11,1.11,109,0
EUC,60,20240418,150000,1.135,1.135,1.135,1.135,266,0
EUC,60,20240419,100000,1.135,1.135,1.135,1.135,10,0
EUC,60,20240419,110000,1.12,1.12,1.12,1.12,3000,0
EUC,60,20240419,120000,1.135,1.135,1.135,1.135,1000,0
EUC,60,20240422,100000,1.135,1.135,1.055,1.07,5010,0
EUC,60,20240422,120000,1.13,1.13,1.13,1.13,5,0
EUC,60,20240422,130000,1.13,1.13,1.13,1.13,10,0
EUC,60,20240422,160000,1.105,1.105,1.1,1.1,1128,0
EUC,60,20240422,170000,1.135,1.135,1.135,1.135,5,0
EUC,60,20240423,100000,1.135,1.135,1.135,1.135,2,0
EUC,60,20240423,160000,1.105,1.105,1.1,1.1,1000,0
EUC,60,20240423,170000,1.13,1.13,1.13,1.13,110,0
EUC,60,20240424,100000,1.135,1.135,1.135,1.135,2,0
EUC,60,20240424,160000,1.135,1.135,1.135,1.135,8,0
EUC,60,20240425,100000,1.135,1.135,1.135,1.135,2,0
EUC,60,20240425,120000,1.095,1.095,1.095,1.095,30,0
EUC,60,20240425,160000,1.095,1.13,1.095,1.13,80,0
