<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUR,60,20240411,100000,12.7356,12.9607,12.7263,12.9138,19694.530385975,0
EUR,60,20240411,110000,12.9138,12.9889,12.8482,12.8857,13432.160220473,0
EUR,60,20240411,120000,12.8763,12.9045,12.7919,12.8107,10039.198894638,0
EUR,60,20240411,130000,12.7919,12.8482,12.7544,12.8482,7780.7790052225,0
EUR,60,20240411,140000,12.8482,12.9326,12.8107,12.8951,6006.4585633025,0
EUR,60,20240411,150000,12.9232,13.0264,12.8857,12.8857,47451.342539593,0
EUR,60,20240411,160000,12.9138,13.017,12.8951,12.8951,14434.480662423,0
EUR,60,20240411,170000,12.9138,12.9513,12.8388,12.8951,39537.276241558,0
EUR,60,20240412,100000,12.8857,13.0358,12.8388,12.9138,26870.718231,0
EUR,60,20240412,110000,12.9138,12.9795,12.8951,12.9138,9499.6519333325,0
EUR,60,20240412,120000,12.9138,12.9889,12.8951,12.942,7297.74585607,0
EUR,60,20240412,130000,12.942,12.942,12.8201,12.8201,35213.43646272,0
EUR,60,20240412,140000,12.8201,12.8857,12.8107,12.8388,24006.640883045,0
EUR,60,20240412,150000,12.8576,12.8576,12.7732,12.7919,229885.39225626,0
EUR,60,20240412,160000,12.7732,12.8201,12.7169,12.7919,36604.955799683,0
EUR,60,20240412,170000,12.7919,12.7919,12.6419,12.6419,25143.31491615,0
EUR,60,20240415,100000,12.6606,12.7544,12.5575,12.6325,19038.756905338,0
EUR,60,20240415,110000,12.6325,12.6512,12.5856,12.6137,10208.740331095,0
EUR,60,20240415,120000,12.595,12.6325,12.5387,12.5762,18339.265192658,0
EUR,60,20240415,130000,12.5762,12.6137,12.5199,12.6137,12362.662982945,0
EUR,60,20240415,140000,12.6137,12.8013,12.6137,12.7169,41475.806628223,0
EUR,60,20240415,150000,12.6888,12.7544,12.6794,12.6981,9268.26519301,0
EUR,60,20240415,160000,12.7169,12.745,12.6512,12.6606,50313.287290863,0
EUR,60,20240415,170000,12.6419,12.745,12.5856,12.67,26809.939225478,0
EUR,60,20240416,100000,12.5668,12.6137,12.4731,12.5199,18774.314916398,0
EUR,60,20240416,110000,12.5387,12.5481,12.4731,12.5481,8330.9889499525,0
EUR,60,20240416,120000,12.5293,12.5481,12.5106,12.5199,8585.83425381,0
EUR,60,20240416,130000,12.5293,12.5668,12.5199,12.5668,13699.80110444,0
EUR,60,20240416,140000,12.5668,12.6044,12.5387,12.5668,21724.762430095,0
EUR,60,20240416,150000,12.5668,12.5668,12.5293,12.5387,16841.116021445,0
EUR,60,20240416,160000,12.5293,12.5575,12.4449,12.4731,40858.419887915,0
EUR,60,20240416,170000,12.4731,12.5668,12.4543,12.5668,22932.878452148,0
EUR,60,20240417,100000,12.4918,12.6044,12.4918,12.5293,13048.292817173,0
EUR,60,20240417,110000,12.5293,12.6794,12.5293,12.6794,20611.546960525,0
EUR,60,20240417,120000,12.6888,12.7638,12.6794,12.6981,6616.3812152125,0
EUR,60,20240417,130000,12.7263,12.745,12.6419,12.6419,4981.74585616,0
EUR,60,20240417,140000,12.6325,12.6512,12.5762,12.5762,4190.552486025,0
EUR,60,20240417,150000,12.5762,12.6419,12.5762,12.6137,7027.9723754175,0
EUR,60,20240417,160000,12.6044,12.6137,12.5387,12.595,22753.740330608,0
EUR,60,20240417,170000,12.5762,12.7638,12.5762,12.7638,35386.176794205,0
EUR,60,20240418,100000,12.8013,12.9326,12.7825,12.8857,62163.060771065,0
EUR,60,20240418,110000,12.9045,12.9045,12.7263,12.7263,30039.75690491,0
EUR,60,20240418,120000,12.745,12.7732,12.7075,12.7732,14324.651933145,0
EUR,60,20240418,130000,12.7638,12.942,12.7544,12.942,13848.016574048,0
EUR,60,20240418,140000,12.9513,13.1014,12.8951,13.0451,54810.933699528,0
EUR,60,20240418,150000,13.0451,13.0451,12.8669,12.9326,14054.878452493,0
EUR,60,20240418,160000,12.8669,12.9607,12.8294,12.9607,29854.220993315,0
EUR,60,20240418,170000,12.9795,13.0545,12.9232,13.0076,70796.878450288,0
EUR,60,20240419,100000,12.942,13.0545,12.2949,12.4168,178179.51933009,0
EUR,60,20240419,110000,12.4262,12.4731,12.2105,12.2292,360258.49169871,0
EUR,60,20240419,120000,12.2292,12.5481,12.2011,12.5293,56897.6795558,0
EUR,60,20240419,130000,12.4918,12.6888,12.4637,12.4918,27452.917126005,0
EUR,60,20240419,140000,12.4918,12.4918,12.3418,12.3418,38280.11049575,0
EUR,60,20240419,150000,12.3324,12.4262,12.323,12.3793,59429.071820895,0
EUR,60,20240419,160000,12.3793,12.3793,12.2761,12.3511,67001.92264933,0
EUR,60,20240419,170000,12.3324,12.4449,12.3136,12.3887,83573.265190123,0
EUR,60,20240422,100000,12.5012,12.9795,12.5012,12.7356,97188.828725505,0
EUR,60,20240422,110000,12.7544,12.8013,12.7356,12.8013,23199.453037773,0
EUR,60,20240422,120000,12.7732,12.8013,12.7638,12.7825,11158.812154263,0
EUR,60,20240422,130000,12.7919,13.167,12.7825,13.1108,631423.49168817,0
EUR,60,20240422,140000,13.1202,13.2233,13.1014,13.1108,45597.049721985,0
EUR,60,20240422,150000,13.092,13.3077,13.0639,13.3077,65331.033146633,0
EUR,60,20240422,160000,13.3171,13.4765,13.289,13.4109,127316.0220945,0
EUR,60,20240422,170000,13.4109,13.5234,13.3921,13.4109,271883.68507231,0
EUR,60,20240423,100000,13.5609,13.5703,13.3171,13.3921,35480.011048345,0
EUR,60,20240423,110000,13.3265,13.3921,13.289,13.3171,21210.80662901,0
EUR,60,20240423,120000,13.3171,13.3827,13.2796,13.364,70401.28176522,0
EUR,60,20240423,130000,13.3546,13.3921,13.3171,13.3827,122518.74585159,0
EUR,60,20240423,140000,13.3734,13.5703,13.3546,13.4672,27175.679556955,0
EUR,60,20240423,150000,13.4578,13.4672,13.364,13.4672,17429.712706505,0
EUR,60,20240423,160000,13.4203,13.4765,13.364,13.439,80594.027621178,0
EUR,60,20240423,170000,13.4109,13.5328,13.4015,13.4109,229170.97236679,0
EUR,60,20240424,100000,13.4953,13.4953,13.2702,13.4578,35572.779004143,0
EUR,60,20240424,110000,13.4578,13.4578,13.1858,13.1858,68239.895024973,0
EUR,60,20240424,120000,13.2139,13.2139,13.092,13.1108,14066.60773426,0
EUR,60,20240424,130000,13.1108,13.1295,13.0545,13.0826,22250.447512948,0
EUR,60,20240424,140000,13.092,13.1202,13.0358,13.092,23963.988949345,0
EUR,60,20240424,150000,13.092,13.1295,13.0733,13.0733,6484.1602207425,0
EUR,60,20240424,160000,13.1108,13.1202,13.0733,13.0733,7942.8563532825,0
EUR,60,20240424,170000,13.0639,13.1764,13.0639,13.0826,31028.215468408,0
EUR,60,20240425,100000,13.0826,13.1764,12.9326,12.9513,54111.441986848,0
EUR,60,20240425,110000,12.9795,13.0076,12.8388,12.8388,57280.480660758,0
EUR,60,20240425,120000,12.8576,12.8857,12.7638,12.7919,22971.265192478,0
