<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRO,60,20240411,100000,32.6373,32.9115,32.4544,32.8201,3512.3255131042,0
FRO,60,20240411,110000,32.8201,32.9115,32.5458,32.7287,1510.5953078782,0
FRO,60,20240411,120000,33.0029,33.0029,32.7287,32.7287,350.029325504,0
FRO,60,20240411,130000,33.0029,33.0029,32.7287,32.9115,1886.876832795,0
FRO,60,20240411,140000,32.9115,33.0029,32.9115,33.0029,341.2785923664,0
FRO,60,20240411,150000,32.9115,33.0029,32.9115,32.9115,205.6422287336,0
FRO,60,20240411,160000,32.9115,33.0029,32.9115,33.0029,220.9560117244,0
FRO,60,20240411,170000,33.0029,33.0944,32.9115,33.0944,2196.4340175376,0
FRO,60,20240412,100000,32.9115,32.9115,32.9115,32.9115,1439.4956011352,0
FRO,60,20240412,110000,33.0944,33.0944,32.9115,32.9115,111.5718475044,0
FRO,60,20240412,130000,32.9115,33.0944,32.9115,32.9115,352.2170087884,0
FRO,60,20240412,140000,32.9115,32.9115,32.9115,32.9115,1327.9237536308,0
FRO,60,20240412,150000,33.0029,33.0029,32.9115,32.9115,33.9090909082,0
FRO,60,20240412,160000,32.9115,33.0944,32.9115,33.0944,1747.9589442355998,0
FRO,60,20240412,170000,33.0944,33.2772,33.0944,33.0944,449.5689149442,0
FRO,60,20240415,100000,32.9115,32.9115,32.6373,32.9115,87.507331376,0
FRO,60,20240415,110000,32.7287,32.7287,32.6373,32.6373,262.52199412799996,0
FRO,60,20240415,130000,32.7287,32.9115,32.7287,32.9115,549.1085043843999,0
FRO,60,20240415,150000,33.0944,33.0944,33.0944,33.0944,4.3753665688,0
FRO,60,20240415,160000,33.0944,33.1858,33.0944,33.1858,383.9384164122,0
FRO,60,20240415,170000,33.1858,33.1858,33.1858,33.1858,277.8357771188,0
FRO,60,20240416,100000,32.7287,32.7287,31.7231,32.2716,1642.9501465844,0
FRO,60,20240416,110000,32.363,32.6373,32.2716,32.2716,3177.6099705909996,0
FRO,60,20240416,120000,32.2716,32.8201,32.2716,32.363,238.4574779996,0
FRO,60,20240416,130000,32.7287,33.0944,32.7287,33.0944,448.475073302,0
FRO,60,20240416,150000,33.0944,33.3686,33.0944,33.3686,77967.938414374,0
FRO,60,20240416,160000,33.3686,33.3686,33.3686,33.3686,1530.2844574378,0
FRO,60,20240416,170000,33.3686,33.4601,33.3686,33.3686,2623.0322579956,0
FRO,60,20240417,100000,33.4601,33.4601,32.9115,33.4601,770.0645161088,0
FRO,60,20240417,110000,33.0029,33.3686,33.0029,33.3686,265.8035190546,0
FRO,60,20240417,120000,33.3686,33.3686,33.0029,33.3686,88.6011730182,0
FRO,60,20240417,130000,33.1858,33.1858,33.1858,33.1858,120.322580642,0
FRO,60,20240417,140000,33.0944,33.0944,33.0029,33.0029,853.196480916,0
FRO,60,20240417,150000,33.0029,33.0029,32.9115,33.0029,565.5161290174,0
FRO,60,20240417,160000,32.9115,33.1858,32.9115,33.1858,707.7155425033999,0
FRO,60,20240417,170000,33.2772,33.2772,32.9115,33.2772,1792.8064515658,0
FRO,60,20240418,100000,32.7287,32.9115,32.7287,32.7287,21069.577712056,0
FRO,60,20240418,110000,33.1858,33.1858,32.7287,32.7287,71.099706743,0
FRO,60,20240418,120000,32.9115,33.0029,32.9115,33.0029,27.346041054999997,0
FRO,60,20240418,140000,32.9115,32.9115,32.9115,32.9115,202.360703807,0
FRO,60,20240418,150000,32.9115,32.9115,32.9115,32.9115,87.507331376,0
FRO,60,20240418,160000,32.9115,32.9115,32.9115,32.9115,3.2815249265999995,0
FRO,60,20240418,170000,32.9115,33.0029,32.8201,32.8201,72.1935483852,0
FRO,60,20240419,100000,32.8201,32.8201,32.8201,32.8201,334.7155425132,0
FRO,60,20240419,110000,32.8201,32.8201,32.8201,32.8201,4.3753665688,0
FRO,60,20240419,120000,32.9115,32.9115,32.5458,32.5458,228.6129032198,0
FRO,60,20240419,130000,32.5458,32.7287,32.4544,32.7287,408.00293254059994,0
FRO,60,20240419,140000,32.4544,32.4544,32.4544,32.4544,5.469208211,0
FRO,60,20240419,150000,32.2716,32.4544,32.2716,32.4544,103.914956009,0
FRO,60,20240419,170000,32.4544,32.5458,32.363,32.5458,162.9824046878,0
FRO,60,20240422,100000,32.7287,32.7287,32.6373,32.6373,331.4340175866,0
FRO,60,20240422,110000,32.6373,32.6373,32.6373,32.6373,75.47507331179999,0
FRO,60,20240422,120000,32.8201,32.8201,32.8201,32.8201,2.1876832844,0
FRO,60,20240422,130000,32.5458,32.5458,32.5458,32.5458,25.1583577706,0
FRO,60,20240422,150000,32.5458,32.5458,32.4544,32.4544,192.5161290272,0
FRO,60,20240422,170000,32.5458,32.5458,32.4544,32.4544,548.0146627421999,0
FRO,60,20240423,100000,32.4544,32.7287,32.4544,32.4544,135.6363636328,0
FRO,60,20240423,110000,32.4544,32.8201,32.4544,32.8201,138.91788855939998,0
FRO,60,20240423,120000,32.4544,32.7287,32.4544,32.7287,41.5659824036,0
FRO,60,20240423,130000,32.7287,32.7287,32.5458,32.5458,156.4193548346,0
FRO,60,20240423,140000,32.7287,32.8201,32.363,32.363,698.9648093658,0
FRO,60,20240423,160000,32.0887,32.2716,31.8145,32.2716,203.4545454492,0
FRO,60,20240423,170000,31.9973,32.0887,31.9973,32.0887,206.73607037579998,0
FRO,60,20240424,100000,31.8145,31.9973,31.5402,31.9973,1183.5366568604,0
FRO,60,20240424,110000,32.2716,32.2716,31.9973,32.2716,20.7829912018,0
FRO,60,20240424,120000,31.9973,31.9973,31.9973,31.9973,8.7507331376,0
FRO,60,20240424,140000,32.0887,32.0887,31.9059,31.9059,82.03812316499999,0
FRO,60,20240424,160000,31.9059,31.9059,31.7231,31.9059,63.4428152476,0
FRO,60,20240424,170000,31.9059,31.9973,31.8145,31.8145,75.4750733118,0
FRO,60,20240425,100000,31.9973,31.9973,31.8145,31.8145,57.9736070366,0
FRO,60,20240425,110000,31.8145,31.9059,31.8145,31.9059,10.938416422,0
FRO,60,20240425,120000,31.8145,31.8145,31.5402,31.5402,264.7096774124,0
FRO,60,20240425,130000,31.5402,31.8145,31.0831,31.4488,1191.1935483558,0
FRO,60,20240425,140000,31.7231,31.7231,31.7231,31.7231,3.2815249266,0
FRO,60,20240425,150000,31.7231,31.7231,31.7231,31.7231,27.346041054999997,0
FRO,60,20240425,160000,31.7231,31.7231,31.7231,31.7231,57.9736070366,0
FRO,60,20240425,170000,31.6316,31.6316,31.6316,31.6316,60.161290320999996,0
FRO,60,20240426,100000,31.8145,31.8145,31.3574,31.3574,148.7624633392,0
FRO,60,20240426,110000,31.8145,31.9059,31.8145,31.9059,109.38416422,0
FRO,60,20240426,120000,31.9973,32.2716,31.5402,32.0887,227.5190615776,0
FRO,60,20240426,130000,32.1802,32.1802,32.0887,32.0887,77.6627565962,0
FRO,60,20240426,140000,31.5402,32.0887,31.5402,32.0887,3.2815249266,0
FRO,60,20240426,160000,32.0887,32.0887,32.0887,32.0887,10.938416422,0
FRO,60,20240426,170000,31.7231,32.1802,31.5402,31.9973,115.9472140732,0
FRO,60,20240429,100000,32.0887,32.0887,31.9973,32.0887,13.1260997064,0
FRO,60,20240429,110000,31.9973,31.9973,31.3574,31.9973,390.5014662654,0
FRO,60,20240429,120000,31.9973,31.9973,31.3574,31.3574,52.5043988256,0
FRO,60,20240429,130000,31.5402,31.5402,31.5402,31.5402,14.2199413486,0
FRO,60,20240429,140000,31.5402,31.9973,31.5402,31.9059,63.442815247599995,0
FRO,60,20240429,150000,31.8145,31.9059,31.8145,31.9059,21.876832844,0
FRO,60,20240429,160000,31.8145,31.8145,31.8145,31.8145,119.2287389998,0
FRO,60,20240429,170000,31.8145,31.8145,31.8145,31.8145,1.0938416422,0
FRO,60,20240430,100000,31.8145,31.8145,31.7231,31.7231,13.1260997064,0
FRO,60,20240430,110000,31.7231,31.7231,31.7231,31.7231,15.313782990799998,0
FRO,60,20240430,120000,31.7231,31.7231,31.7231,31.7231,237.3636363574,0
FRO,60,20240430,130000,31.8145,31.8145,31.8145,31.8145,282.2111436876,0
FRO,60,20240430,140000,31.8145,31.9973,31.8145,31.8145,404.721407614,0
FRO,60,20240430,150000,31.7231,31.7231,31.5402,31.7231,358.78005864159996,0
FRO,60,20240430,160000,31.8145,31.8145,31.8145,31.8145,2.1876832844,0
FRO,60,20240430,170000,31.4488,31.8145,31.4488,31.4488,367.53079177919994,0
FRO,60,20240502,100000,31.1745,31.4488,30.626,31.3574,7683.1436948128,0
FRO,60,20240502,110000,31.4488,31.4488,31.3574,31.3574,673.8064515952,0
FRO,60,20240502,120000,31.4488,31.4488,30.8088,30.8088,422.2228738892,0
FRO,60,20240502,130000,30.8088,31.3574,30.8088,30.9917,121.4164222842,0
FRO,60,20240502,140000,30.9917,30.9917,30.9917,30.9917,317.214076238,0
FRO,60,20240502,150000,31.266,31.266,31.266,31.266,319.4017595224,0
FRO,60,20240502,160000,31.266,31.4488,31.266,31.4488,33.9090909082,0
FRO,60,20240502,170000,31.4488,31.4488,31.266,31.266,8.7507331376,0
FRO,60,20240506,100000,31.266,31.3574,30.9003,31.3574,5428.7360702386,0
FRO,60,20240506,110000,31.4488,31.4488,31.4488,31.4488,63.442815247599995,0
FRO,60,20240506,120000,31.3574,31.4488,31.3574,31.4488,187.0469208162,0
FRO,60,20240506,130000,31.4488,31.4488,31.4488,31.4488,32.815249265999995,0
FRO,60,20240506,140000,31.4488,31.4488,31.3574,31.3574,76.568914954,0
FRO,60,20240506,150000,31.4488,31.4488,31.1745,31.4488,182.6715542474,0
FRO,60,20240506,160000,31.3574,31.3574,31.0831,31.0831,274.5542521922,0
FRO,60,20240506,170000,31.1745,31.4488,31.0831,31.0831,134.5425219906,0
FRO,60,20240507,100000,31.3574,31.4488,31.0831,31.0831,1901.0967741436,0
FRO,60,20240507,110000,31.1745,31.3574,31.1745,31.3574,557.859237522,0
FRO,60,20240507,120000,31.1745,31.266,31.0831,31.266,126393.40175621,0
FRO,60,20240507,130000,31.3574,31.6316,31.3574,31.6316,671.6187683108,0
FRO,60,20240507,140000,31.6316,31.7231,31.6316,31.7231,368.6246334214,0
FRO,60,20240507,150000,31.7231,31.9973,31.3574,31.3574,8868.8680349576,0
FRO,60,20240507,160000,31.266,31.266,31.266,31.266,563.328445733,0
FRO,60,20240507,170000,31.5402,31.9973,31.5402,31.9973,1462.4662756214,0
FRO,60,20240508,100000,32.363,32.363,31.9973,32.2716,697.8709677236,0
FRO,60,20240508,120000,32.2716,32.2716,32.2716,32.2716,52.50439882559999,0
FRO,60,20240508,130000,32.2716,32.2716,32.2716,32.2716,27.346041054999997,0
FRO,60,20240508,140000,32.363,32.4544,32.0887,32.0887,502.07331376979994,0
FRO,60,20240508,150000,32.1802,32.2716,31.9973,32.2716,879.4486803288,0
FRO,60,20240508,160000,32.2716,32.2716,32.1802,32.2716,103.914956009,0
FRO,60,20240508,170000,31.9059,32.0887,31.9059,31.9059,75.47507331179999,0
FRO,60,20240509,100000,32.2716,32.4544,32.1802,32.4544,35.0029325504,0
FRO,60,20240509,110000,32.2716,32.2716,32.2716,32.2716,324.8709677334,0
FRO,60,20240509,120000,32.2716,32.4544,32.2716,32.4544,136.730205275,0
FRO,60,20240509,130000,32.4544,32.4544,32.4544,32.4544,102.8211143668,0
