<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSG,60,20240411,110000,13,13,13,13,760,0
FSG,60,20240411,160000,13,13,13,13,14,0
FSG,60,20240412,120000,13,13,13,13,99,0
FSG,60,20240412,140000,13,13,13,13,1991,0
FSG,60,20240412,160000,13,13,12.8,12.8,2573,0
FSG,60,20240412,170000,12.7,12.7,12.6,12.6,381,0
FSG,60,20240415,110000,12.9,12.9,12.9,12.9,175,0
FSG,60,20240415,160000,12.9,12.9,12.9,12.9,5,0
FSG,60,20240415,170000,12.9,12.9,12.9,12.9,18,0
FSG,60,20240416,110000,12.9,12.9,12.9,12.9,244,0
FSG,60,20240417,100000,13,13,13,13,577,0
FSG,60,20240417,110000,12.7,12.7,12.7,12.7,325,0
FSG,60,20240417,170000,12.7,12.7,12.7,12.7,450,0
FSG,60,20240418,130000,12.6,12.6,12.6,12.6,18,0
FSG,60,20240418,170000,12.6,13,12.6,13,12,0
FSG,60,20240419,130000,13,13,13,13,140,0
FSG,60,20240419,160000,12.7,12.7,12.7,12.7,20,0
FSG,60,20240419,170000,12.7,13.1,12.6,13.1,102,0
FSG,60,20240422,100000,13.1,13.1,13.1,13.1,573,0
FSG,60,20240422,140000,13.2,13.2,13.2,13.2,175,0
FSG,60,20240422,160000,13.3,13.3,13.3,13.3,5,0
FSG,60,20240423,140000,13.3,13.3,13.3,13.3,97,0
FSG,60,20240423,160000,13.3,13.3,13.3,13.3,7,0
FSG,60,20240423,170000,13.3,14.1,13.3,14.1,1962,0
FSG,60,20240424,100000,13.9,13.9,13.7,13.7,172,0
FSG,60,20240424,110000,13.7,13.8,13.7,13.8,341,0
FSG,60,20240425,130000,13.3,13.3,13.3,13.3,46,0
FSG,60,20240425,160000,13.6,13.6,13.6,13.6,14,0
FSG,60,20240426,100000,14.2,14.7,13.7,13.7,7128,0
FSG,60,20240426,110000,14,14,13.7,13.7,416,0
FSG,60,20240426,120000,13.7,14,13.5,14,302,0
FSG,60,20240426,170000,13.9,13.9,13.5,13.8,112,0
FSG,60,20240429,100000,13.5,13.8,12.9,13,5986,0
FSG,60,20240429,110000,13.2,14.6,13.2,14.6,1520,0
FSG,60,20240429,120000,13.6,13.6,13.3,13.3,97,0
FSG,60,20240429,160000,13.3,14.5,13.3,13.6,2812,0
FSG,60,20240429,170000,13.8,13.8,13.8,13.8,1,0
FSG,60,20240430,110000,13.7,13.7,13.3,13.3,222,0
FSG,60,20240430,140000,13.3,13.3,13.3,13.3,40,0
FSG,60,20240502,160000,13.3,13.7,13.3,13.7,20,0
FSG,60,20240507,110000,13.7,13.8,13.7,13.8,812,0
FSG,60,20240507,120000,13.6,13.6,13.6,13.6,552,0
FSG,60,20240507,160000,13.4,13.4,13.4,13.4,9,0
FSG,60,20240507,170000,13.3,13.3,13.3,13.3,9,0
FSG,60,20240508,140000,13.7,13.7,13.7,13.7,100,0
FSG,60,20240508,160000,13.7,13.7,13.7,13.7,11,0
FSG,60,20240509,110000,13.4,13.4,12.7,12.7,2000,0
FSG,60,20240509,120000,13.3,13.3,13.3,13.3,151,0
FSG,60,20240509,170000,13.3,13.3,13.3,13.3,369,0
FSG,60,20240513,140000,13.2,13.2,13.2,13.2,142,0
FSG,60,20240513,150000,13.2,13.2,13.2,13.2,138,0
FSG,60,20240513,160000,13.1,13.1,13.1,13.1,25,0
FSG,60,20240513,170000,13.1,13.4,13,13.4,1005,0
FSG,60,20240514,100000,13.1,13.1,13,13,2001,0
FSG,60,20240514,120000,13,13,13,13,1250,0
FSG,60,20240514,170000,13.3,13.9,13,13.9,1780,0
FSG,60,20240516,130000,13.7,13.7,13.7,13.7,100,0
FSG,60,20240516,150000,13.7,13.7,13.7,13.7,120,0
FSG,60,20240520,100000,13.7,13.7,13.7,13.7,2,0
FSG,60,20240520,130000,13.7,13.7,13.7,13.7,46,0
FSG,60,20240520,140000,13.7,13.9,13.6,13.7,1404,0
FSG,60,20240520,160000,13.7,13.7,13.7,13.7,74,0
FSG,60,20240520,170000,13.7,13.7,13.7,13.7,1032,0
FSG,60,20240521,110000,13.5,13.5,13.5,13.5,300,0
FSG,60,20240521,160000,13.8,13.8,13.8,13.8,14,0
FSG,60,20240522,100000,13.4,13.4,13.4,13.4,14,0
FSG,60,20240522,110000,13.8,13.8,13.8,13.8,59,0
FSG,60,20240522,140000,13.8,13.8,13.4,13.4,594,0
FSG,60,20240522,170000,13.4,13.4,13.4,13.4,300,0
FSG,60,20240523,120000,13.4,13.5,13.4,13.5,183,0
FSG,60,20240523,170000,13.7,13.7,13.7,13.7,2,0
FSG,60,20240524,160000,13.7,13.7,13.7,13.7,12,0
FSG,60,20240527,100000,13.7,13.7,13.7,13.7,4,0
FSG,60,20240527,110000,13.5,13.5,13.5,13.5,100,0
FSG,60,20240527,120000,13.5,13.6,13.5,13.6,1245,0
FSG,60,20240527,130000,13.4,13.4,13.4,13.4,80,0
FSG,60,20240527,150000,13.4,13.4,13.4,13.4,673,0
FSG,60,20240527,170000,13.8,13.8,13.8,13.8,2,0
FSG,60,20240528,100000,14.2,14.2,13.8,13.8,3433,0
FSG,60,20240528,110000,13.6,13.6,13.5,13.5,756,0
FSG,60,20240528,120000,13.5,13.5,13.5,13.5,300,0
FSG,60,20240528,130000,13.4,13.4,13.3,13.3,352,0
FSG,60,20240528,160000,13.4,13.4,13.4,13.4,198,0
FSG,60,20240528,170000,13.5,14,13.5,14,2498,0
FSG,60,20240529,100000,13.9,13.9,13.3,13.5,2207,0
FSG,60,20240529,130000,13.6,13.6,13.6,13.6,500,0
FSG,60,20240529,170000,13.7,13.9,13.7,13.9,4,0
FSG,60,20240531,100000,13.9,13.9,13.4,13.4,500,0
FSG,60,20240531,130000,13.5,13.5,13.5,13.5,24,0
FSG,60,20240531,170000,13.8,13.8,13.8,13.8,2,0
FSG,60,20240603,100000,13.3,13.3,13.2,13.2,995,0
FSG,60,20240603,110000,13.3,13.3,13.3,13.3,100,0
FSG,60,20240603,120000,13.6,13.7,13.6,13.7,25,0
FSG,60,20240603,140000,13.7,13.7,13.7,13.7,636,0
