<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIF,60,20240411,100000,13.4,13.4,13.4,13.4,22,0
GIF,60,20240411,130000,13.35,13.35,13.35,13.35,200,0
GIF,60,20240411,140000,13.4,13.4,13.4,13.4,1,0
GIF,60,20240411,150000,13.15,13.35,13.15,13.35,1006,0
GIF,60,20240412,100000,13.35,13.35,12.5,13.1,1518,0
GIF,60,20240412,110000,13.1,13.3,13,13.3,613,0
GIF,60,20240412,120000,13.05,13.3,13.05,13.05,1122,0
GIF,60,20240412,130000,13,13,12.9,13,407,0
GIF,60,20240412,140000,12.95,12.95,12.9,12.9,27,0
GIF,60,20240412,150000,12.95,12.95,12.7,12.7,283,0
GIF,60,20240412,160000,12.95,12.95,12.95,12.95,1,0
GIF,60,20240412,170000,12.75,13,12.7,12.8,603,0
GIF,60,20240415,100000,12.75,12.8,12.5,12.6,2332,0
GIF,60,20240415,110000,12.65,12.65,12.6,12.6,1085,0
GIF,60,20240415,120000,12.6,12.6,12.5,12.5,2008,0
GIF,60,20240415,130000,12.6,12.8,12.5,12.5,1445,0
GIF,60,20240415,140000,12.75,12.75,12.75,12.75,1,0
GIF,60,20240415,150000,12.75,12.8,12.6,12.6,146,0
GIF,60,20240415,160000,12.8,12.8,12.6,12.6,258,0
GIF,60,20240415,170000,12.8,12.8,12.55,12.8,683,0
GIF,60,20240416,100000,12.55,12.75,12.55,12.75,597,0
GIF,60,20240416,110000,12.6,12.6,12.6,12.6,305,0
GIF,60,20240416,120000,12.5,12.5,12.5,12.5,8,0
GIF,60,20240416,130000,12.45,12.5,12.15,12.5,633,0
GIF,60,20240416,140000,12.5,12.5,12.5,12.5,278,0
GIF,60,20240416,150000,12.25,12.5,12.2,12.5,1105,0
GIF,60,20240416,170000,12.55,12.65,12.55,12.65,300,0
GIF,60,20240417,100000,12.6,12.6,12.6,12.6,5,0
GIF,60,20240417,110000,12.4,12.4,12.4,12.4,20,0
GIF,60,20240417,130000,12.4,12.4,12.4,12.4,100,0
GIF,60,20240417,140000,12.6,12.6,12.4,12.4,301,0
GIF,60,20240417,160000,12.4,12.4,12.05,12.25,183,0
GIF,60,20240417,170000,12.25,12.25,12.1,12.25,97,0
GIF,60,20240418,100000,12.25,12.4,12.25,12.4,105,0
GIF,60,20240418,130000,12.4,12.4,12.4,12.4,300,0
GIF,60,20240418,140000,12.4,12.6,12.4,12.6,105,0
GIF,60,20240418,150000,12.4,12.4,12.3,12.3,5,0
GIF,60,20240418,170000,12.6,12.6,12.6,12.6,318,0
GIF,60,20240419,100000,12.6,12.6,12.45,12.45,185,0
GIF,60,20240419,130000,12.3,12.3,12.25,12.25,1390,0
GIF,60,20240419,140000,12.25,12.25,12.25,12.25,310,0
GIF,60,20240419,150000,12.3,12.3,12.25,12.25,1120,0
GIF,60,20240419,160000,12.4,12.45,12.4,12.45,1600,0
GIF,60,20240419,170000,12.25,12.3,11.8,12.3,674,0
GIF,60,20240422,100000,12.3,12.6,12.3,12.55,709,0
GIF,60,20240422,110000,12.55,12.55,12.55,12.55,1,0
GIF,60,20240422,130000,12.2,12.5,12.2,12.5,2002,0
GIF,60,20240423,100000,12.5,12.5,12.5,12.5,6,0
GIF,60,20240423,110000,12.5,12.5,12.5,12.5,2,0
GIF,60,20240423,120000,12.45,12.75,12.45,12.75,7453,0
GIF,60,20240423,130000,12.55,12.8,12.55,12.6,56,0
GIF,60,20240423,140000,12.75,13,12.65,13,123,0
GIF,60,20240423,150000,12.8,12.9,12.8,12.8,515,0
GIF,60,20240423,160000,12.8,12.9,12.8,12.9,286,0
GIF,60,20240423,170000,12.65,12.85,12.6,12.85,984,0
GIF,60,20240424,100000,12.75,12.75,12.7,12.7,800,0
GIF,60,20240424,110000,12.6,12.7,12.6,12.7,224,0
GIF,60,20240424,130000,12.7,12.85,12.7,12.85,2398,0
GIF,60,20240424,140000,12.8,12.9,12.6,12.9,1057,0
GIF,60,20240424,160000,12.9,12.9,12.9,12.9,387,0
GIF,60,20240424,170000,12.9,12.9,12.6,12.9,3729,0
GIF,60,20240425,100000,12.9,12.95,12.9,12.95,6,0
GIF,60,20240425,130000,12.8,12.95,12.8,12.95,100,0
GIF,60,20240425,170000,12.55,12.55,12.55,12.55,13,0
GIF,60,20240426,100000,12.55,12.7,12.55,12.7,7,0
GIF,60,20240426,110000,12.7,12.7,12.7,12.7,500,0
GIF,60,20240426,120000,12.7,12.9,12.7,12.85,179,0
GIF,60,20240426,140000,12.85,12.9,12.85,12.9,129,0
GIF,60,20240426,160000,12.9,12.9,12.9,12.9,160,0
GIF,60,20240426,170000,12.65,12.85,12.65,12.85,11,0
GIF,60,20240429,100000,12.85,12.85,12.85,12.85,13,0
GIF,60,20240429,110000,12.85,12.85,12.85,12.85,153,0
GIF,60,20240429,120000,12.85,12.85,12.85,12.85,173,0
GIF,60,20240429,140000,12.65,12.65,12.65,12.65,8,0
GIF,60,20240429,150000,12.8,12.8,12.8,12.8,1,0
GIF,60,20240429,170000,12.65,12.8,12.5,12.8,150,0
GIF,60,20240430,100000,12.8,12.8,12.5,12.5,2575,0
GIF,60,20240430,110000,12.8,12.8,12.8,12.8,1,0
GIF,60,20240430,120000,12.55,12.55,12.5,12.5,10,0
GIF,60,20240430,140000,12.55,12.8,12.5,12.8,153,0
GIF,60,20240430,160000,12.55,12.55,12.5,12.5,110,0
GIF,60,20240430,170000,12.75,12.8,12.75,12.8,20,0
GIF,60,20240502,100000,12.7,12.7,12.5,12.5,1172,0
GIF,60,20240502,110000,12.5,12.5,12.5,12.5,1,0
GIF,60,20240502,120000,12.3,12.3,12.25,12.25,274,0
GIF,60,20240502,130000,12.4,12.4,12.4,12.4,65,0
GIF,60,20240502,140000,12.2,12.2,12.1,12.1,348,0
GIF,60,20240502,150000,12.45,12.85,12.45,12.85,1650,0
GIF,60,20240502,160000,12.4,12.4,12.4,12.4,97,0
GIF,60,20240502,170000,12.7,12.85,12.7,12.85,593,0
GIF,60,20240506,100000,12.85,12.85,12.15,12.15,897,0
GIF,60,20240506,110000,12.6,12.6,12.55,12.55,158,0
GIF,60,20240506,120000,12.35,12.35,12.35,12.35,20,0
GIF,60,20240506,150000,12.35,12.55,12.35,12.55,509,0
GIF,60,20240506,160000,12.55,12.75,12.55,12.7,487,0
GIF,60,20240506,170000,12.55,12.65,12.55,12.65,173,0
