<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIG,60,20240411,100000,1.44017,1.44017,1.44017,1.44017,20.067114093999997,0
GIG,60,20240411,120000,1.44017,1.44017,1.44017,1.44017,100.33557047,0
GIG,60,20240411,170000,1.44017,1.44515,1.4302,1.4302,540.8087248333,0
GIG,60,20240412,100000,1.44515,1.44515,1.44515,1.44515,15.050335570499998,0
GIG,60,20240412,120000,1.44017,1.44017,1.44017,1.44017,50.167785235,0
GIG,60,20240412,130000,1.44017,1.44515,1.42522,1.44515,351.174496645,0
GIG,60,20240412,150000,1.44515,1.44515,1.44515,1.44515,21.0704697987,0
GIG,60,20240412,160000,1.43518,1.44515,1.42522,1.44515,50.167785235,0
GIG,60,20240412,170000,1.42522,1.44515,1.42522,1.44515,130.43624161099999,0
GIG,60,20240415,100000,1.42522,1.44515,1.42023,1.44515,1044.4932885926999,0
GIG,60,20240415,150000,1.44515,1.44515,1.44515,1.44515,408.3657718129,0
GIG,60,20240415,160000,1.43518,1.44515,1.42023,1.44515,50.167785235,0
GIG,60,20240416,110000,1.42522,1.44515,1.42522,1.44515,50.167785235,0
GIG,60,20240416,160000,1.4302,1.4302,1.42522,1.42522,35.11744966449999,0
GIG,60,20240416,170000,1.42522,1.44017,1.42522,1.44017,40.134228187999994,0
GIG,60,20240417,100000,1.43518,1.43518,1.4302,1.4302,60.201342282,0
GIG,60,20240417,120000,1.4302,1.4302,1.4302,1.4302,117.39261744989999,0
GIG,60,20240417,160000,1.42023,1.4302,1.38535,1.4302,11105.1409396196,0
GIG,60,20240417,170000,1.39532,1.42023,1.3704,1.41525,5083.000000010199,0
GIG,60,20240418,100000,1.39532,1.41525,1.37538,1.39532,541.812080538,0
GIG,60,20240418,120000,1.38535,1.39532,1.35047,1.39532,2429.1241610787,0
GIG,60,20240418,140000,1.39033,1.39532,1.39033,1.39532,1083.6241610759998,0
GIG,60,20240418,150000,1.40528,1.42522,1.40528,1.42522,1183.9597315459998,0
GIG,60,20240418,170000,1.39532,1.41525,1.38037,1.41525,94.31543624179999,0
GIG,60,20240419,110000,1.41525,1.41525,1.41027,1.41027,38.1275167786,0
GIG,60,20240419,130000,1.39033,1.39033,1.39033,1.39033,69.23154362429999,0
GIG,60,20240419,150000,1.38535,1.38535,1.38535,1.38535,401.34228188,0
GIG,60,20240419,160000,1.38535,1.38535,1.38535,1.38535,722.416107384,0
GIG,60,20240422,110000,1.38535,1.43518,1.38535,1.43518,13746.976510095,0
GIG,60,20240422,120000,1.4003,1.43518,1.39532,1.4302,3765.5939597391,0
GIG,60,20240422,130000,1.39532,1.43518,1.38535,1.4302,5008.7516778624,0
GIG,60,20240422,140000,1.39532,1.4302,1.38535,1.4302,3110.4026845699996,0
GIG,60,20240423,110000,1.39532,1.42023,1.37538,1.42023,2337.8187919509996,0
GIG,60,20240424,100000,1.41027,1.41027,1.41027,1.41027,69.23154362429999,0
GIG,60,20240424,130000,1.38535,1.41027,1.36043,1.41027,3716.4295302088,0
GIG,60,20240424,170000,1.38535,1.39532,1.38037,1.39033,1399.6812080565,0
GIG,60,20240425,140000,1.39033,1.39033,1.39033,1.39033,150.503355705,0
GIG,60,20240425,150000,1.39033,1.39033,1.39033,1.39033,25.0838926175,0
GIG,60,20240425,160000,1.39033,1.39033,1.39033,1.39033,100.33557047,0
GIG,60,20240425,170000,1.39033,1.40528,1.39033,1.40528,30.100671140999996,0
GIG,60,20240426,100000,1.39033,1.40528,1.39033,1.40528,130.436241611,0
GIG,60,20240426,150000,1.39033,1.40528,1.39033,1.40528,80.26845637599999,0
GIG,60,20240426,160000,1.40528,1.4302,1.40528,1.4302,1404.69798658,0
GIG,60,20240426,170000,1.39532,1.39532,1.39532,1.39532,1505.03355705,0
GIG,60,20240429,100000,1.39532,1.39532,1.39532,1.39532,85.2852348995,0
GIG,60,20240429,110000,1.39532,1.42023,1.39532,1.42023,30.100671140999996,0
GIG,60,20240429,120000,1.39532,1.42023,1.39033,1.42023,1018.4060402705,0
GIG,60,20240429,160000,1.39532,1.42023,1.39033,1.42023,553.8523489944,0
GIG,60,20240430,100000,1.39033,1.41027,1.39033,1.41027,80.26845637599999,0
GIG,60,20240430,130000,1.39532,1.39532,1.39532,1.39532,245.8221476515,0
GIG,60,20240430,140000,1.39033,1.41027,1.39033,1.41027,28.0939597316,0
GIG,60,20240502,100000,1.41027,1.42023,1.39532,1.42023,1029.4429530222,0
GIG,60,20240502,160000,1.42023,1.42023,1.42023,1.42023,56.1879194632,0
GIG,60,20240502,170000,1.39532,1.42522,1.38535,1.42522,21800.912751721597,0
GIG,60,20240506,110000,1.39532,1.39532,1.39532,1.39532,797.6677852365,0
GIG,60,20240506,120000,1.39532,1.39532,1.38037,1.39532,9941.2483221676,0
GIG,60,20240506,130000,1.39532,1.41525,1.39033,1.41525,2716.0838926229,0
GIG,60,20240506,150000,1.41027,1.41027,1.37538,1.40528,122.4093959734,0
GIG,60,20240506,160000,1.40528,1.41027,1.39532,1.39532,388.29865771889996,0
GIG,60,20240506,170000,1.38535,1.38535,1.37538,1.37538,85.2852348995,0
GIG,60,20240507,100000,1.38535,1.41027,1.38535,1.41027,24.0805369128,0
GIG,60,20240507,120000,1.38535,1.38535,1.38535,1.38535,150.503355705,0
GIG,60,20240507,130000,1.38535,1.40528,1.38535,1.40528,24.0805369128,0
GIG,60,20240507,170000,1.40528,1.40528,1.40528,1.40528,18.0604026846,0
GIG,60,20240508,120000,1.40528,1.40528,1.40528,1.40528,50.167785235,0
GIG,60,20240508,160000,1.4003,1.41525,1.4003,1.41525,1505.03355705,0
GIG,60,20240509,100000,1.41525,1.41525,1.41525,1.41525,100.33557047,0
GIG,60,20240509,160000,1.39532,1.39532,1.39033,1.39033,521.7449664439999,0
GIG,60,20240509,170000,1.39033,1.39033,1.39033,1.39033,11.0369127517,0
GIG,60,20240510,100000,1.41027,1.41027,1.41027,1.41027,70.234899329,0
GIG,60,20240510,110000,1.39532,1.39532,1.39532,1.39532,10.033557046999999,0
GIG,60,20240510,130000,1.39033,1.41027,1.39033,1.41027,24.0805369128,0
GIG,60,20240510,150000,1.40528,1.41027,1.40528,1.41027,1322.4228187945998,0
GIG,60,20240510,160000,1.41027,1.41027,1.41027,1.41027,1085.6308724854,0
GIG,60,20240513,100000,1.39033,1.41525,1.39033,1.41027,96.3221476512,0
GIG,60,20240513,110000,1.39532,1.41027,1.39033,1.41027,34.1140939598,0
GIG,60,20240514,100000,1.39532,1.39532,1.39532,1.39532,10.033557046999999,0
GIG,60,20240514,130000,1.39033,1.41027,1.39033,1.41027,174.5838926178,0
GIG,60,20240514,150000,1.39532,1.39532,1.39532,1.39532,489.6375838936,0
GIG,60,20240514,160000,1.41027,1.41027,1.39033,1.39033,1111.7181208076,0
GIG,60,20240515,100000,1.38535,1.38535,1.38535,1.38535,10.033557046999999,0
GIG,60,20240515,110000,1.4003,1.4003,1.4003,1.4003,216.72483221519997,0
GIG,60,20240515,120000,1.4003,1.41525,1.37538,1.41525,1065.5637583914,0
