<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPW,60,20240411,100000,40.4308,40.6179,40.4308,40.6179,2905.2328767533,0
GPW,60,20240411,110000,40.6179,40.6179,40.2436,40.2436,4638.3287671887,0
GPW,60,20240411,120000,40.2904,40.2904,39.8692,40.15,8571.4520549154,0
GPW,60,20240411,130000,40.1032,40.1032,39.7756,39.8224,3713.0136986825,0
GPW,60,20240411,140000,39.8692,39.916,39.7288,39.916,2445.7808219523,0
GPW,60,20240411,150000,39.7756,39.8692,39.6353,39.8692,4602.0000000649,0
GPW,60,20240411,160000,39.8692,39.9628,39.6821,39.916,7431.3698631185,0
GPW,60,20240411,170000,39.916,39.916,39.3545,39.3545,32225.753425112,0
GPW,60,20240412,100000,39.5885,40.1032,39.5417,40.1032,2887.0684931914,0
GPW,60,20240412,110000,40.0096,40.2904,39.9628,40.0564,2716.1095890794,0
GPW,60,20240412,120000,40.0564,40.0564,39.7756,39.9628,2835.7808219578,0
GPW,60,20240412,130000,39.8692,39.916,39.5417,39.5417,1568.5479452276,0
GPW,60,20240412,140000,39.4949,39.6821,39.4949,39.5417,6195.1232877586,0
GPW,60,20240412,150000,39.6821,39.6821,39.4013,39.4481,1344.1643835806,0
GPW,60,20240412,160000,39.4949,39.5885,39.4481,39.5417,1077.0410959056,0
GPW,60,20240412,170000,39.3545,39.4949,39.2141,39.3077,6246.4109589922,0
GPW,60,20240415,100000,39.3077,39.6821,39.3077,39.4481,7772.2191781918,0
GPW,60,20240415,110000,39.4481,39.8224,39.4481,39.7756,3518.5479452551,0
GPW,60,20240415,120000,39.7288,39.9628,39.6821,39.7756,2975.7534246995,0
GPW,60,20240415,130000,39.6821,40.0096,39.5885,40.0096,11014.027397416,0
GPW,60,20240415,140000,40.0096,40.0096,39.6821,39.8692,3303.7808219644,0
GPW,60,20240415,150000,39.8224,39.9628,39.7288,39.9628,3772.8493151217,0
GPW,60,20240415,160000,39.9628,40.0564,39.3077,39.6821,21626.301370168,0
GPW,60,20240415,170000,39.6353,39.6821,39.3545,39.4949,11967.12328784,0
GPW,60,20240416,100000,39.4949,39.4949,39.1205,39.4013,9075.7808220458,0
GPW,60,20240416,110000,39.4013,39.5417,39.1673,39.3545,11007.616438511,0
GPW,60,20240416,120000,39.3545,39.5885,39.2609,39.2609,6074.3835617295,0
GPW,60,20240416,130000,39.3077,39.5885,39.3077,39.4949,11054.630137142,0
GPW,60,20240416,140000,39.5417,39.6821,39.4481,39.5417,4754.794520615,0
GPW,60,20240416,150000,39.5417,39.5885,39.4481,39.4949,2944.7671233292,0
GPW,60,20240416,160000,39.4949,39.6821,39.2609,39.4013,11834.630137153,0
GPW,60,20240416,170000,39.4013,39.6353,39.3077,39.4949,9560.8767124636,0
GPW,60,20240417,100000,39.3077,39.7756,39.2141,39.6353,5341.3972603493,0
GPW,60,20240417,110000,39.5885,39.8692,39.5885,39.7288,4246.1917808818,0
GPW,60,20240417,120000,39.6821,39.7288,39.4949,39.5885,2515.2328767478,0
GPW,60,20240417,130000,39.5885,39.5885,39.4949,39.5417,2796.2465753819,0
GPW,60,20240417,140000,39.4949,39.5885,39.3545,39.4949,6405.6164384465,0
GPW,60,20240417,150000,39.4949,39.7288,39.4949,39.7288,4465.2328767753,0
GPW,60,20240417,160000,39.6821,39.8224,39.6353,39.6821,5792.3013699447,0
GPW,60,20240417,170000,39.7288,39.7288,39.4481,39.5417,4910.7945206172,0
GPW,60,20240418,100000,39.4013,39.7756,39.4013,39.5885,2865.6986301774,0
GPW,60,20240418,110000,39.4949,39.5885,39.4481,39.5417,4052.7945206051,0
GPW,60,20240418,120000,39.5417,39.6353,39.4481,39.6353,4616.9589041747,0
GPW,60,20240418,130000,39.6821,40.0096,39.5885,39.916,9095.0136987584,0
GPW,60,20240418,140000,39.8692,40.0564,39.8224,39.9628,1857.0410959166,0
GPW,60,20240418,150000,39.916,39.9628,39.3077,39.4481,15837.205479675,0
GPW,60,20240418,160000,39.4481,39.6821,39.4013,39.6353,10616.547945355,0
GPW,60,20240418,170000,39.6821,39.8224,39.4949,39.6353,11538.657534409,0
GPW,60,20240419,100000,39.4949,39.5885,39.3077,39.4949,6472.9315069406,0
GPW,60,20240419,110000,39.5885,39.7756,39.4013,39.6821,23242.931507177,0
GPW,60,20240419,120000,39.6821,39.7288,39.5885,39.6821,5417.260274049,0
GPW,60,20240419,130000,39.6821,39.7288,39.5885,39.6821,1188.1643835784,0
GPW,60,20240419,140000,39.5885,39.6821,39.4949,39.5417,2318.630137019,0
GPW,60,20240419,150000,39.4949,39.7288,39.4481,39.6353,5930.136986385,0
GPW,60,20240419,160000,39.6353,39.7288,39.4949,39.5417,1719.2054794763,0
GPW,60,20240419,170000,39.6821,39.6821,39.4949,39.5885,5371.3150685689,0
GPW,60,20240422,100000,39.5885,39.7756,39.4481,39.5885,6706.9315069439,0
GPW,60,20240422,110000,39.5885,39.8692,39.5885,39.8224,6830.8767124251,0
GPW,60,20240422,120000,39.8692,40.1032,39.8692,40.1032,2721.4520548329,0
GPW,60,20240422,130000,39.9628,39.9628,39.7288,39.7756,5228.1369863751,0
GPW,60,20240422,140000,39.7756,39.8224,39.7288,39.7756,5667.2876713128,0
GPW,60,20240422,150000,39.7288,39.9628,39.7288,39.8224,6975.1232877696,0
GPW,60,20240422,160000,39.8692,40.1032,39.7756,40.1032,5637.3698630932,0
