<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HMI,60,20240411,100000,48.3,48.3,48.3,48.3,10,0
HMI,60,20240411,130000,48.1,48.5,48.1,48.5,110,0
HMI,60,20240411,170000,48.1,48.1,47.8,47.8,116,0
HMI,60,20240412,100000,48.2,48.2,48,48,9,0
HMI,60,20240412,150000,48,48,48,48,40,0
HMI,60,20240412,170000,48.3,48.3,48.3,48.3,13,0
HMI,60,20240415,100000,48.1,48.1,47.2,47.3,2210,0
HMI,60,20240415,110000,48.2,48.2,48.2,48.2,35,0
HMI,60,20240415,120000,47.3,47.3,47.3,47.3,30,0
HMI,60,20240415,140000,47.3,47.4,47.3,47.4,781,0
HMI,60,20240415,150000,47.4,47.4,47.4,47.4,178,0
HMI,60,20240415,160000,47.4,47.4,47.4,47.4,250,0
HMI,60,20240415,170000,47.8,48.3,47.8,48.3,212,0
HMI,60,20240416,100000,48.3,48.3,47.4,48.3,396,0
HMI,60,20240416,120000,47.5,47.5,47.5,47.5,50,0
HMI,60,20240416,130000,48.1,48.3,48.1,48.3,93,0
HMI,60,20240416,160000,47.5,47.5,47.5,47.5,50,0
HMI,60,20240416,170000,47.5,47.5,47.5,47.5,321,0
HMI,60,20240417,130000,47.5,47.5,47.5,47.5,169,0
HMI,60,20240417,140000,47.5,47.5,47.5,47.5,340,0
HMI,60,20240417,150000,47.3,47.3,47.3,47.3,437,0
HMI,60,20240417,160000,47.3,47.3,47.3,47.3,210,0
HMI,60,20240417,170000,47.3,48.1,47.3,47.8,235,0
HMI,60,20240418,100000,47.4,47.4,47.3,47.3,1605,0
HMI,60,20240418,110000,47.3,47.3,47.3,47.3,1065,0
HMI,60,20240418,120000,47.3,47.4,47.3,47.4,1350,0
HMI,60,20240418,130000,47.4,47.4,47.4,47.4,880,0
HMI,60,20240418,140000,47.4,47.4,47.4,47.4,642,0
HMI,60,20240418,160000,47.4,47.4,47.4,47.4,581,0
HMI,60,20240418,170000,47.4,47.4,47.3,47.3,915,0
HMI,60,20240419,100000,47.2,47.2,47.2,47.2,200,0
HMI,60,20240419,150000,47.5,47.9,47.5,47.9,221,0
HMI,60,20240419,170000,48.2,48.2,48.2,48.2,221,0
HMI,60,20240422,100000,48.2,48.2,48.2,48.2,2,0
HMI,60,20240422,170000,47.5,47.5,47.5,47.5,200,0
HMI,60,20240423,100000,47.5,47.5,47.5,47.5,270,0
HMI,60,20240423,110000,47.6,47.6,47.6,47.6,195,0
HMI,60,20240423,120000,47.7,47.7,47.7,47.7,294,0
HMI,60,20240423,140000,47.6,47.6,47.6,47.6,225,0
HMI,60,20240423,150000,47.6,47.6,47.6,47.6,100,0
HMI,60,20240423,170000,47.6,47.6,47.6,47.6,100,0
HMI,60,20240424,140000,48.3,48.3,48.3,48.3,1,0
HMI,60,20240424,150000,48,48,48,48,285,0
HMI,60,20240425,130000,48,48,48,48,3000,0
HMI,60,20240425,150000,48.1,48.1,48.1,48.1,27,0
HMI,60,20240425,170000,48.1,48.1,48.1,48.1,30,0
HMI,60,20240426,100000,48.1,48.1,48.1,48.1,752,0
HMI,60,20240426,110000,48,48,48,48,175,0
HMI,60,20240426,120000,48,48,48,48,850,0
HMI,60,20240426,130000,48.1,48.1,48.1,48.1,95,0
HMI,60,20240426,140000,48.1,48.1,48,48,100,0
HMI,60,20240426,150000,48.1,48.1,48.1,48.1,10,0
HMI,60,20240426,160000,48.1,48.1,48.1,48.1,10,0
HMI,60,20240426,170000,48,48,48,48,900,0
HMI,60,20240429,100000,48.1,48.1,48.1,48.1,66,0
HMI,60,20240429,110000,48.1,48.1,48.1,48.1,150,0
HMI,60,20240429,150000,48.1,48.1,48.1,48.1,30,0
HMI,60,20240429,160000,48.1,48.1,48.1,48.1,3,0
HMI,60,20240430,100000,48.2,48.2,48.1,48.1,105,0
HMI,60,20240430,110000,48.1,48.1,48.1,48.1,155,0
HMI,60,20240430,120000,48.1,48.1,48.1,48.1,745,0
HMI,60,20240430,130000,48.1,48.1,48.1,48.1,950,0
