<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRP,60,20240411,100000,6.9,6.9,6.8,6.89,488,0
HRP,60,20240411,110000,6.85,6.85,6.8,6.8,76,0
HRP,60,20240411,120000,6.78,6.78,6.76,6.76,434,0
HRP,60,20240411,140000,6.78,6.78,6.78,6.78,90,0
HRP,60,20240411,150000,6.77,6.77,6.77,6.77,600,0
HRP,60,20240411,160000,6.82,6.82,6.73,6.75,643,0
HRP,60,20240411,170000,6.75,6.82,6.75,6.82,12,0
HRP,60,20240412,100000,6.82,6.85,6.82,6.85,837,0
HRP,60,20240412,110000,6.87,6.94,6.87,6.94,628,0
HRP,60,20240412,130000,6.87,6.9,6.86,6.9,1250,0
HRP,60,20240412,140000,6.9,6.9,6.86,6.88,753,0
HRP,60,20240412,160000,6.95,6.95,6.95,6.95,143,0
HRP,60,20240412,170000,6.87,6.94,6.86,6.94,266,0
HRP,60,20240415,100000,6.94,6.94,6.8,6.8,664,0
HRP,60,20240415,120000,6.8,6.8,6.8,6.8,30,0
HRP,60,20240415,130000,6.8,6.8,6.8,6.8,200,0
HRP,60,20240415,140000,6.8,6.8,6.8,6.8,729,0
HRP,60,20240415,170000,6.86,6.86,6.86,6.86,10,0
HRP,60,20240416,100000,6.95,6.95,6.77,6.77,24,0
HRP,60,20240416,120000,6.82,6.82,6.82,6.82,10,0
HRP,60,20240416,140000,6.78,6.78,6.75,6.75,52,0
HRP,60,20240416,150000,6.81,6.82,6.81,6.82,1432,0
HRP,60,20240416,160000,6.9,6.9,6.9,6.9,1000,0
HRP,60,20240416,170000,6.91,6.91,6.72,6.89,1901,0
HRP,60,20240417,100000,6.89,6.89,6.78,6.78,12,0
HRP,60,20240417,110000,6.78,6.78,6.78,6.78,500,0
HRP,60,20240417,120000,6.78,6.78,6.75,6.75,1000,0
HRP,60,20240417,140000,6.88,6.89,6.88,6.89,372,0
HRP,60,20240417,150000,6.89,6.9,6.89,6.9,1000,0
HRP,60,20240417,170000,6.9,6.94,6.8,6.94,1996,0
HRP,60,20240418,100000,6.94,6.94,6.69,6.7,4490,0
HRP,60,20240418,110000,6.71,6.71,6.7,6.7,501,0
HRP,60,20240418,120000,6.7,6.7,6.7,6.7,700,0
HRP,60,20240418,130000,6.81,6.81,6.81,6.81,6,0
HRP,60,20240418,160000,6.76,6.76,6.76,6.76,5,0
HRP,60,20240418,170000,6.72,6.75,6.7,6.75,224,0
HRP,60,20240419,100000,6.76,6.79,6.76,6.79,263,0
HRP,60,20240419,110000,6.78,6.78,6.78,6.78,203,0
HRP,60,20240419,160000,6.79,6.79,6.71,6.75,602,0
HRP,60,20240419,170000,6.7,6.82,6.7,6.82,958,0
HRP,60,20240422,100000,6.82,6.82,6.66,6.76,579,0
HRP,60,20240422,130000,6.68,6.68,6.57,6.57,1100,0
HRP,60,20240422,140000,6.57,6.68,6.57,6.67,1198,0
HRP,60,20240422,150000,6.75,6.8,6.75,6.78,2075,0
HRP,60,20240422,160000,6.78,6.78,6.59,6.77,2795,0
HRP,60,20240423,100000,6.82,6.82,6.8,6.8,265,0
