<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRS,60,20240411,100000,0.838,0.838,0.838,0.838,668,0
HRS,60,20240411,110000,0.842,0.842,0.842,0.842,45,0
HRS,60,20240411,130000,0.806,0.806,0.806,0.806,25,0
HRS,60,20240411,140000,0.84,0.84,0.84,0.84,50,0
HRS,60,20240411,150000,0.838,0.838,0.838,0.838,25,0
HRS,60,20240411,170000,0.806,0.838,0.806,0.838,186,0
HRS,60,20240412,100000,0.818,0.896,0.818,0.896,32314,0
HRS,60,20240412,110000,0.896,0.896,0.84,0.89,11627,0
HRS,60,20240412,120000,0.862,0.862,0.862,0.862,2,0
HRS,60,20240412,130000,0.878,0.88,0.878,0.88,50,0
HRS,60,20240412,140000,0.862,0.862,0.862,0.862,10,0
HRS,60,20240412,150000,0.864,0.878,0.852,0.852,37,0
HRS,60,20240412,160000,0.846,0.846,0.846,0.846,3,0
HRS,60,20240412,170000,0.846,0.88,0.846,0.88,160,0
HRS,60,20240415,100000,0.88,0.88,0.87,0.87,1583,0
HRS,60,20240415,110000,0.88,0.88,0.852,0.86,3053,0
HRS,60,20240415,120000,0.878,0.88,0.878,0.88,550,0
HRS,60,20240415,130000,0.864,0.864,0.864,0.864,300,0
HRS,60,20240415,140000,0.88,0.88,0.864,0.864,140,0
HRS,60,20240415,150000,0.864,0.864,0.862,0.862,701,0
HRS,60,20240415,160000,0.848,0.848,0.83,0.83,11724,0
HRS,60,20240415,170000,0.85,0.878,0.834,0.878,1140,0
HRS,60,20240416,100000,0.878,0.878,0.792,0.862,159290,0
HRS,60,20240416,120000,0.818,0.82,0.816,0.818,337,0
HRS,60,20240416,130000,0.848,0.848,0.848,0.848,300,0
HRS,60,20240416,170000,0.818,0.858,0.818,0.85,611,0
HRS,60,20240417,100000,0.858,0.858,0.858,0.858,100,0
HRS,60,20240417,110000,0.828,0.856,0.82,0.85,14144,0
HRS,60,20240417,160000,0.836,0.836,0.836,0.836,24,0
HRS,60,20240417,170000,0.824,0.838,0.808,0.818,7077,0
HRS,60,20240418,100000,0.81,0.834,0.81,0.834,289,0
HRS,60,20240418,110000,0.834,0.834,0.834,0.834,172,0
HRS,60,20240418,140000,0.812,0.83,0.792,0.83,550,0
HRS,60,20240418,150000,0.784,0.83,0.772,0.83,17002,0
HRS,60,20240418,160000,0.788,0.788,0.788,0.788,2350,0
HRS,60,20240418,170000,0.788,0.788,0.788,0.788,8988,0
HRS,60,20240419,100000,0.79,0.8,0.77,0.8,5398,0
HRS,60,20240419,140000,0.798,0.798,0.798,0.798,1500,0
HRS,60,20240419,150000,0.8,0.828,0.8,0.828,1300,0
HRS,60,20240419,170000,0.8,0.806,0.8,0.804,1266,0
HRS,60,20240422,100000,0.804,0.806,0.77,0.806,6625,0
HRS,60,20240422,120000,0.806,0.83,0.806,0.83,1536,0
HRS,60,20240422,140000,0.83,0.83,0.83,0.83,1500,0
HRS,60,20240422,150000,0.83,0.832,0.83,0.832,3900,0
HRS,60,20240422,160000,0.82,0.82,0.82,0.82,17660,0
HRS,60,20240422,170000,0.828,0.828,0.82,0.828,150,0
HRS,60,20240423,100000,0.786,0.786,0.786,0.786,1,0
HRS,60,20240423,110000,0.824,0.824,0.786,0.786,1586,0
HRS,60,20240423,150000,0.818,0.818,0.818,0.818,50,0
HRS,60,20240423,170000,0.818,0.818,0.812,0.812,3600,0
HRS,60,20240424,100000,0.81,0.81,0.764,0.772,7526,0
HRS,60,20240424,110000,0.776,0.806,0.776,0.79,23740,0
HRS,60,20240424,120000,0.78,0.78,0.78,0.78,146,0
HRS,60,20240424,150000,0.78,0.78,0.78,0.78,2,0
HRS,60,20240424,160000,0.794,0.8,0.78,0.8,5800,0
HRS,60,20240424,170000,0.802,0.83,0.802,0.812,27911,0
HRS,60,20240425,100000,0.83,0.83,0.79,0.79,3162,0
HRS,60,20240425,110000,0.83,0.83,0.83,0.83,50,0
HRS,60,20240425,120000,0.79,0.828,0.79,0.828,90,0
HRS,60,20240426,100000,0.826,0.826,0.796,0.796,4,0
HRS,60,20240426,110000,0.826,0.826,0.826,0.826,50,0
HRS,60,20240426,120000,0.824,0.824,0.798,0.798,267,0
HRS,60,20240426,150000,0.824,0.824,0.824,0.824,1986,0
HRS,60,20240429,100000,0.818,0.818,0.798,0.798,345,0
HRS,60,20240429,110000,0.798,0.8,0.788,0.8,3800,0
HRS,60,20240429,120000,0.784,0.784,0.784,0.784,3,0
HRS,60,20240429,130000,0.786,0.8,0.78,0.8,7403,0
HRS,60,20240429,150000,0.798,0.798,0.798,0.798,20,0
