<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUG,60,20240411,100000,27,27.2,26.9,26.9,2066,0
HUG,60,20240411,110000,27.05,27.05,26.65,26.8,1820,0
HUG,60,20240411,120000,26.85,26.85,26.8,26.85,297,0
HUG,60,20240411,130000,26.8,26.8,26.75,26.8,636,0
HUG,60,20240411,140000,26.85,26.85,26.85,26.85,46,0
HUG,60,20240411,150000,27,27,26.8,26.9,5649,0
HUG,60,20240411,160000,26.9,26.9,26.8,26.8,4365,0
HUG,60,20240411,170000,26.8,27,26.8,27,8257,0
HUG,60,20240412,100000,26.75,26.75,26.75,26.75,98,0
HUG,60,20240412,110000,26.7,26.7,26.5,26.55,2260,0
HUG,60,20240412,120000,26.55,26.55,26.55,26.55,1289,0
HUG,60,20240412,130000,26.6,26.6,26.55,26.55,284,0
HUG,60,20240412,140000,26.55,26.85,26.55,26.55,1351,0
HUG,60,20240412,150000,26.55,26.55,26.4,26.45,6060,0
HUG,60,20240412,160000,26.5,26.55,26.3,26.35,8392,0
HUG,60,20240412,170000,26.3,26.4,26.2,26.4,11693,0
HUG,60,20240415,100000,26.2,26.6,26.15,26.25,629,0
HUG,60,20240415,110000,26.35,26.45,26.3,26.4,2167,0
HUG,60,20240415,120000,26.3,26.5,26.3,26.35,929,0
HUG,60,20240415,130000,26.4,26.45,26.3,26.3,558,0
HUG,60,20240415,140000,26.3,26.35,26.3,26.35,2496,0
HUG,60,20240415,150000,26.35,26.5,26.25,26.45,393,0
HUG,60,20240415,160000,26.35,26.5,26.35,26.45,2622,0
HUG,60,20240415,170000,26.5,26.5,26.25,26.25,5122,0
HUG,60,20240416,100000,26.25,26.25,24.1,26.1,20110,0
HUG,60,20240416,110000,26.1,26.1,25.55,25.6,7331,0
HUG,60,20240416,120000,25.6,25.7,25.5,25.65,7010,0
HUG,60,20240416,130000,25.6,25.6,25.25,25.3,13020,0
HUG,60,20240416,140000,25.25,25.4,25.15,25.2,13842,0
HUG,60,20240416,150000,25.2,25.45,25.05,25.1,9067,0
HUG,60,20240416,160000,25.05,25.3,24.7,24.75,20589,0
HUG,60,20240416,170000,24.75,24.9,24.6,24.8,17654,0
HUG,60,20240417,100000,24.7,25,24.7,24.95,4128,0
HUG,60,20240417,110000,25,25.35,25,25.25,4905,0
HUG,60,20240417,120000,25.2,25.25,25.1,25.1,3283,0
HUG,60,20240417,130000,25.1,25.2,25.05,25.05,287,0
HUG,60,20240417,140000,25.2,25.25,25.1,25.1,3066,0
HUG,60,20240417,150000,25.05,25.25,25.05,25.15,6740,0
HUG,60,20240417,160000,25.1,25.15,25.05,25.15,506,0
HUG,60,20240417,170000,25.15,25.15,25,25.1,4545,0
HUG,60,20240418,100000,25,25.3,25,25,1948,0
HUG,60,20240418,110000,25.1,25.1,24.9,24.9,2406,0
HUG,60,20240418,120000,25,25,25,25,20,0
HUG,60,20240418,130000,24.95,24.95,24.75,24.8,1816,0
HUG,60,20240418,140000,24.95,24.95,24.85,24.85,150,0
HUG,60,20240418,150000,24.9,24.9,24.65,24.65,4767,0
HUG,60,20240418,160000,24.7,25.1,24.7,24.85,7243,0
HUG,60,20240418,170000,24.95,25,24.9,25,1189,0
HUG,60,20240419,100000,25,25,24.75,24.8,2156,0
HUG,60,20240419,110000,24.85,24.85,24.7,24.7,632,0
HUG,60,20240419,120000,24.8,24.8,24.65,24.8,292,0
HUG,60,20240419,130000,24.75,24.8,24.65,24.8,2738,0
HUG,60,20240419,140000,24.8,24.9,24.6,24.9,3342,0
HUG,60,20240419,150000,24.7,24.95,24.7,24.95,2,0
HUG,60,20240419,160000,24.9,24.9,24.8,24.8,1057,0
HUG,60,20240419,170000,24.8,25,24.65,25,3532,0
HUG,60,20240422,100000,25.3,25.3,24.85,24.85,3846,0
HUG,60,20240422,110000,24.85,24.95,24.85,24.95,631,0
HUG,60,20240422,120000,24.85,25,24.85,24.95,586,0
HUG,60,20240422,130000,24.9,24.95,24.9,24.95,1305,0
HUG,60,20240422,140000,24.95,25.15,24.9,25.05,2270,0
HUG,60,20240422,150000,25.05,25.1,25,25.1,895,0
HUG,60,20240422,160000,25.1,25.25,25.05,25.05,3227,0
HUG,60,20240422,170000,25.2,25.25,25.2,25.25,2062,0
HUG,60,20240423,100000,25.2,25.4,25.2,25.4,338,0
HUG,60,20240423,110000,25.3,25.4,25.3,25.35,1453,0
HUG,60,20240423,120000,25.3,25.4,25.3,25.4,401,0
HUG,60,20240423,130000,25.35,25.7,25.35,25.55,16129,0
HUG,60,20240423,140000,25.5,25.75,25.5,25.6,2708,0
HUG,60,20240423,150000,25.55,25.6,25.5,25.5,1275,0
HUG,60,20240423,160000,25.55,25.75,25.5,25.75,3066,0
HUG,60,20240423,170000,25.75,26.2,25.4,25.4,12730,0
HUG,60,20240424,100000,25.4,25.8,25.4,25.75,2207,0
HUG,60,20240424,110000,25.75,25.75,25.6,25.7,716,0
HUG,60,20240424,120000,25.65,25.85,25.5,25.85,4338,0
HUG,60,20240424,130000,25.85,25.9,25.5,25.5,5256,0
HUG,60,20240424,140000,25.55,25.55,25.45,25.45,3009,0
HUG,60,20240424,150000,25.45,25.65,25.4,25.5,1054,0
HUG,60,20240424,160000,25.6,25.6,25.6,25.6,20,0
HUG,60,20240424,170000,25.55,25.65,25.25,25.25,3876,0
HUG,60,20240425,100000,25.6,25.6,25.35,25.4,3501,0
HUG,60,20240425,110000,25.4,25.4,25.35,25.35,1471,0
HUG,60,20240425,140000,25.2,25.2,25.2,25.2,615,0
HUG,60,20240425,150000,25.2,25.3,24.9,25,4985,0
HUG,60,20240425,160000,25.15,25.15,24.95,24.95,1748,0
HUG,60,20240425,170000,24.95,25.15,24.8,25.15,5433,0
HUG,60,20240426,100000,25.15,25.15,24.8,25.15,424,0
HUG,60,20240426,110000,25.2,25.2,24.8,24.8,1759,0
HUG,60,20240426,120000,24.85,24.9,24.8,24.8,2142,0
HUG,60,20240426,130000,24.8,24.9,24.75,24.9,2430,0
HUG,60,20240426,140000,24.9,24.9,24.75,24.85,1696,0
HUG,60,20240426,150000,24.75,24.8,24.7,24.75,2135,0
HUG,60,20240426,160000,24.75,24.95,24.75,24.85,1230,0
HUG,60,20240426,170000,24.85,24.95,24.7,24.7,12395,0
HUG,60,20240429,100000,24.7,24.85,24.6,24.6,3941,0
HUG,60,20240429,110000,24.7,24.8,24.7,24.8,1031,0
HUG,60,20240429,120000,24.8,24.8,24.55,24.55,4587,0
HUG,60,20240429,130000,24.5,24.75,24.5,24.5,732,0
HUG,60,20240429,140000,24.75,24.75,24.75,24.75,5,0
HUG,60,20240429,150000,24.7,24.7,24.7,24.7,212,0
HUG,60,20240429,160000,24.65,24.75,24.65,24.75,435,0
HUG,60,20240429,170000,24.7,25,24.7,25,3076,0
HUG,60,20240430,100000,25.05,25.05,24.7,25,2523,0
HUG,60,20240430,110000,25.05,25.15,24.9,25.15,870,0
HUG,60,20240430,120000,24.85,25.1,24.85,25.1,105,0
HUG,60,20240430,140000,24.9,24.9,24.9,24.9,58,0
HUG,60,20240430,150000,24.9,24.9,24.9,24.9,1087,0
HUG,60,20240430,160000,24.9,24.9,24.9,24.9,526,0
HUG,60,20240430,170000,24.9,24.9,24.7,24.7,722,0
HUG,60,20240502,100000,25.15,25.15,24.65,24.8,1310,0
HUG,60,20240502,110000,25,25.05,24.75,25.05,841,0
HUG,60,20240502,120000,25,25,24.8,25,1011,0
HUG,60,20240502,130000,25,25,24.75,24.95,944,0
HUG,60,20240502,140000,24.7,24.95,24.7,24.9,73,0
HUG,60,20240502,150000,24.7,24.8,24.7,24.75,4555,0
HUG,60,20240502,160000,24.75,24.75,24.7,24.75,3980,0
HUG,60,20240502,170000,24.7,24.8,24.7,24.8,1647,0
HUG,60,20240506,100000,24.7,24.95,24.65,24.9,1693,0
HUG,60,20240506,110000,24.9,24.95,24.9,24.95,280,0
