<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMP,60,20250219,100000,0.98,1.1,0.98,1.1,18989,0
IMP,60,20250219,110000,1.46,1.46,1.4,1.46,35396,0
IMP,60,20250220,100000,1.69,1.7,1.6,1.6,13466,0
IMP,60,20250220,110000,1.6,1.6,1.55,1.55,4764,0
IMP,60,20250220,120000,1.55,1.55,1.53,1.53,6325,0
IMP,60,20250220,140000,1.5,1.5,1.5,1.5,1001,0
IMP,60,20250220,150000,1.5,1.53,1.5,1.53,630,0
IMP,60,20250220,160000,1.5,1.5,1.45,1.45,6999,0
IMP,60,20250220,170000,1.44,1.44,1.44,1.44,330,0
IMP,60,20250221,100000,1.5,1.64,1.5,1.5,14871,0
IMP,60,20250221,110000,1.69,1.69,1.67,1.69,11444,0
IMP,60,20250221,120000,1.68,1.75,1.68,1.72,21724,0
IMP,60,20250221,130000,1.72,1.72,1.72,1.72,5233,0
IMP,60,20250221,140000,1.7,1.7,1.59,1.65,2039,0
IMP,60,20250221,150000,1.65,1.65,1.65,1.65,106,0
IMP,60,20250221,170000,1.6,1.6,1.6,1.6,194,0
IMP,60,20250224,100000,1.6,1.6,1.54,1.55,12449,0
IMP,60,20250224,110000,1.52,1.52,1.52,1.52,842,0
IMP,60,20250224,120000,1.52,1.52,1.49,1.49,4092,0
IMP,60,20250224,130000,1.49,1.55,1.49,1.54,2156,0
IMP,60,20250224,140000,1.55,1.55,1.54,1.54,1866,0
IMP,60,20250225,100000,1.5,1.5,1.5,1.5,1400,0
IMP,60,20250225,110000,1.54,1.54,1.54,1.54,1000,0
IMP,60,20250225,120000,1.5,1.5,1.46,1.46,4244,0
IMP,60,20250225,160000,1.46,1.5,1.46,1.5,54,0
IMP,60,20250226,100000,1.54,1.54,1.54,1.54,9,0
IMP,60,20250226,110000,1.54,1.54,1.54,1.54,200,0
IMP,60,20250226,120000,1.48,1.48,1.48,1.48,400,0
IMP,60,20250226,140000,1.48,1.48,1.48,1.48,1,0
IMP,60,20250226,150000,1.48,1.48,1.48,1.48,26,0
IMP,60,20250227,100000,1.46,1.46,1.46,1.46,912,0
IMP,60,20250227,110000,1.46,1.46,1.45,1.45,12741,0
IMP,60,20250227,120000,1.4,1.4,1.4,1.4,231,0
IMP,60,20250227,130000,1.45,1.45,1.45,1.45,200,0
IMP,60,20250227,150000,1.42,1.42,1.42,1.42,2,0
IMP,60,20250228,130000,1.45,1.45,1.45,1.45,862,0
IMP,60,20250303,110000,1.41,1.41,1.4,1.4,3105,0
IMP,60,20250303,120000,1.4,1.41,1.4,1.41,177,0
IMP,60,20250303,140000,1.44,1.5,1.43,1.43,5180,0
IMP,60,20250303,150000,1.43,1.43,1.43,1.43,7295,0
IMP,60,20250304,100000,1.4,1.4,1.4,1.4,27,0
IMP,60,20250304,110000,1.39,1.39,1.38,1.38,3294,0
IMP,60,20250304,120000,1.4,1.4,1.4,1.4,500,0
IMP,60,20250304,130000,1.4,1.4,1.4,1.4,1538,0
IMP,60,20250304,150000,1.38,1.38,1.38,1.38,1,0
IMP,60,20250305,100000,1.38,1.38,1.38,1.38,1202,0
IMP,60,20250305,120000,1.38,1.38,1.38,1.38,1,0
IMP,60,20250306,100000,1.38,1.38,1.38,1.38,3007,0
IMP,60,20250306,110000,1.38,1.41,1.38,1.41,927,0
IMP,60,20250306,130000,1.38,1.38,1.35,1.35,8000,0
IMP,60,20250306,140000,1.38,1.38,1.38,1.38,2000,0
IMP,60,20250307,100000,1.35,1.35,1.35,1.35,2,0
IMP,60,20250307,110000,1.35,1.35,1.35,1.35,1,0
IMP,60,20250307,130000,1.35,1.35,1.34,1.34,7013,0
IMP,60,20250307,150000,1.31,1.31,1.28,1.28,411,0
IMP,60,20250307,160000,1.26,1.26,1.26,1.26,7900,0
IMP,60,20250307,170000,1.34,1.34,1.34,1.34,200,0
IMP,60,20250310,120000,1.22,1.22,1.22,1.22,2,0
IMP,60,20250310,130000,1.22,1.22,1.22,1.22,51,0
IMP,60,20250310,140000,1.23,1.27,1.23,1.27,1559,0
IMP,60,20250310,150000,1.26,1.26,1.26,1.26,2213,0
IMP,60,20250310,170000,1.26,1.27,1.26,1.27,830,0
IMP,60,20250311,120000,1.29,1.3,1.29,1.3,6109,0
IMP,60,20250311,130000,1.3,1.3,1.3,1.3,1000,0
IMP,60,20250311,140000,1.3,1.3,1.3,1.3,2,0
IMP,60,20250312,100000,1.3,1.32,1.3,1.32,5,0
IMP,60,20250312,120000,1.39,1.39,1.38,1.38,156,0
IMP,60,20250312,130000,1.32,1.32,1.32,1.32,36,0
IMP,60,20250312,150000,1.32,1.4,1.3,1.3,4003,0
IMP,60,20250312,170000,1.3,1.4,1.3,1.4,101,0
IMP,60,20250313,110000,1.3,1.3,1.3,1.3,1,0
IMP,60,20250314,130000,1.3,1.32,1.3,1.32,399,0
IMP,60,20250314,140000,1.3,1.32,1.3,1.32,39,0
IMP,60,20250317,100000,1.46,1.46,1.4,1.45,15567,0
IMP,60,20250317,110000,1.45,1.5,1.45,1.49,5559,0
IMP,60,20250317,120000,1.42,1.42,1.4,1.4,5977,0
IMP,60,20250317,130000,1.33,1.33,1.33,1.33,1213,0
IMP,60,20250318,100000,1.31,1.31,1.31,1.31,1,0
IMP,60,20250318,110000,1.32,1.32,1.31,1.31,844,0
IMP,60,20250318,120000,1.31,1.31,1.31,1.31,70,0
IMP,60,20250318,160000,1.31,1.31,1.3,1.3,368,0
IMP,60,20250319,100000,1.3,1.3,1.3,1.3,100,0
IMP,60,20250319,130000,1.3,1.3,1.3,1.3,1,0
IMP,60,20250319,140000,1.3,1.3,1.3,1.3,1,0
IMP,60,20250320,100000,1.3,1.3,1.3,1.3,2,0
IMP,60,20250320,150000,1.3,1.3,1.3,1.3,2,0
IMP,60,20250320,160000,1.3,1.3,1.3,1.3,1213,0
IMP,60,20250320,170000,1.3,1.3,1.3,1.3,90,0
IMP,60,20250321,100000,1.3,1.3,1.3,1.3,5,0
IMP,60,20250321,110000,1.3,1.36,1.3,1.36,330,0
IMP,60,20250321,120000,1.31,1.31,1.31,1.31,1,0
IMP,60,20250321,140000,1.31,1.31,1.31,1.31,1,0
IMP,60,20250324,100000,1.3,1.3,1.3,1.3,3,0
IMP,60,20250324,170000,1.4,1.4,1.4,1.4,100,0
IMP,60,20250325,120000,1.31,1.31,1.31,1.31,2,0
IMP,60,20250325,170000,1.4,1.4,1.4,1.4,6,0
IMP,60,20250326,130000,1.31,1.31,1.31,1.31,1,0
IMP,60,20250326,140000,1.31,1.31,1.31,1.31,1,0
IMP,60,20250326,160000,1.31,1.31,1.31,1.31,1,0
IMP,60,20250327,100000,1.35,1.35,1.35,1.35,60,0
IMP,60,20250327,140000,1.31,1.31,1.31,1.31,1,0
IMP,60,20250327,160000,1.31,1.35,1.31,1.35,671,0
IMP,60,20250328,120000,1.33,1.33,1.33,1.33,367,0
IMP,60,20250328,150000,1.33,1.33,1.33,1.33,1,0
IMP,60,20250331,130000,1.32,1.32,1.32,1.32,1,0
IMP,60,20250401,100000,1.32,1.32,1.32,1.32,17,0
IMP,60,20250401,110000,1.32,1.32,1.32,1.32,2,0
IMP,60,20250401,120000,1.32,1.32,1.32,1.32,20,0
IMP,60,20250401,130000,1.32,1.32,1.32,1.32,200,0
IMP,60,20250401,140000,1.32,1.32,1.32,1.32,460,0
IMP,60,20250401,160000,1.32,1.32,1.32,1.32,1,0
IMP,60,20250402,100000,1.32,1.32,1.32,1.32,250,0
IMP,60,20250402,160000,1.32,1.32,1.32,1.32,399,0
IMP,60,20250403,100000,1.32,1.32,1.32,1.32,1,0
IMP,60,20250403,110000,1.31,1.31,1.31,1.31,6890,0
IMP,60,20250403,150000,1.25,1.25,1.25,1.25,1,0
IMP,60,20250404,140000,1.25,1.25,1.25,1.25,2,0
IMP,60,20250407,100000,1.25,1.25,1.25,1.25,1,0
IMP,60,20250407,150000,1.22,1.22,1.22,1.22,1002,0
IMP,60,20250408,100000,1.3,1.3,1.3,1.3,40,0
IMP,60,20250408,130000,1.29,1.29,1.23,1.23,82,0
IMP,60,20250408,140000,1.23,1.23,1.23,1.23,986,0
IMP,60,20250408,160000,1.22,1.22,1.22,1.22,1,0
IMP,60,20250409,100000,1.25,1.25,1.25,1.25,7,0
IMP,60,20250409,110000,1.26,1.26,1.26,1.26,50,0
IMP,60,20250409,120000,1.23,1.23,1.23,1.23,411,0
IMP,60,20250409,140000,1.22,1.22,1.22,1.22,3900,0
IMP,60,20250409,150000,1.22,1.22,1.22,1.22,33,0
IMP,60,20250409,160000,1.2,1.2,1.2,1.2,4643,0
IMP,60,20250410,120000,1.2,1.2,1.2,1.2,6490,0
IMP,60,20250410,130000,1.2,1.2,1.2,1.2,6500,0
IMP,60,20250410,160000,1.2,1.2,1.2,1.2,4240,0
IMP,60,20250410,170000,1.14,1.14,1.1,1.1,14626,0
IMP,60,20250411,110000,1.1,1.1,1.1,1.1,6998,0
IMP,60,20250411,120000,1.05,1.09,1.05,1.09,1250,0
IMP,60,20250414,100000,1.1,1.1,1.1,1.1,8000,0
IMP,60,20250414,110000,1.2,1.2,1.2,1.2,600,0
IMP,60,20250414,120000,1.2,1.2,1.2,1.2,2650,0
IMP,60,20250414,130000,1.2,1.2,1.2,1.2,6700,0
IMP,60,20250415,100000,1.2,1.2,1.2,1.2,90,0
IMP,60,20250415,120000,1.12,1.13,1.12,1.13,2654,0
IMP,60,20250415,130000,1.13,1.13,1.11,1.11,2406,0
IMP,60,20250415,150000,1.16,1.16,1.16,1.16,860,0
IMP,60,20250415,160000,1.1,1.1,1.1,1.1,7000,0
IMP,60,20250415,170000,1.09,1.1,1.09,1.1,9545,0
IMP,60,20250416,100000,1.1,1.1,1.1,1.1,6,0
IMP,60,20250416,110000,1.1,1.1,1.1,1.1,195,0
IMP,60,20250416,120000,1.1,1.1,1.1,1.1,18,0
IMP,60,20250416,130000,1.1,1.1,1.1,1.1,5,0
IMP,60,20250416,140000,1.1,1.1,1.1,1.1,3,0
IMP,60,20250416,150000,1.1,1.1,1.1,1.1,1,0
IMP,60,20250417,100000,1.1,1.1,1.1,1.1,3,0
IMP,60,20250417,130000,1.11,1.11,1.11,1.11,33,0
IMP,60,20250422,110000,1.12,1.12,1.12,1.12,1140,0
IMP,60,20250422,120000,1.12,1.12,1.12,1.12,1000,0
IMP,60,20250422,130000,1.12,1.12,1.12,1.12,104,0
IMP,60,20250422,140000,1.13,1.13,1.13,1.13,1,0
IMP,60,20250422,150000,1.13,1.14,1.13,1.14,5,0
IMP,60,20250422,160000,1.19,1.2,1.19,1.2,2000,0
IMP,60,20250423,110000,1.15,1.15,1.15,1.15,4,0
IMP,60,20250423,120000,1.15,1.15,1.15,1.15,1,0
IMP,60,20250423,130000,1.2,1.2,1.2,1.2,1210,0
IMP,60,20250423,140000,1.17,1.17,1.17,1.17,7,0
IMP,60,20250423,160000,1.2,1.2,1.2,1.2,1348,0
IMP,60,20250424,100000,1.21,1.21,1.21,1.21,2,0
IMP,60,20250424,110000,1.21,1.21,1.2,1.2,1500,0
IMP,60,20250424,120000,1.2,1.2,1.2,1.2,1000,0
IMP,60,20250424,130000,1.25,1.29,1.25,1.29,6000,0
IMP,60,20250424,140000,1.29,1.29,1.29,1.29,1000,0
IMP,60,20250425,100000,1.21,1.28,1.21,1.28,1001,0
IMP,60,20250425,120000,1.21,1.21,1.2,1.2,1000,0
IMP,60,20250425,130000,1.2,1.2,1.2,1.2,1,0
IMP,60,20250425,140000,1.21,1.21,1.2,1.2,2,0
IMP,60,20250425,170000,1.25,1.25,1.25,1.25,10,0
IMP,60,20250428,100000,1.2,1.2,1.2,1.2,850,0
IMP,60,20250428,120000,1.13,1.13,1.13,1.13,1,0
IMP,60,20250428,140000,1.13,1.13,1.13,1.13,1,0
IMP,60,20250429,100000,1.13,1.13,1.13,1.13,2,0
IMP,60,20250429,110000,1.13,1.13,1.13,1.13,1,0
IMP,60,20250429,130000,1.13,1.13,1.13,1.13,2,0
IMP,60,20250429,140000,1.13,1.13,1.13,1.13,3,0
IMP,60,20250429,150000,1.13,1.13,1.13,1.13,2,0
IMP,60,20250429,160000,1.13,1.13,1.13,1.13,2,0
IMP,60,20250430,100000,1.13,1.13,1.13,1.13,542,0
IMP,60,20250502,120000,1.15,1.2,1.15,1.2,600,0
IMP,60,20250502,150000,1.12,1.12,1.12,1.12,1000,0
IMP,60,20250505,170000,1.12,1.12,1.12,1.12,1,0
IMP,60,20250506,100000,1.13,1.2,1.13,1.2,600,0
