<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INC,60,20240411,100000,2.71,2.8,2.71,2.8,14730,0
INC,60,20240411,110000,2.79,2.87,2.79,2.81,1620,0
INC,60,20240411,120000,2.81,2.86,2.81,2.86,262,0
INC,60,20240411,130000,2.86,2.87,2.81,2.82,5745,0
INC,60,20240411,140000,2.82,2.82,2.81,2.82,660,0
INC,60,20240411,150000,2.81,2.81,2.79,2.8,1975,0
INC,60,20240411,160000,2.8,2.81,2.8,2.81,1900,0
INC,60,20240411,170000,2.82,2.82,2.82,2.82,500,0
INC,60,20240412,100000,2.87,2.87,2.87,2.87,5,0
INC,60,20240412,120000,2.86,2.86,2.86,2.86,100,0
INC,60,20240412,130000,2.87,2.87,2.87,2.87,830,0
INC,60,20240412,150000,2.86,2.86,2.86,2.86,1300,0
INC,60,20240415,100000,2.87,2.87,2.87,2.87,5,0
INC,60,20240415,110000,2.82,2.82,2.75,2.8,1392,0
INC,60,20240415,120000,2.8,2.8,2.75,2.8,3108,0
INC,60,20240415,140000,2.76,2.76,2.76,2.76,2003,0
INC,60,20240415,150000,2.75,2.75,2.73,2.75,4889,0
INC,60,20240415,160000,2.72,2.72,2.7,2.72,3280,0
INC,60,20240415,170000,2.7,2.7,2.64,2.67,6384,0
INC,60,20240416,100000,2.71,2.71,2.6,2.6,2491,0
INC,60,20240416,110000,2.58,2.61,2.58,2.61,850,0
INC,60,20240416,120000,2.58,2.61,2.58,2.61,6172,0
INC,60,20240416,140000,2.65,2.65,2.65,2.65,76,0
INC,60,20240416,170000,2.62,2.64,2.53,2.64,4145,0
INC,60,20240417,100000,2.64,2.64,2.64,2.64,1,0
INC,60,20240417,130000,2.55,2.55,2.55,2.55,401,0
INC,60,20240417,140000,2.6,2.6,2.58,2.58,1490,0
INC,60,20240417,150000,2.6,2.61,2.6,2.61,119,0
INC,60,20240417,170000,2.64,2.64,2.64,2.64,100,0
INC,60,20240418,100000,2.67,2.67,2.67,2.67,5,0
INC,60,20240418,130000,2.61,2.61,2.61,2.61,555,0
INC,60,20240418,140000,2.61,2.61,2.61,2.61,112,0
INC,60,20240418,160000,2.64,2.64,2.63,2.63,1500,0
INC,60,20240418,170000,2.66,2.66,2.66,2.66,100,0
INC,60,20240419,100000,2.67,2.67,2.61,2.61,12,0
INC,60,20240419,140000,2.66,2.66,2.66,2.66,700,0
INC,60,20240419,160000,2.66,2.66,2.66,2.66,7,0
INC,60,20240419,170000,2.61,2.66,2.61,2.66,190,0
INC,60,20240422,100000,2.66,2.66,2.66,2.66,2390,0
INC,60,20240422,110000,2.66,2.66,2.66,2.66,2900,0
INC,60,20240422,130000,2.62,2.62,2.62,2.62,90,0
INC,60,20240422,140000,2.67,2.67,2.67,2.67,640,0
INC,60,20240422,150000,2.67,2.67,2.61,2.61,1500,0
INC,60,20240422,170000,2.68,2.68,2.68,2.68,18,0
INC,60,20240423,100000,2.7,2.7,2.7,2.7,5,0
INC,60,20240423,170000,2.68,2.68,2.68,2.68,8,0
INC,60,20240424,100000,2.69,2.69,2.62,2.62,1024,0
INC,60,20240424,170000,2.63,2.67,2.58,2.67,3782,0
INC,60,20240425,100000,2.67,2.67,2.58,2.58,1030,0
